Chrom	position
chr11	114050144
chr2	101737192
chr9	140506837
chr9	73095826
chr4	78485598
chr4	6635131
chr22	41128899
chr2	11679745
chr1	156586459
chr10	95195029
chr11	114033710
chr17	8057786
chr1	8319370
chr3	188665931
chr10	74008735
chr22	38574216
chr1	145542852
chr12	122186816
chr8	69766845
chr6	44026538
chr15	85874619
chr11	114030933
chr6	17389761
chr1	117811722
chr11	61463096
chr10	74015033
chr10	501021
chr9	92279988
chr9	125011066
chr12	120154578
chr12	13036504
chr17	19841053
chr5	133802256
chr21	45006061
chr3	187526885
chr20	25218676
chr16	82186415
chr14	95065703
chr6	3670286
chr9	112951520
chr22	31982323
chr19	39900319
chr19	2032502
chr16	24712389
chr6	1641799
chr17	57914949
chr8	67434888
chr8	48572070
chr1	150540733
chr20	45963046
chr17	60897333
chr18	21305967
chr3	183483374
chr10	3852527
chr5	71044458
chr9	4866467
chr5	56053099
chr14	76002401
chr14	95806823
chr8	91014008
chr17	16557064
chr17	47472489
chr14	69036833
chr15	75468919
chr9	114774546
chr5	10596163
chr16	69287830
chr10	14614197
chr20	45946190
chr7	7361438
chr3	126108198
chr16	23435005
chr11	70079776
chr2	238467812
chr16	88111114
chr20	49032341
chr6	120004438
chr15	60667037
chr11	65187650
chr19	2154738
chr6	42013616
chr4	6752845
chr13	50432871
chr14	65585271
chr17	61916092
chr19	2528951
chr10	35784563
chr17	66293287
chr6	132165417
chr21	36107174
chr19	47377582
chr16	56404884
chr5	148865605
chr5	14589287
chr14	91593942
chr8	124417949
chr11	118787636
chr7	115957473
chr7	73437544
chr2	216847474
chr7	105857829
chr21	44763179
chr1	154989926
chr1	41962098
chr8	22596833
chr9	130784694
chr1	95209733
chr16	22207067
chr8	134368603
chr19	3336892
chr11	101312664
chr3	156535074
chr1	235133189
chr14	35873254
chr6	34430506
chr1	8250181
chr17	48986807
chr1	65363947
chr20	24998122
chr4	77484785
chr1	37965004
chr14	107254611
chr10	5596610
chr3	183729235
chr12	123373075
chr1	41365352
chr8	129154335
chr11	85800917
chr11	47211143
chr6	35694763
chr8	133911336
chr7	47797656
chr2	100684504
chr6	35695905
chr3	32463920
chr5	94977744
chr17	57946969
chr22	21271397
chr17	56653094
chr2	101696948
chr19	16844916
chr9	126090259
chr10	7275849
chr4	141226500
chr6	88441701
chr9	74980813
chr2	198478384
chr17	8055232
chr22	30687213
chr1	8403727
chr3	123967706
chr19	1181773
chr17	39577607
chr5	173193584
chr15	52948803
chr10	133811430
chr2	38030345
chr6	35569867
chr12	110981522
chr12	125424349
chr19	2169077
chr6	125905899
chr3	182834106
chr22	29209893
chr3	72386338
chr2	46166033
chr5	131551137
chr21	37560734
chr11	48077511
chr3	177888632
chr14	35843829
chr2	233476367
chr5	54897184
chr5	10302240
chr4	139832200
chr19	49497108
chr20	45947616
chr4	139819232
chr6	7562032
chr19	3429851
chr8	48540303
chr5	55325881
chr15	78749619
chr13	110747235
chr3	193876970
chr1	28764762
chr5	271536
chr2	241075696
chr16	48199429
chr21	16582706
chr19	4801053
chr17	47964671
chr2	151022971
chr17	29982141
chr22	39151417
chr19	5773890
chr2	182942420
chr1	172715683
chr8	30580628
chr16	27269727
chr7	23374440
chr19	32864930
chr14	64144791
chr20	9287366
chr1	227002991
chr9	112093863
chr1	184591629
chr6	33567572
chr17	74553568
chr6	108910634
chr5	94982522
chr6	140299249
chr2	65527538
chr6	149401491
chr6	53330700
chr2	38323577
chr7	131085824
chr22	38283855
chr5	179499081
chr17	57923016
chr15	71389213
chr2	75072580
chr13	99068839
chr7	28076680
chr2	210233848
chr8	117337154
chr4	119667827
chr13	40810561
chr11	125170966
chr1	154390933
chr6	134793992
chr8	124169491
chr10	32460357
chr7	16137921
chr12	56303132
chr21	37565728
chr21	40159673
chr12	97962655
chr14	100491686
chr21	27762511
chr14	32979007
chr11	17432826
chr5	138862076
chr16	85089110
chr5	81051264
chr9	131815044
chr13	34909915
chr6	12324564
chr8	131495696
chr17	14109501
chr7	37241311
chr20	19264335
chr3	14290731
chr16	30072486
chr1	47496858
chr9	100908851
chr5	174063319
chr3	127023290
chr4	6959079
chr9	97581822
chr7	30590979
chr12	48415855
chr18	56722357
chr17	39572393
chr21	40279188
chr1	80858352
chr2	27929284
chr7	95238389
chr1	204476143
chr2	120865803
chr16	10614510
chr9	91467858
chr8	22844666
chr4	174173617
chr12	54219229
