Chrom	position
chr8	66667399
chr3	114056596
chr19	16496275
chr5	173616743
chr11	61792867
chr1	36149596
chr2	88691576
chr5	172006703
chr18	59139744
chr1	1375424
chr1	33472627
chr16	4767305
chr2	54723454
chr20	32358202
chr2	68467373
chr5	168579668
chr12	48852227
chr7	120950630
chr6	5003679
chr11	78188729
chr16	67227068
chr19	3435313
chr19	56141026
chr11	2400663
chr1	172532645
chr3	40309628
chr2	27370523
chr15	40160981
chr16	70439335
chr6	138773471
chr7	77122424
chr20	25696893
chr1	36224357
chr8	31033632
chr3	167735000
chr1	185157193
chr18	79679425
chr18	62715048
chr12	51083681
chr19	44113285
chr16	11916085
chr3	120742385
chr6	42563929
chr17	3636573
chr19	19320634
chr17	45161760
chr17	75941149
chr2	218270424
chr7	151058055
chr18	9475356
chr19	37371012
chr16	4425550
chr4	151761040
chr17	17591750
chr9	101398755
chr1	1116195
chr11	17077768
chr16	67846819
chr12	56041789
chr1	235504622
chr6	43014143
chr20	23421535
chr12	133181460
chr19	42268770
chr12	120302271
chr5	139439563
chr19	7535665
chr19	58305263
chr6	30908107
chr1	153958723
chr4	184344005
chr19	35931714
chr20	34677207
chr17	75289614
chr1	230978993
chr6	17707021
chr19	44002892
chr22	41205178
chr19	48795552
chr17	15699653
chr20	3820645
chr12	53727607
chr17	21214246
chr10	42552907
chr17	16535818
chr11	134253510
chr13	30307140
chr11	72434598
chr2	148875118
chr5	55712367
chr9	127424363
chr1	25998181
chr2	53767632
chr7	93232302
chr19	53520900
chr19	51108494
chr9	113150928
chr19	48170409
chr2	65130246
chr7	33129510
chr19	53879482
chr22	18077881
chr18	74148464
chr16	68448774
chr11	65858290
chr22	37802402
chr2	96266122
chr19	51594535
chr9	135961503
chr11	58578346
chr3	98523082
chr9	93071752
chr19	44356721
chr3	100260764
chr7	73154856
chr19	41959404
chr16	15056224
chr20	20052804
chr17	75855534
chr7	102363796
chr17	18682316
chr12	103929781
chr11	57657691
chr1	37690623
chr7	133252915
chr5	132190367
chr1	45500171
chr3	75641187
chr19	35748373
chr10	26861126
chr9	15422767
chr6	31665963
chr7	100272291
chr7	90403370
chr11	63671787
chr14	77457712
chr19	37078374
chr12	32679172
chr10	92291109
chr16	2155699
chr20	50116003
chr19	4066054
chr16	3024337
chr8	81842687
chr11	83072031
chr9	109120033
chr16	87951015
chr8	109334208
chr6	108261175
chr2	86105590
chr12	88142214
chr7	21427395
chr1	203795579
chr11	74398828
chr2	177618994
chr17	39927676
chr19	34926940
chr19	45927851
chr13	49792908
chr6	11093738
chr2	64144515
chr16	10944491
chr17	32444424
chr2	70477489
chr6	57090003
chr13	41132856
chr16	30698079
chr20	22686219
chr1	114757581
chr2	177553035
chr20	18288230
chr21	14383228
chr1	2526273
chr19	38229829
chr10	43574638
chr4	185426005
chr13	24922967
chr19	37469299
chr15	75023506
chr1	236795159
chr11	125569356
chr19	54115385
chr20	49501949
chr12	56104479
chr11	47426626
chr8	17922687
chr3	43106149
chr12	56316375
chr3	184134208
chr21	6369975
chr21	6371935
chr5	178730748
chr9	19103036
chr1	54053495
chr2	132304751
chr1	244452273
chr13	31162387
chr7	149838353
chr10	119597032
chr1	246932243
chr10	69994483
chr3	184299041
chr19	15379951
chr12	67268845
chr15	78077767
chr17	7239742
chr3	4493261
chr19	40443304
chr19	57578990
chr4	169010395
chr5	175747016
chr16	30923355
chr2	231781631
chr19	57351161
chr12	109713560
chr20	34112372
chr19	39824715
chr4	173370804
chr9	37920570
chr12	64404329
chr7	74657557
chr12	57547316
chr2	241508704
chr7	74964608
chr1	151611974
chr7	36367328
chr5	177592143
chr3	184174711
chr17	76557682
chr13	108218444
chr19	57363330
chr17	76737944
chr7	112450930
chr3	66998057
chr14	92748760
chr16	28950682
chr8	65209985
chr14	105415254
chr19	44165044
chr8	72316669
chr19	44259859
chr10	102056288
chr10	102132945
chr1	26386244
chr7	149714780
chr19	45523920
chr2	206423388
chr15	55408392
chr19	58408586
chr19	58575386
chr10	79826834
chr22	41444475
chr14	96797234
chr19	58098306
chr3	67377485
chr19	37907152
chr5	178859913
chr2	32063422
chr22	50185823
chr17	78254606
chr10	103351150
chr7	30028288
chr4	87220666
chr22	20507542
chr1	149899538
chr19	37467467
chr1	241847922
chr5	62404011
chr16	46884249
chr16	30922638
chr7	102748898
chr2	27081383
chr14	73027321
chr6	87472790
chr19	48858801
chr9	125189977
chr1	179877866
chr19	53537617
chr6	27473181
chr5	146182703
chr10	123154144
chr14	67695833
chr1	93180590
chr1	159945751
chr14	59188528
chr19	3762637
chr13	29850699
chr1	43946675
chr11	113773802
chr19	4815744
chr3	141311793
chr16	75623347
chr19	55166128
chr3	50292523
chr16	3235423
chr7	151227381
chr6	162727828
chr19	2819821
chr12	119423438
chr6	31547527
chr5	95555102
chr16	3401067
chr1	113812519
chr4	1856298
chr1	37692342
chr16	78796449
chr16	19991805
chr17	42155146
chr17	18697977
chr11	67317800
chr9	132079920
chr16	19523801
chr17	49415040
chr10	5666682
chr8	143815817
chr2	216412365
chr20	46513644
chr7	23597328
chr12	102062142
chr18	11689163
chr2	43774007
chr20	47501849
chr14	33959756
chr1	147670588
chr2	135530928
chr19	44401635
chr10	38010604
chr19	58476032
chr4	2536434
chr10	38094326
chr5	36152054
chr3	98593667
chr2	74529865
chr11	86302146
chr2	85602796
chr1	32464904
chr6	39934553
chr19	50025475
chr5	119070775
chr12	132986324
chr12	132956334
chr19	50333606
chr16	30091978
chr5	177351981
chr2	99336500
chr14	70417102
chr7	147833797
chr19	50728645
chr19	38899770
chr19	10717454
chr2	27356989
chr1	634019
chr2	240586367
chr19	39391147
chr17	4731341
chr13	110712953
chr10	97292841
chr20	57391267
chr11	64166167
chr16	31010754
chr12	122501039
chr11	73950975
chr19	58278952
chr2	36966658
chr22	30356623
chr11	74171049
chr19	43901854
chr5	138633179
chr20	2509157
chr1	150269105
chr19	49115102
chr14	23556000
chr11	16738600
chr5	138337763
chr10	67764473
chr20	51802656
chr4	189785543
chr14	21103680
chr12	133130293
chr10	102502784
chr12	95217742
chr19	17859690
chr18	29148084
chr12	48296706
chr19	1905330
chr12	119229982
chr1	156020983
chr2	180007346
chr7	129224783
chr8	123041910
chr16	4538560
chr6	14800066
chr20	36746237
chr9	37079655
chr1	6613668
chr5	86617862
chr5	73189115
chr11	64810796
chr8	123072479
chr2	171434201
chr16	4768881
chr5	150357623
chr7	73564545
chr13	44918034
chr19	17305848
chr6	110815536
chr13	51470992
chr18	36828867
chr18	46104313
chr6	10147144
chr2	196639644
chr1	156054727
chr17	8313348
chr5	1345139
chr1	184755114
chr14	81534141
chr12	31729279
chr14	23551831
chr11	83286062
chr5	178895882
chr14	67674914
chr19	57599816
chr7	134317047
chr13	41194592
chr4	18022210
chr8	144792464
chr17	8846844
chr9	123930192
chr5	179023713
chr8	30744401
chr19	55095713
chr8	100722738
chr1	40531559
chr16	5882578
chr7	30771735
chr1	10472594
chr12	88035448
chr3	49929879
chr2	36618514
chr7	101244814
chr2	55232371
chr13	32538848
chr11	123506163
chr11	107565743
chr7	36871978
chr9	130712701
chr3	8963491
chr20	34303052
chr2	99181136
chr19	50511277
chr22	37051706
chr7	113118595
chr7	38909216
chr7	42932308
chr17	28854865
chr2	27380793
chr7	75528197
chr11	66052168
chr15	64163323
chr12	13044375
chr19	40090944
chr16	69386073
chr7	150992906
chr2	96536607
chr1	119648353
chr3	184185931
chr12	75511793
chr1	53838575
chr12	56266841
chr3	49422506
chr19	44094305
chr9	92765003
chr6	87702331
chr8	27774330
chr4	184664690
chr9	94259279
chr20	64063067
chr7	135557715
chr8	98117236
chr1	151254679
chr7	140398572
chr20	33811134
chr17	28335535
chr12	131243119
chr8	111236382
chr1	43974822
chr1	93847533
chr9	37753742
chr9	127245223
chr2	202911955
chr17	42798761
chr22	26429276
chr17	18315057
chr21	33641851
chr3	69739342
chr19	36127908
chr11	919264
chr21	34030262
chr17	46194173
chr17	22521430
chr19	36379207
chr19	44305061
chr19	50639340
chr6	46652928
chr7	139340572
chr19	55305652
chr20	47181498
chr8	144078639
chr14	102317053
chr17	18039292
chr12	106774203
chr12	50111917
chr6	6890772
chr7	25894392
chr20	46971512
chr21	33915890
chr19	58451558
chr7	23211671
chr19	57815006
chr1	155262454
chr2	132347448
chr11	114439392
chr16	67806708
chr22	46296824
chr19	36916202
chr9	134068093
chr15	74461192
chr11	117316333
chr19	58155196
chr19	46546724
chr20	30580196
chr1	212414968
chr3	50351114
chr2	128028194
chr2	152335091
