Chrom	position
chr3	72953516
chr7	135975255
chr17	70770636
chr9	123714713
chr6	150911126
chr1	59495310
chr13	102302307
chr6	21954446
chr16	10839779
chr17	46568152
chr2	100856119
chr13	99350400
chr15	96151865
chr2	34604797
chr16	15684962
chr5	93013216
chr12	76330996
chr20	6051678
chr1	8499400
chr18	57296451
chr3	69302029
chr12	3904886
chr18	7681469
chr12	44778118
chr15	33419117
chr18	50767496
chr11	115906999
chr1	212261996
chr12	31679205
chr2	101809579
chr8	74402540
chr1	110663854
chr1	222278211
chr3	157387411
chr10	79876360
chr4	88149046
chr12	69499063
chr10	35125185
chr2	75781296
chr12	51765568
chr14	54810500
chr14	59626082
chr15	67393696
chr18	74237368
chr10	7562840
chr2	159680228
chr12	107636149
chr17	56670698
chr3	123227238
chr7	110058980
chr2	234722571
chr12	12842610
chr6	156751759
chr11	37203758
chr6	136064895
chr3	23644677
chr19	29750982
chr10	44363688
chr11	34023275
chr4	58310113
chr7	51895617
chr9	899708
chr12	123727007
chr10	126092240
chr11	12768300
chr1	176028069
chr1	10735134
chr3	76874247
chr11	13002033
chr16	28023405
chr3	159134845
chr11	27970746
chr6	241547
chr14	76940067
chr12	10871062
chr2	103755262
chr22	19506361
chr7	25817791
chr13	105285169
chr7	132470791
chr22	19205621
chr12	84070767
chr19	40168759
chr8	15707493
chr16	70813079
chr4	64584981
chr18	72079545
chr2	175626010
chr6	115316901
chr6	21264792
chr7	69992915
chr6	153528327
chr9	104999952
chr10	88555289
chr6	10862891
chr4	149074566
chr3	71199646
chr8	140807890
chr2	45236710
chr5	163200399
chr1	47976061
chr6	134155478
chr2	23797916
chr1	224505260
chr5	142936903
chr14	71791651
chr1	226911509
chr4	151894022
chr8	27930475
chr9	127541690
chr22	27606399
chr11	11498189
chr9	122972787
chr12	125365925
chr1	79299318
chr17	57464954
chr2	45508156
chr17	81122334
chr10	80902007
chr11	83840105
chr7	76067367
chr11	105605250
chr17	38271039
chr14	61190972
chr5	16462122
chr7	18042915
chr2	88629854
chr17	29055851
chr7	1678106
chr3	87417101
chr11	131566645
chr8	135981619
chr11	2745518
chr5	73502617
chr16	48146596
chr9	85231674
chr13	45947101
chr3	93707270
chr2	179007213
chr4	62386711
chr11	61261119
chr2	53470707
chr4	136188641
chr17	66506740
chr4	184763443
chr13	48274020
chr14	50824953
chr8	130376496
chr2	51105651
chr7	1064384
chr9	134258783
chr11	128258305
chr2	18920303
chr13	78299415
chr2	100305781
chr15	73909966
chr20	6585910
chr9	113861014
chr5	153521466
chr12	90257079
chr3	130502676
chr16	82922336
chr4	146600888
chr12	26837139
chr9	115334445
chr21	41795014
chr7	90915903
chr1	9852644
chr2	16178066
chr13	26199700
chr10	29542777
chr13	94926599
chr2	145961672
chr18	56057771
chr20	57155221
chr9	34559029
chr7	28825919
chr6	156880504
chr6	134062823
chr13	98280002
chr15	61165922
chr1	170137689
chr3	113793306
chr11	70256935
chr8	69832706
chr6	13383907
chr2	122618544
chr6	15675238
chr2	6325157
chr9	123822676
chr10	15763165
chr14	89588553
chr12	64276768
chr20	53597945
chr2	236912381
chr7	88264613
chr11	111273952
chr16	7647551
chr2	29820044
chr5	94118373
chr8	25501626
chr8	103524138
chr14	69681291
chr6	47002810
chr2	79813408
chr22	32934717
chr1	50647804
chr2	129381712
chr3	185859831
chr6	159345382
chr22	41909017
chr19	436132
chr2	131094798
chr10	24269240
chr11	72925641
chr4	58416534
chr10	56209019
chr7	25738535
chr14	99035234
chr7	104902308
chr7	95050893
chr10	28848751
chr15	76126582
chr3	116271325
chr5	169499671
chr3	116113379
chr19	40194962
chr2	133420528
chr9	118354001
chr8	32593907
chr4	140999623
chr8	50539486
chr9	86151647
chr13	26411472
chr13	113586011
chr19	40304429
chr4	7874148
chr1	100820667
chr19	3870726
chr10	79639714
chr1	30999082
chr1	168229923
chr1	199056433
chr12	4198443
chr20	59883458
chr17	13513457
chr14	47636817
chr1	164581175
chr3	9657134
chr15	89072118
chr18	65981880
chr15	36272016
chr6	122101521
chr3	9184220
chr10	114859559
chr7	94627714
chr10	134148294
chr15	70489074
chr7	26554444
chr20	55983371
chr14	60628285
chr11	112677775
chr11	27892753
chr2	70038938
chr20	58575921
chr5	92936326
chr15	36263445
chr12	83367609
chr2	16652531
chr1	117398675
chr1	178439833
chr12	59306762
chr1	104781827
chr21	34824189
chr10	77781317
chr21	33971659
chr16	75948598
chr10	33512651
chr2	220862318
chr1	156634331
chr10	33553283
chr15	98196252
chr5	154670747
chr7	39446404
chr5	76157818
chr1	57681051
chr2	39873147
chr10	51558133
chr3	149996727
chr18	7336890
chr6	22069831
chr4	121915936
chr10	100136415
chr1	7020600
chr6	32430478
chr6	133410293
chr7	132665325
chr7	37107815
chr12	15525454
chr3	62128152
chr2	85545785
chr1	228873490
chr9	97742718
chr2	222218138
chr6	75335674
chr11	130635494
chr19	31753700
chr16	85517249
chr7	73156124
chr18	47090465
chr1	208237331
chr5	99734602
chr17	41747609
chr14	75039333
chr11	92403685
chr7	68075948
chr2	182718756
chr4	169481585
chr7	46463104
chr18	20714078
chr14	23019309
chr5	66692948
chr7	46555628
chr10	74085318
chr1	4610149
chr17	51138917
chr15	59694176
chr11	22054702
chr2	205093453
chr2	218731333
chr22	17745549
chr10	131631540
chr4	186429469
chr5	99236440
chr15	26238849
chr19	31202336
chr1	48269937
chr7	2537824
chr15	41029441
chr4	63122399
chr20	37454875
chr17	65386986
chr17	9924803
chr6	75244380
chr17	20741770
chr6	96129815
chr3	183695457
chr6	154811241
chr5	130028616
chr14	83226110
chr1	18615643
chr14	61532551
chr15	57382907
chr3	19262102
chr3	23965514
chr17	33230047
chr6	37647826
chr1	2549578
chr19	35559449
chr2	38750284
chr1	246116014
chr17	70378087
chr17	63595053
chr5	56981479
chr13	112799694
chr11	125974483
chr1	8066618
chr3	134166349
chr1	162591264
chr3	193857205
chr14	91094059
chr9	127131610
chr10	71610418
chr8	140984356
chr11	81108553
chr12	74030297
chr6	1631082
chr4	114439763
chr15	55965669
chr7	4799923
chr9	107631451
chr13	70828156
chr16	67051967
chr10	50909280
chr14	40460433
chr16	82540498
chr8	40248776
chr12	75374546
chr10	71575116
chr17	48611302
chr3	99321215
chr5	106485557
chr20	37839213
chr9	95016902
chr11	32101310
chr6	40591872
chr15	40271988
chr4	116070488
chr1	208310770
chr17	75417404
chr14	68661111
chr7	103507623
chr1	162630443
chr16	68734961
chr3	3559006
chr5	175610905
chr22	43207675
chr6	123980241
chr13	92774631
chr8	56145628
chr2	99172450
chr6	43848654
chr1	82928202
chr17	76055277
chr10	23201289
chr3	182457586
chr19	7545416
chr5	28493793
chr1	20804952
chr12	97629081
chr1	21824375
chr6	45471683
chr6	2109357
chr4	120650436
chr8	61783973
chr5	24599247
chr10	2122193
chr11	115581274
chr8	62420324
chr10	3524692
chr15	74877312
chr17	76871580
chr2	30827754
chr11	8553046
chr1	206641569
chr10	118069976
chr1	203965405
chr16	7595443
chr16	5912695
chr6	123154242
chr3	114345794
chr19	14245029
chr5	106791005
chr2	114093811
chr11	119576937
chr7	120601007
chr3	185678006
chr3	186703965
chr6	970201
chr4	58279234
chr17	76875777
chr14	38549266
chr14	34402380
chr4	138624553
chr16	25464217
chr16	78182002
chr14	65051156
chr13	99017098
chr10	33615067
chr16	14523056
chr13	99025284
chr1	176598125
chr3	35296594
chr17	67328079
chr12	68985715
chr12	53336776
chr4	160347192
chr2	216920584
chr3	37810117
chr12	131505774
chr4	1552280
chr1	177311101
chr11	101986390
chr3	31488127
chr11	21170097
chr8	125628871
chr18	24009708
chr3	64147542
chr6	107980496
chr11	104417475
chr4	190820815
chr5	158164021
chr17	59887474
chr15	57801546
chr14	97032371
chr6	73795340
chr18	13873923
chr15	58156705
chr1	42003701
chr4	19685850
chr2	170193411
chr14	91849990
chr11	13157054
chr4	1734826
chr3	39238635
chr18	24357527
chr2	202980572
chr4	9692438
chr1	48469852
chr6	90928386
chr5	146716626
chr13	46947974
chr3	53946588
chr10	105566426
chr8	142379194
chr9	537312
