Chrom	position
chr3	38875814
chr10	7550270
chr12	120755580
chr6	31830615
chr1	15853313
chr4	1513576
chr19	49137830
chr15	79464397
chr19	17518345
chr16	76668942
chr11	65641278
chr9	95974825
chr22	35552542
chr17	75360275
chr1	16693954
chr19	2263751
chr2	97359102
chr13	28494070
chr8	87324136
chr9	98268409
chr22	31686872
chr2	27309519
chr6	106440496
chr1	210058187
chr1	15930179
chr11	65292911
chr9	99107043
chr2	26565754
chr15	66981393
chr19	1857117
chr16	28228843
chr19	17510197
chr22	31275127
chr6	109103691
chr2	95982974
chr10	104221057
chr6	68270184
chr1	150293915
chr20	37590846
chr20	39135434
chr4	129732622
chr12	113830903
chr1	33912458
chr15	70390323
chr1	19163333
chr9	88420026
chr2	29474140
chr16	74402189
chr2	29179405
chr4	151223853
chr16	74729926
chr19	14477648
chr15	70053451
chr20	39657135
chr19	14480735
chr10	104957048
chr11	65990370
chr9	93577842
chr7	66843411
chr11	2307377
chr1	145611105
chr7	70255889
chr13	33859943
chr11	112166963
chr1	15296833
chr2	240008351
chr11	65255251
chr14	58764596
chr2	11919457
chr20	47538245
chr8	43136154
chr5	31533286
chr17	37080366
chr2	237077091
chr12	117518612
chr17	37037936
chr11	8008815
chr6	37282758
chr20	48554878
chr16	24895137
chr8	42030703
chr3	195164053
chr1	11027278
chr10	80472146
chr20	48746711
chr15	56332865
chr22	22973964
chr9	124012061
chr10	79894861
chr9	124082534
chr20	48929945
chr1	109419714
chr17	36833440
chr8	40457329
chr2	120980739
chr1	38061529
chr1	226891307
chr6	53412994
chr5	10485325
chr14	21148319
chr19	1542742
chr22	29269765
chr5	1839281
chr7	97584623
chr17	38495652
chr19	18057314
chr3	197268907
chr19	18133142
chr6	44225103
chr2	239892431
chr22	28108451
chr5	2131598
chr3	196366574
chr9	112149762
chr1	111069012
chr19	18204485
chr3	38692936
chr17	38264620
chr8	56843266
chr16	84178782
chr1	37721131
chr6	42018160
chr2	113357824
chr5	6314060
chr9	116073763
chr14	55878557
chr6	132832438
chr11	66104176
chr15	70828138
chr22	50741888
chr16	49958189
chr8	142427957
chr3	4345250
chr4	10497469
chr19	4457865
chr11	68778614
chr8	130584244
chr20	3229314
chr7	1462699
chr17	55457044
chr7	1452545
chr10	134332297
chr19	8130609
chr20	1946430
chr20	48999789
chr11	518925
chr8	144283859
chr15	80453170
chr22	50657971
chr13	111607678
chr22	50544363
chr1	176178432
chr1	156162647
chr16	58137100
chr7	220715
chr11	694618
chr1	180182704
chr7	27150349
chr20	3748541
chr1	167494096
chr4	40240581
chr8	142411878
chr10	135207700
chr19	4809762
chr12	110540299
chr3	9757555
chr1	159915569
chr4	24474662
chr2	68479931
chr2	65082050
chr11	69459233
chr7	5638643
chr1	156928305
chr20	5485289
chr17	60722001
chr10	135030901
chr19	5341026
chr11	69002480
chr2	64867979
chr11	68999247
chr3	5562064
chr17	57863989
chr7	4721745
chr20	3792562
chr11	70093612
chr7	2439818
chr12	110011012
chr7	2393717
chr4	15481099
chr11	73694624
chr13	52553321
chr1	24284975
chr4	3833063
chr2	43437892
chr15	93204573
chr7	44106110
chr22	41763267
chr9	34646590
chr4	96177163
chr8	102166107
chr19	3374774
chr11	1785196
chr15	74890767
chr2	40006400
chr15	96472648
chr22	39707064
chr19	3285906
chr22	39637155
chr16	69796206
chr8	99838290
chr13	114832603
chr9	67671041
chr15	99190736
chr22	39319990
chr22	39268335
chr15	99408729
chr19	2974508
chr22	39190058
chr6	138657545
chr17	73975536
chr19	11302242
chr8	103022309
chr22	45588882
chr10	124913745
chr10	133529992
chr17	72270340
chr15	78645637
chr13	51168660
chr1	182758849
chr13	50159729
chr19	10426681
chr13	49684381
chr19	3872046
chr9	1018367
chr15	91835113
chr22	43583778
chr1	23496644
chr15	77869869
chr11	1444957
chr16	67311363
chr17	72844230
chr6	166826595
chr22	42929527
chr20	305131
chr9	14322826
chr10	126736736
chr11	67134555
chr6	161635929
chr6	160390007
chr19	10947222
chr6	158185709
chr2	232803912
chr10	126734490
chr10	77162180
chr11	61809803
chr15	31451622
chr3	50359474
chr19	41156344
chr19	49655128
chr3	134089711
chr17	21226460
chr19	41221066
chr10	45965811
chr19	51670561
chr10	5488517
chr20	56293783
chr20	57596242
chr20	57998098
chr3	50530764
chr19	41339378
chr6	7313569
chr14	93410497
chr10	5887194
chr14	104625479
chr1	43402199
chr2	177053347
chr6	14800311
chr18	60742561
chr19	46498381
chr16	2265328
chr20	55711117
chr19	56042383
chr9	131831864
chr2	220042942
chr18	56807073
chr17	26578437
chr5	149628767
chr14	81890079
chr18	19904791
chr3	138655156
chr12	125017798
chr7	157197803
chr9	132205446
chr5	149185522
chr1	5953467
chr19	40737617
chr19	40854449
chr3	56443143
chr2	170021012
chr1	45097660
chr19	46110611
chr9	139249135
chr1	59364864
chr19	50444882
chr14	105035176
chr14	96505615
chr5	180611268
chr9	137369978
chr5	139030937
chr14	96828526
chr1	61940858
chr17	8095632
chr5	179985407
chr12	122101947
chr17	7740209
chr17	7747489
chr2	172967708
chr21	40338159
chr12	125335608
chr12	52404225
chr2	216745885
chr8	569257
chr1	2365824
chr19	49835030
chr9	138904008
chr17	17208980
chr1	2826475
chr20	60542101
chr20	62066306
chr18	43996865
chr20	60721285
chr17	77967575
chr14	106267709
chr1	3384428
chr12	13080415
chr1	64897085
chr10	51827691
chr10	50970376
chr10	50887608
chr11	44422159
chr9	136293822
chr17	7199780
chr19	45959309
chr12	125473617
chr17	80696229
chr8	6433181
chr2	220360363
chr9	138480913
chr12	49463741
chr20	62530417
chr21	33959656
chr15	41954110
chr12	131188140
chr14	102051070
chr12	120680305
chr2	3653089
chr17	30454677
chr12	2922098
chr20	55285389
chr7	149569992
chr16	11327072
chr14	74222270
chr17	78194213
chr3	112770318
chr12	46786648
chr20	49548368
chr12	131939389
chr2	9852715
chr3	119218506
chr9	140016527
chr19	49339190
chr1	92117327
chr20	52510004
chr6	34203305
chr20	55284618
chr9	130370777
chr9	130153050
chr16	85454601
chr14	74238706
chr21	33927494
chr1	41329712
chr20	49116124
chr2	225450525
chr16	22682055
chr9	126964982
chr14	103018582
chr11	57283278
chr9	139668328
chr7	157066327
chr17	78075335
chr16	9467330
chr1	53649252
chr18	3603498
chr10	71360705
chr15	40857405
chr5	95159806
chr7	149362935
chr3	123361308
chr16	9233975
chr21	34755673
chr2	129211019
chr17	27503814
chr15	50979038
chr17	79773166
chr7	100808900
chr16	10742566
chr12	119741257
chr1	54925449
chr11	63949204
chr21	47295147
chr6	33553523
chr3	184529974
chr3	122512692
chr2	152803848
chr14	100852648
chr2	232063320
chr11	44578595
chr1	155053548
chr2	69056606
chr1	156890344
chr16	9147136
chr7	139463301
chr16	9391518
chr1	153939847
chr4	4341686
chr18	21699184
chr3	101393081
chr3	107243916
chr18	21199224
chr1	154909037
chr18	9708239
chr1	154531322
chr7	10819590
chr2	191885113
chr7	139900193
chr11	1283934
chr11	1281474
chr11	1327217
chr7	150668473
chr15	91412509
chr4	4028674
chr16	4484218
chr7	25990927
chr7	25894739
chr12	125068599
chr18	20046139
chr7	25011158
chr11	537363
chr11	393245
chr3	126074792
chr16	4854682
chr2	71204203
chr4	8387028
chr3	125875571
chr11	460538
chr2	70203292
chr7	149322815
chr11	45119612
chr11	448091
chr3	125458599
chr7	22528745
chr11	551715
chr11	574375
chr2	190305842
chr3	119187783
chr19	4131202
chr3	113775648
chr2	180804206
chr11	325067
chr1	155188836
chr2	176867078
chr7	150693747
chr2	176981341
chr19	4580523
chr11	326951
chr11	576749
chr15	89954848
chr7	14031205
chr4	7462524
chr1	155211078
chr7	27135686
chr18	12408034
chr11	361636
chr1	155294226
chr7	26904456
chr1	156265463
chr15	99944084
chr11	1657978
chr2	135464496
chr7	99070338
chr1	111016958
chr16	1728441
chr12	131311029
chr3	196729913
chr2	113012361
chr3	197183513
chr2	151868161
chr1	89149879
chr1	88051506
chr3	150489638
chr3	197466657
chr4	631553
chr7	92861669
chr16	452090
chr16	2097878
chr11	30344862
chr3	142720332
chr4	1037913
chr4	1303193
chr7	86633995
chr13	30969739
chr7	77632221
chr7	75854864
chr2	161890562
chr3	141488637
chr11	33601629
chr19	1439146
chr12	131648962
chr18	21977869
chr7	7216229
chr2	121196414
chr19	876905
chr7	100472983
chr3	185059864
chr1	109359139
chr16	1001961
chr7	100435139
chr2	120097040
chr11	9635782
chr2	118955101
chr3	183889587
chr12	132471627
chr16	899111
chr3	172312547
chr2	129271174
chr3	170578647
chr16	1293500
chr2	130635139
chr7	99933973
chr18	77264773
chr2	131361354
chr1	110369713
chr3	195935257
chr16	1458302
chr11	6640663
chr7	104653222
chr3	196064211
chr13	30982807
chr7	75226158
chr2	97590022
chr12	128526995
chr3	132757086
chr1	65946808
chr11	36311003
chr7	51324331
chr19	2977397
chr19	3094199
chr1	64485697
chr18	43547293
chr1	151170926
chr19	3108911
chr3	129333926
chr7	44674781
chr11	1802562
chr7	44646644
chr2	172378864
chr19	3464298
chr15	93375210
chr2	81708857
chr1	62256680
chr1	153377353
chr16	3507976
chr7	135771727
chr1	61649986
chr1	153510916
chr19	3474167
chr11	43569674
chr19	3500677
chr12	127269071
chr4	3566835
chr2	85555146
chr11	2446141
chr7	127032216
chr19	1897755
chr16	212810
chr16	2529644
chr18	54306048
chr1	76540317
chr2	96830703
chr19	2266655
chr11	33966420
chr11	2472075
chr7	127775859
chr7	127808883
chr3	141089232
chr7	130581967
chr1	71546272
chr3	139396494
chr7	72756074
chr2	170271899
chr2	95713649
chr11	2223871
chr19	2749368
chr2	86667861
chr2	171120300
chr4	2794615
chr7	130013399
chr15	100101867
chr13	95914437
chr12	49110732
chr4	17616207
chr5	78531906
chr19	39342613
chr15	41186624
chr14	77360807
chr15	41218367
chr5	90496673
chr5	82770416
chr6	30984650
chr19	58892123
chr19	36706081
chr15	40583402
chr10	73506470
chr14	75725788
chr15	42701050
chr2	767601
chr5	73937291
chr1	235490755
chr5	68665346
chr2	3307519
chr10	71094433
chr19	39695612
chr5	68628651
chr14	89498626
chr6	15897378
chr5	126112709
chr15	34611022
chr15	34635349
chr19	40970614
chr14	90168205
chr10	69991335
chr5	122759638
chr10	70093402
chr10	70989253
chr10	70321353
chr19	39894688
chr14	81629513
chr6	25992132
chr19	39749143
chr5	112078331
chr6	26659999
chr15	40391179
chr19	35711296
chr5	68530610
chr4	18023397
chr14	64970521
chr6	36628767
chr5	43603256
chr19	33685173
chr1	229335345
chr1	229034594
chr19	33166672
chr1	228594647
chr19	30384752
chr2	10688292
