Chrom	position
chr7	915940
chr9	132586557
chr1	51426025
chr9	96928224
chr10	97416583
chr1	6661321
chr17	42404395
chr12	110151457
chr16	3550932
chr16	14728106
chr17	80246049
chr7	154861871
chr7	100450169
chr1	167191697
chr1	210001336
chr6	83775523
chr19	2783551
chr12	56862312
chr17	38269653
chr8	81397778
chr20	42839618
chr17	42148040
chr16	19729501
chr5	170815604
chr11	61334872
chr2	118572255
chr12	48152946
chr12	49463810
chr7	44078896
chr6	53412977
chr8	26240501
chr17	5372268
chr15	59063341
chr16	89238130
chr18	46065338
chr15	68522445
chr8	8860277
chr15	89164574
chr20	305143
chr16	74402210
chr1	32479238
chr5	140998791
chr4	83351746
chr17	37558948
chr11	64683893
chr6	13615437
chr10	46090349
chr16	56967011
chr11	120894769
chr11	119252547
chr18	21017848
chr17	57642933
chr9	140429494
chr7	150924364
chr11	66189255
chr3	122512721
chr9	140444888
chr12	53765252
chr12	120755596
chr5	133706758
chr4	129209395
chr4	2264076
chr11	58347212
chr7	158649213
chr15	75497223
chr1	155064042
chr1	155243384
chr17	7475872
chr7	766217
chr15	70392039
chr1	27648707
chr22	25290649
chr11	18415989
chr11	537367
chr18	60382418
chr11	60609549
chr11	108535701
chr11	111945050
chr22	45659819
chr1	38061539
chr20	25160038
chr12	109535851
chr8	144025225
chr11	114310055
chr9	95056117
chr11	67771675
chr9	132020917
chr22	31686833
chr1	10532662
chr9	6007154
chr5	139927238
chr10	105156376
chr9	138864015
chr17	76210253
chr19	55691561
chr17	77290811
chr7	72847963
chr11	57425106
chr21	46707871
chr19	47164694
chr12	69979379
chr12	125389462
chr19	45579790
chr17	33307469
chr19	14607246
chr17	33469302
chr1	150266230
chr4	20701916
chr6	30539137
chr1	156721685
chr9	129921719
chr1	154193190
chr12	109531269
chr17	17942608
chr1	53169048
chr1	154955703
chr11	451105
chr17	16944697
chr19	2977385
chr20	20033213
chr4	47465707
chr19	49655126
chr1	44435675
chr4	52711000
chr19	41168889
chr20	5931175
chr5	176817609
chr17	8152659
chr5	154134596
chr19	5666377
chr19	4815832
chr12	58165857
chr19	2151862
chr9	127533894
chr2	191885109
chr17	79818922
chr4	77008429
chr8	11660118
chr12	120763410
chr9	107690553
chr5	93447288
chr16	18936826
chr8	356927
chr11	78285848
chr19	56631869
chr20	52824458
chr1	243669422
chr8	101734839
chr17	48172595
chr17	47492470
chr22	50541591
chr3	183353403
chr11	36310994
chr1	156427229
chr19	18682527
chr8	103425161
chr12	107487558
chr17	49230945
chr11	102524782
chr16	75657050
chr22	35768054
chr3	45883650
chr1	230844502
chr15	41407872
chr8	145800966
chr16	4666554
chr12	56513347
chr17	45570007
chr16	1662061
chr22	51038681
chr11	94801968
chr19	39342556
chr11	71159730
chr7	913193
chr17	78549347
chr20	43589173
chr10	104001530
chr12	125473635
chr19	45959311
chr12	124118276
chr22	37957942
chr16	70148092
chr1	3585591
chr16	89766744
chr19	50490568
chr17	4268583
chr2	75062148
chr3	141998988
chr1	214776363
chr20	62612384
chr2	27440351
chr18	77866849
chr19	47291815
chr20	33815087
chr12	92428837
chr3	10502005
chr8	109455768
chr1	203830727
chr6	42897219
chr6	117996494
chr19	12902148
chr13	30498360
chr10	70982612
chr20	30467617
chr2	32288573
chr19	1847816
chr5	172483336
chr19	1876222
chr9	136024922
chr5	172759104
chr19	11641472
chr1	26232994
chr12	21654727
chr8	581041
chr16	89940683
chr19	47759781
chr12	72233532
chr2	29117532
chr5	175963635
chr9	93959695
chr6	142468345
chr5	6633210
chr21	46975797
chr1	145438363
chr6	109704043
chr1	11333562
chr14	102780667
chr15	100882386
chr1	100596468
chr11	67159337
chr11	61793137
chr15	99408757
chr12	133562966
chr2	55920961
chr17	36831397
chr10	11916912
chr2	32853205
chr8	67341286
chr6	111303282
chr3	38495184
chr17	7184828
chr7	99698237
chr7	45151291
chr22	21983647
chr1	37945425
chr5	173043801
chr8	54755852
chr1	206718297
chr19	10217048
chr1	229694861
chr15	74838700
chr19	10138568
chr17	46129269
chr19	4809766
chr19	4968875
chr19	5341084
chr17	17109851
chr3	48699287
chr19	10812103
chr10	88855276
chr12	117348669
chr17	7740203
chr3	184032280
chr13	49888221
chr10	18940542
chr22	24407637
chr8	99129486
chr20	343274
chr3	141868430
chr11	43942533
chr18	9073833
chr1	110162361
chr2	11919458
chr5	14264865
chr12	49454730
chr16	81527454
chr5	134074123
chr15	93579295
chr12	50419340
