Chrom	position
chr17	63746933
chr2	231915163
chr2	198478358
chr9	36868180
chr15	93347383
chr8	95972128
chr5	167742062
chr1	113931466
chr22	50835614
chr7	32709924
chr1	16107398
chr6	141873899
chr9	19161837
chr15	90572505
chr1	234779071
chr16	85341317
chr3	57436688
chr11	129869459
chr17	40540827
chr17	73606705
chr1	234509236
chr5	1555592
chr11	919292
chr2	99797535
chr9	74373886
chr7	17547445
chr2	260869
chr4	139163579
chr5	173043785
chr17	77962273
chr8	129569010
chr1	228997002
chr3	195782803
chr5	135309173
chr19	11376644
chr19	49275993
chr17	8076757
chr11	12824303
chr22	43336383
chr1	46445012
chr4	139120903
chr14	100953021
chr14	101220580
chr14	95156047
chr14	95780349
chr14	95060439
chr6	88531847
chr14	101139647
chr6	89248027
chr14	94988778
chr6	100016589
chr6	90085322
chr6	99105837
chr14	96250666
chr6	90932541
chr6	97372220
chr6	96263495
chr6	90529565
chr14	100485793
chr6	96141163
chr14	97273347
chr6	90605220
chr14	100095341
chr6	106911269
chr14	97406557
chr14	100019096
chr9	140779193
chr14	94922459
chr14	81685870
chr6	109804464
chr14	89080269
chr6	110299915
chr6	110576755
chr6	110858604
chr14	85986407
chr6	111025328
chr6	111426970
chr14	80935197
chr6	106988515
chr14	78996591
chr14	78865848
chr14	78174415
chr14	77675234
chr14	77650910
chr14	77600284
chr6	116393649
chr14	76813300
chr6	109654145
chr14	90512050
chr14	90701830
chr14	90863373
chr6	107070408
chr14	94743760
chr14	94611274
chr14	94603228
chr14	101943571
chr14	94451471
chr6	107403416
chr6	107563173
chr6	107814525
chr14	93605656
chr14	93389878
chr14	93380603
chr14	92424332
chr6	108323202
chr6	108449284
chr6	108879778
chr14	90961799
chr14	101790115
chr6	78544524
chr14	102001731
chr6	47330799
chr6	44187290
chr15	48483240
chr15	45682388
chr6	45017140
chr15	45329482
chr6	45413752
chr15	45123163
chr15	45003600
chr6	49490836
chr15	51591740
chr6	49524380
chr15	42684901
chr6	52149612
chr15	42353167
chr15	42349382
chr15	41810447
chr6	52914376
chr6	52999776
chr15	50477259
chr15	51973712
chr14	102197675
chr15	57025875
chr15	61342436
chr15	61044926
chr15	61027871
chr15	60884763
chr15	60666948
chr15	59846427
chr15	59569092
chr15	57065167
chr15	56946213
chr15	52426949
chr15	56244904
chr15	55790666
chr6	43766788
chr15	54123337
chr15	53364579
chr15	53082734
chr15	52971606
chr6	43842252
chr6	53167063
chr6	53275635
chr15	40660506
chr14	76114837
chr6	70490922
chr14	106267708
chr14	105994858
chr14	105957355
chr6	75244400
chr14	105120677
chr14	105071245
chr14	104544491
chr6	82201374
chr6	53297580
chr6	83775620
chr6	84937378
chr14	103057204
chr14	102978579
chr6	88293730
chr6	88381599
chr14	102399233
chr14	102198270
chr6	69942949
chr15	23935880
chr15	25103159
chr15	25123519
chr15	40333238
chr15	39562255
chr15	39503854
chr15	39460054
chr15	37509939
chr15	35375343
chr15	35045685
chr15	34730077
chr6	63776167
chr15	31698009
chr15	31572580
chr15	31196030
chr15	31178196
chr6	64449403
chr6	65011663
chr15	29077331
chr6	67607708
chr14	76599566
chr6	123113180
chr14	76089946
chr13	52263830
chr6	168601526
chr13	76033295
chr13	73664772
chr6	169284841
chr13	72959189
chr7	197651
chr13	52768620
chr7	562078
chr7	592554
chr6	168424994
chr13	52194868
chr13	51246353
chr13	50819316
chr13	50385605
chr13	50159677
chr13	49203578
chr13	49200343
chr7	1000207
chr13	79163547
chr13	79980430
chr14	75943492
chr13	99221983
chr6	160870995
chr13	113606282
chr13	113547345
chr13	113242517
chr13	111607758
chr13	109909601
chr13	101045162
chr13	100967049
chr13	99142831
chr13	92399609
chr6	167722315
chr13	98678916
chr13	98143914
chr6	167835040
chr13	95966873
chr13	94615956
chr13	93901037
chr13	93876925
chr13	49158169
chr13	47262117
chr13	46929034
chr7	6388743
chr13	28535012
chr13	28366644
chr13	28200139
chr13	27998796
chr13	25861623
chr13	24787071
chr13	24203805
chr13	24190007
chr7	6488170
chr13	46683801
chr13	21635724
chr13	21524661
chr13	21127717
