Chrom	position
chr20	31604336
chr20	31608661
chr1	23562451
chr19	45455996
chr6	112337362
chr19	2611289
chr2	237085816
chr1	16113154
chr13	93224712
chr6	19804811
chr3	177360017
chr18	48952210
chr16	30658030
chr7	156764244
chr2	86808536
chr11	111879252
chr2	8678909
chr21	45478262
chr2	55269291
chr2	3303775
chr19	18288036
chr15	66702227
chr7	33895490
chr14	68459147
chr20	54123964
chr12	50075361
chr14	67944055
chr14	76956556
chr16	4293949
chr22	23521891
chr2	127408116
chr22	42615374
chr12	62123885
chr14	99274850
chr17	40345180
chr3	4986999
chr21	15222300
chr22	39174973
chr22	40498715
chr1	147172649
chr2	152176047
chr16	87853864
chr8	125430231
chr2	172172631
chr4	123600221
chr1	61453302
chr2	20567630
chr19	51362874
chr3	125375353
chr21	43343337
chr17	36901693
chr8	102655711
chr1	29249381
chr1	54488465
chr6	46849120
chr19	51690021
chr3	8444547
chr16	89167621
chr19	9914865
chr14	35404086
chr15	92904245
chr4	123505821
chr1	151059649
chr16	50468180
chr19	2540952
chr5	74640700
chr2	55419950
chr19	12784186
chr7	65475936
chr5	126595323
chr4	105898434
chr2	237614357
chr4	56387278
chr12	115508151
chr7	120857786
chr7	35695107
chr20	44370822
chr1	9402022
chr20	50451310
chr5	65035658
chr17	48733169
chr1	12604576
chr7	74994088
chr1	58881694
chr1	153946728
chr3	5026638
chr15	40098945
chr17	7841675
chr15	69594805
chr14	73772043
chr3	195033627
chr15	90874303
chr1	23554913
chr10	124036075
chr14	37197989
chr6	125301654
chr3	170357350
chr13	40504254
chr10	30522791
chr17	17823902
chr1	8703415
chr22	35372166
chr12	120230795
chr1	225945717
chr12	131949741
chr17	43251713
chr16	50547654
chr20	54194992
chr20	46815084
chr17	7836981
chr2	63828003
chr6	142846069
chr11	65499058
chr9	37800752
chr15	74546365
chr2	108449073
chr11	121476542
chr6	131951328
chr7	101126454
chr6	157323557
chr10	63466079
chr6	70667829
chr3	196055954
chr21	46661409
chr19	55259255
chr17	64919540
chr4	110614391
chr6	30717630
chr10	92291037
chr19	18368734
chr14	90397024
chr17	76029475
chr10	102777170
chr17	75905040
chr7	150383953
chr12	124130836
chr16	85291744
chr1	52674945
chr20	31573140
chr8	104589303
chr1	150568339
chr2	208025580
chr15	56918618
chr6	150866373
chr10	70440544
chr5	72848140
chr10	70132920
chr12	32106705
chr22	46027568
chr20	57710659
chr9	69412837
chr8	58172741
chr4	140154244
chr10	28940016
chr16	89860984
chr18	3448235
chr11	65919360
chr1	15139951
chr5	74415949
chr1	144412701
chr1	12619134
chr1	61077175
chr1	146052169
chr1	12433596
chr12	123971996
chr6	7975270
chr1	59052416
chr5	59127874
chr1	58816435
chr6	18122678
chr8	100559811
chr9	104926641
chr6	37169680
chr17	80261557
chr3	46949425
chr7	105665039
chr4	157995041
chr10	86441317
chr2	222861054
chr16	14364675
chr7	22083050
chr1	226223457
chr1	27155177
chr18	35972599
chr2	95231846
chr16	46388677
chr15	64460534
chr9	120580205
chr9	129557625
chr2	110768776
chr2	200510114
chr9	33415752
chr1	93079164
chr6	133953146
chr4	4575441
chr9	129334391
chr5	171623913
chr14	102317019
chr10	6279662
chr20	13244021
chr1	7609039
chr8	100334835
chr12	47085973
chr17	73187502
chr1	42335360
chr1	15152453
chr9	131046911
chr8	102657465
chr20	48373154
chr8	120809874
chr10	46048297
chr1	143247079
chr21	8220003
chr11	68145458
chr15	66679909
chr2	186575479
chr1	44799849
chr11	96012400
chr8	127855242
chr1	58885489
chr11	11841987
chr2	217622400
chr1	634020
chr9	71726126
chr2	205700958
chr3	41199439
chr2	237966914
chr19	3459756
chr6	37126426
chr11	121655658
chr19	2273855
chr17	30906282
chr5	124599792
chr7	150405300
chr10	93071915
chr7	17130462
chr19	2599140
chr19	58519967
chr5	147835518
chr1	156086399
chr20	31968590
chr5	54517681
chr10	100680932
chr10	76051253
chr5	134005404
chr15	55408348
chr22	31212131
chr3	123606056
chr12	120293101
chr16	30021716
chr3	183884965
chr12	48867123
chr17	1714748
chr21	36235298
chr13	73766198
chr5	82635854
chr2	65432759
chr14	36208894
chr1	213372389
chr12	2004441
chr2	161308399
chr7	36290368
chr5	80205100
chr11	9566220
chr11	65422816
chr17	48160715
chr9	136626866
chr19	11197665
chr7	36949871
chr8	40054846
chr1	200896895
chr20	57718558
chr20	31696326
chr1	23558488
chr9	682838
chr9	124659236
chr12	131860968
chr10	70445899
chr22	31244166
chr14	24679095
chr3	192852040
chr14	104815955
chr20	31610854
chr16	77236235
chr8	9102813
chr15	29698471
chr5	53477187
chr1	53107791
chr10	86868554
chr9	104889734
chr14	100817474
chr2	69789404
chr12	123972844
chr11	93895575
chr19	41262551
chr1	26993784
chr12	114656311
chr13	93216420
chr16	85553470
chr8	123396683
chr1	43548531
chr17	48972540
chr12	113480266
chr17	38703933
chr6	1268560
chr10	18627819
chr1	182101539
chr19	5804160
chr9	129617463
chr1	202808454
chr12	65170563
chr9	133892499
chr6	158853514
chr17	43530979
chr3	32045480
chr4	121711778
chr1	93703824
chr19	13051789
chr16	27274061
chr12	7018912
chr18	48942821
chr2	121530399
chr19	13155663
chr11	20000716
chr2	120466370
chr5	134371443
chr2	85421533
chr2	112645698
chr19	14486578
chr4	113762741
chr9	94867390
chr20	57710027
chr3	57130943
chr5	139643228
chr15	90994710
chr12	71439199
chr8	138877131
chr18	13542283
chr7	113395016
chr4	26319614
chr9	27436478
chr19	8367631
chr19	3968870
chr20	43590902
chr14	101477237
chr12	95318253
chr6	43059876
chr2	202494466
chr18	48930348
chr16	21566165
chr1	32500875
chr13	51636624
chr3	137032942
chr19	40632503
chr11	87000339
chr2	42047042
chr5	168178243
chr8	133360427
chr16	29265456
chr5	178730675
chr22	17920492
chr7	99558573
chr3	180912443
chr2	162582628
chr2	20579429
chr17	4316183
chr1	23344539
chr13	49807834
chr14	24093998
chr1	234975345
chr17	59367001
chr1	8190132
chr1	145281213
chr1	113146953
chr16	59211102
chr10	72319571
chr6	47180836
chr12	95336648
chr21	45469786
chr20	2264847
chr7	47734548
chr19	49640723
chr1	174812886
chr19	18678178
chr22	31055779
chr19	7391335
chr10	124093705
chr7	1713977
chr17	62617484
chr9	137382836
chr10	11640380
chr12	65741515
chr3	115790962
chr17	59756618
chr11	13140479
chr1	8212188
chr12	106357748
chr5	14728687
chr17	39864247
chr21	41610606
chr19	50496914
chr14	61553984
chr5	113203479
chr21	38356201
chr12	114657193
chr2	28392794
chr17	78399850
chr3	133742780
chr19	13164649
chr14	100476540
chr12	32437203
chr2	197516009
chr15	99565917
chr17	16940599
chr22	20777924
chr11	68844020
chr1	37596050
chr21	15210458
chr6	137353953
chr11	17013096
chr3	188036575
chr3	123194776
chr19	45658034
chr19	56955913
chr10	119120601
chr2	227821639
chr10	113074008
chr10	93702647
chr15	101070977
chr3	5016738
chr16	70437258
chr16	18801806
chr2	45273685
chr11	75768755
chr19	2543781
chr5	136053828
chr6	168301765
chr21	15211733
chr4	37663746
chr16	14545668
chr12	45990553
chr8	139842550
chr17	930536
chr11	6603644
chr14	31229860
chr7	95608898
chr17	59470018
chr18	58605581
chr11	111790317
chr6	131628288
chr7	158524444
chr2	189217728
chr1	86793187
chr19	3414004
chr14	94599362
chr17	1998161
chr7	98419104
chr17	17534093
chr2	101566870
chr16	46394808
chr10	96843165
chr1	8027518
chr11	111726528
chr21	34866149
chr20	35092875
chr2	235542328
chr10	21505999
chr7	46216135
chr12	2752823
chr1	234612740
chr16	30409642
chr20	50399218
chr2	202376268
chr4	139082939
chr11	93487307
chr20	1900516
chr3	107285420
chr17	44587529
chr20	9301950
chr21	43728630
chr3	50271666
chr17	58659191
chr8	144787379
chr5	1555482
chr19	935054
chr10	104253315
chr1	230159010
chr14	101226820
chr17	45371825
chr17	75873060
chr1	150410848
chr21	45365945
chr16	81452315
chr6	73580475
chr4	69832734
chr8	19438645
chr19	51690554
chr9	129064749
chr3	142578800
chr14	54138800
chr10	79068955
chr6	167683278
chr9	101421910
chr12	210485
chr2	8682111
chr2	236118116
chr2	235889094
chr16	68790428
chr8	134712704
chr6	30100781
chr5	124663263
chr7	149624855
chr2	72695046
chr2	7084069
chr6	35731963
chr6	30742943
chr6	30764424
chr19	2463177
chr6	35259554
chr1	163400142
chr19	2650640
chr17	75084307
chr22	23242624
chr11	117178766
chr16	3018309
chr19	2577116
chr2	1605896
chr6	32972214
chr2	9657307
chr22	25401126
chr6	26189097
chr6	43927268
chr1	154418437
chr12	110591729
chr8	143977201
chr17	7243109
chr17	15999675
chr19	17248079
chr9	128771996
chr6	20403475
chr7	13017552
chr3	191329301
chr12	53746764
chr15	53453773
chr20	51744735
chr12	53825452
