Chrom	position
chr6	112087820
chr12	9448164
chr2	231758646
chr11	74739846
chr12	124782307
chr6	35259591
chr2	197500010
chr17	4904485
chr4	77102327
chr17	77684645
chr4	17614462
chr12	107644429
chr4	38193115
chr10	78253828
chr22	17760727
chr1	211915136
chr17	65072906
chr3	49674065
chr10	79487472
chr4	26805301
chr15	75159483
chr12	104729490
chr3	16328719
chr12	106113465
chr8	100847481
chr5	149790809
chr10	70563077
chr7	2671161
chr2	88691710
chr10	46037256
chr10	22618708
chr6	109479338
chr6	129849626
chr15	68644327
chr3	119463664
chr4	118810644
chr1	46442708
chr10	90922085
chr13	21637420
chr17	9285228
chr4	88284982
chr9	114385337
chr12	2287737
chr6	99051993
chr9	122314585
chr20	6768157
chr22	39266526
chr1	11788502
chr21	41680967
chr6	27477528
chr15	89726308
chr17	76881600
chr9	96500038
chr1	151303872
chr11	36478513
chr17	6443961
chr10	75532796
chr5	132224429
chr5	150801490
chr12	110812179
chr12	114675337
chr5	76834710
chr11	62771405
chr16	3789183
chr10	31760020
chr9	99102927
chr20	51176007
chr2	29315609
chr1	156848070
chr5	35479350
chr3	32415096
chr17	15947776
chr1	89876352
chr4	56435872
chr19	45792224
chr17	2046197
chr5	79036728
chr5	78641177
chr17	82703321
chr8	96618801
chr2	97891826
chr14	68941325
chr21	43271324
chr16	66322894
chr1	165258105
chr4	120440945
chr15	74100240
chr7	20220136
chr14	69005679
chr3	141706992
chr16	49348011
chr8	133109287
chr19	53869227
chr9	86342166
chr1	44682111
chr3	133938774
chr1	3822534
chr15	74382472
chr22	37965844
chr1	226588729
chr1	235461321
chr11	16931277
chr3	72890309
chr16	56858830
chr17	3531180
chr5	96194353
chr17	45858189
chr1	55020680
chr4	147518993
chr6	158050269
chr2	42547093
chr11	46313237
chr6	7274012
chr2	222576683
chr1	52393267
chr16	4618771
chr20	12249794
chr14	64979906
chr12	95740940
chr9	74731901
chr10	73110526
chr8	124716636
chr6	7611522
chr3	27632619
chr6	10550845
chr19	19403627
chr9	109295479
chr9	74889898
chr2	217835471
chr17	38901597
chr7	47227981
chr1	205844628
chr1	46079450
chr6	57046550
chr17	65024658
chr2	59241657
chr8	52467270
chr2	39212126
chr9	98776012
chr15	34102036
chr12	110701438
chr10	96312783
chr1	206500052
chr10	97648787
chr1	206612440
chr15	51855340
chr3	13174123
chr1	207245317
chr15	52378884
chr6	13199012
chr8	46922353
chr1	204341369
chr10	101101365
chr17	16378190
chr9	99611188
chr10	100367008
chr1	200951445
chr4	40475814
chr11	63710762
chr18	23840095
chr4	38008504
chr3	123969732
chr10	100771225
chr9	130878806
chr3	123524269
chr11	110207338
chr3	123428795
chr16	19812994
chr3	10011164
chr21	38641923
chr11	114715966
chr1	10703556
chr12	121409629
chr5	113058420
chr4	3721930
chr7	23431751
chr15	62448059
chr2	231921655
chr14	99297174
chr1	78416708
chr1	11957607
chr9	134060953
chr12	125008047
chr9	134137108
chr2	61758144
chr15	63714058
chr11	120200277
chr4	3470348
chr14	93130163
chr6	157283616
chr9	134166295
chr9	71984474
chr5	115709607
chr17	71675008
chr4	6628180
chr7	24809582
chr2	208041007
chr1	212252519
chr15	57268193
chr9	98149335
chr17	10327714
chr12	108780578
chr1	11465381
chr3	129532958
chr19	55496651
chr15	58926108
chr1	112660622
chr4	8252828
chr1	28112720
chr11	100794475
chr15	60254461
chr9	3893796
chr10	103802822
chr12	107400394
chr2	210006243
chr19	45770435
chr15	74835540
chr1	116538577
chr16	77922966
chr10	45433967
chr1	24907018
chr3	42393741
chr15	78336182
chr5	31515483
chr17	39324200
chr9	94914826
chr5	51890651
chr10	118735503
chr5	72363333
chr22	27674212
chr3	185492677
chr16	86016691
chr5	73691552
chr3	62051560
chr15	77167010
chr5	33239838
chr12	1050526
chr1	47626216
chr22	46044247
chr7	135209495
chr10	67849419
chr9	33221538
chr19	13952104
chr16	87612055
chr15	89017859
chr16	83843248
chr16	87766105
chr5	172621913
chr12	22473692
chr18	41965563
chr14	24443126
chr3	150320088
chr19	3552976
chr20	5594245
chr11	69167573
chr11	76322439
chr12	5988825
chr1	24117417
chr5	10353249
chr20	53010199
chr2	157746684
chr6	146539258
chr5	171614482
chr6	137730010
chr10	48523270
chr2	69280881
chr9	123641861
chr1	23916697
chr22	20217290
chr13	74085767
chr20	53515174
chr15	88919076
chr8	97951521
chr11	69051068
chr9	7088026
chr5	37858820
chr5	37150815
chr6	37140355
chr11	74057440
chr13	98752925
chr10	32251813
chr2	108805982
chr5	76774690
chr2	48420850
chr22	21512316
chr1	2234611
chr17	736185
chr13	95260108
chr10	32372235
chr21	26155572
chr10	776696
chr6	31401837
chr11	2834825
chr9	116417443
chr10	114841085
chr7	140890729
chr12	27607538
chr4	168889778
chr10	21265680
chr10	32210859
chr5	128352716
chr17	10207502
chr4	82343531
chr14	21541892
chr3	15206016
chr13	98751539
chr6	125846516
chr17	12517625
chr5	137488441
chr6	17096051
chr3	14429725
chr10	99593544
chr17	43690250
chr10	95656513
chr12	122266578
chr5	126595178
chr17	8625434
chr1	30385184
chr8	142444567
chr5	61599037
chr7	92419317
chr3	125150931
chr3	43362518
chr17	8300869
chr19	3710594
chr9	129138377
chr19	3825765
chr10	92243403
chr6	52268885
chr13	98083927
chr12	124375290
chr10	47353832
chr2	197944301
chr20	48949986
chr12	115296186
chr16	88644105
chr1	92802165
chr4	76219541
chr1	202144742
chr17	44766365
chr14	101621510
chr10	92847781
chr9	122095573
chr7	112933758
chr14	105528466
chr13	98819154
chr2	21291303
chr16	86117461
chr9	120354404
chr1	29656628
chr19	7868539
chr16	23353944
chr12	12539067
chr3	122976287
chr20	62121943
chr12	8027149
chr10	29275361
chr16	83992744
chr5	33588896
chr19	38647351
chr18	59033646
chr17	50457980
chr8	38578202
chr1	205520342
chr3	12806426
chr6	30516371
chr10	29702477
chr12	117811454
chr1	205221606
chr15	37072362
chr19	7479138
chr16	23742005
chr5	34862723
chr6	31833139
chr7	102236809
chr1	22362631
chr6	31973791
chr10	99484147
chr16	81131847
chr17	65556524
chr16	83277416
chr4	44725395
chr3	46215390
chr5	53871331
chr2	205859630
chr4	73259201
chr11	34917929
chr1	210297587
chr18	6310028
chr13	113101914
chr10	26532056
chr2	150060639
chr3	13233186
chr7	106181094
chr12	117025630
chr1	22400707
chr1	206701977
chr11	10806233
chr13	93935891
chr20	61100725
chr1	23677335
chr6	143961097
chr12	117101300
chr3	46672535
chr2	202382893
chr12	124542290
chr12	7907210
chr2	240021665
chr11	57325068
chr5	73897426
chr4	145170179
chr8	143815882
chr20	8863517
chr20	9346132
chr6	38666735
chr11	44286441
chr2	233260370
chr10	70272935
chr1	235944276
chr13	46613641
chr4	173168642
chr11	128956081
chr6	37905333
chr1	41382758
chr1	41110103
chr9	109470924
chr14	68589599
chr16	57505393
chr10	75295052
chr4	181846811
chr17	45823224
chr18	3267133
chr1	234423022
chr1	26720600
chr9	72674632
chr19	18440643
chr4	139295920
chr10	77941995
chr1	235073547
chr10	6015498
chr7	156544456
chr11	43881669
chr7	135790952
chr16	67816818
chr3	32550740
chr13	33723318
chr14	24380811
chr2	85873849
chr9	84616327
chr10	72050638
chr10	71849117
chr14	58279963
chr10	70813716
chr2	85613639
chr2	48713126
chr19	15584817
chr17	59210013
chr5	78360273
chr7	74650781
chr3	37448039
chr13	43805402
chr20	10980150
chr2	231675119
chr1	16356834
chr14	61285956
chr20	54217921
chr13	39049349
chr19	17469347
chr17	58943713
chr17	2964964
chr14	64302551
chr9	84753373
chr7	151212318
chr10	73750918
chr2	42946971
chr17	2537735
chr6	37692125
chr3	69739362
chr2	233168723
chr1	25503831
chr6	148889125
chr7	150055224
chr13	27426109
chr14	74408994
chr2	235523269
chr9	123285904
chr20	20710976
chr10	12221975
chr5	980241
chr11	13000588
chr19	12696733
chr14	32166422
chr1	27555240
chr2	134372034
chr12	132415315
chr19	32972307
chr1	19047694
chr11	121112769
chr9	77186218
chr3	57966308
chr10	86386010
chr7	128863732
chr17	63600860
chr2	43774279
chr5	1524325
chr3	16483906
chr20	5312064
chr3	105964861
chr10	91299809
chr14	95253971
chr10	15345754
chr16	31068584
chr6	33831659
chr6	43185792
chr17	8079395
chr3	18146257
chr6	150866829
chr20	58210699
chr6	20708466
chr7	141655467
chr14	88667711
chr1	226954499
chr6	129724489
chr3	58048363
chr13	51297831
chr7	50963108
chr1	56573612
chr13	24267980
chr6	41967609
chr3	42117016
chr7	51212784
chr4	123545467
chr21	43955963
chr1	231528295
chr3	25790181
chr2	86319179
chr14	37141932
chr4	184069205
chr13	26132878
chr9	33143605
chr18	76625597
chr1	228780177
chr17	7402772
chr11	121465856
chr14	33650030
chr4	112075413
chr19	29811427
chr22	26372264
chr3	58519001
chr10	86316981
chr5	68271165
chr5	109953479
chr4	114613784
chr16	69394738
