Chrom	position
chr15	92809206
chr17	82458220
chr15	90165888
chr4	185396471
chr6	87155541
chr16	30065524
chr15	72226887
chr3	4987073
chr19	6601796
chr3	11642640
chr22	30424137
chr1	8878993
chr16	8661174
chr8	133375696
chr14	33938510
chr2	135985042
chr4	119300727
chr10	72261071
chr17	40312521
chr8	28365964
chr12	7970823
chr3	196082167
chr5	14036105
chr11	18394488
chr2	136246404
chr1	40161389
chr19	34359359
chr3	48557269
chr3	39152821
chr10	25062647
chr7	101218058
chr8	22598214
chr17	82231117
chr1	11930005
chr9	35657937
chr2	38077041
chr8	133216730
chr2	200713341
chr14	23301499
chr19	4379729
chr19	4968629
chr5	143246041
chr1	234612856
chr7	105012775
chr1	43946495
chr1	15952839
chr8	94441128
chr9	91193871
chr10	44982269
chr19	41368031
chr15	84915096
chr5	68434287
chr8	28412066
chr15	40098973
chr9	16247428
chr10	72297396
chr6	43668305
chr6	139375618
chr7	106285250
chr17	18183070
chr3	127591159
chr16	79169378
chr1	43058659
chr15	72230531
chr6	89081816
chr22	36250508
chr2	177263570
chr22	36328858
chr10	16986664
chr13	25301569
chr15	74615618
chr12	54432640
chr19	8362139
chr8	134832505
chr2	84946670
chr3	156817104
chr6	166958486
chr20	35617576
chr4	74654397
chr5	131635633
chr19	10333208
chr14	34060331
chr6	44076692
chr5	91280672
chr4	173369897
chr3	190566642
chr10	3467608
chr2	64643454
chr2	86441001
chr9	87372657
chr22	19002536
chr10	6201664
chr3	162709098
chr2	236863204
chr16	14364596
chr9	81588366
chr3	98593839
chr10	100346476
chr12	124423301
chr7	2640689
chr2	172556057
chr2	207394976
chr7	157405165
chr19	10749226
chr2	70142878
chr11	14520566
chr12	124938705
chr9	19161934
chr1	21238605
chr8	69644217
chr16	31094940
chr8	133320700
chr7	128455764
chr11	71299555
chr14	70046249
chr19	48875385
chr6	44073467
chr1	46522537
chr10	3047196
chr16	81568391
chr11	34105659
chr8	67825015
chr10	77505167
chr12	9798192
chr21	34888203
chr2	84905241
chr11	8384368
chr10	72273823
chr9	91795973
chr5	160434187
chr7	48085163
chr7	102363862
chr10	6299449
chr20	62875688
chr19	919521
chr11	57424921
chr11	65663039
chr2	42810639
chr5	373879
chr12	12725403
chr10	84172191
chr2	236875977
chr5	151081360
chr10	91633305
chr11	9759860
chr5	181191883
chr7	2354728
chr6	44011019
chr1	41496454
chr13	113274331
chr3	129656841
chr3	122384092
chr2	28409526
chr1	58755705
chr11	126163367
chr7	66921001
chr10	6279631
chr9	19163031
chr1	46332260
chr7	158864197
chr9	15422708
chr2	74778729
chr17	19977910
chr1	12478366
chr17	82003781
chr17	80892225
chr1	168752350
chr9	19127595
chr10	73096939
chr8	142699964
chr12	6868059
chr4	110484931
chr3	4417079
chr10	30704777
chr16	87790169
chr11	115941581
chr6	106731241
chr20	54983847
chr5	134004987
chr18	13726613
chr2	42924815
chr3	194135065
chr2	110101515
chr19	2087286
chr1	115179496
chr12	100633286
chr2	74740894
chr8	142393818
chr5	400044
chr10	29150172
chr12	120245300
chr5	177447894
chr17	82648481
chr6	44075352
chr22	30562620
