Chrom	position
chr6	157508455
chr10	112313742
chr10	77873917
chr22	20191291
chr11	88030863
chr5	50490645
chr17	32269634
chr16	25935114
chr7	3247221
chr10	45474313
chr10	1030601
chr1	196407764
chr6	75923920
chr7	36951504
chr17	46059897
chr8	41184861
chr9	83112314
chr1	83568464
chr9	74744821
chr20	10776188
chr21	17000302
chr20	57627050
chr17	67043907
chr8	37533006
chr4	57107139
chr6	155406951
chr7	127275913
chr15	61330716
chr7	129491941
chr2	168882879
chr2	235357898
chr1	117724479
chr1	62744932
chr14	103588555
chr19	8454919
chr15	83974907
chr10	76349163
chr16	77847254
chr20	19739600
chr1	47943990
chr4	23837625
chr11	105751820
chr3	157574264
chr6	129047019
chr15	60245934
chr7	109923317
chr2	113575828
chr17	72354266
chr9	127153219
chr7	107476980
chr8	37561035
chr15	83518529
chr1	29798676
chr17	17497989
chr14	65973834
chr5	92137849
chr6	18057264
chr1	59170639
chr7	52148349
chr16	30382405
chr10	122087391
chr2	149933890
chr8	101638886
chr1	201141671
chr7	123284051
chr10	115168009
chr2	218123114
chr1	162317295
chr17	55834587
chr8	40026904
chr19	46850808
chr2	218154793
chr16	15612351
chr11	44905795
chr2	150284058
chr6	15065933
chr10	89307600
chr4	189578674
chr17	63037906
chr1	59058389
chr4	188195477
chr1	118301694
chr3	194085843
chr15	62829897
chr5	143687555
chr8	37574406
chr1	8214930
chr14	22801648
chr9	101932415
chr6	135156529
chr6	37282868
chr9	101935134
chr4	75809743
chr7	51343523
chr4	163086247
chr6	133911556
chr7	135904001
chr8	103343551
chr11	62695666
chr12	83391976
chr9	127520493
chr12	21819891
chr11	12204495
chr20	51590828
chr1	53611680
chr3	133197619
chr6	3343966
chr12	19864678
chr15	47488469
chr15	27915803
chr3	79971990
chr14	38374228
chr5	61390012
chr1	55349985
chr6	154914346
chr4	14412309
chr20	15014737
chr5	134423793
chr6	168149646
chr8	126298383
chr10	29977207
chr3	86462956
chr11	123693510
chr1	79965445
chr1	30645984
chr5	143891088
chr10	8473641
chr13	97777837
chr9	7689565
