Chrom	position
chr18	362156
chr22	36367791
chr20	47299410
chr8	93031540
chr3	72356399
chr12	104607887
chr15	58495900
chr7	82440061
chr11	11990357
chr19	933442
chr5	94112087
chr13	31365863
chr20	30184045
chr8	138161406
chr17	30023433
chr3	3161480
chr3	147810762
chr13	42410175
chr5	149954923
chr20	32166541
chr8	49341330
chr20	30196350
chr13	63982814
chr8	123101658
chr5	148800240
chr1	153839025
chr22	32272552
chr3	64429681
chr12	32825094
chr18	500019
chr15	89687291
chr1	183811821
chr10	4415027
chr1	192458406
chr3	58000177
chr9	84764093
chr2	175652759
chr7	95634127
chr11	125805739
chr10	81243790
chr20	39526002
chr1	83982288
chr1	201531528
chr17	62318468
chr10	81182427
chr4	83539602
chr2	85442702
chr9	132754311
chr7	81949406
chr8	37679389
chr2	192365146
chr6	52150639
chr16	48537940
chr10	80202654
chr15	48825367
chr15	44677357
chr8	144120512
chr17	26149924
chr18	33958337
chr19	16189725
chr8	22255215
chr12	3214246
chr2	198225637
chr2	12746933
chr2	185557028
chr10	5918616
chr1	27645264
chr5	56712291
chr5	38317152
chr18	58174180
chr8	38266430
chr5	172751127
chr9	129784163
chr10	6281551
chr2	177904078
chr4	126872581
chr15	87869812
chr3	22492718
chr3	159573595
chr6	116589788
chr12	94280640
chr6	24505422
chr11	3177178
chr17	36945624
chr13	37603885
chr18	42941416
chr6	20876338
chr4	111231013
chr22	41789410
chr15	62705578
chr6	17704562
chr20	48669793
chr2	27301360
chr5	41793356
chr6	16345998
chr7	18252578
chr8	119125763
chr6	16337755
chr19	10056380
chr7	84755294
chr12	24187314
chr12	98896879
chr17	48250947
chr15	67481145
chr15	57520334
chr19	41880081
chr11	47026369
chr19	16360951
chr10	74560274
chr6	151651668
chr6	41457422
chr17	74669977
chr12	125230649
chr4	91985781
chr4	151097877
chr10	111723384
chr21	37485451
chr7	65611931
chr4	96754896
chr8	13373248
chr8	93072023
chr11	128106195
chr8	95177415
chr11	33329630
chr14	80199453
chr6	67962793
chr5	146160933
chr3	127997996
chr8	49502696
chr20	32150262
chr5	149980949
chr8	49495077
chr3	102163166
chr4	154652504
chr5	32490079
chr5	148786204
chr12	69809756
chr5	135329962
chr11	22513560
chr8	93831757
chr3	80381130
chr13	50649979
chr16	73206694
chr11	103408081
chr1	44302287
chr4	132695670
chr5	124042551
chr3	11228632
chr2	168537936
chr11	123008528
chr5	141180450
chr1	60158465
chr4	136160282
chr11	35551863
chr10	76681703
chr9	94770516
chr1	59523040
chr4	88822724
chr9	127984722
chr2	166230016
chr13	66167042
chr10	123899289
chr6	84812903
chr11	94666599
chr1	245846374
chr20	34031051
chr9	133723368
chr22	45154463
chr13	78839373
chr1	94582349
chr4	90633431
chr2	230596854
chr8	16764824
chr3	170340832
chr17	64545580
