Chrom	position
chr6	138231761
chr18	73626458
chr9	114981339
chr14	39456962
chr4	110907998
chr3	5265282
chr6	105983993
chr18	23684861
chr9	104767692
chr5	51860767
chr10	121573058
chr10	65891352
chr17	28941475
chr1	223518793
chr8	106583366
chr12	88552925
chr9	76799744
chr1	77998231
chr1	28748367
chr17	51588286
chr2	215207331
chr6	22521181
chr5	68544724
chr2	237861291
chr16	52725669
chr6	91506691
chr2	154901223
chr16	87418864
chr8	74281034
chr10	125633706
chr7	6268590
chr6	144893906
chr5	59535723
chr16	82152883
chr5	114702912
chr12	68614281
chr15	83930985
chr16	25049866
chr18	73531738
chr1	244719872
chr11	89557579
chr6	56899640
chr20	54149160
chr17	72614800
chr21	28550409
chr7	137642711
chr8	51054564
chr2	56230398
chr2	156781913
chr18	59055067
chr15	36970738
chr12	56894847
chr3	190045175
chr3	56626334
chr4	25731298
chr9	98807332
chr6	145886415
chr1	245401464
chr5	36244310
chr15	55694942
chr9	104091222
chr2	219399125
chr1	49347025
chr17	42914391
chr12	101476094
chr7	159012721
chr6	24961193
chr1	198657869
chr2	200786622
chr6	119156920
chr6	137838353
chr14	103033961
chr8	69025873
chr8	29386390
chr13	97290145
chr8	37886958
chr14	71659407
chr10	114780005
chr2	101822254
chr1	185697060
chr6	18405648
chr2	25700399
chr11	46736845
chr22	46743063
chr2	42056116
chr12	29929500
chr15	36797287
chr5	55188886
chr7	143974708
chr21	20569499
chr7	103593060
chr11	36638750
chr6	39059915
chr4	77146506
chr3	69172227
chr6	83194828
chr15	29853606
chr3	33482290
chr5	40366190
chr6	32412165
chr6	131099953
chr12	20421574
chr2	182079165
chr3	139117275
chr1	70588271
chr1	205610944
chr1	219959187
chr13	44221903
chr2	99160856
chr6	88797153
chr6	32965152
chr1	180126835
chr14	59500891
chr9	79573740
chr7	111751076
chr6	44730924
chr12	95103237
chr15	92856184
chr11	120525949
chr7	13949654
chr2	189226168
chr12	92136186
chr11	129014260
chr8	124192038
chr19	16719798
chr13	96926117
chr12	65630701
chr2	119548765
chr8	125273375
chr17	66296629
chr8	125648573
chr2	208015722
chr16	78184699
chr17	20937135
chr13	42416067
chr14	54333662
chr9	22088807
chr11	94632565
chr22	37943727
chr6	21694205
chr3	140957296
chr7	88227138
chr7	123782526
chr1	227406564
chr6	122803546
chr8	18080268
chr14	92720044
chr2	179677462
chr15	67148449
chr11	13952959
chr12	70553768
chr12	54028993
chr5	124274563
chr9	69152323
chr5	68202077
chr2	193273238
chr2	43634965
chr10	111916197
chr3	24628735
chr12	64600420
chr2	168278760
chr7	77798613
chr19	43352238
chr8	55721498
chr10	67259380
chr2	48733119
chr6	331209
chr22	24402810
chr1	25032477
chr6	118763088
chr5	32175007
chr13	73451619
chr2	45412812
chr12	26416659
chr2	79090869
chr1	198656729
chr1	219279644
chr3	181329193
chr7	96244878
chr8	60418298
chr14	25450512
chr22	50007290
chr7	101488853
chr3	190040297
chr15	57610265
chr2	4909679
chr2	173614473
chr1	94156324
chr17	57574308
chr14	89176238
chr8	85313039
