Chrom	position
chr7	47979711
chr21	15441305
chr16	1984179
chr5	49699
chr13	112689837
chr17	4493443
chr19	727304
chr2	200367346
chr8	141228663
chr3	45639214
chr7	123798225
chr6	8085228
chr18	70422306
chr8	52695452
chr1	155991285
chr7	4641990
chr22	20117469
chr5	150350681
chr20	44693170
chr17	7836869
chr1	156086409
chr1	64898350
chr2	27890387
chr3	194494468
chr3	44359329
chr7	117124805
chr6	131951511
chr16	15996853
chr18	33232207
chr1	234957536
chr22	39174989
chr17	82065918
chr12	54294368
chr19	13051770
chr6	75524546
chr19	980678
chr22	46762899
chr2	137964245
chr9	129414698
chr1	27607499
chr5	151126363
chr7	101391035
chr11	65418883
chr11	19508310
chr3	49158301
chr17	6470855
chr2	175036740
chr2	15733981
chr8	133216639
chr13	100392930
chr8	10799968
chr19	6738150
chr1	228452666
chr1	8668384
chr7	17408727
chr12	57001640
chr1	1239961
chr1	89605891
chr7	138000518
chr8	124476393
chr1	201170699
chr15	41930467
chr19	58558179
chr3	12405963
chr19	1205425
chr11	62771635
chr13	50245243
chr9	38195902
chr4	83255787
chr13	114281481
chr19	45717600
chr17	38871648
chr17	40549525
chr9	120730855
chr2	98413079
chr5	76806124
chr4	88162817
chr8	40054796
chr4	110198737
chr11	66438839
chr21	15210444
chr12	114799804
chr16	19793
chr19	17097778
chr4	53019987
chr9	34652192
chr19	10086667
chr5	150130155
chr2	15766536
chr8	13357541
chr8	274584
chr12	95073558
chr3	158725776
chr1	100130787
chr10	92892527
chr6	100948859
chr7	103660767
chr15	39363956
chr9	93109376
chr1	31574019
chr19	11401094
chr19	49210192
chr19	50791174
chr7	108246470
chr15	88466026
chr3	24451854
chr2	229922279
chr22	24525563
chr12	46430578
chr3	31288887
chr3	5138438
chr19	42433768
chr16	29291008
chr1	246696629
chr4	128518100
chr14	83816976
chr2	101125198
chr11	66834479
chr3	60841588
chr9	129146054
chr1	234975406
chr3	49166419
chr19	40750321
chr2	191867237
chr16	8860331
chr6	11055372
chr12	75978114
chr12	1813091
chr15	74546336
chr8	80030249
chr2	121581018
chr7	101688261
chr3	166830060
chr2	218568778
chr18	24076373
chr19	18193029
chr19	48596435
chr11	117072693
chr12	95318261
chr6	30695548
chr14	73796127
chr10	21525896
chr16	85291726
chr2	163349214
chr10	96677630
chr3	172130088
chr2	55109753
chr20	63707899
chr16	75245295
chr19	2783455
chr11	118998146
chr21	44012750
chr11	120710662
chr21	36210294
chr5	72955414
chr5	56211635
chr7	88227062
chr19	58476014
chr6	47111946
chr6	159727057
chr1	43389930
chr20	34390993
chr1	31938564
chr2	36381201
chr14	91149702
chr15	95760706
chr17	28370411
chr3	15859000
chr14	93036315
chr22	43263387
chr6	69796990
chr9	83885700
chr15	77067500
chr5	139709410
chr14	68469486
chr6	82247892
chr18	9870037
chr9	124386363
chr13	19619173
chr2	23674474
chr17	71085441
chr2	71883059
chr4	705368
chr2	20567737
chr13	112723088
chr8	133033496
chr17	56864183
chr2	71798491
chr11	46554332
chr12	89391050
chr11	124882524
chr3	123606062
chr7	17239893
chr19	4769729
chr10	95273597
chr3	122573250
chr3	119498522
chr14	73728928
chr20	45771310
chr4	123478966
chr9	101533890
chr6	31959272
chr10	110395993
chr22	49936233
chr1	19446072
chr5	147835552
chr21	46134688
chr12	42961569
chr5	2038769
chr4	88823246
chr7	7861442
chr22	45551418
chr1	58881724
chr12	9132344
chr7	77122398
chr10	44236997
chr15	63896918
chr5	134289701
chr6	28383416
chr19	44890856
chr19	4523462
chr10	104254621
chr1	246583684
chr10	100971422
chr7	48140243
chr6	36682428
chr9	122099463
chr10	121542914
chr5	1801415
chr10	14260406
chr12	95073076
chr14	51534776
chr10	33264409
chr16	30558428
chr16	16022154
chr1	61091751
chr19	1068291
chr17	27748278
chr9	114804679
chr3	177824266
chr4	74660037
chr2	187530205
chr18	11005773
chr18	23401712
chr2	27380464
chr19	18380350
chr9	96420660
chr5	93887154
chr4	111642211
chr9	128276315
chr1	19210396
chr15	73940704
chr2	47225553
chr11	17770202
chr6	143677954
chr5	78758318
chr5	81422833
chr7	94697509
chr19	12294811
chr19	11402337
chr11	43920996
chr18	79934849
chr12	124626433
chr21	38914837
chr22	38033017
chr6	24774803
chr19	35041154
chr7	159015679
chr19	8355807
chr7	99190854
chr2	71388356
chr3	124837867
chr9	33165861
chr8	9012213
chr3	72270189
chr5	55601458
chr19	38315753
chr19	40921264
chr14	76720492
chr15	70800200
chr15	70691059
chr21	43591878
chr16	10738958
chr22	26895008
chr19	1254743
chr19	47058923
chr15	71115352
chr22	28424952
chr7	140049391
chr1	55429279
chr22	42615358
chr2	72695070
chr3	114827678
chr7	74994104
chr11	130003183
chr7	73522482
chr2	126658093
chr20	41393033
chr20	62652237
chr20	50440836
chr7	17600525
chr3	143001515
chr2	169573850
chr17	78592321
chr12	122306605
chr6	142375515
chr8	58137096
chr9	129460482
chr16	56965057
chr12	51026292
chr2	162580135
chr1	44807322
chr12	46492686
chr3	171967392
chr20	25310494
chr6	139029745
chr12	119716739
chr2	203631281
chr3	195033620
chr8	30255091
chr8	117672225
chr12	62935255
chr13	33642932
chr13	97976299
chr12	67269295
chr4	76570517
chr17	1467966
chr9	122376592
chr12	124302828
chr16	89582232
chr12	68808822
chr5	133049839
chr20	11676747
chr20	48295593
chr13	93224749
chr12	47820933
chr2	120525495
chr2	175181811
chr12	123383734
chr2	152717471
chr9	107249403
chr1	228838616
chr19	10881550
chr7	105776234
chr8	9065948
chr2	206159770
chr9	128203070
chr19	38196541
chr2	205755069
chr1	18132268
chr12	124387702
chr9	128081226
chr8	61767350
chr2	48222115
chr9	133506693
chr16	89412917
chr19	17246590
chr17	350844
chr7	151495085
chr3	47475991
chr17	75091441
chr19	16493158
chr12	70243384
chr12	57522369
chr1	155911358
chr4	41132476
chr4	128350026
chr2	38148626
chr10	3095566
chr5	150616216
chr11	77459531
chr11	44243859
chr7	95608905
chr5	83577179
chr12	75990526
chr5	149551787
chr12	132085025
chr19	11344605
chr14	105581927
chr17	4811097
chr8	52629611
chr15	100715933
chr11	6390236
chr2	18299627
chr8	130302642
chr16	9127750
chr2	237888604
chr12	93785439
chr5	133424002
chr17	15273267
chr5	172355265
chr11	64306180
chr12	116529221
chr4	37648329
chr6	108689453
chr2	218449164
chr1	210374039
chr1	44775432
chr20	1813289
chr2	71950898
chr11	64894463
chr17	41777852
chr5	68239656
chr8	29561203
chr11	65551787
chr18	56651643
chr19	2169069
chr21	34522497
chr17	28744439
chr3	142850487
chr5	10551434
chr14	21104308
chr3	25582456
chr18	11925965
chr1	221961878
chr3	32045467
chr1	80882727
chr14	30355744
chr3	119677123
chr19	51690023
chr2	234880712
chr1	155179056
chr10	61067159
chr1	150876922
chr2	10302617
chr9	112030237
chr8	13276737
chr7	48085132
chr7	48088568
chr6	2876744
chr11	66971115
chr6	21111531
chr1	223707326
chr19	50416175
chr14	102873722
chr12	73384004
chr17	29155541
chr15	84981344
chr11	83008150
chr1	47478312
chr20	32437849
chr19	19634415
chr17	233542
chr12	106768159
chr2	197500070
chr9	137221823
chr3	4977711
chr9	81588428
chr11	67581716
chr2	200480182
chr1	94808272
chr8	119722197
chr10	70716021
chr2	20728291
chr22	35630082
chr22	37752743
chr1	65467740
chr22	37570574
chr11	74019443
chr19	39126056
chr1	200429396
chr2	11680539
chr2	10936412
chr2	204692052
chr19	38300968
chr8	85552029
chr17	58659166
chr9	136626852
chr5	132411123
chr10	70132949
chr10	46023397
chr2	3656819
chr4	151099551
chr11	68817697
chr20	1400103
chr1	31587884
chr9	87396282
chr6	169452489
chr9	137023279
chr2	260888
chr1	109896005
chr2	233974656
chr20	31610837
chr19	58586610
chr19	49678015
chr4	41346871
chr11	65638605
chr14	93959602
chr7	80883684
chr5	56123940
chr2	69781581
chr12	42790890
chr9	112033780
chr20	50434752
chr1	15524715
chr14	61553991
chr10	93702654
chr18	12598015
chr1	211675918
chr16	55503057
chr2	131669084
chr14	65334995
chr8	41151820
chr20	49583732
chr3	105962681
chr21	45319044
chr2	151261907
chr10	3748236
chr7	90245205
chr9	113274627
chr16	15591076
chr16	83814385
chr2	85772496
chr8	27459410
chr1	2272141
chr1	181112619
chr16	30699201
chr18	59516555
chr5	173824303
chr18	58224241
chr20	63682740
chr14	49770543
chr8	23547969
chr16	54176566
chr5	57693243
chr8	144078565
chr5	178357291
chr9	124144069
chr2	108449152
chr18	54767328
chr5	68419823
chr3	124552477
chr19	3339083
chr8	48526043
chr4	105141130
chr7	151745331
chr20	36384168
chr12	54892318
chr1	204623487
chr17	78365724
chr1	236168928
chr19	13013500
chr7	30795618
chr20	38196714
chr7	27735370
chr11	14258403
chr6	145734886
chr10	77849305
chr1	235068550
chr15	90874269
chr2	37103904
chr12	53825481
chr14	85471926
chr10	75192225
chr9	35749206
