Chrom	position
chr19	58816592
chr18	47013623
chr14	75469456
chr19	17530586
chr15	100106070
chr7	135347169
chr17	8054628
chr5	137800802
chr11	20408970
chr21	47604444
chr19	47852449
chr2	88927140
chr11	63993642
chr1	33938101
chr3	156892802
chr4	75023707
chr2	47403730
chr2	73964541
chr17	7143037
chr1	151254589
chr16	1832786
chr10	33247318
chr7	139437448
chr3	52029989
chr12	66524535
chr12	64798062
chr12	69139885
chr2	44001631
chr6	7910120
chr8	133773005
chr3	52188895
chr1	166845577
chr8	134230162
chr2	44105151
chr12	67663064
chr12	66696274
chr6	8102799
chr6	8064752
chr12	65066758
chr2	44589038
chr17	40471982
chr8	133787509
chr20	626336
chr20	1373829
chr6	6687611
chr6	4019016
chr6	3069200
chr2	46500593
chr6	3163184
chr6	3259177
chr3	53201183
chr1	160313081
chr6	3743438
chr12	76371071
chr17	38497578
chr1	160983689
chr12	74931553
chr1	161015793
chr1	161087859
chr12	69633289
chr3	52740129
chr12	72233461
chr12	72080256
chr1	161172145
chr17	38864102
chr1	161284159
chr1	161359610
chr1	161369125
chr6	10694868
chr17	39656569
chr1	161736312
chr12	69864126
chr17	40976323
chr3	50388310
chr3	51422535
chr6	17600521
chr20	2644850
chr17	42580520
chr8	127512356
chr12	56401192
chr20	2733567
chr3	49894043
chr1	174992622
chr12	56223426
chr3	49824043
chr6	16762509
chr17	42976801
chr12	54718885
chr12	56511997
chr12	54582814
chr20	3026607
chr17	43224758
chr6	18585597
chr12	54151077
chr2	39351535
chr20	3140543
chr17	43449218
chr3	49142270
chr12	53693452
chr8	125551342
chr12	56498128
chr20	2505221
chr6	10723345
chr3	50265034
chr12	62860534
chr6	11650706
chr20	1099147
chr3	50557083
chr12	58329971
chr1	159880342
chr2	43107345
chr20	1396864
chr6	13711855
chr2	43019496
chr3	50284277
chr12	57472666
chr20	2489803
chr3	50208322
chr3	50204335
chr12	56862950
chr3	50194200
chr12	56694201
chr20	2187967
chr12	56618083
chr12	56584020
chr1	173684010
chr12	56523196
chr1	173793673
chr6	3024252
chr1	158119574
chr2	46579081
chr1	154465959
chr2	55277776
chr17	29158898
chr17	29421967
chr17	29876715
chr17	29923874
chr17	30228755
chr12	106640234
chr17	30615811
chr12	106328205
chr17	30771466
chr17	30846713
chr5	176038525
chr8	143484658
chr3	65923087
chr12	105630109
chr12	105501487
chr12	105380031
chr2	54343053
chr2	54198184
chr1	154955679
chr17	33288569
chr12	104359664
chr12	104351028
chr12	104323900
chr1	155113025
chr8	142411825
chr17	29151744
chr8	144158311
chr5	177019150
chr12	110434123
chr8	144911611
chr12	111136548
chr17	27056005
chr17	27139485
chr5	171864613
chr12	110888147
chr8	144766610
chr17	27224756
chr12	110869634
chr2	58468561
chr1	151735498
chr12	110486383
chr12	110382944
chr2	55647043
chr1	151882193
chr5	172261177
chr17	27620137
chr1	152161778
chr17	27912366
chr5	172386430
chr5	172483293
chr5	172484236
chr8	144349579
chr2	55746727
chr17	28443812
chr5	173315269
chr5	176944013
chr8	142386522
chr2	242549699
chr6	693137
chr5	180288303
chr3	57678355
chr12	95397458
chr3	57541962
chr8	141522143
chr3	57261668
chr1	156630079
chr1	156631277
chr6	225347
chr1	156675890
chr17	36908895
chr2	47499484
chr17	37010067
chr3	57678901
chr12	93323304
chr1	156868217
chr8	141220210
chr6	1524282
chr17	37356284
chr12	89845944
chr12	89747996
chr2	47143210
chr12	53683914
chr2	46926093
chr6	2765525
chr17	37910807
chr17	36507702
chr8	141607350
chr1	155214564
chr12	98987394
chr1	155220636
chr3	61546511
chr8	142339673
chr8	142318430
chr12	102513938
chr17	33905654
chr5	177659834
chr17	34890156
chr1	155827032
chr1	155829209
chr2	241838031
chr1	155830335
chr17	34948257
chr1	156195403
chr1	155881234
chr12	98897819
chr12	98897210
chr12	98793507
chr3	58291952
chr1	155990751
chr2	241931370
chr2	48338608
chr2	48333882
chr1	156098784
chr12	96336735
chr1	156163829
chr12	53689296
chr17	44302804
chr6	20534788
chr2	24150018
chr17	58603587
chr2	24273234
chr6	36646305
chr8	95565736
chr2	24270316
chr3	39949737
chr1	205920462
chr12	10766219
chr6	36737929
chr17	58755144
chr6	36795514
chr6	36842644
chr6	36853640
chr6	36409375
chr3	39448137
chr8	94753028
chr12	9600807
chr6	37070674
chr8	93083925
chr6	37321751
chr12	8179339
chr1	207548514
chr8	92082446
chr12	7522154
chr12	7261795
chr20	19997981
chr2	24299330
chr20	18548024
chr3	38080681
chr20	17949623
chr6	33807840
chr12	22516507
chr1	203765507
chr2	26408126
chr1	203830694
chr17	55927423
chr6	34241202
chr6	34360513
chr6	34393892
chr8	98780814
chr6	34528497
chr2	26101486
chr8	97505833
chr12	12463162
chr17	57184182
chr8	97325035
chr6	35286123
chr6	35310273
chr17	57408907
chr12	12966267
chr12	12956337
chr1	205267780
chr17	57920307
chr20	18447521
chr12	12510004
chr6	36095506
chr12	7053167
chr12	6833161
chr3	49056036
chr6	43603529
chr6	42768428
chr3	30723641
chr6	42897233
chr12	1800109
chr12	1704096
chr6	42989294
chr17	65362723
chr17	65386920
chr6	43337550
chr20	23342466
chr8	77912352
chr6	43484690
chr3	27601547
chr6	42096373
chr17	66066977
chr3	27526132
chr17	66508553
chr3	25824501
chr6	44026307
chr3	25731033
chr17	67323442
chr1	217804416
chr6	44146049
chr6	44187336
chr6	44215242
chr1	218458637
chr6	42714886
chr1	212458564
chr2	21267845
chr1	210502596
chr12	6649888
chr12	6642818
chr17	61627746
chr12	6493239
chr20	21106616
chr12	6280932
chr17	62075765
chr17	62103288
chr1	209942988
chr1	209958034
chr1	210001234
chr8	86019459
chr17	62493250
chr2	20189900
chr3	33482123
chr17	62502455
chr1	211556125
chr12	3861639
chr17	62705269
chr17	62720540
chr3	32726693
chr17	62833267
chr6	41755356
chr6	41863237
chr6	41909699
chr1	212209007
chr6	33756966
chr6	33756081
chr2	26774346
chr12	49390655
chr6	26988019
chr17	46696088
chr6	27099528
chr12	49961909
chr1	183604863
chr12	49761189
chr6	27470546
chr8	119124167
chr12	49628437
chr2	32853097
chr6	27792659
chr1	184724056
