Chrom	position
chr16	53537402
chr17	39943151
chr19	6425262
chr19	11266611
chr19	46087627
chr19	55973286
chr14	104181894
chr17	21187883
chr19	19496413
chr22	41032789
chr19	4968731
chr6	31795174
chr7	77427861
chr12	56211680
chr1	150669833
chr12	58087768
chr12	57039902
chr17	79213010
chr9	34989550
chr5	150138278
chr1	21934484
chr3	194489992
chr15	89631533
chr16	89557164
chr16	30382277
chr7	106809294
chr1	35658825
chr2	63446467
chr17	47866520
chr11	66725978
chr5	151151285
chr6	132834324
chr19	54663655
chr17	74667884
chr17	61627621
chr15	70392097
chr9	128003871
chr9	129677021
chr20	3869898
chr14	53019456
chr2	232646066
chr8	144513052
chr17	4870717
chr1	21974504
chr5	81047009
chr4	603411
chr19	4402413
chr19	48972416
chr7	134331469
chr1	221915500
chr5	176778885
chr12	120639051
chr19	51161605
chr1	55241019
chr9	96928411
chr1	54872121
chr3	56501315
chr14	64854872
chr19	19779504
chr21	43884173
chr8	38243948
chr4	123653740
chr14	100913070
chr2	24346214
chr10	96162100
chr14	99947634
chr14	71276535
chr1	11322704
chr8	38854288
chr1	247171484
chr14	23938641
chr12	54718778
chr1	247267777
chr14	50087389
chr9	139780823
chr19	3971242
chr19	4066029
chr19	4153545
chr9	135448474
chr4	163085199
chr19	12979757
chr7	139875202
chr19	12444565
chr22	50639309
chr4	2263922
chr10	45474314
chr7	149570989
chr7	150521670
chr19	8427019
chr3	48229999
chr22	37997764
chr13	97874468
chr19	17414285
chr19	17728017
chr1	12079460
chr14	37130979
chr5	36725301
chr10	79789340
chr19	17580987
chr4	23891756
chr10	25463600
chr19	16882495
chr14	23790520
chr22	27054971
chr13	109615201
chr19	1652964
chr13	101327246
chr5	14145472
chr1	46955426
chr16	8964818
chr17	46125580
chr20	34330443
chr1	40157197
chr11	75526145
chr16	3054032
chr7	1808655
chr2	62081735
chr20	62466466
chr16	9185303
chr10	124913809
chr16	28962200
chr16	46865449
chr11	66313560
chr11	58826000
chr16	67969716
chr16	74700974
chr7	66461590
chr1	8763688
chr17	44302827
chr17	43697623
chr17	43394625
chr16	84314863
chr11	44921699
chr9	94496861
chr9	92277086
chr11	32197978
chr19	49087636
chr5	134361090
chr9	131798696
chr2	219824270
chr1	155057909
chr16	420599
chr12	121837832
chr1	150208593
chr1	205196982
chr11	133804797
chr1	43148006
chr11	111990705
chr19	36139089
chr7	72299030
chr17	80477501
chr8	62627248
chr20	39765547
chr5	150460647
chr19	33166164
chr15	90895405
chr3	100211354
chr11	119066569
chr19	12273740
chr19	13273830
chr12	27676984
chr19	46180753
chr11	125932910
chr5	137090416
chr11	58668378
chr19	18175738
chr19	46532385
chr19	21264898
chr12	41086158
chr19	21752150
chr12	95611407
chr19	11849868
chr12	12870295
chr19	23578402
chr19	11750545
chr3	25706463
chr2	96874650
chr12	112563251
chr11	18001538
chr12	117593323
chr2	120301722
chr3	127842740
chr19	36239406
chr1	87794107
chr19	17970626
chr19	18392530
chr3	111697697
chr12	54090217
chr11	77705958
chr8	71314447
chr19	40284017
chr5	139726484
chr12	54391817
chr3	52254697
chr5	159546624
chr12	50101457
chr1	94993133
chr3	120626779
chr12	56223470
chr11	67798095
chr12	56367659
chr4	141686187
chr11	67275739
chr19	37742679
chr19	14530228
chr8	28560787
chr11	62599268
chr19	45256760
chr19	45409847
chr2	102500567
chr11	117014981
chr12	798875
chr14	89882562
chr12	121907533
chr12	133263982
chr7	64363539
chr16	3030026
chr16	2273501
chr16	1728204
chr20	36998208
chr6	170747734
chr7	72936718
chr17	73150720
chr5	60704721
chr7	75924135
chr15	69452839
chr15	64673788
chr17	79196874
chr17	79369121
chr15	52138840
chr20	56596750
chr18	158370
chr15	45571493
chr9	127420657
chr15	44487582
chr15	43213126
chr20	58569877
chr20	62727007
chr17	61699504
chr6	27219713
chr16	10838015
chr16	84619632
chr17	25856348
chr6	35656829
chr9	131940636
chr7	23053769
chr17	14204332
chr17	36908927
chr7	12727117
chr16	87526775
chr7	28446000
chr16	85061335
chr16	75498640
chr16	11439242
chr17	45177724
chr16	67927025
chr16	66914365
chr16	58163555
chr7	6867005
chr7	38217732
chr16	53469447
chr4	186130653
chr16	25122974
chr16	22682091
chr6	159527941
chr1	21636959
chr7	97736138
chr19	3494270
chr11	11643623
chr14	23340923
chr19	797237
chr14	21777009
chr13	107188135
chr22	36784340
chr22	37582487
chr7	131769840
chr19	3094324
chr22	39101606
chr19	3700700
