Chrom	position
chr7	138364687
chr1	180565194
chr11	72167742
chr3	59285386
chr10	27617969
chr4	41754287
chr4	180854358
chr6	86925177
chr11	37019397
chr12	45611074
chr5	146289510
chr3	75662377
chr21	17366323
chr13	54888953
chr3	103624043
chr7	11699273
chr9	12863902
chr9	10965848
chr11	32247345
chr14	68631577
chr5	120720335
chr13	107721656
chr5	59435976
chr2	215896978
chr12	39284018
chr4	170167816
chr13	93545421
chr3	28803017
chr9	84284972
chr3	84879242
chr2	114268484
chr8	10375026
chr6	43909902
chr19	33523971
chr11	12844501
chr6	157949956
chr20	47250009
chr2	224150798
chr1	79961916
chr4	186832878
chr16	17026314
chr3	29396759
chr4	142100911
chr1	48314866
chr13	22078641
chr8	81664412
chr4	66281387
chr6	162842200
chr2	188722793
chr9	93092767
chr7	6915075
chr11	129944859
chr13	91488152
chr8	95863974
chr9	20032421
chr15	46535296
chr9	130528213
chr7	85035885
chr13	97963221
chr9	97777467
chr11	20033285
chr7	2373358
chr3	59696448
chr8	117464681
chr1	225850015
chr12	84471639
chr5	115175238
chr8	12572075
chr16	52434888
chr13	36360312
chr11	71597002
chr3	101889138
chr18	41825162
chr2	136870733
chr6	92343696
chr3	8692728
chr4	161939237
chr1	187856771
chr7	7100868
chr17	43034912
chr2	82953027
chr12	85348802
chr7	94051607
chr2	71269658
chr3	138981090
chr7	125386780
chr5	116060989
chr1	10758384
chr12	89847117
chr9	25454098
chr11	100590825
chr2	201294998
chr1	50569382
chr18	72395769
chr11	21638124
chr3	53705608
chr5	66658116
chr17	51205586
chr10	1991535
chr20	58006209
chr14	101250422
chr3	38643705
chr7	126599877
chr4	86562141
chr1	238544128
chr22	44970902
chr4	66912866
chr13	82166408
chr9	14194667
chr11	111202956
chr12	31007859
chr2	200294664
chr3	83212917
chr9	83843263
chr4	136651037
chr11	43850534
chr1	88661779
chr3	83137881
chr8	130510861
chr8	54923234
chr7	20330821
chr12	28705002
chr12	125351283
chr4	1579475
chr3	173463209
chr4	167580436
chr9	123978122
chr2	143967613
chr5	56168374
chr2	197733702
chr10	9396469
chr2	33863130
chr18	60855873
chr13	92458668
chr17	48733444
chr2	241761841
chr14	106872817
chr9	83747120
chr2	99457742
chr2	241558003
chr18	33620123
chr5	84141550
chr4	36644857
chr14	28687938
chr4	33827496
chr2	200360810
chr4	167536275
chr3	151054792
chr4	100507548
chr8	29906866
chr16	30159410
chr2	165664246
chr11	117377886
chr4	114554697
chr1	180398868
chr19	29504750
chr15	25376031
chr3	82342011
chr5	163780451
chr8	130990488
chr12	123420670
