Chrom	position
chr18	109273
chr3	13304266
chr7	43804646
chr19	11379705
chr6	151357516
chr22	46924142
chr7	43022405
chr12	24222971
chr2	89006692
chr3	58045390
chr1	56880588
chr17	19453389
chr9	110014403
chr1	116718967
chr1	211840645
chr8	145653917
chr3	150483900
chr16	29626282
chr12	24231415
chr9	73056707
chr9	99192131
chr5	156718465
chr3	15212805
chr19	42937851
chr7	37148812
chr12	106676523
chr6	24341566
chr4	186572571
chr6	131184793
chr15	42431312
chr9	132586480
chr7	66248005
chr9	8961307
chr6	143267603
chr13	110747125
chr16	81801922
chr7	98048409
chr9	6955434
chr1	6015616
chr2	28098425
chr10	101155719
chr5	56946340
chr3	191480295
chr20	13399516
chr1	243792076
chr11	120938266
chr2	239358733
chr2	170573940
chr22	29320049
chr2	163439141
chr3	16101997
chr4	84282853
chr1	19946452
chr5	95322871
chr22	43196897
chr11	121802816
chr10	33797042
chr1	159940892
chr21	40290948
chr15	54125634
chr6	52999773
chr8	134502066
chr6	167811904
chr19	19208048
chr5	135394333
chr5	138106810
chr3	13041065
chr11	72770221
chr1	167786581
chr6	168076900
chr19	45310535
chr13	32717172
chr20	47625785
chr1	231977884
chr8	58721364
chr7	74408273
chr12	94624388
chr3	185815612
chr5	151073781
chr3	170143708
chr1	234738594
chr22	18269625
chr2	228509016
chr12	3213938
chr20	37214258
chr15	85150077
chr6	137582667
chr4	152246931
chr7	72739688
chr5	133635574
chr15	36799122
chr1	57745964
chr9	4833284
chr21	16886803
chr2	129136766
chr9	127329790
chr10	77190139
chr3	139429246
chr3	30638838
chr3	80667652
chr6	132189004
chr1	101754204
chr15	93347374
chr11	12846011
chr20	46542005
chr21	16584003
chr12	102453323
chr11	69257696
chr6	110876357
chr6	35383229
chr19	45957021
chr10	28654849
chr19	45115332
chr7	116446175
chr19	1897677
chr10	7742711
chr11	47140720
chr4	37649791
chr3	161138674
chr6	151979345
chr4	74871333
chr2	109449824
chr11	116943433
chr20	23860854
chr1	247242882
chr9	103227730
chr8	80875877
chr1	52503286
chr15	60666928
chr1	25785590
chr15	65533132
chr22	31617883
chr3	20895583
chr8	128231208
chr15	59846310
chr11	58530303
chr9	130877595
chr10	116249428
chr1	53626742
chr9	85198600
chr9	15422658
chr6	147302158
chr8	124417925
chr4	69524559
chr3	39359229
chr2	242357225
chr11	73664563
chr8	9487720
chr11	76964069
chr3	148956264
chr11	77342259
chr8	9504763
chr11	77170565
chr11	77491201
chr6	2659127
chr8	9279107
chr11	77415287
chr11	110176594
chr4	47752108
chr11	77495812
chr11	76954505
chr11	111140449
chr8	17465879
chr17	71274480
chr11	76772423
chr11	73777903
chr11	76747623
chr22	38796477
chr8	17488090
chr17	63624593
chr8	17519348
chr17	63781413
chr17	71197541
chr11	77505235
chr11	104874918
chr6	5713946
chr8	17195646
chr11	111432878
chr8	17208813
chr8	19315913
chr11	78002171
chr4	54325918
chr11	77897077
chr4	54363814
chr11	77867739
chr11	77862000
chr11	77797837
chr8	8286990
chr17	71148303
chr6	2765678
chr11	111293869
chr8	17364327
chr2	241566421
chr17	62396224
chr11	77739707
chr17	71183667
chr8	19302723
chr8	17422250
chr17	64225743
chr11	76650363
chr3	146902710
chr11	104922498
chr8	18827258
chr11	107256495
chr17	73075941
chr8	17949728
chr11	75034873
chr11	74925602
chr17	72667553
chr11	74879756
chr2	238458494
chr11	74867220
chr4	48045210
chr8	19122126
chr3	146344577
chr6	1589606
chr6	7029447
chr6	1541264
chr11	74444992
chr11	107366941
chr11	108104523
chr4	48040887
chr17	62929190
chr11	74304699
chr2	238224704
chr17	62915635
chr17	62690529
chr17	72968227
chr8	19041757
chr11	75063430
chr11	75083509
chr3	148966090
chr17	63512237
chr11	110216696
chr4	54448489
chr11	76600659
chr8	17624044
chr6	6947684
chr3	146373292
chr17	71336366
chr17	71338457
chr17	71356330
chr11	76238086
chr2	238523015
chr8	9807586
chr11	76002783
chr8	8798366
chr22	40984923
chr11	110190390
chr22	41040816
chr17	71792104
chr11	75523788
chr17	72189288
chr17	72199745
chr22	41107723
chr11	75235062
chr11	75207545
chr8	8835603
chr8	17820565
chr8	9689468
chr11	80305250
chr8	17188412
chr2	239426967
chr11	90455887
chr17	67047340
chr11	90020002
chr11	89458924
chr17	67069186
chr3	148171757
chr17	67172047
chr8	11576384
chr6	4648018
chr4	48733134
chr17	67220160
chr11	88071648
chr11	87784690
chr22	39574093
chr22	39626429
chr8	11486396
chr2	239366198
chr11	86880127
chr17	67892991
chr8	13092774
chr22	39151551
chr11	97611025
chr22	39150084
chr2	241037948
chr4	53235282
chr17	65635950
chr6	5059819
chr11	100699167
chr11	101035868
chr6	4337487
chr11	91128376
chr11	101335307
chr6	3504797
chr11	95107907
chr11	95098004
chr11	94883056
chr11	94250096
chr17	66387899
chr3	148736192
chr8	11801339
chr11	93849800
chr2	240367152
chr11	93555008
chr11	93503475
chr17	66262166
chr6	4103076
chr8	12451099
chr2	239971307
chr4	52775561
chr11	93304132
chr22	39220714
chr2	239777851
chr11	95865778
chr3	148430225
chr2	239683954
chr8	12615159
chr2	240737574
chr6	3613087
chr8	12834399
chr11	92603090
chr2	239438111
chr3	148427564
chr3	147980971
chr17	69678088
chr11	78287755
chr6	3126836
chr4	53922384
chr4	53935117
chr11	83531223
chr11	83220046
chr17	70576799
chr3	147428748
chr11	82969066
chr11	101990937
chr22	39894990
chr11	82736463
chr8	16907167
chr11	82719139
chr22	39941980
chr6	2926263
chr22	40337833
chr11	102028108
chr11	102057754
chr11	82521589
chr17	70712507
chr6	2909626
chr11	80306264
chr6	5205457
chr17	64920171
chr6	5206305
chr11	102109230
chr4	48800348
chr3	147086698
chr11	78658195
chr3	148939871
chr11	84425499
chr8	16432866
chr22	39143897
chr8	15352176
chr22	39654243
chr8	13134210
chr11	86635249
chr11	86321851
chr22	39679711
chr2	239194589
chr11	86235373
chr11	73460357
chr22	39699500
chr11	85871759
chr6	5068662
chr11	101783765
chr11	101845119
chr11	85835445
chr11	101865094
chr2	238988633
chr6	5115590
chr17	65243272
chr11	101956784
chr11	85681948
chr8	10847864
chr4	53801685
chr2	241133912
chr8	13306845
chr11	101982426
chr6	5190929
chr11	85638036
chr11	101986466
chr2	238914370
chr8	13215062
chr9	141146448
chr8	19483753
chr5	173191670
chr11	62248233
chr8	28595145
chr5	173193617
chr22	43500179
chr11	62366751
chr8	28524590
chr22	43474701
chr8	28479890
chr22	43443816
chr8	28259619
chr22	43414743
chr22	43412358
chr5	173279109
chr8	28198825
chr2	235338126
chr17	79369195
chr2	234890688
chr22	43391291
chr8	28805819
chr17	79925937
chr8	29596218
chr2	234369640
chr5	172899419
chr2	234654261
chr11	61764621
chr11	61766710
chr11	61769410
chr11	61778599
chr2	234665597
chr11	61793165
chr3	141947996
chr17	79694601
chr8	29039796
chr11	62027947
chr11	62780127
chr8	28022977
chr4	54951621
chr11	63775443
chr17	78098282
chr4	68018883
chr4	67880543
chr5	174895201
chr8	27532870
chr22	43336412
chr8	27488747
chr4	66882103
chr4	66864615
chr22	43310016
chr4	66862800
chr22	43263908
chr17	77879828
chr2	235679604
chr11	64860605
chr5	173396683
chr11	63687034
chr5	173346638
chr11	63639701
chr17	78733283
