Chrom	position
chr12	57463394
chr2	118572048
chr6	43691687
chr19	36618729
chr5	179742850
chr10	106051272
chr1	115655582
chr1	93297470
chr12	121084886
chr19	47747639
chr10	70997457
chr5	150827006
chr19	12675044
chr11	47429706
chr3	50580003
chr14	77561184
chr6	12370013
chr10	129809798
chr19	14159553
chr14	23341889
chr3	126241245
chr15	45722573
chr6	53036789
chr11	250811
chr16	89927445
chr11	72504840
chr2	143792045
chr3	185661445
chr14	102783339
chr9	71199484
chr5	145826635
chr15	75242863
chr17	79075682
chr10	35415794
chr1	27424046
chr19	17393575
chr20	43767600
chr16	31153812
chr14	105363148
chr19	3987892
chr6	32836096
chr14	21945271
chr1	179339089
chr17	37886786
chr2	114148063
chr17	55038506
chr3	39333535
chr1	155220593
chr11	66176034
chr6	110026506
chr16	71916458
chr6	13615469
chr12	120639053
chr2	109253030
chr1	153505780
chr2	113357735
chr2	109744591
chr1	153483556
chr19	1001863
chr8	62008873
chr1	153467604
chr8	62051666
chr14	71347873
chr2	110267880
chr2	113033028
chr14	71373904
chr14	71340378
chr6	16331753
chr6	16410093
chr2	111569482
chr19	1194721
chr1	153919273
chr14	71284589
chr7	41744917
chr11	13260652
chr19	1240494
chr5	98396240
chr1	153722075
chr16	30825781
chr11	113176645
chr2	113017162
chr6	3849552
chr14	72219990
chr3	126398327
chr11	14271221
chr3	128327370
chr3	128336679
chr3	128399689
chr7	43622467
chr19	1853496
chr1	155034164
chr6	15248323
chr19	1897771
chr11	111436023
chr16	30124231
chr1	155145842
chr9	21195275
chr9	21111127
chr19	1946076
chr2	103232523
chr14	75599278
chr5	99959611
chr5	100042709
chr2	103089549
chr6	14711498
chr19	2051344
chr3	128514073
chr16	30420935
chr19	1767656
chr11	111984322
chr1	154452462
chr6	16206991
chr7	41982825
chr1	154244846
chr16	30661938
chr9	26744551
chr1	154307740
chr19	1438297
chr11	112426661
chr11	13689889
chr8	62623738
chr9	22452654
chr9	21813154
chr2	106721051
chr8	62641997
chr11	112151509
chr1	154733128
chr3	127550911
chr14	74195602
chr10	17299880
chr14	74292509
chr1	154934243
chr7	43301048
chr19	917826
chr2	114361748
chr14	70119815
chr11	118359428
chr9	33264910
chr11	118798934
chr8	59521348
chr2	128173664
chr11	10676072
chr7	38972349
chr2	127535164
chr11	10757539
chr1	150141402
chr3	112453742
chr11	118436827
chr14	65007129
chr4	83383676
chr11	118161867
chr3	112770200
chr11	10814191
chr9	32968598
chr14	65138400
chr11	118016180
chr18	77139145
chr1	150532596
chr6	20529652
chr10	21784726
chr11	117817799
chr6	21589673
chr1	147843790
chr11	10646117
chr7	127775793
chr11	119067794
chr7	38375350
chr7	38394039
chr9	33813851
chr14	60798746
chr4	86669273
chr10	23278014
chr1	147099515
chr11	118965703
chr11	10562864
chr18	74712564
chr1	147113987
chr18	74767065
chr14	61942146
chr11	118901725
chr18	74771691
chr7	38700322
chr2	128991287
chr3	111387932
chr18	74774139
chr16	48190843
chr10	22839826
chr1	147365056
chr9	32579915
chr11	117714878
chr4	84561283
chr4	84181926
chr11	116147479
chr16	31870862
chr19	495834
chr11	12069088
chr4	83934268
chr16	31454518
chr1	151906614
chr10	20108473
chr1	152007202
chr3	122398173
chr19	665028
chr3	122473871
chr19	680454
chr14	69330094
chr16	30043759
chr14	69378460
chr14	69408673
chr6	17707261
chr2	113956888
chr2	113896120
chr2	113837814
chr16	30953452
chr11	114310204
chr3	121820614
chr8	61573220
chr16	47175748
chr19	246913
chr7	127660407
chr6	20292112
chr3	115533840
chr7	40174558
chr16	46963825
chr1	150785797
chr11	117297053
chr7	40272349
chr1	150968588
chr2	121101106
chr14	67826809
chr2	121070921
chr2	120963961
chr2	120932793
chr11	117103205
chr2	120460581
chr11	116976890
chr14	68051022
chr1	151313531
chr11	116750715
chr2	119613429
chr14	68303926
chr1	155293243
chr14	76120654
chr4	81123476
chr6	6495127
chr19	6048997
chr19	6057231
chr14	92573195
chr9	7570281
chr19	6125737
chr4	75094607
chr8	71001019
chr14	92923234
chr14	93079607
chr1	161536117
chr3	141457075
chr14	93147606
chr14	93153391
chr16	22207319
chr2	75147044
chr11	18786014
chr1	162025956
chr11	96160151
chr19	6280326
chr4	74964925
chr8	71446878
chr5	108745998
chr7	50245116
chr19	6022521
chr1	161179775
chr19	6425080
chr3	140950540
chr19	4872771
chr19	4911987
chr14	90381824
chr3	138313606
chr1	160960282
chr3	138328389
chr19	4976653
chr10	11514356
chr1	161011397
chr14	90866025
chr16	24022023
chr5	106907925
chr19	5170609
