Chrom	position
chr11	65626979
chr19	13262693
chr12	6873531
chr19	12904455
chr14	74227062
chr4	88480886
chr2	17699739
chr14	75761012
chr16	4666374
chr14	20801531
chr7	5570299
chr15	96873852
chr12	31479260
chr1	150552174
chr8	22551060
chr19	46220722
chr2	86669965
chr19	13906006
chr3	187334254
chr17	43394649
chr10	75757628
chr17	77784064
chr3	143690290
chr7	92214489
chr12	109085485
chr5	60627996
chr10	112257598
chr3	12883335
chr19	1026511
chr19	45970987
chr12	15101910
chr19	50169127
chr13	40190441
chr22	36851298
chr6	150326464
chr19	16296033
chr11	44884038
chr1	150135550
chr19	57901077
chr19	12900774
chr12	52445140
chr19	40926905
chr2	73520794
chr3	130810797
chr1	183603032
chr4	10118529
chr11	60532608
chr5	137827851
chr17	56415589
chr19	45594924
chr8	22552935
chr6	158402582
chr19	8454828
chr10	16859483
chr5	176852961
chr1	206859337
chr15	52554239
chr5	157375956
chr6	30240002
chr19	54372678
chr7	5569435
chr1	11967945
chr1	41414789
chr5	78810474
chr3	99595072
chr12	833796
chr1	86042728
chr12	91247991
chr19	39174383
chr5	133450245
chr2	106015550
chr16	16296474
chr2	68979065
chr2	24299380
chr6	43138983
chr1	100274447
chr11	46722253
chr11	76758811
chr10	22013893
chr17	79479899
chr8	125462543
chr22	31480948
chr9	3162111
chr4	100998096
chr7	157100742
chr1	112933542
chr8	102016032
chr7	4784843
chr1	44229244
chr1	85742502
chr10	6186837
chr12	50616504
chr19	16189814
chr2	74060274
chr21	34753103
chr4	95373995
chr3	139174885
chr11	9587686
chr2	187440170
chr1	203259814
chr19	57874613
chr19	3968854
chr14	34801585
chr19	19472034
chr9	33165938
chr16	14724199
chr1	151512185
chr5	137800801
chr14	75745236
chr20	32142925
chr2	30889567
chr11	65479420
chr6	33029957
chr2	55361214
chr2	69135713
chr17	48726726
chr7	127292051
chr1	233857212
chr4	40240669
chr9	79249458
chr11	95976532
chr16	75599155
chr8	103918633
chr3	186830938
chr10	49574495
chr3	101405593
chr1	40505678
chr1	11994632
chr6	131949470
chr17	41838004
chr17	16189490
chr11	94809905
chr1	39492451
chr10	71173257
chr22	36725657
chr2	207024582
chr17	57915109
chr5	126059512
chr6	2989829
chr8	140732590
chr8	143696911
chr19	16187116
chr21	46574795
chr12	6772369
chr2	153046700
chr17	4850539
chr3	187988380
chr2	118572134
chr3	171180228
chr2	21645096
chr6	138170681
chr1	152434216
chr7	143078335
chr2	191142501
chr16	84566082
chr14	65148665
chr19	52185021
chr20	49116067
chr3	169482173
chr19	39322575
chr16	30645638
chr6	35995480
chr19	42829605
chr6	139350814
chr2	7165432
chr17	41132163
chr8	105716682
chr22	36727663
chr19	5271317
chr2	28615358
chr3	9834471
chr10	73291491
chr1	205345549
chr5	149555309
chr12	95112070
chr8	42270521
chr12	12038272
chr14	64912391
chr2	114648658
chr5	95298016
chr12	82752269
chr2	101179259
chr13	42614575
chr15	97058271
chr15	91191981
chr7	5596060
chr6	126240312
chr14	105493660
chr19	42082415
chr16	50758467
chr19	32897043
chr10	75726021
chr11	111849315
chr1	23866537
chr7	23634798
chr11	6628429
chr1	173684054
chr1	90013541
chr12	27332975
chr4	15679459
chr16	30382323
chr11	65477417
chr2	37801355
chr17	79481966
chr19	39903058
chr12	6477524
chr3	118977056
chr2	29532146
chr8	67687368
chr4	149573443
chr11	65668113
chr1	9971195
chr19	45943238
chr18	61035067
chr2	183760100
chr15	56538400
chr2	114361805
chr2	196933228
chr13	36287646
chr20	46020896
chr7	44921347
chr3	149376386
chr1	91487918
chr7	44937856
chr17	30771311
chr3	189343505
chr12	50678333
chr5	102455984
chr19	50248263
chr10	99115666
chr1	948788
chr16	48200086
chr15	90118595
chr17	44272585
chr1	47082651
chr10	121447630
chr2	208030987
chr18	43647655
chr17	47269993
chr1	235531008
chr7	5571648
chr17	40672266
chr5	67730270
chr16	18603424
chr1	206785851
chr22	41260219
chr12	95611386
chr10	100248989
chr8	82147695
chr5	92918839
chr11	100747776
chr10	6130831
chr21	37692418
chr16	30670035
chr9	102582245
chr10	64576190
chr8	144614434
chr1	26034767
