Chrom	position
chr10	12164744
chr8	81395103
chr17	7036249
chr1	10753566
chr8	23193597
chr10	18948099
chr1	2126730
chr3	5048615
chr5	132578188
chr16	46422593
chr2	86221287
chr6	132006756
chr8	142416404
chrUn_gl000220	129313
chr5	78525570
chr18	36520913
chr17	60730893
chr2	192613505
chr1	236116492
chr10	3090726
chr9	78790155
chr19	7884366
chr16	18937991
chr3	128336736
chr1	200417584
chr14	74227143
chr17	6918737
chr17	41656261
chr10	120949568
chr16	33874073
chr3	72772650
chr10	15033551
chr7	5622427
chr1	25251794
chr2	106724101
chr4	185745795
chr15	89438836
chr16	73323288
chr9	134001022
chr19	36616694
chr1	144339833
chr14	107108727
chr4	40765408
chr1	179679256
chr3	172310193
chr12	122220322
chr4	166966800
chr3	196625709
chr19	1180609
chr19	47123153
chr1	183287720
chr17	36956243
chr12	12966415
chr13	39398621
chr21	39004082
chr9	76892653
chr6	155492613
chr1	44035056
chr14	77428300
chr19	41814560
chr5	1485344
chr2	181824682
chr17	76534363
chr1	154277547
chr1	41953267
chr10	61641138
chr1	569409
chr11	107735001
chr21	26859756
chr5	158606290
chr1	565320
chr19	6675099
chr12	56018077
chr5	143569532
chr3	119416461
chr17	34207455
chr11	6224863
chr1	42483126
chr12	125919729
chr13	45780659
chr1	182648315
chr3	5020429
chr11	118314417
chr19	45225676
chr2	10764061
chr9	100860288
chr21	44772797
chr1	72899484
chr15	68374674
chr13	46275826
chr12	132690268
chr3	192611017
chr22	41697454
chr22	32936364
chr8	72763938
chr17	2615198
chr8	97056740
chr22	39651114
chr12	31835276
chr9	21832210
chr10	135088618
chr11	74479464
chr7	116988179
chr4	147053732
chr10	17518264
chr5	14668552
chr4	49151785
chr2	238609439
chr2	65617440
chr7	116891961
chr13	43619681
chr11	117480980
chr16	74660792
chr4	49650720
chr14	95732020
chr16	48942310
chr8	101373215
chr8	123792553
chr1	56599751
chr1	182585295
chr11	117841530
chr7	50367235
chr3	47032242
chr11	75365488
chr22	35653399
chr6	106039144
chr18	61618791
chr4	7962793
chr8	68492513
chr19	42998705
chr22	34279724
chr22	34186089
chr3	16441113
chr10	103728874
chr1	6266134
chr14	75405717
chr4	182940330
chr18	13375454
chr5	65518490
chr5	100176212
chr12	54635115
chr6	100932424
chr13	52393502
chr9	30075781
chr8	99748643
chr4	8536124
chr4	55094352
chr3	5247285
chr1	5976209
chr21	47393741
chr11	76338144
chr12	25108440
chr15	66209706
chr14	103993886
chr3	193552660
chr12	24354317
chr12	27125093
chr14	103618182
chr17	42324042
chr16	81458572
chr15	93206604
chr5	122037770
chr7	55602214
chr9	100151219
chr7	92533843
chr17	9292577
chr19	4773388
chr17	3597382
chr15	100042637
chr12	27430964
chr17	25568578
chr16	77261820
chr2	98525035
chr4	184668396
chr1	233804752
chr10	14424178
chr10	52873673
chr1	15558353
chr10	12447212
chr18	14236864
chr15	38351024
chr9	137828817
chr22	36026112
chr1	181399629
chr6	12119493
chr5	6484148
chr3	39336805
chr1	44782099
chr6	12052237
chr12	83080475
chr15	81068912
chr16	67906839
chr18	60708524
chr11	95889493
chr10	26840281
chr11	34672303
chr8	81987082
chr14	58174171
chr5	149211303
chr5	6496583
chr8	81397528
chr7	100076925
chr18	51674042
chr9	111882375
chr12	49454612
chr4	76933476
chr6	11825318
chr16	57445420
chr13	33721147
chr22	36755411
chr11	62308992
chr6	30785162
chr5	74063022
chr1	38493917
chr1	46009680
chr12	109490365
chr15	80282843
chr9	136792319
chr8	119001811
chr15	78202859
chr8	134931814
chr1	41134651
chr13	28278995
chr10	125803000
chr22	37317556
chr2	223777033
chr11	102188076
chr12	85430071
chr7	43775547
chr10	29948174
chr1	40421413
chr16	67471583
chr9	136287002
chr14	64262459
chr10	30648746
chr19	6616108
chr15	78296872
chr10	30716638
chr18	48680493
chr5	76234218
chr10	30876642
chr5	5026257
chr15	79030718
chr7	100492783
chr2	228345317
chr10	31390153
chr8	83978074
chr17	27476738
chr3	119042037
chr1	236588730
chr10	129145059
chr6	30778854
chr6	11515039
chr5	61601686
chr4	72978491
chr14	68699482
chr1	34826442
chr17	26215912
chr6	16475362
chr22	38770274
chr5	10733244
chr14	103058482
chr3	4892158
chr18	31517487
chr9	4815052
chr19	5330448
chr1	33458331
chr21	42932047
chr11	112498546
chr20	61077172
chr3	4931044
chr1	53332919
chr4	5707473
chr14	103234799
chr8	8878910
chr8	136537701
chr2	214598831
chr17	56698739
chr14	97644071
chr3	45902733
chr10	109809639
chr4	6182676
chr9	102793034
chr15	85861870
chr8	24245214
chr3	28982198
chr13	23842784
chr3	122417271
chr16	57048697
chr10	24582423
chr5	7911618
chr4	130014598
chr1	162600944
chrUn_gl000220	136502
chr16	56905244
chr12	40015279
chr12	90250494
chr5	142415890
chr18	34972123
chr9	137208775
chr2	233646611
chr1	47817182
chr11	61349004
chr14	98664759
chr1	36621333
chr5	150576358
chr7	41173968
chr1	48227753
chr9	5586747
chr1	212740485
chr3	178794264
chr1	219362756
chr10	115548682
chr11	61495982
chr19	5666115
chr9	108304375
chr5	158885482
chr5	76958655
chr3	58449403
chr2	47171256
chr9	87374401
chr16	25052005
chr5	170782627
chr1	205202314
chr15	50647370
chr10	90031046
chr1	25228044
chr3	56807534
chr1	206892763
chr3	140764283
chr1	114483539
chr1	2458517
chr11	133231134
chr1	90123635
chr7	27965585
chr4	37734610
chr6	50763485
chr12	8801372
chr9	130150833
chr16	18957446
chr1	201373357
chr1	200594619
chr16	10929570
chr16	11277204
chr1	999689
chr5	116466908
chr1	25466806
chr7	155137330
chr5	89902584
chr5	180402537
chr1	200939350
chr16	17399756
chr9	76994768
chr2	42158183
chr13	75874460
chr8	56031861
chr20	43223596
chr11	15504940
chr2	146967563
chr8	56033175
chr13	107214353
chr11	9232772
chr19	23710708
chr16	10936975
chr7	155533913
chr19	2085431
chr1	100918406
chr20	35474640
chr2	28582359
chr11	46308502
chr6	135501309
chr16	22364975
chr8	42365165
chr7	15470022
chr1	22502910
chr9	131182664
chr4	106227692
chr9	38319216
chr9	140131188
chr7	75268950
chr13	110774104
chr22	30711068
chr10	5485652
chr9	37922494
chr17	78875344
chr3	9005094
chr9	38136578
chr2	191223542
chr16	21371603
chr6	27106994
chr2	192069355
chr2	25433249
chr11	57192438
chr5	56515362
chr7	155608156
chr5	115912921
chr2	192798199
chr9	140013430
chr3	57102830
chr5	179246157
chr15	60874706
chr16	19305814
chr1	24322093
chr16	88299401
chr12	116975303
chr5	39256782
chr6	131853839
chr2	106809553
chr17	71338448
chr15	31548150
chr8	47829509
chr20	10539561
chr19	10330641
chr14	23525531
chr3	170444528
chr20	31173667
chr2	111966770
chr5	114404751
chr1	198894883
chr7	154653511
chr2	102593598
chr12	104319182
chr9	73921265
chr2	38487796
chr8	101912824
chr1	109094306
chr1	83953890
chr15	28148731
chr19	10908470
chr13	66080231
chr16	15176885
chr11	128343760
chr5	95263782
chr13	100085277
chr17	66231271
chr7	70133754
chr3	93891029
chr2	200093995
chr17	40489623
chr4	12699829
chr1	206654718
chr4	30463065
chr3	94867205
chr2	179395492
chr11	6342303
chr18	3541999
chr5	60712107
chr1	26906368
chr1	740309
chr10	458270
chr3	184466243
chr13	61165638
chr12	16942562
chr1	20016569
chr14	93836181
chr11	72858911
chr20	25388237
chr10	8090735
chr8	105598149
chr9	75088609
chr6	138111770
chr9	75140218
chr1	144520140
chr18	3059433
chr1	85410857
chr1	16292797
chr7	154990813
chr3	158138911
chr3	167098083
chr3	32535748
chr3	9921702
chr6	43708661
chr22	24798960
chr2	111562742
chr6	15770936
chr1	22493153
chr17	35764
chr12	49259833
chr2	182177402
chr4	110926855
chr22	24899311
chr3	27831149
chr19	47731124
chr22	24908170
chr19	2391412
chr10	26674596
chr14	65140689
chr5	142434102
chr22	24910979
chr1	22236416
chr11	68901876
chr1	205742010
chr6	14877563
chr7	102353943
chr6	15776939
chr16	89038312
chr17	36857274
chr18	56317510
chr11	67213957
chr4	82483483
chr18	56301274
chr11	88616113
chr5	95261841
chr16	88921201
chr9	131017650
chr4	106780589
chr7	43874600
chr7	105449746
chr4	166129420
chr3	140224193
chr1	23039085
chr1	20452754
chr19	35838663
chr5	132657787
chr1	18612180
chr2	189843097
chr2	111591651
chr1	39571840
chr16	69788763
chr6	76260489
chr6	45888691
chr9	5697124
chr11	91028941
chr4	668352
chr4	602751
chr2	82557370
chr2	179028361
chr4	163622092
chr15	54875156
chr18	49480039
chr5	459243
chr1	19642142
chr19	2093086
chr21	34755552
chr18	52935578
chr3	10233962
chr14	92284426
chr6	74162012
chr19	49837304
chr18	52736920
chr16	67555239
chr3	10240960
chr1	172366590
chr17	46133173
chr15	52857907
chr5	754458
chr19	49899222
chr5	131836979
chr2	221899148
chr19	35481749
chr1	173539985
chr7	30501934
chr3	10326422
chr19	49843792
chr1	173380167
chr21	35987703
chr15	75359663
chr4	110976758
chr7	103730617
chr11	94317512
chr12	50083223
chr12	68650346
chr22	26346246
chr7	155827320
chr7	43116022
chr1	21736579
chr4	190892964
chr3	122041470
chr19	49378677
chr15	76013638
chr9	117145330
chr13	24567845
chr17	46015489
chr2	111958925
chr19	1942122
chr19	48248782
chr15	54442676
chr8	16314530
chr1	37943036
chr3	31463337
chr7	102066459
chr13	24699184
chr8	17591974
chr10	27026789
chr14	64970784
chr12	120868548
chr3	29323607
chr12	120740226
chr15	75092561
chr2	221538976
chr3	130569134
chr21	39621401
chr12	124942107
chr8	99377289
chr3	189285735
chr5	89559160
chr1	25774256
chr6	58287740
chr8	102778203
chr18	77690191
chr11	2402358
chr5	138773101
chr15	66697012
chr2	103274446
chr3	14733005
chr1	28655602
chr9	894127
chr16	80923865
chr15	64126287
chr6	167493512
chr2	102642177
chr2	203142988
chr11	7534628
chr1	29289113
chr4	183727699
chr2	80754397
chr3	194212964
chr17	38758001
chr22	21104986
chr12	53973643
chr1	31170616
chr22	21103191
chr6	52092492
chr1	200940690
