Chrom	position
chr6	1334912
chr13	93216290
chr2	189217733
chr2	227616737
chr5	56638330
chr3	177360015
chr8	25989754
chr20	24368052
chr7	13017502
chr14	69562130
chr21	37593115
chr1	58065691
chr21	42957269
chr13	55000164
chr12	115508097
chr4	156020248
chr1	93667853
chr6	6820692
chr1	119332015
chr10	34506990
chr8	9963120
chr3	40292874
chr7	35026312
chr1	18933084
chr13	82747617
chr3	115790936
chr6	15461155
chr1	232367552
chr20	10352493
chr6	14831979
chr3	138880047
chr6	47789703
chr16	73033739
chr3	184558805
chr22	17247999
chr8	17749337
chr10	85668029
chr17	48219853
chr2	144346384
chr11	117679657
chr9	107460317
chr4	72032157
chr4	127046070
chr10	35659709
chr8	12942688
chr5	124895484
chr1	115924949
chr18	31225726
chr15	69089514
chr13	86933217
chr1	203519578
chr6	143937172
chr9	14747300
chr12	94616497
chr13	51148563
chr6	53730417
chr1	242711102
chr12	130165142
chr14	37591405
chr12	31749287
chr19	20248426
chr3	60772781
chr2	105760432
chr16	25950972
chr8	69561601
chr20	52309498
chr20	34640015
chr1	14733337
chr1	31503255
chr2	82013860
chr15	85479587
chr1	29164834
chr9	130824253
chr21	26910226
chr3	193813010
chr14	53355778
chr10	132572162
chr5	164680306
chr17	66712095
chr4	169334419
chr1	157985624
chr8	1912257
chr3	71511279
chr20	49667086
chr14	56894797
chr3	195860586
chr9	4631029
chr19	4409214
chr21	15242061
chr19	51362911
chr12	106132450
chr11	46906874
chr11	130371157
chr8	107486024
chr15	96087436
chr5	158679578
chr16	5666648
chr21	36415677
chr7	11328538
chr8	20458379
chr2	230996371
chr1	21639710
chr6	93786566
chr8	107487000
chr2	132403299
chr6	131951460
chr7	7100528
chr5	51226575
chr8	35377551
chr4	38094593
chr21	35135659
chr18	48960006
chr12	13348600
chr1	20625467
chr7	101486663
chr5	87944644
chr17	19647438
chr2	220776209
chr16	60199311
chr1	4738349
chr1	239995469
chr15	73902797
chr13	30042409
chr1	218500099
chr3	123195699
chr6	53805889
chr2	128638974
chr6	53542576
chr3	123194727
chr8	85305043
chr2	128786997
chr2	104007800
chr13	40116068
chr2	120887706
chr13	30112744
chr5	91314392
chr2	105795660
chr3	120028867
chr2	107091382
chr5	80957237
chr2	106756289
chr13	30196235
chr13	39417967
chr1	219771238
chr15	63434945
chr5	91280604
chr13	30142542
chr2	128234766
chr1	239126067
chr3	122054984
chr6	43670163
chr1	239706407
chr3	105845656
chr1	245980819
chr6	43059486
chr15	74243075
chr6	42453735
chr2	86623817
chr10	3424729
chr15	75844492
chr8	75219218
chr15	76006592
chr10	3975136
chr3	129388985
chr8	74275665
chr5	91487689
chr3	129495175
chr15	76669105
chr15	76905656
chr3	131705630
chr3	132136187
chr2	82154056
chr3	132536275
chr15	62791899
chr10	2639989
chr2	87630426
chr3	126420612
chr1	243730081
chr13	27961810
chr1	244056791
chr3	125121043
chr8	80277118
chr3	126358287
chr6	56844000
chr10	329604
chr13	25397960
chr3	127210136
chr3	127732566
chr10	2112080
chr3	128272565
chr10	2280838
chr13	40221751
chr13	40253804
chr8	104895813
chr2	108926820
chr5	81852868
chr15	67144943
chr1	228218141
chr8	102053585
chr5	84886093
chr2	122735027
chr5	88667816
chr8	102203771
chr5	84481436
chr1	229094083
chr1	223066599
chr8	97434307
chr1	230105004
chr1	223030635
chr2	122927411
chr15	67937301
chr8	95386763
chr3	109340193
chr8	95365247
chr5	76808215
chr13	37385492
chr2	118490543
chr1	222335152
chr2	119408305
chr1	225692088
chr1	225746774
chr1	225424835
chr1	224793374
chr5	87263695
chr8	100667738
chr1	225942776
chr1	225958326
chr1	226216263
chr1	223631530
chr6	45567198
chr3	112688955
chr15	66699181
chr8	101327041
chr13	35765613
chr2	122294288
chr8	97696531
chr6	47180859
chr2	115214175
chr15	68518237
chr3	119609497
chr2	109701535
chr15	64430434
chr13	31664051
chr2	110687648
chr3	107285421
chr13	31631943
chr8	91189591
chr1	220888303
chr3	107142395
chr2	109699275
chr13	31922930
chr6	51937126
chr2	109296929
chr2	120780019
chr2	126809169
chr1	235292984
chr3	119349589
chr2	107558184
chr2	107498606
chr8	92109785
chr15	69647375
chr3	115699037
chr2	125959288
chr15	65083437
chr8	103975970
chr5	83379063
chr8	104021976
chr1	232225518
chr6	44662992
chr1	232274442
chr8	94359173
chr8	104284444
chr1	233289858
chr13	33522757
chr1	221287173
chr2	126172937
chr2	112343984
chr15	64454536
chr8	93261642
chr3	117342904
chr2	111320420
chr6	63964573
chr14	54339928
chr2	81200542
chr5	63055675
chr15	92647842
chr15	92821765
chr3	155634017
chr12	119410568
chr2	44803442
chr15	92904245
chr15	92916013
chr2	44799219
chr12	119339176
chr3	156373212
chr2	44678393
chr10	43302557
chr12	119154946
chr3	156751595
chr5	62044089
chr3	157065311
chr12	119090466
chr12	119080930
chr3	157534887
chr15	93496269
chr15	93838072
chr8	38015464
chr2	45041024
chr2	45936851
chr3	158571075
chr10	34891089
chr3	151276279
chr3	151441134
chr6	82745254
chr2	48441644
chr12	121800024
chr2	47755570
chr15	91517103
chr10	34748128
chr5	64706210
chr2	47314744
chr10	35211557
chr10	35974138
chr12	121184636
chr8	41627788
chr15	91950265
chr15	92074757
chr8	41392117
chr10	35754682
chr12	120585008
chr2	46706792
chr10	35918148
chr3	154702702
chr6	86990068
chr8	37698534
chr12	122872194
chr10	60762735
chr10	58176231
chr5	58918541
chr10	58963867
chr10	59575490
chr2	37343005
chr10	60130182
chr6	89817690
chr10	60300622
chr2	36713555
chr15	96945474
chr8	33197935
chr10	57627924
chr3	169739245
chr3	169813099
chr12	115145391
chr2	36235618
chr10	62037302
chr2	35821865
chr8	32766238
chr12	114798568
chr15	98122275
chr12	114711846
chr10	57628783
chr5	59127876
chr2	42021687
chr10	52378261
chr15	93920352
chr10	50564151
chr5	61659391
chr10	50612786
chr10	50614717
chr10	50857656
chr12	117790404
chr12	117644095
chr8	36984255
chr15	94535511
chr6	88361490
chr2	38262713
chr6	88480611
chr6	88481037
