Chrom	position
chr1	169337164
chr1	26100161
chr3	53304193
chr2	71558756
chr2	65605026
chr19	16528728
chr16	2918001
chr21	43203832
chr4	39368067
chr7	129609756
chr6	52535802
chr15	72978760
chr6	131384548
chr22	38902412
chr2	47214363
chr10	100175040
chr20	46438575
chr7	40757054
chr20	16710528
chr12	48415769
chr2	38893114
chr1	147362479
chr1	10488266
chr8	102486645
chr6	7673416
chr19	12675095
chr13	77901334
chr11	30344581
chr11	33183247
chr8	49166769
chr11	66139223
chr1	154989841
chr12	96488185
chr1	185615536
chr1	21023544
chr5	74062960
chr18	3013486
chr11	123451480
chr7	112063121
chr16	4357949
chr7	80513008
chr3	54925817
chr19	46145502
chr7	131206663
chr19	44711622
chr1	204072134
chr20	57226186
chr12	54762613
chr12	51441730
chr7	127983997
chr9	96328857
chr10	116106329
chr22	41128882
chr1	234908349
chr19	13273683
chr3	195586352
chr2	69983404
chr8	24076355
chr10	112216712
chr11	74451040
chr2	232531214
chr19	893178
chr12	1058912
chr14	95015939
chr19	14640624
chr6	126188990
chr7	101741114
chr7	100399992
chr20	44065640
chr11	72929598
chr1	78443948
chr15	80142344
chr4	103658480
chr18	72209405
chr15	83736117
chr10	28031187
chr11	101882034
chr20	3788219
chr10	49423723
chr17	70417461
chr10	38265531
chr3	156892909
chr15	71117666
chr9	19465075
chr3	42518488
chr4	154570830
chr3	194751691
chr12	19282341
chr5	71565121
chr6	42194760
chr11	9634939
chr15	91413019
chr8	144097535
chr10	99447256
chr7	150595838
chr6	41747807
chr1	86441915
chr2	161062255
chr2	191885105
chr7	6362821
chr1	156630111
chr3	186891978
chr15	35774398
chr3	52885630
chr11	134688603
chr9	130179599
chr1	202169550
chr1	40446341
chr14	54779058
chr12	32112257
chr2	75755500
chr2	232485859
chr10	26624459
chr5	96528939
chr1	181086939
chr2	121003155
chr5	168027651
chr1	16126804
chr14	51377541
chr5	110848246
chr5	104246824
chr12	32908193
chr3	42632214
chr17	17817401
chr10	90692538
chr10	73808439
chr7	99760862
chr1	68808560
chr11	34285144
chr6	106117328
chr1	241803915
chr2	187636770
chr12	94954818
chr5	137911581
chr1	1790979
chr19	49601230
chr3	149996950
chr4	78077813
chr16	69438511
chr13	53191570
chr1	20539587
chr18	11500611
chr12	109085673
chr3	49711726
chr1	78149288
chr9	34989360
chr1	156100175
chr2	153057317
chr7	105416692
chr11	62607056
chr20	23587351
chr3	5028703
chr2	219313887
chr20	30102331
chr3	113871703
chr1	33282995
chr15	33494222
chr1	233217582
chr10	112432305
chr2	219536837
chr10	71198513
chr8	22210415
chr1	110881074
chr19	34836908
chr9	100904942
chr13	43632660
chr1	25574103
chr6	150338027
chr4	38320692
chr13	25497249
chr15	74674910
chr17	79303496
chr7	29604428
chr15	51108542
chr6	150255597
chr16	58058606
chr2	234262476
chr1	89458852
chr8	134045767
chr15	41408887
chr12	111834956
chr12	111843232
chr1	9065369
chr10	123811346
chr11	47215874
chr5	41925295
chr8	22926761
chr2	232507557
chr11	45127275
chr12	53298898
chr10	95143996
chr7	139044399
chr13	39259026
chr4	57610004
chr14	93147605
chr12	57030771
chr8	28466682
chr2	97485076
chr6	125566979
chr19	11485526
chr22	36019478
chr10	75666565
chr15	64814283
chr17	70680357
chr1	205474055
chr6	35704220
chr4	146540491
chr10	112235766
chr4	89066303
chr19	12777716
chr15	67374742
chr19	3968799
chr8	71971508
chr19	54641210
chr17	33153578
chr11	18405917
chr12	132345537
chr7	156433464
chr17	73719498
chr18	19320697
chr1	46502885
chr19	3505935
chr17	73994631
chr19	40949249
chr11	66717904
chr16	122685
chr19	16254481
chr2	172864788
chr13	114199955
chr17	48716691
chr17	27482463
chr19	49057403
chr10	71906658
chr12	10548469
chr11	109947519
chr2	42786149
chr10	98135191
chr2	57923353
chr8	26469271
chr14	103747977
chr15	52554086
chr18	770641
chr12	15942656
chr17	2863595
chr5	157256212
chr15	56061199
chr12	50172140
chr12	8234881
chr17	27478737
chr2	42569769
chr1	64809351
chr20	3792571
chr6	137283963
chr15	67058408
chr20	31766757
chr1	234860026
chr4	124509471
chr2	64955136
chr15	63742043
chr8	118860032
chr12	13515369
chr1	182602935
chr10	101380263
chr1	153483545
chr18	10926176
chr19	19174378
chr11	118979096
chr6	125905858
chr21	40285590
chr7	23221631
chr19	13266518
chr21	36236522
chr1	68166498
chr17	47958083
chr8	30661904
chr6	26596180
chr3	3678669
chr5	25363078
chr22	30620315
chr7	158808382
chr3	123985520
chr20	17949672
chr19	9190632
chr12	131101998
chr14	68604699
chr16	29802123
chr7	151778463
chr1	204415673
chr16	30645660
chr20	49361092
chr18	74801248
chr18	74514217
chr20	49407443
chr14	65878448
chr15	29815037
chr2	219188853
chr16	31106054
chr2	159779855
chr4	81105456
chr12	105724297
chr20	19765434
chr4	7958168
chr5	65505385
chr15	34502389
chr4	85453069
chr10	18940600
chr14	77428225
chr1	110334981
chr16	4359904
chr12	58176570
chr9	130447040
chr11	67350139
chr11	70496590
chr1	110641177
chr16	14051377
chr12	93481247
chr4	89206055
chr16	18813256
chr8	27805814
chr19	40048593
chr22	25392636
chr1	8077821
chr19	4375324
chr1	145542955
chr3	187870898
chr11	64122818
chr16	47007691
chr13	72795619
chr7	144533223
chr11	76288422
chr19	8432403
chr16	75526086
chr12	33050123
chr6	170826215
chr4	103953869
chr15	39697179
chr2	39407548
