Chrom	position
chr15	74546419
chr12	93570920
chr3	50611973
chr13	95380774
chr17	16380981
chr12	42484195
chr9	121060216
chr9	124202708
chr11	74398851
chr2	110748657
chr17	19306483
chr7	134513346
chr2	169573862
chr19	54162679
chr14	36605098
chr12	55619872
chr1	2290872
chr10	128046
chr6	13229878
chr1	207579577
chr15	76148120
chr16	69424641
chr9	94603340
chr2	191020373
chr9	85940864
chr16	31460047
chr2	25210432
chr10	13346043
chr7	98200581
chr6	15359067
chr10	68563280
chr15	60479279
chr1	15245047
chr12	31729473
chr4	99056159
chr7	74657613
chr2	15588535
chr22	44025896
chr5	99027540
chr7	100081831
chr5	181184320
chr1	205288417
chr7	41881889
chr10	30359828
chr16	71289203
chr18	12756876
chr2	45610627
chr17	77916959
chr19	44207377
chr11	62042306
chr12	51369121
chr8	125505946
chr17	76192121
chr14	76961888
chr17	82864148
chr12	52020910
chr12	94102393
chr1	46333786
chr8	38805489
chr14	96797188
chr20	34405549
chr4	168923879
chr4	169411014
chr11	77637830
chr20	17856441
chr5	132464654
chr8	142042044
chr9	129888717
chr2	99181124
chr2	233063612
chr2	226772902
chr3	9731621
chr2	20576858
chr19	35462799
chr1	28927996
chr11	9758079
chr8	19755946
chr2	203240687
chr1	12167740
chr4	118669388
chr19	12613929
chr14	93116234
chr21	46369112
chr4	84504046
chr3	139329534
chr12	96215303
chr19	926877
chr14	61553083
chr11	81963197
chr22	23844677
chr10	71888989
chr12	66861361
chr9	21444426
chr5	33440835
chr17	60398472
chr1	24952556
chr11	96185341
chr11	64304480
chr7	2717650
chr17	6451028
chr17	4949844
chr7	98133409
chr7	44104768
chr5	50853402
chr11	13860206
chr1	21964144
chr12	118714218
chr10	71749006
chr13	37000676
chr21	45110028
chr22	44191137
chr2	69648347
chr1	183580362
chr15	48878184
chr2	136213252
chr18	650541
chr3	187748190
chr1	229514878
chr3	188171772
chr15	85324460
chr17	35587254
chr10	7472152
chr1	175142057
chr20	5611178
chr15	98085200
chr2	15313894
chr9	21466096
chr9	21381974
chr19	16263583
chr8	29229673
chr6	83859523
chr13	49848118
chr14	106626980
chr1	109906342
chr11	68213891
chr12	9650906
chr9	37197393
chr11	72038268
chr16	75463931
chr8	124637710
chr3	47464832
chr5	158194687
chr1	22092522
chr8	42392471
chr1	198156769
chr4	2851599
chr1	154628037
chr7	980515
chr11	96254286
chr5	61408779
chr2	195559810
chr11	33857981
chr5	32585478
chr11	130023472
chr22	39317698
chr12	7047500
chr19	35291538
chr17	38825404
chr1	85298020
chr9	81656171
chr16	48244248
chr12	131924624
chr11	59216993
chr7	67000757
chr6	156280324
chr1	85050922
chr4	82374279
chr2	224025960
chr14	22556423
chr13	50911185
chr10	110842022
chr11	19984570
chr16	3124673
chr6	136920434
chr10	72297458
chr16	11224245
chr5	65969773
chr1	211697593
chr6	116409946
chr3	194306576
chr15	90661480
chr11	120344545
chr11	134228777
chr17	4004771
chr15	31361642
chr22	29167554
chr17	1593114
chr17	82871299
chr8	38957632
chr2	196160287
chr2	38607921
chr4	55547093
chr3	156983187
chr3	188154543
chr1	44672521
chr11	122717670
chr1	241639342
chr18	68715456
chr22	30287018
chr6	148204213
chr12	25020776
chr22	29411721
chr12	66302475
chr12	94240306
chr16	66599941
chr12	90253999
chr22	24011393
chr1	108963364
chr6	28856800
chr9	132406848
chr1	157566733
chr15	30859493
chr6	90393493
chr13	42377941
chr17	8858139
chr3	72757100
chr10	11544401
chr6	29965012
chr8	37574535
chr8	22975518
chr1	153791319
chr6	119442887
chr16	25010015
chr17	48441479
chr18	13613759
chr12	107092220
chr2	73985703
chr6	43706183
chr3	189324907
chr12	45727683
chr2	10435137
chr13	32538919
chr10	110414759
chr2	25301616
chr19	3178588
chr7	36943831
chr1	93079186
chr16	70404569
chr10	11163338
chr16	75081396
chr12	108628580
chr22	20748991
chr8	28411872
chr6	144334260
chr1	234963371
chr2	145411697
chr15	90301430
chr16	89722215
chr11	110295928
chr3	69052515
chr17	63600841
chr2	191676008
chr15	31004560
chr9	94546153
chr13	40771235
chr8	101137286
chr1	179882785
chr2	217223629
chr5	62412788
chr12	93591372
chr12	11171738
chr1	192516972
chr15	38085327
chr17	37397848
chr3	187773374
chr1	227235202
chr15	91022622
chr6	159979375
chr6	106097880
chr3	57756228
chr12	12714343
chr20	43728371
chr15	90594629
chr3	30642994
chr13	113297077
chr3	177360042
chr5	111509377
chr14	74836811
chr8	22693627
chr1	19463423
chr1	206923124
chr3	129276552
chr11	14520501
chr9	79812710
chr20	63435027
chr3	122576386
chr2	144704122
chr14	68401985
chr19	44753505
chr19	10236272
chr1	44946848
chr9	4315792
chr18	13880118
chr4	123449959
chr22	28792317
chr3	193674829
chr3	196639755
chr8	144078527
chr16	57349442
chr4	306806
chr1	206784689
chr17	77325308
chr8	28324515
chr17	44614263
chr9	6412871
chr12	26017812
chr2	86244162
chr14	89365136
chr4	185309996
chr1	10474835
chr5	50711440
chr14	105862169
chr9	123225460
chr21	42393406
chr7	108489508
chr1	64933764
chr12	24998335
chr12	104551655
chr15	51829805
chr6	28336168
chr3	188097968
chr2	100105822
chr1	54764734
chr19	10428304
chr7	21355584
chr7	21353083
chr16	17409198
chr13	19633324
chr14	102220139
chr10	93702671
chr15	82530986
chr19	50511432
chr12	49663180
chr15	44313304
chr9	94861209
chr7	69738473
chr14	65353265
chr8	139706092
chr4	101790648
chr1	74197724
chr19	33372468
chr15	69759212
chr13	41916787
chr5	139565594
chr3	53347654
chr3	187958767
chr22	25562091
chr4	77076230
chr11	47850593
chr21	29024647
chr6	13296676
chr6	36664942
chr5	140342484
chr13	98487719
chr3	52288029
chr20	54018072
chr7	50329935
chr1	3320101
chr16	30923385
chr1	37990106
chr7	28927166
chr10	6069346
chr3	115217781
chr1	235954850
chr12	4272837
chr8	124022158
chr15	74403137
chr10	110356786
chr20	46060679
chr16	21507093
chr15	72671046
chr11	78138905
chr9	89522556
chr7	99505196
chr8	11858891
chr19	40143871
chr22	28674234
chr6	2028640
chr18	50281662
chr5	119278340
chr12	31959279
chr4	55545951
chr12	111435064
chr1	165739000
chr11	122668760
chr13	48980178
chr1	33127321
chr7	140642127
chr5	142357122
chr9	131678632
chr15	63535947
chr20	35145296
chr15	76904565
chr3	183765567
chr21	41833657
chr16	21647367
chr19	6257933
chr4	152684534
chr10	61903503
chr7	43648864
chr19	43562902
chr9	71795612
chr6	136594065
chr1	157562646
chr19	17135638
chr12	47808226
chr17	3711125
chr8	51962351
chr16	68264140
chr6	31560516
chr5	141605861
chr14	68685665
chr13	23378406
chr11	14451959
chr16	67489084
chr11	69699529
chr21	45551059
chr8	59147849
chr7	100516277
chr9	2054012
chr19	35451916
chr1	25118571
chr12	13125396
chr8	133569029
chr9	83708258
chr6	21598843
chr17	74780144
chr1	234945163
chr5	43556464
chr7	104945217
chr2	110858457
chr5	177071946
chr15	67081198
chr10	11209390
chr7	105352301
chr22	21982838
chr6	5764148
chr4	145938919
chr9	134060233
chr2	217222728
chr16	11362159
chr7	150435444
chr1	30743733
chr4	2835317
chr6	163756253
chr2	63588870
chr21	15729591
chr1	31483599
chr12	45728898
chr1	181129310
chr1	12040757
chr2	10382882
chr2	239267580
chr18	24019819
chr1	149997782
chr17	77563239
chr11	48110035
chr10	15902788
chr15	44728822
chr8	55885788
chr12	132820297
chr13	48505855
chr20	45368372
chr5	141417593
chr3	149243740
chr9	124870377
chr8	6709050
chr1	183912527
chr20	5692122
chr19	909385
chr1	11227587
chr17	40516946
chr1	117754277
chr22	22885161
chr2	169584329
chr5	98771760
chr13	29818175
chr14	68669276
chr1	101248068
chr11	73048198
chr1	25998166
chr1	148522709
chr20	5529124
chr17	19305535
chr19	14368274
chr18	79625381
chr12	106910471
chr12	6959268
chr10	110138409
chr18	12377846
chr4	78667936
chr7	98754099
chr13	114129148
chr3	49345269
chr18	813483
chr13	108213126
chr19	39970895
chr6	41706331
chr5	83473703
chr14	91009718
chr13	28524221
chr16	20904648
chr7	130961437
chr6	37050323
chr17	63699450
chr1	154327709
chr3	131796721
chr2	136126940
chr1	111593160
chr1	18681544
chr19	2085482
chr12	42469616
chr12	99393971
chr19	13156070
chr17	38800021
chr4	53366167
chr6	25342946
chr10	50260911
chr16	4515868
chr6	13304775
chr7	16565098
chr12	7109293
chr7	7201810
chr1	120850865
chr14	90969642
chr13	45340583
chr11	64292408
chr10	12244023
chr18	54934559
chr16	10775520
chr16	21554947
chr7	106024092
chr12	116559931
chr4	80875807
chr10	11345873
chr3	57983960
chr16	46688548
chr1	205775485
chr12	93572048
chr22	41918323
chr5	78222157
chr6	37525978
chr17	78263325
chr5	116566389
chr17	39980801
chr9	37904402
chr1	206050921
chr1	193479467
chr17	78343839
chr1	203024562
chr10	92831079
chr7	24719261
chr10	110920802
chr7	43649941
chr6	137927888
chr17	10018577
chr4	184534772
chr1	203321096
chr11	114160154
chr6	108565415
chr3	8658634
chr9	91954927
chr3	197712477
chr7	113118561
chr13	21671041
chr10	49183832
chr5	81852019
chr1	236156821
chr3	187044465
chr11	76444859
chr17	45191086
chr12	65209835
chr7	30594788
chr7	24878122
chr16	17301844
chr2	8545163
chr8	141036231
chr5	107389287
chr1	40151934
chr3	15556711
chr1	45500205
chr7	101991098
chr7	38425800
chr19	28481315
chr6	157323564
chr8	53900059
chr3	15647813
chr6	35770880
chr16	17282450
chr17	42456955
chr18	3771567
chr8	38701656
chr6	26568866
chr17	14351657
chr14	65228640
chr1	163321836
chr15	101199843
chr1	205313872
chr10	71836354
chr16	89316450
chr11	43644193
chr1	233016217
chr19	8269329
chr16	11052280
chr16	30092784
chr2	88846039
chr8	61748605
chr4	110059889
chr11	125887670
chr11	69297527
chr7	98202643
chr9	82128221
chr11	65132593
chr2	119352593
chr3	179956752
chr1	8702919
chr1	28329000
chr7	74393820
chr5	144187956
chr11	117815552
chr7	2406958
chr20	57450525
chr6	31789564
chr12	116861663
chr7	130960503
chr2	101224060
chr2	68387812
chr10	92789185
chr17	43251724
chr13	26707884
chr17	49568026
chr19	35872376
chr5	115209462
chr20	25281857
chr20	53923084
chr3	46187250
chr1	203289682
chr2	201194369
chr9	131677654
chr15	40098943
chr13	111184918
chr7	4754027
chr3	187745794
chr14	59301572
chr3	187745430
chr8	95074545
chr19	42302684
chr16	88527653
chr4	81562299
chr2	234483698
chr17	42773434
chr10	123154130
chr14	53310579
chr1	247390457
chr10	62779562
chr3	45613061
chr1	226663038
chr1	156741233
chr12	49060829
chr22	37285154
chr1	206922045
chr14	50363953
chr19	3065815
chr6	32944538
chr4	153491243
chr4	86998276
chr13	78022323
chr20	46102260
chr9	76643966
chr2	213124043
chr14	73058404
chr4	123600060
chr11	72725418
chr15	52233607
chr1	23619807
chr1	9069759
chr1	174134133
chr15	90902382
chr4	75990989
chr1	26542022
chr11	73999774
chr3	13332347
chr1	40381528
chr9	110256927
chr3	57068680
chr5	138081419
chr2	241102386
chr5	149960579
chr9	111926750
chr16	87951051
chr15	72376032
chr18	48838571
chr12	10196432
chr1	150562949
chr2	33272206
chr9	133418114
chr20	49800934
chr11	9195612
chr11	60455646
chr2	8303708
chr10	14696098
chr8	80140761
chr9	128255384
chr10	133389186
chr15	92831938
chr17	8941603
chr6	117676197
chr9	37409359
chr13	48151572
chr1	26695640
chr17	21034481
chr17	45149291
chr3	170045108
chr7	7945110
chr3	111547846
chr18	8755707
chr15	89747212
chr17	76482065
chr6	53548039
chr15	68631718
chr17	17591769
chr2	119237382
chr14	104926719
chr4	88613645
chr10	110378246
chr5	157172575
chr16	89454902
chr11	60378504
chr19	14604211
chr6	33148209
chr9	105244407
chr6	167113201
chr2	189441100
chr1	1375270
chr3	177351979
chr15	68630469
chr1	10495321
chr12	101407910
chr9	37800751
chr18	32761410
chr10	13118041
chr9	5438962
chr9	89400608
chr4	184347639
chr15	75047250
chr1	144412690
chr6	45677680
chr18	79436137
chr1	199041725
chr4	189940764
chr12	4538584
chr9	124264955
chr15	74777528
chr5	81749737
chr21	44931331
chr11	93718385
chr12	4118302
chr3	105798683
chr13	50912148
chr12	77060655
chr16	21698834
chr2	88866995
chr2	174593745
chr10	6916781
chr12	46388551
chr12	56041941
chr6	52984463
chr20	53751533
chr12	56220828
chr21	43608427
chr3	188439265
chr9	6690116
chr4	139301221
chr10	110503166
chr11	118821024
chr1	24191109
chr1	63893191
chr1	198599060
chr18	57077977
chr8	117918626
chr12	112014769
chr11	67586920
chr16	4494454
chr15	76935826
chr6	43704206
chr22	39447129
chr3	42781019
chr17	42679128
chr11	70398709
chr9	132384564
chr3	101722565
chr6	43667417
chr13	80049001
chr17	16438985
chr9	7976549
chr4	83212675
chr6	129684189
chr4	26807512
chr5	43065048
chr9	112774485
chr8	96820966
chr3	71031998
chr8	28622368
chr18	58658337
chr2	112631266
chr20	5645629
chr12	46387090
chr6	42930225
chr10	11154514
chr6	143450737
chr3	194104449
chr17	997078
chr17	45408091
chr2	223957405
chr15	67085997
chr10	11678309
chr21	32712231
chr13	46176983
chr1	146052130
chr16	10868780
chr7	151754288
chr7	47670949
chr17	56897841
chr17	64966010
chr7	107169837
chr16	50282138
chr16	87866884
chr12	56565738
chr22	29701336
chr18	23330600
chr15	36617724
chr3	50572299
chr13	52617465
chr3	134250020
chr10	1489319
chr1	200628342
chr2	191014294
chr1	2301273
chr10	13586881
chr6	16763233
chr17	64074555
chr17	78760147
chr12	119061394
chr10	110498693
chr1	181141700
chr14	77121616
chr8	125644639
chr3	156484616
chr7	29408899
chr7	142809016
chr12	93390189
chr16	51818550
chr8	42638789
chr16	84641371
chr1	110872502
chr16	47523606
chr8	123038362
chr9	88922352
chr9	105385549
chr8	56074589
chr21	28605371
chr1	201013293
chr19	37915073
chr2	111050103
chr8	56093893
chr12	109052538
chr15	56246199
chr2	156396334
chr5	112160784
chr19	42242863
chr11	43007968
chr20	57619432
chr6	131628293
chr4	39639225
chr6	24283474
chr13	40146896
chr6	14661361
chr13	48976766
chr5	163916503
chr21	8234500
chr19	11317895
chr1	192605141
chr1	165393192
chr12	131710963
chr9	74865333
chr7	111083613
chr2	25377010
chr22	33299761
chr9	37302513
chr10	101043087
