Chrom	position
chr19	1652937
chr2	17699784
chr17	17875871
chr7	105752854
chr19	1123211
chr7	43622597
chr8	143858759
chr7	6543454
chr19	19496418
chr15	89631539
chr19	18303802
chr11	45868915
chr2	97523863
chr20	61425854
chr17	66453877
chr19	4968855
chr22	36784185
chr19	55973165
chr7	75544382
chr19	4328515
chr6	167040950
chr5	133707045
chr4	52709148
chr2	242823772
chr8	124428816
chr7	72298910
chr19	1205605
chr19	48281787
chr8	41386671
chr16	1393218
chr10	99447158
chr1	25071678
chr3	50273511
chr19	36505288
chr19	48103745
chr19	56135787
chr19	3721602
chr17	76136677
chr15	67547080
chr19	50145243
chr3	66551622
chr16	72042561
chr9	135820081
chr17	79980959
chr8	126010608
chr3	52091467
chr19	13858617
chr16	50775913
chr17	8059803
chr9	136243120
chr19	2269372
chr19	13001881
chr1	55181477
chr10	28592054
chr2	10953009
chr16	87526712
chr19	46498590
chr19	7198178
chr12	111843435
chr16	1832716
chr19	42363780
chr15	40615732
chr11	65382947
chr22	45636990
chr17	1619705
chr18	12377404
chr19	41082736
chr15	72523642
chr19	8478119
chr4	166248724
chr14	102414505
chr19	2740139
chr18	60190150
chr19	6110722
chr16	50059052
chr1	151253839
chr13	20532786
chr9	116163671
chr5	138739754
chr9	34989603
chr1	22778299
chr2	225450334
chr19	15529938
chr2	192542767
chr1	33647715
chr9	129987429
chr5	179921261
chr16	2732466
chr10	104155382
chr16	90143833
chr2	110371793
chr19	17414305
chr17	40346544
chr19	10828515
chr2	242003619
chr16	28962221
chr1	10459014
chr16	1993388
chr14	104181929
chr13	52586375
chr11	65668006
chr1	181998961
chr12	12420100
chr2	70142041
chr19	49866893
chr9	131843285
chr11	65337843
chr7	48019235
chr12	50017268
chr4	3076214
chr18	76829247
chr17	48172600
chr1	38397550
chr19	2151763
chr1	26758778
chr4	39529322
chr11	65641132
chr11	71159529
chr5	75013326
chr16	71879847
chr2	55277764
chr12	56367638
chr19	17858424
chr22	29999436
chr16	68279145
chr12	56754110
chr17	61627688
chr16	85722647
chr16	67217670
chr18	55102508
chr17	76183263
chr9	4792776
chr15	45571523
chr17	80416449
chr7	2671384
chr19	4639396
chr9	130693109
chr12	113659131
chr5	159546672
chr8	127570776
chr17	47866577
chr7	25902242
chr8	25316566
chr19	19516365
chr3	195163921
chr17	40540665
chr7	100034152
chr20	57607494
chr1	3541454
chr7	1177999
chr8	145688356
chr7	5609879
chr6	153304292
chr20	21106614
chr7	73082097
chr17	57232648
chr21	40684425
chr1	228327826
chr21	45875131
chr19	39971420
chr12	117176004
chr15	81616616
chr7	65540718
chr12	122710686
chr17	46048317
chr7	44646467
chr5	177580992
chr11	133907265
chr16	18813066
chr19	14063098
chr14	90421155
chr8	87354684
chr17	17109826
chr10	89622198
chr7	75368494
chr17	14204244
chr7	72848042
chr7	156686021
chr3	9691085
chr7	98030587
chr9	107730592
chr16	2587856
chr2	97202375
chr1	206138191
chr12	510705
chr3	128840936
chr3	131100548
chr17	76837052
chr16	1728188
chr15	64455358
chr12	50561256
chr9	131965217
chr6	53412860
chr7	77325657
chr10	104192448
chr19	10491367
chr7	151217167
chr16	81130085
chr3	41240923
chr21	37692479
chr8	10697446
chr15	93447627
chr18	72163446
chr8	144911613
chr13	20207733
chr14	53019457
chr2	241500555
chr16	30418861
chr7	66461720
chr8	67837820
chr20	23338914
chr10	25013668
chr1	154974692
chr10	101190583
chr8	145192629
chr1	11322811
chr17	16945622
chr14	93260483
chr12	121837811
chr7	152133861
chr3	51976015
chr3	185216831
chr17	7740302
chr6	33422289
chr2	29117423
chr19	45596211
chr6	31926862
chr11	11643684
chr4	25314306
chr3	27526024
chr1	11741229
chr11	126138905
chr17	38255486
chr19	1040053
chr19	13049286
chr22	41986003
chr19	4867784
chr2	73460487
chr5	148737468
chr1	54355521
chr7	99698350
chr1	7831326
chr1	171711237
chr2	8822072
chr19	48112033
chr7	21466950
chr19	8408225
chr17	80656683
chr1	28052331
chr14	65007266
chr10	5932063
chr9	135230521
chr17	72772544
chr1	200639239
chr17	37886822
chr19	11647025
chr15	72410577
chr17	77771060
chr1	9599427
chr2	122513158
chr22	41487644
chr6	36954003
chr17	4900930
chr1	8938829
chr1	10270486
chr19	44031415
chr12	54121393
chr1	41328098
chr19	40949204
chr3	10290020
chr20	60813353
chr19	40971837
chr7	56119361
chr7	1199927
chr16	89238058
chr11	43702129
chr15	43213101
chr7	129074213
chr5	55290915
chr19	41076629
chr7	91763981
chr4	26322333
chr17	62207616
chr1	1850865
chr2	122494612
chr11	65686822
chr19	14228725
chr1	7844195
chr16	15982534
chr2	219260979
chr19	36239398
chr11	62432736
chr19	14640270
chr21	45759001
chr9	130829770
chr5	5422591
chr15	69452840
chr19	11457059
chr19	6280108
chr14	90863331
chr17	80477474
chr21	47743906
chr4	83812415
chr1	1334808
chr9	99212338
chr5	140998751
chr15	52311386
chr11	105893059
chr19	36119901
chr5	173315216
chr19	2900758
chr9	132597626
chr13	20437860
chr2	9771230
chr12	111806967
chr16	1458312
chr10	70287296
chr19	8455164
chr1	163291658
chr9	140095366
chr11	73490630
chr11	6411570
chr16	3451130
chr3	184279420
chr3	88108277
chr15	41047510
chr17	40075368
chr3	48488110
chr1	228297048
chr4	185655410
chr17	42277616
chr9	123476872
chr19	53606745
chr10	124768410
chr19	18315076
chr12	110151469
chr4	48782453
chr8	95565850
chr13	73633044
chr5	176924677
chr19	53466203
chr1	150208554
