Chrom	position
chr18	362156
chr22	35971743
chr20	48682872
chr8	92019312
chr3	72307248
chr12	104214109
chr15	58203701
chr7	82810745
chr11	11968810
chr19	933442
chr5	94776382
chr13	30791726
chr20	31596242
chr8	137149163
chr17	31696414
chr3	3119796
chr3	148092975
chr13	41836039
chr5	150575361
chr20	33578735
chr8	48428770
chr20	31608547
chr13	63408681
chr8	122089419
chr5	149420677
chr1	153866549
chr22	31876566
chr3	64444005
chr12	32672160
chr18	500019
chr15	89144060
chr1	183842687
chr10	4372835
chr1	192489276
chr3	58014450
chr9	82149178
chr2	174788031
chr7	96004815
chr11	125935844
chr10	79484034
chr20	40897362
chr1	83516605
chr1	201562400
chr17	64241108
chr10	79422671
chr4	82618449
chr2	85215579
chr9	129992032
chr7	82320090
chr8	37821871
chr2	191500420
chr6	52285841
chr16	48504029
chr10	78442897
chr15	48533170
chr15	44385159
chr8	143039095
chr17	27822898
chr18	36378374
chr19	16078915
chr8	22397702
chr12	3105080
chr2	197360913
chr2	12606807
chr2	184692301
chr10	5876653
chr1	27318773
chr5	57416464
chr5	38317050
chr18	60506947
chr8	38408912
chr5	173324124
chr9	127021884
chr10	6239588
chr2	177039350
chr4	125951426
chr15	87326581
chr3	22451227
chr3	159855806
chr6	116268625
chr12	93886864
chr6	24505194
chr11	3155948
chr17	38789371
chr13	37029748
chr18	45361451
chr6	20876107
chr4	110309857
chr22	41393406
chr15	62413379
chr6	17704331
chr20	50053256
chr2	27078492
chr5	41793254
chr6	16345767
chr7	18212955
chr8	118113524
chr6	16337524
chr19	9945704
chr7	85125978
chr12	24034380
chr12	98503101
chr17	50173586
chr15	67188807
chr15	57228136
chr19	41374176
chr11	47004818
chr19	16250140
chr10	72800516
chr6	151330533
chr6	41489684
chr17	76673895
chr12	124746103
chr4	91064630
chr4	150176725
chr10	109963626
chr21	36113153
chr7	66146944
chr4	95833745
chr8	13515739
chr8	92059795
chr11	128236300
chr8	94165187
chr11	33308084
chr14	79733110
chr6	67252900
chr5	146781370
chr3	128279153
chr8	48590136
chr20	33562456
chr5	150601387
chr8	48582517
chr3	102444322
chr4	153731352
chr5	32489973
chr5	149406641
chr12	69415976
chr5	135994273
chr11	22492014
chr8	92819529
chr3	80331980
chr13	50075843
chr16	73172795
chr11	103537353
chr1	43836615
chr4	131774515
chr5	124706858
chr3	11186946
chr2	167681426
chr11	123137820
chr5	141800883
chr1	59692793
chr4	135239127
chr11	35530315
chr10	74921945
chr9	92008234
chr1	59057368
chr4	87901572
chr9	125222443
chr2	165373506
chr13	65592910
chr10	122139774
chr6	84103184
chr11	94933434
chr1	245683072
chr20	35443243
chr9	130847981
chr22	44758583
chr13	78265238
chr1	94116793
chr4	89712280
chr2	229732138
chr8	16907315
chr3	170623043
chr17	66549462
chr7	84492864
chr17	71112121
chr15	78360603
chr5	92652964
chr20	31837469
chr22	45441397
chr4	101279668
chr1	19449061
chr20	13141782
chr3	15364426
chr3	186021912
chr18	23651413
chr1	21303608
chr15	91537202
chr1	85578732
chr5	81851649
chr8	140670067
chr3	183984552
chr2	241883119
chr5	81141174
chr6	56593050
chr8	106973449
chr3	8493230
chr7	85480429
chr8	144014784
chr10	21975794
chr7	85483358
chr6	79810431
chr1	245875303
chr1	151608453
chr9	88745750
chr6	165721583
chr1	23560475
chr5	72126979
chr17	78936215
chr9	92607946
chr9	88808517
chr5	72282197
chr20	17874166
chr5	79553150
