Chrom	position
chr8	123541305
chr19	49877476
chr7	107168638
chr12	109999220
chr8	94895798
chr1	25232487
chr16	14974845
chr3	129316351
chr20	54207973
chr10	97334858
chr10	73811895
chr2	43996139
chr5	112160779
chr17	16438934
chr1	155688924
chr8	26382974
chr3	39051972
chr10	45594890
chr17	81394139
chr6	113971297
chr10	97319134
chr19	3500795
chr14	45134376
chr17	59565590
chr16	81007049
chr21	42974113
chr1	83999278
chr1	11012519
chr5	180494254
chr5	173918087
chr12	120317798
chr19	45406514
chr7	100100606
chr7	100673604
chr19	12737385
chr7	44039310
chr1	1724380
chr4	83013177
chr10	101818588
chr3	186109266
chr7	2555636
chr4	103198545
chr3	170222251
chr12	120302429
chr18	3261967
chr8	80485516
chr5	64768837
chr17	68457849
chr16	29863409
chr8	106657716
chr11	126063186
chr3	66220969
chr1	31938585
chr22	18001668
chr11	842695
chr12	106302637
chr19	42302657
chr8	47960797
chr13	75537996
chr2	238289022
chr3	50321631
chr14	51651588
chr6	2989740
chr6	3002100
chr1	18902702
chr6	148342697
chr1	5992118
chr1	11479011
chr19	35643651
chr14	39175104
chr4	139015617
chr16	70066138
chr11	86244649
chr6	82363666
chr3	152298864
chr8	406956
chr1	46303506
chr5	42812105
chr4	13484536
chr1	145996716
chr19	10195053
chr2	85538912
chr17	58352209
chr19	29844432
chr16	4624533
chr1	167222438
chr9	130693645
chr4	42657385
chr10	125823409
chr15	89243876
chr20	543976
chr19	4723953
chr7	155003273
chr19	49118910
chr7	100127274
chr2	119544292
chr7	75915058
chr15	89334950
chr18	3247647
chr14	74881834
chr15	92804163
chr5	91380086
chr16	4273035
chr12	62260245
chr2	200811712
chr5	134526967
chr5	134371299
chr12	113185607
chr12	120325615
chr5	132663359
chr20	25179429
chr6	159693480
chr16	24539315
chr22	20858897
chr17	35809207
chr1	202810791
chr1	200891392
chr8	18084258
chr8	21919452
chr22	29268138
chr2	86563092
chr16	29805515
chr22	19479316
chr8	96261763
chr17	63849078
chr20	50192477
chr9	6413187
chr9	15511117
chr1	27490441
chr7	105269198
chr7	43869549
chr3	9649242
chr19	49851040
chr7	21946053
chr17	7012475
chr19	49150422
chr11	576297
chr19	47778548
chr3	41962165
chr11	75768589
chr6	37172401
chr11	82901566
chr9	124771512
chr19	41397436
chr6	26596931
chr16	2205348
chr1	37479842
chr15	88467564
chr19	17075552
chr4	68350102
chr4	139082987
chr13	97433877
chr19	12790115
chr14	39432322
chr19	12801970
chr9	137550436
chr15	43185392
chr14	75278646
chr1	7961565
chr9	132410059
chr15	48332021
chr15	64825843
chr14	105491001
chr1	150293785
chr17	43483925
chr8	17155866
chr16	31179988
chr12	71839734
chr19	49451851
chr15	74461189
chr19	10333131
chr9	133133918
chr12	52069850
chr3	194672337
chr10	35090571
chr1	246566266
chr3	45388596
chr3	13648586
chr20	33993742
chr8	143597559
chr18	11851403
chr6	53548177
chr2	242088688
chr12	53626267
chr5	178130912
chr20	43590779
chr19	3968798
chr7	16646005
chr16	70114190
chr4	26319653
chr8	51899141
chr12	38316688
chr3	49094565
chr4	76949663
chr12	56126365
chr10	97401342
chr11	73142560
chr4	2963449
chr17	28335482
chr18	26090756
chr16	21953167
chr11	65570465
chr11	112086827
chr1	110034469
chr1	209828003
chr6	24721046
chr10	73785377
chr17	1724667
chr17	39200192
chr20	16729984
chr1	155563080
chr3	15601654
chr13	75549631
chr1	222644196
chr1	46132816
chr9	129824271
chr1	217631222
chr21	33491658
chr3	9396788
chr19	10928701
chr17	76266045
chr1	38991199
chr20	19903392
chr19	48638469
chr8	67062242
chr15	65184491
chr17	38800012
chr3	38453701
chr11	45899961
chr11	57667603
chr11	57657602
chr8	116874867
chr3	187745625
chr6	109382662
chr17	42744979
chr14	74084763
chr10	102918102
chr19	6737424
chr5	140647847
chr15	64163145
chr6	26532974
chr1	169483739
chr1	228487186
chr1	154936843
chr19	7629702
chr6	36986329
chr4	139176629
chr19	49813706
chr20	50958672
chr19	49765660
chr3	11272402
chr17	57850183
chr9	124862040
chr2	86106038
chr16	68079944
chr7	27663141
chr15	67254737
chr3	183635619
chr10	110864852
chr7	2354696
chr14	56579678
chr3	14651597
chr7	1506980
chr7	1504401
chr8	78516180
chr10	113087563
chr5	72320304
chr10	119892611
chr15	34969809
chr14	65102521
chr14	67816686
chr2	148645380
chr16	89216682
chr10	103599040
chr19	49149851
chr11	72814218
chr11	64916437
chr6	43014223
chr22	18612360
chr20	37179187
chr6	49463372
chr4	89111167
chr3	49120896
chr16	75648722
chr7	4641934
chr18	48946618
chr17	58679490
chr16	80541003
chr1	3624795
chr7	5190217
chr6	89940621
chr11	62839683
chr7	55366151
chr9	113407100
chr19	12669600
chr7	139231160
chr17	74432055
chr12	109052516
chr15	50003871
chr5	177312358
chr7	135148009
chr5	177006875
chr22	38656533
chr5	176536664
chr19	36379062
chr14	20461768
chr4	54064532
chr12	57846796
chr14	21103908
chr5	138337998
chr2	73780173
chr16	20900658
chr1	6199848
chr18	3037606
chr4	185396715
chr1	204398648
chr1	1659081
chr4	185426103
chr7	108569794
chr2	32277827
chr1	203682872
chr17	45161776
chr12	109900221
chr1	27322229
chr12	12611868
chr19	12791334
chr20	21126023
chr11	130002712
chr22	36239619
chr2	38875792
chr1	181112667
chr1	222713354
chr5	121961865
chr2	3575207
chr8	106270071
chr12	114684400
chr20	45971751
chr17	17237311
chr14	22598351
chr9	34637902
chr17	41734790
chr5	79236161
chr6	159789705
chr17	49678065
chr14	73786023
chr14	102139758
chr3	14124278
chr19	48501792
chr7	139341308
chr22	39145855
chr22	35372084
chr1	234716506
chr1	205122271
chr7	157138453
chr7	129948973
chr2	46617226
chr20	46090031
chr7	150323282
chr19	50376477
chr2	112542042
chr3	4467242
chr17	81395343
chr7	66995700
chr18	9742974
chr6	158040306
chr17	7234581
chr3	3179669
chr10	67884542
chr10	69179967
chr1	27234644
chr3	10026369
chr3	194135037
chr14	91061008
chr2	131492817
chr10	74826431
chr17	7484119
chr2	96638469
chr20	833748
chr4	77157001
chr9	109321195
chr10	36889135
chr17	30715225
chr10	100373453
chr9	92878077
chr10	7795845
chr1	173714926
chr17	28710540
chr10	97640577
chr22	30605794
chr7	98301181
chr10	23439038
chr19	54674247
chr7	95608908
chr7	92528764
chr19	49676601
chr7	88220227
chr14	99604529
chr20	36836916
chr16	31074410
chr6	30556574
chr21	42450197
chr2	30146585
chr12	56221454
chr5	176537938
chr17	64927719
chr3	126356061
chr17	64808688
chr12	53180698
chr5	179819173
chr8	125430254
chr12	50400618
chr12	49069927
chr17	64082319
chr2	27489774
chr2	75646736
chr4	174283756
chr15	63157391
chr8	123396822
chr6	157323520
chr4	173369870
chr20	62652238
chr3	100260992
chr3	88149929
chr6	26568798
chr3	79019665
chr11	119381810
chr3	72152805
chr8	141401655
chr2	201069562
chr2	201451523
chr1	6601255
chr1	37990092
chr2	218270351
chr3	159929655
chr3	160755291
chr19	18063566
chr13	72782056
chr5	115841687
chr21	34865429
chr5	132539941
chr13	77026529
chr2	70919969
chr3	140941756
chr1	51518195
chr12	89529989
chr17	75047139
chr16	11976601
chr20	50423321
chr12	104288814
chr20	2652538
chr2	208025540
chr13	113139235
chr5	140547643
chr5	141619181
chr1	61077207
chr19	35248516
chr19	35248839
chr16	55623354
chr19	45178457
chr14	24114924
chr20	32485332
chr11	65961689
chr19	1847789
chr11	112074168
chr19	45370788
chr19	14496329
chr11	57741362
chr2	87076945
chr11	47269234
chr11	46594115
chr17	51260276
chr17	82288165
chr19	45770715
chr19	1205722
chr16	87388419
chr3	32684958
chr11	9931067
chr11	9572878
chr3	32296946
chr16	88651607
chr3	23945925
chr18	9136547
chr9	135952579
chr16	89330265
chr2	24076358
chr11	60842020
chr6	36885885
chr19	43635235
chr11	86069202
chr1	147172370
chr19	2507277
chr6	33271906
chr19	11095281
chr8	102239828
chr16	69339630
chr16	58127135
chr14	34539661
chr4	128350035
chr20	49281416
chr17	48051943
chr8	119873624
chr8	61711190
chr9	20658379
chr1	205748936
chr2	96816195
chr9	20692708
chr1	54053247
chr14	103528991
chr1	154961890
chr17	59331611
chr8	70608372
chr19	9827805
chr2	96924400
chr1	45688225
chr8	100150646
chr22	35364431
chr20	2102487
chr15	41496094
chr1	145997398
chr20	2664256
chr22	23787582
chr9	32551066
chr17	45148085
chr1	204314434
chr15	34337740
chr15	40081801
chr3	196432439
chr2	10410404
chr1	109090692
chr15	39782914
chr17	44345138
chr4	49102575
chr17	66200920
chr1	153967898
chr22	30969177
chr1	88891541
chr1	212291682
chr1	166876333
chr15	50424122
chr19	10717809
chr22	31290758
chr17	42998309
chr1	77219394
chr22	23839210
chr2	32063518
chr17	42833231
chr15	34225024
chr8	144104454
chr22	20129446
chr22	17258318
chr2	20396264
chr13	20495717
chr1	214603043
chr14	21476521
chr3	111859571
chr16	30140019
