Chrom	position
chr11	114050166
chr14	35873250
chr3	127023262
chr17	8057790
chr11	114030922
chr2	101737206
chr20	25218613
chr6	25006859
chr1	235133178
chr17	57915015
chr8	91014005
chr20	45963046
chr6	42013604
chr5	172199542
chr15	85874620
chr10	74008733
chr6	35690437
chr1	8319395
chr2	241190954
chr6	35569863
chr11	114033712
chr7	12755553
chr11	35929784
chr1	154390932
chr4	6635106
chr10	74015036
chr10	74877845
chr5	133802246
chr1	154989919
chr2	121955222
chr7	95179665
chr1	150540744
chr6	35699805
chr14	76002397
chr10	3852538
chr1	145542844
chr6	108910624
chr5	149237259
chr5	66544726
chr2	20638553
chr10	75816348
chr19	39900353
chr12	120154580
chr5	94982533
chr9	112951532
chr3	188665915
chr19	18131311
chr20	45946188
chr20	49012019
chr19	8420735
chr10	35784560
chr19	46804321
chr20	49032336
chr9	73095818
chr3	183483384
chr9	96897731
chr11	65239710
chr14	95065699
chr1	65364000
chr3	141085459
chr7	100743662
chr4	57594895
chr3	72386347
chr19	3336905
chr2	85935952
chr9	33163130
chr6	35695899
chr8	48572081
chr21	45006067
chr7	50570171
chr16	56642246
chr3	24001036
chr22	24604154
chr19	2032502
chr3	185376594
chr3	177888635
chr11	114025413
chr2	46049239
chr3	156535037
chr11	12092102
chr4	78485487
chr12	92424622
chr16	24712395
chr8	18812499
chr1	172715661
chr5	171960916
chr7	156696417
chr20	30300556
chr7	95979042
chr1	32967719
chr11	65187630
chr7	47797648
chr9	74980797
chr9	73034194
chr11	34771990
chr1	65420961
chr5	71044447
chr9	73035052
chr5	173193598
chr1	53131482
chr17	80255434
chr4	129493082
chr5	10596146
chr1	41962092
chr3	187779155
chr3	171858638
chr6	35558579
chr2	30497697
chr7	158656663
chr19	47808848
chr20	10842350
chr6	12354910
chr15	31658149
chr5	123991829
chr12	110981531
chr1	24311227
chr5	125844834
chr12	13288961
chr6	159128347
chr12	52541318
chr12	66025648
chr9	91467888
chr3	101849265
chr1	145427662
chr13	50432859
chr19	2627689
chr19	14128857
chr1	8131161
chr10	46909444
chr7	105857830
chr12	6485493
chr2	101696948
chr15	75468917
chr4	102874442
chr15	68177126
chr1	204119484
chr1	162358511
chr6	44026509
chr1	150533929
chr2	86151757
chr8	27140177
chr1	157389914
chr4	89533562
chr8	124417947
chr2	102665102
chr3	105511366
chr1	95209683
chr20	49341521
chr13	30700108
chr18	55953149
chr1	229979900
chr6	134951776
chr2	28492353
chr20	36619202
chr12	66043034
chr2	122384944
chr16	66550887
chr20	49057487
chr1	147896561
chr19	3305344
chr13	40795644
chr20	23603762
chr22	30687210
chr16	11318252
chr1	184591626
chr17	38177933
chr11	102177181
chr3	30638908
chr13	45496152
chr19	12861279
chr1	156586455
chr3	98641818
chr6	140299328
chr12	115094060
chr5	66564211
chr10	3930402
chr1	234860044
chr11	9590648
chr17	80092161
chr19	18740819
chr12	76660719
chr7	139434447
chr11	110067102
chr12	31902372
chr1	161735959
chr14	50466021
chr20	46093321
chr13	44885301
chr11	114034840
chr12	13255223
chr8	38858922
chr10	97234297
chr14	93509957
chr2	46542579
chr5	148515181
chr10	45459769
chr2	23968804
chr10	30235944
chr12	13036486
chr12	122510677
chr14	77371556
chr5	159247292
chr1	209704471
chr4	78843033
chr10	97033457
chr6	108975415
chr2	223317354
chr7	17029788
chr9	140506846
chr17	57903083
chr10	65472147
chr3	124556813
chr17	46033078
chr1	64508534
chr11	61739253
chr12	56241889
chr14	31699030
chr12	52520454
chr5	6519878
chr6	3913949
chr3	53184440
chr2	38030357
chr22	43387097
chr18	21305971
chr3	30559912
chr8	100718195
chr14	69017302
chr13	109909557
chr13	40810552
chr2	161085320
chr15	68247305
chr1	31261631
chr10	21473387
chr12	104613376
chr16	23435009
chr17	60897355
chr1	27326118
chr9	130332898
chr16	15498940
