Chrom	position
chr20	58651199
chr5	138000310
chr18	24076371
chr5	68423411
chr4	26584007
chr7	105401786
chr22	36451850
chr2	99636776
chr2	151380818
chr17	997084
chr8	102808634
chr4	119454670
chr1	108647001
chr4	146506493
chr16	15591101
chr17	45226252
chr2	108595147
chr7	142808963
chr1	12408794
chr2	174610805
chr19	49987312
chr2	17309938
chr6	27388941
chr6	99426044
chr18	45974255
chr11	74011628
chr10	64067193
chr12	22544618
chr19	1021621
chr8	133654590
chr2	187982887
chr1	202810795
chr6	30908056
chr7	92633601
chr19	38675724
chr12	34022422
chr7	132755664
chr15	74546266
chr2	68365219
chr1	25998336
chr2	181407364
chr10	121935928
chr8	107307422
chr4	123444431
chr5	173616737
chr9	22210459
chr3	131502991
chr11	66701954
chr1	93079161
chr1	150613671
chr5	74063991
chr16	81758569
chr22	17118022
chr15	80643660
chr1	149979690
chr7	105012722
chr15	41402513
chr3	150324930
chr12	68760930
chr7	50342859
chr2	68441875
chr12	116559488
chr22	49970936
chr2	159730661
chr21	38985798
chr3	4831306
chr1	206612440
chr22	23766877
chr2	159754036
chr7	114084652
chr16	1972014
chr2	52120457
chr5	111513125
chr17	29852302
chr15	89075979
chr4	1410614
chr21	34020126
chr19	1354642
chr17	16380998
chr1	160154995
chr1	37990106
chr2	43210829
chr4	37648351
chr1	11908378
chr22	22559332
chr4	38529305
chr7	107318660
chr10	78756959
chr17	42248789
chr3	18209131
chr12	120293119
chr4	26076360
chr6	88270274
chr17	42388789
chr14	90383461
chr21	45257089
chr12	22797891
chr7	107180500
chr22	17116188
chr17	34413885
chr11	75340830
chr7	107027868
chr22	41446852
chr1	12162020
chr18	35458975
chr1	209835987
chr15	90916066
chr4	148425540
chr17	8138827
chr1	146387531
chr8	142372757
chr19	40523447
chr3	143168675
chr3	143222748
chr14	37027562
chr3	72614781
chr16	78099548
chr3	64023490
chr6	45728689
chr2	152223597
chr11	66421793
chr5	148403516
chr19	45643229
chr12	49235298
chr7	138257686
chr7	138164320
chr6	11122539
chr8	142383434
chr3	103499330
chr3	104367297
chr3	129225077
chr5	176837807
chr3	121749996
chr1	234963421
chr3	114606423
chr16	68227405
chr6	2543036
chr19	4769683
chr16	70428442
chr7	141956213
chr10	80205862
chr1	150545610
chr3	105806548
chr10	71868393
chr1	150487269
chr3	58366851
chr5	146881204
chr6	27139241
chr1	156282966
chr6	37130902
chr11	70111866
chr7	131022130
chr14	72477036
chr3	30646676
chr1	169605079
chr14	23695649
chr16	15998568
chr19	38637140
chr2	54589743
chr14	73811014
chr5	124708282
chr14	74713144
chr14	21098767
chr16	14000137
chr10	79317845
chr11	95429564
chr1	44213408
chr14	70359762
chr5	143351025
chr3	52253411
chr1	155244841
chr5	142397399
chr11	66002226
chr6	29964978
chr7	135161212
chr3	49806443
chr1	120176584
chr3	46488929
chr1	44721716
chr9	68983131
chr12	38316698
chr1	228472764
chr12	96183899
chr9	76166751
chr18	57728476
chr12	122646949
chr6	137970602
chr11	128713732
chr20	825934
chr9	112181189
chr12	123107204
chr9	129863241
chr15	52569155
chr9	129910812
chr15	76065377
chr10	103908460
chr2	20597209
chr20	31667497
chr2	208254161
chr15	78046863
chr2	174040012
chr14	105025001
chr1	7649156
chr4	77862715
chr8	71711694
chr1	202616241
chr17	77140558
chr20	35412027
chr4	123217165
chr2	230660827
chr7	66921013
chr19	7509817
chr13	40402614
chr9	127862347
chr1	181043214
chr4	170007316
chr17	62694638
chr11	108535681
chr15	31263477
chr20	34350369
chr19	55259347
chr2	27663822
chr8	103184669
chr11	47394915
chr4	77157008
chr1	174325148
chr2	190881935
chr15	81106673
chr20	5047128
chr4	148004611
chr20	4813710
chr6	134296083
chr15	67024634
chr12	6535792
chr5	530046
chr15	56246165
chr11	84686965
chr4	73104265
chr10	128064730
chr2	96638418
chr1	55217669
chr5	10792701
chr10	100374063
chr21	15441314
chr7	74271204
chr14	104394201
chr19	18630007
chr2	184192907
chr10	124036068
chr2	74922798
chr1	172647253
chr1	61725168
chr1	28648668
chr4	70688374
chr18	74251836
chr14	65222503
chr15	49175819
chr4	185107027
chr18	46895242
chr4	181980179
chr5	131593675
chr11	60188562
chr14	65044733
chr5	132114766
chr4	188595116
chr4	183630306
chr5	144711352
chr5	134367273
chr2	85523768
chr5	134411949
chr4	185112234
