Chrom	position
chr10	114709692
chr5	131132780
chr1	23811125
chr11	76092234
chr22	41844457
chr5	147763381
chr5	180619016
chr6	10415400
chr6	24360197
chr1	9489172
chr12	6875342
chr16	11350435
chr16	19499422
chr16	66968323
chr16	88754804
chr16	89883168
chr7	45039578
chr22	42466922
chr15	69366985
chr7	66205657
chr12	15841364
chr3	9791857
chr15	44092751
chr5	73936615
chr15	41245352
chr3	42846063
chr12	56473813
chr14	102783791
chr12	58087864
chr14	93215052
chr3	113415692
chr12	113659069
chr12	122124980
chr17	7518491
chr4	76649672
chr13	76056584
chr19	6372767
chr19	17420244
chr19	50432402
chr1	100715490
chr19	13001689
chr17	66244104
chr17	74449495
chr1	40723745
chr1	32479101
chr17	61851082
chr18	47807853
chr2	88927687
chr14	50583354
chr14	20929855
chr15	67547085
chr14	21082333
chr15	65809826
chr15	51634286
chr14	50470178
chr15	48623583
chr17	73775410
chr17	81009759
chr14	70234528
chr15	40987320
chr17	75954687
chr14	105956291
chr14	54863495
chr17	58677435
chr14	102606073
chr17	76183343
chr14	93509922
chr17	79849732
chr14	74353348
chr18	11981228
chr17	8059746
chr15	75249508
chr17	7162587
chr17	26972295
chr17	7117794
chr17	3795444
chr17	27230069
chr16	84769681
chr16	68279147
chr16	67282610
chr17	35306207
chr16	58163539
chr16	46917954
chr16	30662184
chr16	28936978
chr16	28835352
chr13	50698411
chr17	40540735
chr16	11836790
chr17	40719059
chr16	4303962
chr16	2955451
chr17	47785650
chr17	48929478
chr16	2732467
chr16	2653270
chr15	91537934
chr17	49337769
chr17	55938535
chr15	90437282
chr15	76603867
chr17	56592029
chr17	57232669
chr1	565321
chr13	44453862
chr10	71078487
chr1	150459774
chr1	151227135
chr1	151512756
chr1	154244997
chr1	154945237
chr1	154955601
chr1	155293055
chr1	157015702
chr1	161360067
chr1	169863098
chr1	193091206
chr1	207925370
chr1	219347198
chr10	1095140
chr10	12084455
chr10	25013686
chr1	115259444
chr1	112282128
chr1	109289247
chr1	41131213
chr1	23694725
chr1	25174853
chr1	26324859
chr1	27110704
chr1	32110760
chr1	33938274
chr1	36615190
chr1	43815248
chr1	100315633
chr1	46982925
chr1	47973887
chr1	52522283
chr1	61542780
chr1	71547043
chr1	89149838
chr1	94311895
chr10	70091775
chr10	72977986
chr12	123868424
chr10	75532644
chr12	46123290
chr12	46766636
chr12	49658622
chr12	49730962
chr12	52672884
chr12	53846432
chr12	56498068
chr12	56694190
chr12	58146231
chr12	64798857
chr18	19320670
chr12	69201802
chr12	109535654
chr12	110283185
chr12	120105747
chr12	121124564
chr12	121790363
chr12	33049386
chr12	32259597
chr12	22778045
chr11	117778065
chr10	96122794
chr10	104005121
chr10	123822911
chr10	133795478
chr11	805253
chr11	12131953
chr11	28129906
chr11	118306938
chr12	13251177
chr11	118889395
chr11	124824017
chr12	2016882
chr12	6445894
chr12	6745183
chr12	6862677
chr12	7125504
chr18	19180747
chr1	569409
chr18	19749393
chr5	179125806
chr6	24721641
chr6	30034748
chr6	30585108
chr6	30655140
chr6	32158077
chr6	33176433
chr6	37027557
chr6	43670669
chr6	52149768
chr6	56954763
chr6	88182662
chr6	111136616
chr6	126070652
chr6	157744602
chr6	158589158
chr6	159065876
chr6	168841748
chr6	7541703
chr5	142149833
chr4	84457176
chr5	141769159
chr4	122745197
chr4	125634109
chr4	169753109
chr5	1003646
chr5	34929479
chr5	43483975
chr5	54830998
chr5	73937224
chr5	76114748
chr5	77995553
chr5	96038452
chr5	114961897
chr5	118604420
chr5	130970970
chr5	134262749
chr5	141258852
chr5	141736345
chr7	916751
chr7	5013806
chr7	21466897
chr7	27135951
chr8	126104038
chr8	144072478
chr8	145980938
chr8	146052762
chr9	32384594
chr9	34458617
chr9	36190723
chr9	88356981
chr9	98270239
chr9	110251193
chr9	123630999
chr9	130533688
chr9	130860684
chr9	131592116
chr9	131709918
chr9	135819948
chr9	138799621
chr8	95732532
chr8	74268845
chr8	49427638
chr7	111846734
chr7	30174463
chr7	43966348
chr7	44622021
chr7	47268397
chr7	65235796
chr7	91764188
chr7	100026456
chr7	121784414
chr8	28242969
chr7	129074205
chr7	129710304
chr7	148892487
chr7	156433253
chr8	17354468
chr8	22926607
chr8	25315823
chr4	85887864
chr4	77870839
chr18	25757060
chr2	71295727
chr2	148778382
chr2	159981331
chr2	200322343
chr2	201753860
chr2	219433550
chr2	230786818
chr20	328891
chr20	2451529
chr20	18568482
chr20	25388558
chr20	33464098
chr20	34204238
chr20	34252826
chr20	34330370
chr20	35402181
chr20	37554927
chr20	42839601
chr2	114647613
chr2	44395104
chr4	52709125
chr2	32853062
chr18	59854239
chr18	72163482
chr19	4328436
chr19	4472006
chr19	6425437
chr19	6753853
chr1	16563667
chr19	9945789
chr19	17448207
chr19	36266265
chr19	45250804
chr19	47616445
chr19	52192298
chr19	53606795
chr19	58874118
chr2	20251422
chr2	32582103
chr20	47894721
chr20	57467385
chr20	60698145
chr20	61273689
chr3	99536641
chr3	114866639
chr3	131100397
chr3	133614542
chr3	152879769
chr3	167452939
chr3	185827057
chr3	197687045
chr4	981189
chr4	2243993
chr4	2403992
chr4	4675032
chr4	6200572
chr4	11430594
chr4	37828274
chr4	38869275
chr4	39184015
chr3	98312662
chr3	52188809
chr3	48130397
chr22	50908421
chr21	35014718
chr21	38071099
chr22	17565721
chr22	32807946
chr22	36806197
chr22	43044874
chr22	45088210
chr22	50946829
chr3	47484802
chr22	51113726
chr3	20227784
chr3	27525973
chr3	36421908
chr3	38178742
chr3	44803219
chr3	47018302
chr1	17765136
chr19	7571586
chr1	8938827
chr1	2518002
chr1	877190
chr1	1851106
chr1	11370615
chr14	35804852
chr22	50450071
chr22	50445687
chr22	50355113
chr14	36295625
chr14	36296046
chr14	35591061
chr22	50342431
chr22	50322470
chr22	50312126
chr22	50247343
chr14	37131028
chr14	37667200
chr14	35761506
chr14	35515456
chr14	38065414
chr14	35098150
chr14	33409056
chr22	50913564
chr1	2219330
chr22	50747218
chr14	34931705
chr22	50743197
chr14	35098825
chr22	50628912
chr14	35099411
chr22	50710338
chr22	50708976
chr22	50700293
chr14	35450266
chr22	50639357
chr22	50149377
chr22	47224614
chr22	47589094
chr14	53196765
chr14	51411259
chr14	51562190
chr14	51706734
chr14	52118793
chr14	52780916
chr22	46373104
chr22	45933709
chr22	51001292
chr22	45895855
chr22	45665051
chr14	53684272
chr14	53684600
chr22	45664297
chr14	54420256
chr22	46481810
chr22	46506225
chr22	46515852
chr14	51027888
chr14	50863666
chr22	46546203
chr22	46663839
chr22	46933705
chr14	50698454
chr22	46977903
chr14	50359812
