Chrom	position
chr20	31608679
chr2	239247869
chr4	173252452
chr7	121298954
chr3	4987017
chr3	189132458
chr13	30832933
chr15	74546296
chr2	157628752
chr1	12478410
chr2	226995868
chr1	55429279
chr2	100291432
chr17	75707241
chr10	118423985
chr10	112519381
chr20	51661773
chr1	43008906
chr6	35606357
chr15	92904295
chr1	8197993
chr16	15899770
chr17	58391617
chr10	103895487
chr11	120710572
chr17	72413475
chr14	68599051
chr10	31941224
chr2	9233203
chr12	98399718
chr10	70578737
chr8	127743093
chr5	133051698
chr7	130894361
chr8	16826378
chr6	21110096
chr12	46371504
chr1	15140000
chr22	28924006
chr9	124769846
chr7	27124234
chr17	71632541
chr1	45304124
chr17	71424389
chr4	55550096
chr12	89354108
chr1	6242409
chr7	104943761
chr21	31316502
chr5	175861615
chr7	116218455
chr16	74578204
chr12	114799789
chr1	94605862
chr17	57375958
chr1	171916599
chr1	46466585
chr2	15177249
chr12	27841520
chr2	1594083
chr2	43294018
chr10	99780347
chr5	37666084
chr9	129488686
chr22	37752750
chr9	129557609
chr20	62740461
chr2	226115272
chr13	113817172
chr7	74994115
chr8	131664069
chr1	12540363
chr20	34704334
chr9	132857825
chr1	11479033
chr10	1049154
chr6	8959102
chr12	75960223
chr21	17501583
chr4	2413182
chr4	123478943
chr18	49656327
chr2	188496191
chr17	45371796
chr19	9075783
chr12	124833908
chr2	100284373
chr10	103908464
chr12	75724537
chr17	40951440
chr9	135907380
chr6	14271293
chr17	41404201
chr8	37545622
chr10	17512762
chr22	32412232
chr7	5594286
chr9	96491642
chr2	43163099
chr3	31288814
chr5	96781239
chr6	35368744
chr10	112536798
chr2	30511262
chr15	66765924
chr4	113645979
chr3	64533804
chr16	20904980
chr10	79068880
chr9	107243891
chr1	940395
chr5	139756258
chr19	7652206
chr4	11505609
chr1	15834848
chr1	8182520
chr17	49968668
chr1	235079628
chr4	30948759
chr14	23301464
chr4	95511304
chr9	21685143
chr19	45154727
chr21	43659529
chr7	27115397
chr22	46774079
chr3	141368383
chr11	62881635
chr14	68295552
chr12	65510783
chr9	21788763
chr17	65784060
chr10	75294988
chr15	66702228
chr11	12815068
chr9	133558294
chr19	10418169
chr8	141399307
chr4	4575376
chr6	158853720
chr6	18693096
chr9	129694465
chr19	2047568
chr16	66434057
chr17	50944766
chr17	70863812
chr17	8126572
chr17	81397523
chr12	88931771
chr18	48456104
chr4	83207887
chr8	93846731
chr9	127579174
chr12	14208148
chr17	14302760
chr1	66350246
chr17	10095512
chr8	125644553
chr15	62897139
chr8	93903029
chr8	131843275
chr4	119300633
chr6	43635827
chr2	43414747
chr19	46068739
chr9	33001666
chr8	11854085
chr7	55086586
chr4	26568752
chr8	88715966
chr7	88289783
chr5	56350835
chr16	69396679
chr1	93079188
chr19	18380439
chr12	124609260
chr4	168574931
chr8	144336737
chr11	104669308
chr11	10659794
chr7	155961957
chr6	87155500
chr7	27171438
chr6	12348814
chr17	57372349
chr6	170153191
chr17	40957033
chr8	19014473
chr1	84156433
chr2	230905637
chr18	3665928
chr1	168406149
chr6	119533849
chr7	23334760
