Chrom	position
chr17	82458237
chr19	34359364
chr1	8879024
chr15	92809213
chr4	185396473
chr6	87155551
chr16	30065537
chr8	133375702
chr10	73096937
chr3	48557266
chr3	11642613
chr19	4968616
chr15	90165902
chr18	13726612
chr7	54759317
chr4	119300733
chr6	89081832
chr22	30424136
chr11	18394495
chr3	4987054
chr10	97426064
chr12	7970814
chr1	40161399
chr14	23301496
chr15	72226884
chr14	33938509
chr8	26383688
chr19	5720200
chr2	219230431
chr16	31094953
chr1	11929992
chr2	172556070
chr7	105012807
chr4	26319472
chr1	65148687
chr5	91280647
chr3	146161380
chr4	173369876
chr17	18183079
chr8	133216762
chr10	6201668
chr17	47229956
chr1	113812566
chr2	200713320
chr6	44073491
chr2	86440851
chr3	81761095
chr2	118088185
chr5	131635629
chr1	234612836
chr2	74833861
chr12	6533537
chr11	14520569
chr1	58755682
chr9	127579000
chr9	123930287
chr8	28412066
chr20	50166069
chr3	25790059
chr3	122384101
chr1	155244823
chr15	74615633
chr10	72273827
chr12	124938705
chr5	159207905
chr10	131982041
chr2	135985104
chr4	77158402
chr15	84915120
chr3	190566641
chr1	244835350
chr17	82231104
chr3	38165001
chr12	54432641
chr19	16572520
chr14	49999314
chr11	34105665
chr3	88059319
chr1	143247067
chr14	64987066
chr9	19161923
chr18	23453143
chr12	120474840
chr11	9759844
chr7	158864182
chr19	8362143
chr8	134832487
chr12	10613697
chr2	219298944
chr7	75486318
chr2	84946643
chr14	70046260
chr12	124838348
chr8	28365958
chr5	167723486
chr21	8220005
chr19	53103390
chr10	73773006
chr3	100492644
chr1	1614292
chr7	66921057
chr7	128455775
chr3	4979257
chr3	157088963
chr10	98134568
chr3	195271625
chr5	151081397
chr5	115544977
chr12	12725398
chr22	23894411
chr2	39124409
chr16	67170380
chr8	22598212
chr11	74171420
chr20	62623680
chr1	235129042
chr12	6534375
chr16	31108332
chr10	72261054
chr1	203026565
chr6	125780872
chr5	173329565
chr5	1568792
chr11	102288209
chr9	15422707
chr6	43668298
chr11	568610
chr9	6757688
chr14	67695788
chr15	74890050
chr4	49121022
chr10	47776020
chr4	88823796
chr1	8212233
chr1	236524505
chr12	12788917
chr19	2087300
chr5	134005007
chr10	42070579
chr3	93470583
chr10	101588326
chr20	35617574
chr2	110101504
chr16	80027380
chr15	72230525
chr1	207824030
chr17	40312530
chr10	91633303
chr16	46386432
chr17	19977915
chr22	36529134
chr16	14364589
chr15	40379961
chr16	1827509
chr1	43946514
chr1	33036919
chr9	35657899
chr11	62025704
chr21	29259179
chr16	46380891
chr11	72434536
chr12	56152485
chr22	46762583
chr6	137811606
chr4	145938914
chr1	109546488
chr3	81761749
chr1	207806011
chr12	45233136
chr16	46399395
chr10	100346517
chr3	10115524
chr2	74740878
chr14	61751175
chr13	25301553
chr1	228140246
chr4	100096191
chr19	941245
chr4	185426256
chr1	155085267
chr21	8234503
chr17	27294001
chr9	121558151
chr12	6914470
chr20	45781717
chr16	46388731
chr8	61714846
chr1	205543704
chr6	44011031
chr5	118988567
chr1	231422274
chr3	98593819
chr1	143263453
chr3	149225375
chr6	2988631
chr7	102363839
chr15	75666889
chr4	102869201
chr4	158210496
chr19	49145964
chr1	67500571
chr1	33342363
chr17	26603919
chr10	3467601
chr1	39883611
chr12	14770386
chr5	132228010
chr6	11393225
chr17	7835735
chr5	134648548
chr19	45405122
chr1	9067485
chr1	228486765
chr21	43728603
chr5	181191900
chr16	71484143
chr3	196082161
chr21	36430250
chr1	42958319
chr1	202811506
chr3	39152792
chr17	25920207
chr17	38286758
chr21	10270315
chr17	7351942
chr8	102528749
chr16	8661162
chr12	122752663
chr21	25607524
chr19	13054008
chr21	33915840
chr19	10106620
chr15	63372563
chr10	16986665
chr12	13044400
chr7	35800946
chr10	72297474
chr2	223041721
chr17	76872802
chr2	217653549
chr8	81194196
chr6	157021524
chr5	102756160
chr17	82648474
chr9	91423385
chr12	9798189
chr1	143231954
chr3	9363080
chr19	18557791
chr2	177618754
chr10	133689439
chr16	46387833
chr7	101218052
chr11	60842059
chr7	139036063
chr4	56437085
chr5	96068107
chr17	7990367
chr10	69507993
chr13	76980268
chr11	10308083
chr11	47981866
chr3	107524916
chr2	9287752
chr2	84905267
chr15	101616213
chr5	111092269
chr12	49222752
chr2	70142887
chr4	7068064
chr4	49107445
chr1	99808863
chr8	122760352
chr4	184734271
chr17	81861115
chr1	125170163
chr9	91197395
chr12	2640877
chr19	48993636
chr10	38094296
chr8	26451308
chr2	88055843
chr16	46383344
chr10	77505150
chr9	35673901
chr10	68901275
chr20	56392597
chr12	6534708
chr7	101117526
chr2	90390717
chr11	113875734
chr1	40374604
chr1	143264271
chr8	38528288
chr21	44939989
chr2	110212532
chr7	76549274
chr2	176001605
chr5	14036099
chr1	159910551
chr17	18315062
chr14	34060299
chr3	140942664
chr10	14397311
chr4	123397420
chr12	124423308
chr8	23164046
chr11	71299508
chr4	77921897
chr2	676744
chr12	2812813
chr10	6299445
chr4	185396716
chr10	102399687
chr1	45500153
chr18	3771548
chr11	102477005
chr12	75511745
chr3	184250482
chr5	49666210
chr1	63593794
chr1	143203816
chr8	69644220
chr5	136058517
chr21	32772006
chr3	128680887
chr12	56118176
chr1	143245829
chr10	97840288
chr2	28392808
chr19	37172836
chr3	197960082
chr20	62875682
chr4	88593284
chr12	45728918
chr16	75109075
chr20	37542391
chr5	1174563
chr17	28576933
chr16	46400135
chr1	143230889
chr1	167220221
chr14	34035793
chr1	43058696
chr8	142235236
chr5	77030340
chr1	143184719
chr2	90397797
chr10	3091133
chr5	115626129
chr16	34573077
chr17	26885776
chr15	99486473
chr1	143221788
chr12	57752537
chr12	70645783
chr1	143245010
chr7	72879340
chr16	87853906
chr16	46401435
chr8	80171666
chr14	52695674
chr1	201791936
chr10	75210453
chr4	125729770
chr1	14742481
chr17	43251707
chr19	39970958
chr12	6868088
chr8	30141780
chr2	90383847
chr21	33364461
chr5	49602049
chr15	34437886
chr1	16352536
chr19	10333307
chr17	57850115
chr1	143235055
chr3	138609580
chr19	18007812
chr19	41397785
chr4	49710579
chr8	133382056
chr1	17233888
chr7	45978471
chr6	46704842
chr2	30273438
chr20	46089978
chr1	23825459
chr2	55617774
chr7	155166886
chr19	55643560
chr22	17159277
chr9	5621500
chr1	36088916
chr11	125569330
chr17	58232998
chr4	49657601
chr19	10749212
chr6	161407641
chr19	11505591
chr1	143266435
chr11	66892379
chr10	110210114
chr9	112041879
chr6	166557108
chr3	4417090
chr6	26296158
chr18	48675516
chr1	22451927
chr1	143193544
chr13	51583974
chr4	139295877
chr7	58434575
chr6	28980938
chr2	177906207
chr9	100426687
chr1	143239254
chr5	111758224
chr1	186375647
chr16	85514938
chr17	47502416
chr7	140626531
chr3	48685661
chr11	10398680
chr18	58045081
chr8	22109162
chr17	78592674
chr1	21238621
chr11	6683418
chr1	143253322
chr19	49451820
chr13	113393827
chr1	155273521
chr19	3176270
chr8	141119905
chr16	34574269
chr19	8363922
chr2	96638387
chr8	23345464
chr10	42097249
chr21	34888214
chr19	7197407
chr11	73377257
chr5	122078399
chr5	177447944
chr22	35372215
chr2	85537935
chr11	57424939
chr16	2009973
chr5	108642366
chr7	106285262
chr19	14207015
chr19	11293921
chr1	15356504
chr1	28354227
chr16	70715324
chr3	122978259
chr16	34596096
chr9	113221353
chr6	2765466
chr7	112939494
chr22	38202597
chr2	133818471
chr4	85743537
chr20	19880757
chr5	6712848
chr1	181023018
chr14	104736431
chr1	163321862
chr20	28602783
chr16	46884079
chr14	50543152
chr9	93120101
chr16	46390534
chr12	122526753
chr13	112032353
chr1	27542565
chr16	4271944
chr2	202634728
chr16	34593266
chr7	151809049
chr18	62437315
chr20	47360264
chr1	143234471
chr18	712550
chr18	74147843
chr6	166958482
chr5	100535229
chr6	70667823
chr1	15952841
chr19	17950534
chr11	76444692
chr19	15073052
chr3	66220998
chr2	219577054
chr6	43799055
chr16	46384826
chr5	132265813
chr7	108526361
chr9	19127590
chr3	71982791
chr22	20916921
chr10	8279696
chr9	118331852
chr11	65455284
chr5	68434284
chr18	34493259
chr4	156942087
chr12	92145866
chr19	36054340
chr16	88240256
chr12	6778920
chr12	82358526
chr19	44742027
chr19	9675151
chr17	19363081
chr10	72319740
chr10	100374027
chr1	42962804
chr1	110407686
chr6	53651921
chr9	100429434
chr20	31608465
chr8	102810665
chr16	46394807
chr2	231613955
chr22	46754619
chr19	58573559
chr17	2949938
chr10	69318581
chr2	15561210
chr12	127166063
chr21	44873929
chr6	81997624
chr12	57127395
chr11	18013592
chr8	81842573
chr12	53757231
chr20	45088548
chr10	41875446
chr17	15945293
chr6	15245369
chr4	49711540
chr11	64924679
chr19	43021805
chr2	90381142
chr2	90381660
chr2	200862233
chr8	47659952
chr3	172140688
chr14	73612661
chr13	24271031
chr7	6729772
chr12	35614994
chr17	1115307
chr16	34592826
chr20	34526084
chr11	74949162
chr5	93078737
chr12	54259362
chr10	42080608
chr1	95072970
chr1	205122293
chr15	60592301
chr22	24894687
chr15	58771273
chr5	149581294
chr12	71754814
chr14	64503864
chr11	68354460
chr1	41496399
chr14	51095938
chr2	90384530
chr19	15107153
chr16	34581465
chr10	35386939
chr3	187744170
chr9	2242056
chr1	143218183
chr17	7440135
chr12	121352571
chr5	143246060
chr6	110982050
chr3	194593581
chr5	133968701
chr22	31177623
chr15	43824745
chr19	4379731
chr6	111997282
chr17	80892213
chr1	33455944
chr12	124917268
chr10	38402559
chr6	155315077
chr1	143273135
chr16	34586842
chr1	143215931
chr10	14074571
chr8	38901772
chr2	130392146
chr6	143450765
chr7	155209280
chr22	37696833
chr6	124961941
chr21	44300406
chr11	10307999
chr19	39833934
chr2	20179790
chr18	25737883
chr10	77531587
chr14	31229827
chr17	2359804
chr17	38675077
chr11	128693977
chr20	25696930
chr16	46384471
chr10	44982282
chr12	104220226
chr16	66618610
chr1	193121824
chr4	120050033
chr9	81588379
chr17	7572547
chr20	6006078
chr1	167803632
chr1	85607381
chr12	12803341
chr1	29182039
chr6	151067929
chr5	49601566
chr20	31075643
chr2	241218840
chr8	28352117
chr19	6092663
chr5	177194414
chr3	47475998
chr4	49102607
chr19	10304082
chr6	159000181
chr12	124386305
chr7	1176456
chr14	20682780
chr5	74767188
chr21	33976322
chr16	79169367
chr17	74635622
chr1	27112454
chr4	180828705
chr6	36594214
chr6	26029183
chr1	143256232
chr4	143559188
chr22	39319708
chr16	87860815
chr2	102227866
chr2	74917942
chr5	73448740
chr1	20411389
chr1	180168196
chr19	2163776
chr1	112466255
chr2	113241026
chr16	34594635
chr5	38846015
chr2	217902929
chr11	65911792
chr5	173455330
chr17	29390268
chr17	72716401
chr17	76493397
chr16	34584744
chr10	42096339
chr5	34586305
chr22	40666569
chr22	42947797
chr1	6199679
chr2	28751786
chr8	38031326
chr16	46400868
chr1	228165682
chr16	84643278
chr18	7950958
chr3	187508150
chr10	97889711
chr3	153160556
chr9	124143051
chr1	827539
chr11	57657606
chr14	89416149
chr1	32817408
chr6	112468519
chr5	138575895
chr19	52189638
chr2	131492958
chr10	74825737
chr17	40140383
chr4	15234313
chr17	66275786
chr5	154858508
chr11	65096153
chr11	66421783
chr9	37954362
chr16	636395
chr11	40329374
chr15	84633504
chr2	46073888
chr5	163566079
chr8	23854152
chr2	46233052
chr14	77457773
chr3	150763207
chr11	65615346
chr17	77255598
chr17	78840914
chr18	11689143
chr6	121334546
chr17	75453227
chr19	46299142
chr10	75192234
chr7	23273286
chr15	67178812
chr2	10400739
chr9	91100137
chr3	134333698
chr8	139894745
chr3	143602265
chr8	124772358
