Chrom	position
chr17	55927510
chr2	219433499
chr16	30933945
chr9	140513112
chr17	80023777
chr2	74699807
chr8	80942496
chr20	32398933
chr12	69080727
chr9	140473385
chr3	47517464
chr1	1342700
chr19	2950573
chr5	93954330
chr2	27994591
chr3	119217298
chr3	183602697
chr6	42185619
chr20	62339280
chr3	48481560
chr20	35918048
chr8	56987136
chr7	76751711
chr11	71823731
chr15	64648410
chr12	49961929
chr18	22006583
chr20	36662119
chr12	102513903
chr3	100120014
chr12	70637182
chr14	75643355
chr19	37064232
chr12	48551295
chr1	44820964
chr17	26662530
chr8	110552356
chr12	53845799
chr11	118889097
chr21	46221753
chr20	60962101
chr13	46039013
chr11	32605344
chr2	153573992
chr7	102937857
chr19	39616690
chr16	19729555
chr11	86013289
chr1	28415134
chr14	78174382
chr7	48019307
chr5	153418498
chr7	66386143
chr6	13615540
chr11	111957579
chr9	127624264
chr18	54318878
chr14	24912123
chr11	94706764
chr11	10772728
chr8	105601564
chr17	42092392
chr12	57119141
chr11	65729182
chr19	4723843
chr6	31927061
chr3	37217874
chr3	142720376
chr2	105953752
chr19	14682899
chr2	200820482
chr2	74710203
chr8	117778735
chr20	20033132
chr4	668072
chr6	160148102
chr11	64037563
chr9	74526518
chr17	61920560
chr1	109633328
chr5	176981627
chr19	2328620
chr3	119395974
chr20	34287292
chr21	30375119
chr7	99679378
chr3	121468809
chr17	7218733
chr22	47158789
chr8	42698504
chr4	152020700
chr17	27279416
chr21	27107382
chr2	74682121
chr9	127177727
chr3	52029929
chr2	39103094
chr20	62612473
chr1	165738136
chr8	120845085
chr10	12237957
chr12	56223431
chr1	6761886
chr17	80709908
chr11	33183078
chr4	47916823
chr1	149899704
chr12	498819
chr2	26568717
chr1	213224578
chr7	158649156
chr22	43485461
chr4	57333747
chr6	693146
chr12	50794598
chr10	101491875
chr13	41837707
chr2	232826417
chr7	91875250
chr12	96252704
chr10	103348019
chr5	1801524
chr20	19997941
chr13	113344157
chr1	33283001
chr6	31633752
chr14	75593776
chr4	123844226
chr3	150264527
chr11	65382795
chr11	62495915
chr3	158362311
chr8	124286548
chr19	11513067
chr20	42087887
chr16	31128960
chr12	122326537
chr16	4784278
chr8	21867764
chr17	2615099
chr3	15140678
chr7	23338813
chr3	15419851
chr16	67700690
chr16	47007625
chr6	96025656
chr5	78908292
chr11	118868845
chr7	129710157
chr1	111506861
chr18	43678292
chr12	53574458
chr11	576461
chr20	44510049
chr20	33999790
chr17	42581038
chr20	16710614
chr2	238969398
chr17	40714155
chr19	14192168
chr2	230787002
chr11	105893170
chr10	27443347
chr8	96037213
chr7	1015199
chr1	84944902
chr2	73441367
chr7	4681640
chr19	58898581
chr9	136203083
chr6	36853694
chr19	1905784
chr1	38019930
chr17	61851192
chr1	155904338
chr8	145653965
chr10	119806476
chr7	97601681
chr3	88199041
chr19	15543639
chr1	171711240
chr14	35761587
chr9	125675638
chr19	51963890
chr7	39663161
chr4	109541710
chr12	120632530
chr16	30569742
chr5	892967
chr10	102747290
chr16	24740936
chr14	45431330
chr2	96971303
chr16	14014022
chr3	127842844
chr11	77348866
chr15	59981514
chr12	2113737
chr11	64885193
chr16	12070497
chr1	11862844
chr7	6865952
chr19	9938520
chr9	72375010
chr11	58345733
chr5	133702910
chr1	226374438
chr7	72936785
chr12	131727615
chr17	38137014
chr7	44240517
chr3	12705703
chr17	41561332
chr1	46713351
chr19	37178388
chr14	69865355
chr5	143550219
chr1	29508698
chr1	10534958
chr1	32860049
chr1	45452329
chr1	222763285
chr19	59066377
chr14	96000993
chr9	132816162
chr12	69864155
chr11	46615645
chr19	50145248
chr5	114598591
chr12	123868272
chr22	41864714
chr4	41937148
chr22	20104990
chr10	75012465
chr15	41408674
chr15	59949734
chr1	211849286
chr2	64247010
chr15	82555091
chr2	28113259
chr2	109065624
chr19	6393233
chr14	95623960
chr20	37591011
chr5	114961778
chr3	49195739
chr4	144106107
chr1	36930004
chr5	40835388
chr6	30524705
chr17	41150410
chr1	78245308
chr8	144816282
chr6	41747707
chr14	21852206
chr19	49713429
chr1	1175346
chr4	25915861
chr2	101618715
chr10	75541794
chr3	180319901
chr1	43124085
chr19	58987393
chr7	141438170
chr16	89572045
chr2	162164947
chr10	7860411
chr11	14541946
chr20	54967647
chr3	113465103
chr1	151162704
chr11	64073639
chr22	35653429
chr9	139839192
chr7	1544051
chr12	22697522
chr10	21814844
chr3	14693127
chr2	178257464
chr15	66161748
chr17	35969473
chr17	37027908
chr19	2236822
chr1	43855557
chr15	85259398
chr16	27214815
chr4	100815585
chr15	52861346
chr11	102962917
chr17	80376490
chr8	182421
chr17	80489047
chr12	57146205
chr5	14664775
chr19	5791198
chr7	132937701
chr1	156721699
chr19	2273840
chr14	35452135
chr12	82752247
chr16	23652717
chr8	74884450
chr6	146136037
chr3	178865877
chr9	128469498
chr4	83956188
chr1	202317632
chr6	99873240
chr19	44617494
chr11	57479986
chr1	155179046
chr12	110486472
chr6	88299806
chr1	172413209
chr19	19477757
chr12	95467325
chr5	64920830
chr2	152266355
chr9	36258487
chr9	129567275
chr17	34842389
chr11	62539108
chr8	54934932
chr21	30446107
chr1	169337301
chr4	13629358
chr1	27675511
chr7	135347222
chr15	63413921
chr9	128003902
chr1	246859944
chr16	2255467
chr22	39898350
chr1	202311083
chr12	56401144
chr20	18118451
chr12	25403917
chr3	47554937
chr10	103815535
chr2	209130836
chr15	31196025
chr22	41215356
chr21	45432627
chr17	80009778
chr6	33257350
chr2	73964557
chr7	135662118
chr7	144533125
chr19	965310
chr19	1935701
chr5	32444799
chr1	1655826
chr12	75905433
chr19	13056652
chr17	37769381
chr11	45939770
chr1	20987939
chr1	151138017
chr13	21714713
chr14	21458117
chr11	66206326
chr3	49203824
chr2	207024516
chr2	204103615
chr1	145507586
chr10	72475761
chr6	116892531
chr17	1933408
chr2	203776422
chr16	68279089
chr16	12897830
chr10	22605340
chr1	45097600
chr11	67236838
chr16	30392819
chr19	50887594
chr17	41869159
chr2	27603337
chr11	61658506
chr1	53480565
chr2	175260450
chr19	45394054
chr15	60878131
chr8	145133482
chr3	157827842
chr3	39149131
chr9	134378343
chr14	70826482
chr12	133757975
chr9	136890536
chr7	72971659
chr6	32098209
chr2	54014131
chr14	31889936
chr14	75179817
chr1	173684017
chr4	89744392
chr3	37285218
chr17	37844328
chr1	12290032
chr14	21979559
chr10	135207709
chr17	2239762
chr5	53813480
chr1	178062807
chr4	108641537
chr22	44351242
chr1	3663937
chr9	116036906
chr19	6738189
chr19	17420671
chr16	69166502
chr1	10458943
chr6	10404883
chr16	70669428
chr7	129845322
chr2	39351578
chr10	75503788
chr9	37568723
chr19	1068294
chr19	1173793
chr1	168148120
chr19	980683
chr20	44486373
chr12	76371926
chr12	67663051
chr4	140222619
chr17	58213156
chr17	45973279
chr14	69658207
chr16	30366623
chr14	24701551
chr19	13228961
chr12	58329981
chr20	30946251
chr1	154946883
chr10	104180773
chr15	93447506
chr11	82783095
chr8	95565723
chr15	67835006
chr7	99036476
chr4	7069936
chr2	70314539
chr7	139477936
chr22	51020991
chr2	70528476
chr2	58274414
chr11	64765813
chr1	222886601
chr2	44394957
chr4	48833084
chr1	153931198
chr2	43823179
chr22	32870681
chr11	8008680
chr11	8710534
chr1	3713101
chr9	100395864
chr1	6259749
chr5	72115012
chr12	6798546
chr18	72922752
chr16	4401302
chr20	18774661
chr7	32530073
chr19	5358404
chr16	18801781
chr11	77706069
chr7	2903431
chr19	19745208
chr16	9531158
chr2	24299235
chr19	11639939
chr19	10197333
chr14	70883816
chr8	145011983
chr1	762866
chr15	101835513
chr16	58426327
chr19	8139641
chr20	34129896
chr6	3259190
chr2	214016651
chr3	184016799
chr9	33165880
chr5	137514637
chr7	123197921
chr16	30640229
chr2	202097103
chr8	28747364
chr7	127032779
chr19	49311198
chr12	56435662
chr1	203830701
chr2	148778502
chr2	99797622
chr1	95538512
chr6	143999113
chr1	114447904
chr19	51041228
chr17	57784817
chr12	53693473
chr16	22019394
chr1	61548232
chr20	35513937
chr9	132586514
chr11	62414098
chr4	8703501
chr8	42398408
chr19	51294430
chr17	16120483
chr6	111804673
chr3	139062831
chr2	175901472
chr6	43655542
chr17	5372396
chr19	52599007
chr16	30546262
chr11	134123392
chr1	173837493
chr20	2489825
chr1	206911924
chr4	1723019
chr12	112123837
chr19	19328127
chr1	44435504
chr12	56511975
chr22	20861845
chr5	94890752
chr11	8986037
chr9	138986224
chr1	233086012
chr19	4791577
chr7	102389388
chr3	14165916
chr17	75446624
chr17	58754718
chr4	6988891
chr16	85045149
chr5	125936633
chr15	48623616
chr13	52586511
chr9	136223368
chr17	48799067
chr12	118810880
chr19	19887328
chr17	62340801
chr1	150898828
chr1	110752602
chr9	135282227
chr17	18218582
chr10	124913776
chr7	72722862
chr4	6911140
chr19	49403307
chr1	42800911
chr22	31742364
chr3	39424840
chr5	31532346
chr9	134406671
chr22	31365420
chr17	4396730
chr2	170430389
chr11	59382764
chr6	18504184
chr7	44788365
chr19	6141437
chr3	47018534
chr8	92082543
chr17	46185140
chr11	64027114
chr17	42148019
chr22	38349679
chr19	6313545
chr12	133532933
chr2	86422762
chr17	80606400
chr14	69618525
chr15	65477962
chr17	48450582
chr12	6665303
chr11	120894797
chr1	1310829
chr15	83781916
chr19	45316956
chr4	57276669
chr16	84300180
chr11	71639514
chr7	133812082
chr19	39536903
chr8	124053879
chr1	25559723
chr8	28102268
chr3	125153768
chr10	99185821
chr11	63753895
chr14	75469623
chr5	177580901
chr12	66563831
chr9	100904737
chr16	30710571
chr11	45868952
chr3	139063336
chr9	38195900
chr19	35168203
chr14	66974602
chr17	7740173
chr22	37521405
chr20	30160658
chr3	52485759
chr1	22778248
chr1	207326373
chr16	75681602
chr1	7609433
chr2	38152662
chr9	136283192
chr19	48606811
chr9	19998353
chr15	55790612
chr7	5607639
chr11	65190212
chr12	108155129
chr5	87564731
chr9	139137656
chr4	113152660
chr15	90437269
chr17	33905622
chr11	76316968
chr17	1371252
chr1	201721170
chr8	30013869
chr13	50018490
chr5	41904317
chr7	151038887
chr12	118814278
chr2	178483513
chr2	176046541
chr10	95462420
chr12	48499890
chr17	61904762
chr10	131934654
chr19	633218
chr17	7591640
chr9	133373837
chr2	187350953
chr2	190648275
chr20	33103411
chr17	35716191
chr1	101360773
chr1	246729559
chr8	144635845
chr3	57541793
chr15	102192699
chr19	14229138
chr17	40559713
chr1	17380534
chr12	94071068
chr20	48532155
chr3	48956265
chr20	34824352
chr2	27886542
chr5	79287086
chr1	109969083
chr11	35684278
chr1	185126258
chr6	33239778
chr5	179246042
chr19	39936184
chr2	3381184
chr16	25122923
chr1	229761892
chr14	31091469
chr12	95466
chr1	229694881
chr16	30392441
chr12	7079331
chr19	56111032
chr19	55791516
chr2	96931925
chr9	131419071
chr22	25348498
chr15	63385873
chr7	25990847
chr19	56826228
chr11	919232
chr5	149380232
chr4	20701961
chr7	4815046
chr4	41992527
chr22	37260220
chr18	30812175
chr19	52674757
chr2	44396858
chr22	36822468
chr15	38746330
chr3	196669487
chr5	149829348
chr20	42839418
chr17	4458686
chr14	77924070
chr19	3185608
chr16	30198543
chr19	3339056
chr16	25118466
chr4	170679084
chr17	56429576
chr19	36239326
chr10	26986552
chr5	171433895
chr4	190861973
chr14	74416941
chr16	12009977
chr1	33502498
chr11	74303598
chr19	17490215
chr15	96873885
chr15	100273350
chr9	137029993
chr12	93708513
chr5	121297558
chr16	2239732
chr20	35028205
chr9	5437984
chr9	125693863
chr2	27603720
chr19	1383842
chr19	44716640
chr12	6772324
chr4	128886430
chr19	41257712
chr7	39605991
chr19	49004781
chr21	46738958
chr1	201924589
chr19	45829606
chr15	65810029
chr9	127703383
chr5	115421143
chr4	141445354
chr1	114472212
chr7	116594436
chr1	161172039
chr1	156427140
chr7	100080790
chr5	118406379
chr17	45918680
chr19	10363215
chr12	104323840
chr19	16847720
chr19	10416179
chr19	51403055
chr12	56510353
chr19	18335072
chr1	161015063
chr1	1209247
chr19	28284888
chr7	74489627
chr8	19674783
chr12	28343383
chr7	5938285
chr10	103892696
chr12	57395412
chr19	44711573
chr5	92868271
chr7	102985277
chr8	57906416
chr19	2783448
chr4	184580418
chr6	7106595
chr6	30594916
chr21	37432654
chr9	116037884
chr9	95640415
chr8	142366804
chr16	4367923
chr15	57179941
chr16	3333457
chr6	13712437
chr2	231191895
chr2	69766500
chr14	70073152
chr15	101874701
chr6	89673356
chr6	84569370
chr3	125314462
chr1	203764673
chr1	19536874
chr2	201936690
chr16	680008
chr8	130952066
chr10	74020334
chr10	1102755
chr6	33290876
chr6	37321818
chr17	27482605
chr11	118443093
chr6	107780858
chr11	59333623
chr19	36486091
chr20	3801405
chr12	107168324
chr5	149501875
chr10	89264620
chr12	57881798
chr12	6961690
chr6	24775040
chr12	54688162
chr10	89577986
chr2	162016931
chr19	33072029
chr17	13844719
chr7	73027338
chr2	135676185
chr2	131100315
chr17	6374176
chr19	49136827
chr21	47878551
chr1	54954162
chr1	235122878
chr17	61904497
chr10	131909211
chr19	4769756
chr5	6687115
chr10	5726792
chr12	95466832
chr14	67826548
chr1	151584410
chr17	42700918
chr11	113185189
chr7	11013506
chr6	35227229
chr11	64863629
chr17	49230855
chr2	44223402
chr3	48230143
chr8	67341246
chr12	89919959
chr6	169852571
chr2	11820657
chr7	6098801
chr17	79884624
chr10	112155787
chr22	43583775
chr12	133136451
chr11	1229463
chr1	36235806
chr19	54372919
chr12	104323547
chr1	212965180
chr17	47100131
chr5	44809006
chr20	43991800
chr9	108210315
chr19	44405991
chr10	99400216
chr9	133935035
chr1	11322861
chr14	81408145
chr11	43902296
chr11	129994259
chr20	43767623
chr16	8891517
chr1	35325391
chr7	92158009
chr8	143799637
chr20	4042799
chr8	18067561
chr17	38083197
chr20	61437299
chr5	178157719
chr8	142379617
chr1	18458733
chr15	85524579
chr11	43380474
chr19	33463137
chr6	33282456
chr15	85114310
chr10	22605636
chr15	78592143
chr21	26979842
chr9	35103174
chr3	118959224
chr2	180446513
chr20	48532289
chr3	9404728
chr12	53497978
chr10	92691052
chr6	4021488
chr3	141600723
chr16	85833234
chr5	67721088
chr15	65426209
chr7	137998962
chr19	50163200
chr8	118684497
chr2	70331941
chr7	23221432
chr19	52643163
chr4	57844960
chr6	158957280
