Chrom	position
chr12	31749383
chr1	234975276
chr13	110965471
chr1	149939295
chr11	36149886
chr2	172253379
chr16	15591057
chr6	158040553
chr3	124878925
chr22	24208149
chr17	59829407
chr10	63707503
chr4	83548591
chr9	12814595
chr7	80883657
chr5	76806229
chr10	24902226
chr10	52319260
chr20	25237986
chr6	42224693
chr11	9566173
chr11	43920898
chr6	133609857
chr21	45364185
chr2	233974775
chr6	90369190
chr3	39147192
chr1	17128532
chr4	1043802
chr19	45455932
chr12	75978080
chr20	35305922
chr12	57112260
chr11	9759847
chr2	207395050
chr17	45293690
chr1	36248528
chr20	53774028
chr20	11267504
chr10	103908474
chr17	59837759
chr5	133240693
chr16	3020992
chr2	10936368
chr2	127064928
chr2	43294013
chr2	150133801
chr11	64855142
chr12	50247274
chr3	197031628
chr12	26274886
chr7	48085117
chr6	134422932
chr2	28276300
chr8	65717547
chr1	150613673
chr8	125513257
chr6	7975304
chr7	99563063
chr12	65657059
chr19	7391471
chr14	91980326
chr6	52517744
chr16	69530848
chr6	4358778
chr17	67422090
chr2	27720298
chr2	179106823
chr7	37032134
chr10	31941049
chr11	5280766
chr8	141026936
chr16	4944940
chr20	50440942
chr7	102875996
chr5	143246219
chr17	15959333
chr14	95265625
chr14	61103927
chr1	153566701
chr1	36386646
chr19	48326131
chr17	1590149
chr4	173252546
chr21	38787698
chr4	119209281
chr12	65631816
chr7	74279802
chr10	17228531
chr2	9552759
chr18	23719843
chr13	48749824
chr11	66892347
chr13	62643141
chr10	68153771
chr13	110870374
chr14	22537095
chr12	122400675
chr1	154418419
chr2	181810963
chr6	119147476
chr20	5654792
chr11	35337407
chr3	177360061
chr12	31733078
chr20	34391009
chr7	100545906
chr11	117072734
chr15	92804144
chr2	45938912
chr17	75124465
chr3	141331920
chr18	60053879
chr1	200483685
chr10	3810368
chr6	49541463
chr9	100429479
chr11	65915893
chr1	151311745
chr2	209496117
chr2	223699689
chr8	95802077
chr20	1416154
chr6	136610482
chr1	110477320
chr19	13731316
chr9	86348678
chr2	43426567
chr9	127919568
chr5	75567046
chr11	19660361
chr7	1537325
chr19	16279397
chr3	5023475
chr11	65382511
chr9	121287207
chr7	73715797
chr12	93785389
chr17	48972504
chr15	41490528
chr9	36924241
chr8	41792573
chr14	101972634
chr7	102991852
chr17	15920948
chr3	98971287
chr1	15795291
chr1	205284887
chr1	12604528
chr17	40854408
chr15	95247239
chr5	95712638
chr10	3091599
chr13	50245268
chr16	24646435
chr8	11854129
chr1	218496787
chr17	63275539
chr16	9047978
chr1	3313302
chr16	80027234
chr7	101100312
chr12	86712554
chr2	54572435
chr11	120432272
chr2	65577162
chr6	139764834
chr11	102564326
chr1	225508686
chr3	8629652
chr2	111699086
chr20	11387398
chr5	42950803
chr13	27195406
chr1	244323161
chr13	97141760
chr9	96339901
chr2	191867182
chr4	5038259
chr1	236905337
chr8	125271573
chr5	141521358
chr14	68695506
chr15	67024560
chr14	75536051
chr3	194089716
chr11	93055067
chr14	80425834
chr15	36428403
chr16	24669664
chr15	55907991
chr20	10511730
chr2	102227887
chr10	122469211
chr2	38691015
chr17	50051188
chr3	15769150
chr7	17234678
chr10	30682588
chr17	59756436
chr9	73149667
chr1	84365801
chr22	31829646
chr17	45705604
chr3	23685997
chr19	4870323
chr12	52147502
chr7	55133029
chr19	9075796
chr1	200379619
chr17	63460938
chr11	9364464
chr17	78315707
chr22	46013629
chr1	151988603
chr1	8873781
chr10	99776071
chr12	45415535
chr17	80856654
chr22	49970936
chr3	115790940
chr8	73356556
chr17	75096251
chr1	234997469
chr8	71831456
chr14	59278364
chr7	35003997
chr2	205025266
chr1	198669260
chr8	29665302
chr5	55868974
chr9	128874649
chr7	137978672
chr17	80792151
chr16	48123322
chr9	72586917
chr1	223726853
chr2	27321258
chr6	155026600
chr10	34280815
chr5	14268415
chr7	98419084
chr12	89162954
chr15	95560066
chr17	933650
chr11	112157478
chr12	65892260
chr12	62725116
chr19	14384447
chr17	55496579
chr17	21288093
chr2	64831490
chr19	11095227
chr7	106216632
chr19	8355819
chr17	45124221
chr15	58332319
chr6	134537343
chr16	29291107
chr15	48925966
chr1	230104921
chr4	184418098
chr9	86107058
chr11	65472257
chr10	93471256
chr3	12193629
chr2	233350923
chr3	149180227
chr10	125973450
chr3	150469800
chr22	47329104
chr6	45445998
chr1	40875908
chr3	159824461
chr6	3912089
chr3	39151090
chr22	39205483
chr22	35630076
chr10	63236562
chr8	125219468
chr11	20367786
chr10	90319688
chr3	194578249
chr6	73580567
chr11	27209739
chr5	150317362
chr10	89553501
chr10	116947315
chr10	71860628
chr1	65424108
chr3	41268211
chr10	72097972
chr6	20877612
chr3	87333555
chr3	45133991
chr22	32558861
chr15	67107168
chr18	77065575
chr19	2169185
chr20	62740427
chr17	6223450
chr18	70431361
chr4	121690910
chr5	133245722
chr5	179819108
chr4	121711759
chr9	19161858
chr2	10283486
chr11	9613279
chr4	165580578
chr3	188295162
chr11	129143520
chr1	211918109
chr5	34924129
chr15	32850383
chr17	4945375
chr2	28584150
chr6	16713057
chr11	122186667
chr4	158996894
chr1	68384559
chr7	67129370
chr12	93625197
chr18	59516544
chr17	45321066
chr12	76183693
chr10	98461007
chr9	115373520
chr12	47278287
chr3	16060462
chr16	23504896
chr17	62963517
chr3	138494400
chr6	33840256
chr10	72320897
chr16	2835923
chr6	43799035
chr8	66124070
chr1	33433957
chr3	150348677
chr12	112096807
chr17	82267730
chr22	42940376
chr5	127934978
chr17	41404129
chr10	113087537
chr12	26691710
chr11	1154131
chr5	149561963
chr18	51614243
chr17	59754753
chr15	95557748
chr4	168451918
chr7	129958835
chr1	150611711
chr2	189210420
chr8	9075143
chr2	69779440
chr4	128553000
chr6	141326653
chr20	22775920
chr2	227655632
chr2	233247911
chr5	56350793
chr2	150587024
chr13	95535449
chr14	32010747
chr2	85499294
chr2	142873546
chr4	126850454
chr2	237501079
chr2	127408146
chr8	131856945
chr13	113187578
chr1	150604921
chr13	113493498
chr11	59787158
chr4	74659997
chr4	139989560
chr8	124629948
chr20	44204350
chr1	248829090
chr20	50166231
chr5	57693272
chr5	59194116
chr17	75700574
chr9	4833284
chr1	221839989
chr5	163379751
chr1	160813411
chr6	42316206
chr2	138072471
chr6	110537411
chr1	9164128
chr1	201714782
chr6	11207384
chr8	127215407
chr6	8085207
chr5	91311923
chr4	78560782
chr9	90992925
chr18	8730515
