Chrom	position
chr10	128066978
chr1	245464541
chr5	135456401
chr9	128128293
chr1	30907690
chr10	132332062
chr2	46877692
chr16	88272013
chr12	93377890
chr2	676757
chr11	68817111
chr5	73312928
chr2	218396217
chr19	50268176
chr8	80838700
chr19	19063580
chr13	41457288
chr1	1615468
chr1	232793131
chr16	27313644
chr5	178547931
chr19	38403191
chr5	140043336
chr14	100068721
chr10	119682196
chr16	70746169
chr5	178337371
chr5	178547500
chr3	14242892
chr14	98906792
chr12	6961458
chr3	196694491
chr22	49188168
chr16	89700326
chr21	31219359
chr17	80281128
chr11	61775737
chr12	124940832
chr1	215567214
chr20	56468401
chr1	40161332
chr10	338800
chr4	108171593
chr1	36871765
chr4	5664929
chr1	111593046
chr17	82047530
chr2	237905431
chr19	49415301
chr14	23286238
chr7	16646096
chr19	6532377
chr8	141626294
chr21	38913534
chr9	114349120
chr2	240320255
chr9	32866390
chr19	6161523
chr2	144461449
chr3	10457163
chr3	10453951
chr11	910553
chr10	103490742
chr20	25321482
chr10	97687425
chr9	135587897
chr9	114587746
chr12	11580442
chr1	231041923
chr12	2640913
chr3	128726084
chr3	16884477
chr10	103396512
chr9	34502306
chr17	597474
chr4	8199241
chr1	12144008
chr15	99427843
chr10	42989234
chr8	27241629
chr9	22159237
chr20	47768618
chr12	130776214
chr22	45209528
chr16	72131247
chr1	50960226
chr14	52314218
chr4	26857515
chr18	48228589
chr14	73569887
chr18	24530767
chr8	123396563
chr1	212483234
chr18	24397990
chr17	17484711
chr19	1017434
chr1	84917045
chr12	121687078
chr17	50152249
chr6	12238399
chr6	111873589
chr14	76772903
chr21	44965401
chr11	59769945
chr22	23657839
chr6	75176378
chr10	86292747
chr12	124746161
chr12	89354311
chr13	44918059
chr17	82213620
chr13	21298104
chr6	7673176
chr16	87173457
chr7	102216674
chr5	150082003
chr2	239269256
chr22	44181301
chr2	119158953
chr10	11795556
chr15	68313108
chr9	4714060
chr19	16368496
chr5	1153182
chr20	47258888
chr8	140551721
chr19	58278701
chr21	42617543
chr2	43169326
chr19	18058726
chr14	65291074
chr3	170357628
chr15	40368299
chr5	5494862
chr14	104786250
chr18	22169145
chr21	29245572
chr8	142809891
chr8	123537920
chr4	37615546
chr10	67884602
chr1	116092885
chr5	168286638
chr11	45757858
chr10	71377416
chr9	134826684
chr3	10552169
chr1	38335081
chr2	97645940
chr10	131851053
chr2	97707116
chr1	3596878
chr3	170358471
chr8	144455478
chr12	124736649
chr11	12746738
chr3	15127033
chr14	52791594
chr11	119476255
chr5	173699143
chr10	78920250
chr14	52835710
chr15	90045021
chr20	22729834
chr11	3747839
chr9	91798592
chr2	47632070
chr16	760562
chr14	96216806
chr2	112056419
chr20	50226801
chr17	50542108
chr7	26858123
chr21	44296197
chr16	11916003
chr2	127105511
chr22	35478044
chr5	173642452
chr9	32384620
chr17	7307544
chr10	125160126
chr19	3435189
chr2	29246168
chr2	190578707
chr1	121184983
chr12	2999068
chr22	19065630
chr1	34777846
chr10	6920214
chr7	176885
chr1	8877009
chr13	20221899
chr14	90060487
chr11	76713670
chr1	231040789
chr5	142816907
chr15	75696447
chr1	154431074
chr11	77994733
chr10	78204395
chr22	37227525
chr3	12892137
chr6	155076229
chr8	124660533
chr21	17611630
chr19	29326529
chr6	3053910
chr16	1343034
chr15	75106209
chr5	31640694
chr16	87780870
chr17	41567458
chr2	43131128
chr19	1177638
chr4	950825
chr16	68245351
chr11	4393743
chr3	10147144
chr1	202625693
chr7	130901503
chr21	25734928
chr16	8621681
chr2	64524374
chr3	170809537
chr9	127771386
chr16	83899808
chr12	31729008
chr1	2684133
chr13	112972456
chr3	125781812
chr1	2848206
chr9	135993140
chr5	132496013
chr1	205750555
chr10	80058980
chr11	66856658
chr12	62256957
chr14	24114086
chr3	37688945
chr3	42530297
chr19	6113865
chr16	88846288
chr12	49826180
chr1	55310870
chr6	10404338
chr3	177555051
chr17	67244703
chr2	23588340
chr14	76350169
chr20	31612997
chr12	116582835
chr2	98883973
chr1	69776790
chr6	4018681
chr1	223755276
chr16	85569884
chr9	89605802
chr11	6357364
chr17	50952165
chr3	10437515
chr11	6390321
chr1	75862030
chr16	88570331
chr8	63038847
chr11	63771975
chr5	132832810
chr7	74039573
chr16	12345679
chr2	61471214
chr22	39958181
chr12	52645235
chr16	84851472
chr4	147808585
chr5	176822472
chr12	56752501
chr1	74198178
chr15	73888572
chr6	156948416
chr4	184514543
chr3	37862399
chr1	182394636
chr22	49838997
chr7	100656370
chr17	64941248
chr18	11785868
chr20	50318865
chr11	9625893
chr4	4541999
chr10	71598978
chr6	14719479
chr12	57280367
chr20	3785184
chr11	130213262
chr12	51246486
chr1	40451137
chr15	51619846
chr13	91348563
chr3	13377920
chr22	36323960
chr1	6589332
chr11	61971996
chr18	12990253
chr2	65063044
chr3	56970567
chr20	56429654
chr1	112881918
chr22	39388361
chr11	68751501
chr1	181119695
chr21	44811010
chr1	181124601
chr16	14003402
chr4	7115734
chr19	35959247
chr3	196503716
chr12	26340798
chr8	90646253
chr11	129595407
chr3	183825028
chr2	32165795
chr12	101707275
chr5	135488820
chr19	46739405
chr3	45995841
chr1	59706056
chr11	117171952
chr18	62452430
chr1	203517152
chr11	57657554
chr19	8397502
chr22	48948978
chr10	58385321
chr6	159898704
chr7	145169024
chr1	156065466
chr6	13274108
chr8	22775545
chr6	42391714
chr10	123659548
chr20	57090855
chr9	132519250
chr6	136723978
chr2	85246438
chr19	35903874
chr10	101783185
chr12	116860448
chr15	84042787
chr5	135030203
chr1	184820420
chr6	43127415
chr4	5640256
chr14	104687876
chr1	157110200
chr8	22179021
chr12	98399734
chr8	94242313
chr1	7479060
chr4	76724176
chr19	39704824
chr5	175657895
chr17	20155867
chr1	51541417
chr16	87294213
chr16	86059802
chr11	1778461
chr17	1607609
chr2	227325197
chr5	140324924
chr14	23237868
chr11	7604497
chr8	79827528
chr1	11443260
chr1	203141314
chr5	138464813
chr9	133936407
chr2	113104398
chr7	139865614
chr1	25118783
chr19	35641662
chr18	13590139
chr1	205288380
chr17	36643502
chr14	74508046
chr17	49696414
chr19	10259225
chr14	73771987
chr6	107565551
chr2	191014288
chr10	28291975
chr6	16685456
chr19	1360954
chr22	23237384
chr8	143405100
chr15	66762280
chr9	112764571
chr3	51681663
chr8	143406386
chr18	55589968
chr3	184338627
chr6	107753957
chr8	10839945
chr8	27307387
chr1	204263710
chr10	119990122
chr16	2172900
chr1	203289669
chr16	15517831
chr11	10735923
chr22	24820045
chr10	72626092
chr20	46132867
chr17	37672884
chr22	46710998
chr19	9309805
chr2	25275406
chr2	25340767
chr21	34023099
chr12	121530788
chr20	45611268
chr20	38997748
chr15	80802445
chr7	127585668
chr22	19664151
chr15	31488817
chr20	50298923
chr9	133694879
chr16	28012198
chr7	1631185
chr7	1625643
chr19	6832625
chr11	11483813
chr10	128887101
chr16	89489476
chr14	55051603
chr1	24867638
chr1	108005121
chr14	104746355
chr6	137291641
chr15	101305982
chr4	141220836
chr11	126114701
chr3	184235857
chr5	72816769
chr12	113272099
chr10	25174539
chr12	76144393
chr3	129010705
chr2	218217683
chr11	19715249
chr4	2043710
chr9	121652539
chr19	41707021
chr14	100065256
chr8	141451692
chr1	96721512
chr13	52012217
