Chrom	position
chr8	129546936
chr21	14482378
chr2	191740186
chr1	21700338
chr1	31928855
chr17	46194707
chr12	10982514
chr10	128180951
chr2	204027310
chr2	207531116
chr2	206994091
chr11	14765359
chr7	35709623
chr8	59969018
chr18	10213680
chr14	58298383
chr5	69024371
chr2	203720299
chr14	56003039
chr8	59209839
chr2	203704650
chr5	69217315
chr18	10341041
chr14	55749738
chr11	18672374
chr2	207879989
chr18	10016720
chr7	36162263
chr11	11172019
chr11	9510993
chr8	65668062
chr8	65644709
chr11	10297893
chr11	10298520
chr8	65634341
chr11	10459283
chr5	67360290
chr14	59302486
chr11	12195972
chr5	68425314
chr11	12587837
chr11	12717997
chr14	59161675
chr14	59028823
chr8	61858872
chr2	212958867
chr8	61563379
chr8	60807933
chr2	212811554
chr14	55731421
chr5	72991656
chr2	202745565
chr2	202610621
chr2	199685869
chr8	56212737
chr11	35082606
chr2	198326563
chr8	55975763
chr6	25070897
chr11	35236066
chr11	35248143
chr6	25056336
chr5	74327160
chr14	52738625
chr5	74575832
chr5	74579320
chr8	53855845
chr18	12857759
chr7	37318725
chr11	36453151
chr2	197073913
chr14	52402989
chr6	25119261
chr2	200468497
chr11	34650703
chr2	201414358
chr7	36661682
chr11	9280911
chr5	73160372
chr11	30825873
chr11	30852283
chr11	31397462
chr2	201447318
chr6	25991954
chr14	55191671
chr11	34248687
chr8	58801567
chr8	58799459
chr2	201194369
chr8	58752049
chr14	54172343
chr2	200713248
chr8	58596104
chr11	34198765
chr11	9347400
chr16	23514993
chr2	216032053
chr2	232758174
chr2	232129982
chr2	231769834
chr10	124153230
chr18	105898
chr8	70835155
chr2	231524114
chr18	682162
chr10	127293841
chr8	70427815
chr8	70426577
chr8	70373346
chr14	63350006
chr6	26272826
chr10	129105365
chr10	129194351
chr2	230659395
chr18	2641810
chr2	230616739
chr10	130171339
chr2	232231798
chr8	73116336
chr2	230408154
chr10	122417233
chr14	65134846
chr5	57383344
chr10	116724149
chr7	29337821
chr10	117827018
chr17	81018226
chr14	64696762
chr6	27795978
chr2	234137523
chr2	233990747
chr5	60249062
chr17	81349958
chr7	29686074
chr2	233114814
chr10	119642734
chr8	73197651
chr8	73191092
chr14	63864411
chr2	233076932
chr14	61691826
chr2	230254728
chr5	74618179
chr2	223993859
chr11	3379269
chr11	3411213
chr11	3785369
chr6	26135999
chr8	66538838
chr2	221641525
chr7	30479504
chr5	66952350
chr2	218482846
chr8	66113299
