Chrom	position
chr7	155344709
chr2	161167006
chr16	73289360
chr6	30810930
chr7	130010940
chr7	100675860
chr5	179819070
chr11	102317287
chr7	131031691
chr6	155171564
chr2	213233157
chr6	157465395
chr2	43996361
chr6	11825070
chr1	155308618
chr22	29167479
chr19	38849278
chr15	74614691
chr12	45727618
chr19	1664018
chr9	123679630
chr4	2692257
chr15	68791672
chr9	114383124
chr13	40445670
chr9	129992202
chr15	70140898
chr5	123549665
chr7	49767060
chr4	674556
chr22	33790146
chr1	109076060
chr8	128240575
chr13	50124399
chr11	35144274
chr1	116609127
chr19	10269715
chr2	191651186
chr3	168135124
chr16	88971902
chr16	17305884
chr6	137873471
chr6	51460297
chr3	5006905
chr15	92831755
chr19	18479187
chr12	92404105
chr5	131209602
chr1	209607568
chr1	145465647
chr3	44046052
chr12	96070950
chr5	116764199
chr8	70015547
chr4	113547563
chr1	3677197
chr17	1485007
chr18	54147613
chr21	41560102
chr3	188400712
chr5	33850236
chr12	113229873
chr9	112718251
chr21	15438035
chr22	41301358
chr9	87374174
chr1	144412711
chr17	62653592
chr1	200970167
chr22	35630072
chr5	159456859
chr9	91712196
chr5	134132612
chr8	41704076
chr1	247390347
chr3	196192401
chr1	212586942
chr7	5582751
chr14	92768381
chr11	356328
chr18	38940977
chr20	62502107
chr1	70980803
chr21	42338049
chr1	181180024
chr12	41485430
chr21	42415250
chr7	66352342
chr1	155209142
chr5	73907661
chr10	31700263
chr10	102772449
chr21	42145668
chr7	72682977
chr5	77499654
chr6	100484559
chr16	80303051
chr1	70504597
chr2	140934265
chr18	34359180
chr21	41234164
chr7	67129303
chr4	55980923
chr18	34222491
chr19	44654544
chr2	158848528
chr16	84969443
chr1	246689741
chr7	66995636
chr2	14608392
chr19	10271823
chr1	155194796
chr3	128372449
chr17	42056778
chr1	25140300
chr1	169677607
chr10	102803351
chr2	159041725
chr1	197809100
chr3	126085855
chr1	74014564
chr21	44507440
chr16	76572553
chr12	7916526
chr16	2607738
chr2	131687352
chr3	125743054
chr10	30959340
chr21	14454904
chr3	125698194
chr12	44445291
