Chrom	position
chr6	537282
chr13	112818279
chr18	79652694
chr13	113638346
chr5	676947
chr7	454936
chr12	95637178
chr15	89088212
chr17	58659183
chr17	80727177
chr19	36026693
chr21	45109211
chr11	69542694
chr5	1494959
chr1	2180511
chr17	82899204
chr4	905594
chr20	63752713
chr12	120201118
chr4	736749
chr19	49765595
chr4	122379397
chr19	13747801
chr21	8220009
chr19	12938484
chr17	42155086
chr3	195887876
chr2	88627621
chr16	4624625
chr19	12754683
chr1	162367337
chr19	7829997
chr2	152717460
chr6	26027300
chr19	55849950
chr15	97960485
chr16	89248765
chr17	82403926
chr1	9943420
chr19	18919546
chr17	17042312
chr16	74666973
chr17	16438968
chr12	6852465
chr9	35072756
chr11	65833865
chr10	130111214
chr1	144412692
chr20	543951
chr20	833694
chr19	45406564
chr12	609109
chr4	474232
chr16	81007101
chr19	35643604
chr1	151282079
chr21	42849070
chr11	66294760
chr10	1159766
chr13	52012308
chr2	74454981
chr10	124916777
chr7	77798634
chr14	105491095
chr1	146052033
chr16	84657694
chr2	71227184
chr13	26557547
chr17	28381344
chr19	47048703
chr8	1823872
chr1	11478994
chr20	31723675
chr4	48780482
chr14	54396886
chr4	185426066
chr2	132645338
chr19	17309473
chr5	173057222
chr20	33811169
chr1	11909683
chr16	88807397
chr20	33720370
chr19	17859818
chr19	18192977
chr1	6785159
chr20	33401552
chr17	273050
chr19	40576808
chr12	48682315
chr6	26032027
chr6	26123047
chr6	26156379
chr17	7012467
chr5	164835
chr1	120850862
chr7	100673620
chr5	160119583
chr19	44551178
chr4	2418883
chr16	57726120
chr1	7961575
chr12	752402
chr14	74881856
chr19	13952267
chr6	37819374
chr11	106022495
chr8	25458519
chr19	49642019
chr6	152983133
chr3	9649271
chr2	10638320
chr17	49764254
chr15	75451954
chr10	102245455
chr18	14132541
chr12	109999145
chr12	52069861
chr2	8681969
chr12	112125474
chr8	27593402
chr1	234876518
chr3	149086575
chr1	47314189
chr15	68820969
chr1	1399441
chr9	131373528
chr8	67062219
chr16	1782722
chr12	120496018
chr15	90352188
chr12	54324999
chr17	76141346
chr10	97446052
chr7	1540177
chr1	156338345
chr17	75047045
chr11	46846306
chr7	5083363
chr15	89334940
chr3	25664984
chr5	90558629
chr17	81683852
chr19	58098345
chr3	48662939
chr9	136728174
chr8	70402183
chr3	38039570
chr16	1678195
chr19	1205613
chr22	42615403
chr17	38918726
chr15	64163149
chr11	126063186
chr22	21982830
chr17	39200244
chr19	3500760
chr9	129081042
chr19	2945039
chr16	3401104
chr22	21045834
chr5	15936660
chr19	2076595
chr1	151790652
chr17	35809357
chr7	43869533
chr1	44721751
chr8	27774364
chr19	47226331
chr11	71448461
chr1	155610077
chr16	66566658
chr5	177006860
chr19	38899849
chr19	54159844
chr5	112160787
chr16	19523806
chr16	10944497
chr19	35748452
chr16	11916037
chr19	35944683
chr7	142044104
chr1	155688939
chr19	46788575
chr1	27234408
chr5	178130915
chr16	22190720
chr16	67806703
chr1	21783689
chr16	75479589
chr16	69424553
chr5	177400549
chr11	77040202
chr19	55624447
chr16	19555560
chr10	124626216
chr11	75815140
chr5	138213376
chr1	154983261
chr1	150629249
chr8	65634397
chr5	146447263
chr19	42397055
chr16	2205341
chr8	47960806
chr16	31180042
chr5	154445906
chr8	11802567
chr11	72434630
chr11	82901583
chr19	45370680
chr16	3004073
chr16	2214974
chr16	30610455
chr8	883669
chr1	24415723
chr19	45927879
chr16	2047902
chr16	50025142
chr1	151254712
chr11	77735072
chr16	22374722
chr1	153923117
chr10	101818574
chr1	181453
chr16	4767259
chr10	110225866
chr5	130596571
chr16	57536102
chr8	66432463
chr10	118342329
chr19	48637626
chr1	149636872
chr1	149813682
chr8	42152845
chr16	19885669
chr1	222644231
chr5	178204478
chr19	4723938
chr6	113971257
chr6	111873536
chr19	797271
chr6	85678707
chr7	43583012
chr19	1585033
chr19	1642257
chr17	43361207
chr17	43316021
chr19	1652964
chr7	44796588
chr11	64284733
chr19	2841402
chr19	4791489
chr17	47941461
chr19	4968831
chr19	5309176
chr6	42929341
chr19	5661681
chr17	38752711
chr6	42563921
chr1	44806216
chr19	6110709
chr1	44674569
chr6	39934535
chr17	28952408
chr11	65096134
chr1	44355322
chr6	122399481
chr11	31509659
chr11	69637386
chr6	166900643
chr7	2555636
chr17	75154605
chr7	1504413
chr17	76737294
chr7	1006547
chr17	73193030
chr7	868235
chr1	53838586
chr17	81223067
chr11	59898208
chr17	81715000
chr17	81860819
chr6	169660943
chr17	82023104
chr18	12991219
chr17	59331606
chr1	67685232
chr7	7968673
chr17	58631723
chr17	82519621
chr17	58352241
chr17	56743926
chr17	82698801
chr17	82782787
chr17	49789228
chr7	20784555
chr17	82913495
chr11	36594426
chr19	7629759
chr1	43969864
chr19	8390139
chr19	19258023
chr17	2692756
chr17	2691727
chr19	16496243
chr5	75717438
chr19	17075556
chr19	17303492
chr1	37931893
chr6	16129075
chr11	67508292
chr7	120950596
chr16	89522538
chr19	19063622
chr19	19138539
chr19	19385580
chr7	76267389
chr19	19537491
