Chrom	position
chr8	130559182
chr21	15854699
chr2	192604912
chr1	22026831
chr1	32394456
chr17	44272073
chr12	11135113
chr10	129979215
chr2	204892033
chr2	208395840
chr2	207858815
chr11	14786905
chr7	35749233
chr8	60881577
chr18	10213677
chr14	58765101
chr5	68320198
chr2	204585022
chr14	56469757
chr8	60122398
chr2	204569373
chr5	68513142
chr18	10341038
chr14	56216456
chr11	18693921
chr2	208744713
chr18	10016717
chr7	36201872
chr11	11193566
chr11	9532540
chr8	66580297
chr8	66556944
chr11	10319440
chr11	10320067
chr8	66546576
chr11	10480830
chr5	66656118
chr14	59769204
chr11	12217519
chr5	67721141
chr11	12609384
chr11	12739544
chr14	59628393
chr14	59495541
chr8	62771431
chr2	213823591
chr8	62475938
chr8	61720492
chr2	213676278
chr14	56198139
chr5	72287483
chr2	203610288
chr2	203475344
chr2	200550592
chr8	57125296
chr11	35104153
chr2	199191287
chr8	56888322
chr6	25071125
chr11	35257613
chr11	35269690
chr6	25056564
chr5	73622985
chr14	53205343
chr5	73871657
chr5	73875145
chr8	54768405
chr18	12857758
chr7	37358329
chr11	36474701
chr2	197938637
chr14	52869707
chr6	25119489
chr2	201333220
chr11	34672250
chr2	202279081
chr7	36701287
chr11	9302458
chr5	72456199
chr11	30847420
chr11	30873830
chr11	31419009
chr2	202312041
chr6	25992182
chr14	55658389
chr11	34270234
chr8	59714126
chr8	59712018
chr2	202059092
chr8	59664608
chr14	54639061
chr2	201577971
chr8	59508663
chr11	34220312
chr11	9368947
chr16	23526314
chr2	216896776
chr2	233622884
chr2	232994692
chr2	232634544
chr18	105898
chr8	71747390
chr2	232388825
chr18	682162
chr10	129092105
chr8	71340050
chr8	71338812
chr8	71285581
chr14	63816724
chr6	26273054
chr10	130903629
chr10	130992615
chr2	231524110
chr18	2641809
chr2	231481454
chr10	131969603
chr2	233096508
chr8	74028571
chr2	231272869
chr10	124176749
chr14	65601564
chr5	56679171
chr10	118483660
chr7	29377437
chr10	119586529
chr17	78992026
chr14	65163480
chr6	27763757
chr2	235046167
chr2	234899391
chr5	59544889
chr17	79323758
chr7	29725690
chr2	233979524
chr10	121402246
chr8	74109886
chr8	74103327
chr14	64331129
chr2	233941642
chr14	62158544
chr2	231119443
chr5	73914004
chr2	224858576
chr11	3400499
chr11	3432443
chr11	3806599
chr6	26136227
chr8	67451073
chr2	222506245
chr7	30519120
chr5	66248178
chr2	219347569
chr8	67025534
chr18	6270101
chr8	66971010
chr5	66502891
chr18	6566576
chr7	32886490
chr2	217340325
chr2	217217824
chr2	216984906
chr18	8744792
chr7	30387756
chr11	2809891
chr2	225266942
chr2	231074305
chr2	231012257
chr18	2960479
chr2	228239087
chr2	227842767
chr11	277612
chr14	62057100
chr2	227701211
chr11	329738
chr18	3213638
chr2	227637543
chr8	68265901
chr2	226147726
chr14	61985204
chr2	225917586
chr2	225891079
chr5	65340067
