Chrom	position
chr10	54212430
chr19	44176413
chr2	68348364
chr10	66110469
chr1	221685352
chr17	6005263
chr2	15875221
chr8	61265769
chr10	76839694
chr15	60412508
chr13	102497994
chr1	182279012
chr4	44866003
chr14	59235869
chr11	15644187
chr2	16607004
chr1	41807966
chr12	106242202
chr18	46486375
chr5	19881071
chr2	184156946
chr8	35235037
chr13	52572210
chr7	52654561
chr20	10618397
chr17	57374596
chr15	38959729
chr2	107710245
chr2	220781647
chr4	113985587
chr4	111332989
chr9	91572607
chr5	155311151
chr1	83325674
chr2	58762564
chr2	149335858
chr8	129326212
chr6	96251089
chr2	44901880
chr2	127700157
chr7	142740087
chr10	95865242
chr5	64040930
chr11	120516611
chr8	72131359
chr15	101243599
chr3	57234172
chr5	58100354
chr3	15971633
chr17	69029155
chr22	37585322
chr10	53231227
chr2	17240488
chr14	82079920
chr5	41357003
chr21	17614125
chr4	168159648
chr20	45624406
chr9	14722868
chr10	116858097
chr2	98974527
chr2	82241008
chr4	182871280
chr2	111528473
chr2	111526440
chr1	164855419
chr10	114714900
chr3	181898665
chr9	21505124
chr10	112461691
chr13	78428002
chr5	17154510
chr2	60650386
chr10	111841930
chr10	107298888
chr2	25415364
chr2	24414823
chr1	185881830
chr2	5154589
chr1	8943844
chr3	163608696
chr9	83234516
chr13	51722590
chr7	93327366
chr11	26957807
chr4	75069480
chr12	59319077
chr7	81804768
chr4	55433006
chr12	49622600
chr4	53609834
chr3	102392862
chr9	110582309
chr4	36028202
chr13	47064446
chr3	3667356
chr1	41616823
chr3	58457267
chr3	189639782
chr3	69555043
chr3	72384481
chr3	76093179
chr1	20729403
chr11	113300353
chr1	68759889
chr7	69267431
chr4	82572196
chr9	97508981
chr7	7962228
chr2	135531700
chr2	145202934
chr13	33953902
chr4	157268310
chr7	20816246
chr2	164103918
chr19	29553566
chr4	125558158
chr4	124628343
chr3	170924298
chr2	221282513
chr12	98685862
chr12	97673909
chr3	172325706
chr20	7128017
chr4	95254575
chr20	19601296
chr9	94702461
chr5	77927958
chr11	109999134
chr16	80700801
chr5	153204702
chr14	58181454
chr17	34969817
chr8	138595058
chr17	26242884
chr6	92009531
chr6	93893467
chr18	51754940
chr8	98795836
chr1	212489361
chr10	21571066
chr6	43675801
chr18	46131849
chr10	17715892
chr15	72535336
chr17	3433729
chr8	122769044
chr5	98435689
chr16	15905689
chr6	24090170
chr16	10174037
chr5	136372531
chr15	42869834
chr20	31330231
chr15	64722643
chr17	57594027
chr2	216282342
chr7	68697823
chr12	108601771
chr11	10533104
chr7	69207421
chr17	9440877
chr17	9129112
chr15	48591288
chr17	9054594
chr20	23851367
chr20	44138119
chr1	68638961
