Chrom	position
chr9	19161788
chr7	95238233
chr7	128695103
chr19	46220817
chr1	1655820
chr1	153325111
chr19	35950429
chr19	50268997
chr8	13224504
chr14	104043200
chr2	11485623
chr1	59349127
chr1	204381300
chr19	8432402
chr17	200661
chr1	201682779
chr9	2570911
chr15	76603959
chr3	156253172
chr15	75092620
chr1	165606844
chr8	82409162
chr12	120966805
chr11	73729667
chr12	109553788
chr1	17888320
chr10	127511957
chr2	10150295
chr2	120517491
chr1	145435501
chr22	24921536
chr1	19483326
chr20	50366864
chr13	110337482
chr19	42923659
chr1	45140391
chr1	94224707
chr1	202317654
chr2	220363559
chr6	163602366
chr17	17484300
chr12	118490489
chr10	82258870
chr2	110395643
chr5	73834260
chr14	31699118
chr1	32420431
chr6	164377780
chr12	77015478
chr2	74685435
chr11	65188835
chr8	26315536
chr7	73393589
chr20	49546125
chr17	57599020
chr11	64037644
chr12	50496567
chr18	11947342
chr5	71800159
chr11	34460895
chr1	167411549
chr14	74195631
chr20	52532561
chr6	11526189
chr7	106628447
chr10	82265482
chr11	58957623
chr17	4324079
chr10	114143271
chr1	235114657
chr1	24345589
chr8	82400690
chr7	47306127
chr7	36033507
chr2	121310505
chr9	8961415
chr3	38206425
chr3	43359677
chr12	57532870
chr17	59085518
chr8	30271922
chr3	29332992
chr11	47279164
chr7	128094634
chr8	131314877
chr10	113987549
chr17	37617604
chr3	75482215
chr7	27404291
chr20	45988015
chr5	150161743
chr22	35773126
chr8	120734494
chr3	183003743
chr12	39975554
chr2	26497117
chr19	50019241
chr9	71891960
chr12	56114889
chr7	80102397
chr13	111064660
chr10	71209763
chr1	1590528
chr7	17029731
chr9	112790087
chr22	18051208
chr4	114468928
chr15	90223974
chr15	62896079
chr12	89659580
chr1	100060823
chr22	31485283
chr5	140018765
chr17	8323812
chr12	76371915
chr19	51869881
chr16	87350597
chr6	37051443
chr18	20958984
chr3	30638951
chr21	36880853
chr22	30239021
chr15	92411101
chr19	19706043
chr3	194218689
chr10	73373424
chr1	26316538
chr11	116969573
chr8	102058608
chr9	92458528
chr9	112820793
chr19	56058923
chr1	8802358
chr21	40203741
chr5	40991628
chr17	17876163
chr11	76483735
chr4	140587047
chr1	151284318
chr4	185818083
chr14	76373208
chr19	39322611
chr21	44144593
chr3	119348004
chr2	26568722
chr5	148515188
chr6	170863373
chr1	201435844
chr16	57338256
chr14	75768674
chr5	96191375
chr8	143757653
chr12	68800066
chr4	89378080
chr3	169417590
chr17	45915066
chr3	187607527
chr12	89611416
chr10	82170037
chr8	82404891
chr16	85597309
chr1	149911250
chr17	7123679
chr10	62113532
chr9	99182960
chr19	18570779
chr12	92465054
chr14	101872153
chr12	13543627
chr15	96873926
chr14	75406898
chr18	46316703
chr16	15187961
chr2	44035606
chr11	75794832
chr2	161078399
chr11	47276547
chr14	89507376
chr17	58042407
chr2	151443501
chr17	8268598
chr13	114810163
chr17	9779025
chr12	15782257
chr19	6088096
chr13	52157954
chr19	47661303
chr20	1306498
chr2	85788843
chr19	4521781
chr1	31296884
chr13	111211886
chr2	223724811
chr6	33168626
chr15	66125271
chr19	16997598
chr19	42937917
chr5	154028490
chr9	123497823
chr4	186033379
chr22	27670855
chr4	159931945
chr9	686616
chr1	100151441
chr20	48743399
chr12	109585968
chr5	132202244
chr22	45030291
chr15	59224477
chr1	23496414
chr6	44706521
chr11	118790314
chr11	10344720
chr12	6445742
chr5	54873415
chr1	222065252
chr2	164564987
chr2	20793476
chr6	145588430
chr15	69109321
chr12	128771785
chr15	70779238
chr16	85150325
chr6	112543593
chr1	44011577
chr1	82981548
chr10	48336219
chr9	37603086
chr2	63901070
chr6	41417675
chr3	13041023
chr2	169818361
chr21	27107516
chr4	147113440
chr9	116321417
chr13	114791358
chr9	101673433
chr1	246747065
chr12	53321314
chr7	76751706
chr2	10159491
chr17	67476510
chr2	159810647
chr3	10266687
chr20	48389054
chr19	13143273
chr10	114021287
chr2	27408833
chr21	35171915
chr6	6916178
chr8	17519355
chr2	36598515
chr22	43076871
chr6	158148146
chr1	53649319
chr15	80464366
chr10	91351690
chr7	80571823
chr20	34330293
chr9	33391628
chr4	114389622
chr9	35511241
chr7	72936826
chr1	160101981
chr3	25075098
chr17	25574553
chr6	31790133
chr13	111768751
chr20	30160670
chr21	34792029
chr15	85384295
chr1	12585613
chr6	122130558
chr1	61907623
chr1	27951826
chr2	54456280
chr1	28189841
chr11	114033695
chr2	106647183
chr5	150575448
chr21	34588104
chr15	75321912
chr4	139903336
chr5	179246053
chr7	6357812
chr17	38707075
chr1	27126301
chr12	1778231
chr16	68562754
chr6	35995455
chr19	2629851
chr16	2723881
chr11	16810047
chr12	92933167
chr19	39936102
chr16	14051400
chr11	63377216
chr12	52836605
chr6	53875844
chr6	140000884
chr5	41194068
chr5	148679453
chr3	102771445
chr10	73745647
chr17	41150334
chr5	158295840
chr15	75661057
chr2	44310460
chr19	7717192
chr2	43371662
chr6	136425164
chr1	94279714
chr17	7740249
chr13	114917274
chr1	225616526
chr14	23790240
chr15	99982883
chr11	130304548
chr10	6092899
chr8	144629685
chr5	156637857
chr12	103969310
chr13	40956247
chr6	53329866
chr19	17580214
chr20	57623158
chr2	208176349
chr10	13895065
chr10	76684196
chr10	94190687
chr7	25469535
chr7	112090068
chr8	82470275
chr9	33402567
chr1	32219600
chr19	17416223
chr9	130601259
chr2	197025049
chr7	36112484
chr15	49912973
chr17	54993244
chr13	81132424
chr10	33291189
chr10	30235959
chr2	201336176
chr19	14238912
chr1	167683936
chr4	185726850
chr3	9920661
chr5	142895584
chr15	62732008
chr1	48960176
chr4	54402675
chr13	40976683
chr20	58609409
chr16	11644903
chr1	220625068
chr1	65399947
chr1	28916819
chr22	39860124
chr11	43902335
chr9	14320434
chr14	53356104
chr19	4518679
chr16	16108904
chr19	4724075
chr2	28619739
chr1	160254124
chr5	55841003
chr19	47354226
chr11	130321412
chr20	49548142
chr9	107900894
chr14	64363271
chr9	110032157
chr1	23697339
chr22	23302683
chr1	59888840
chr22	36044478
chr4	1889672
chr16	24712408
chr5	52166485
chr1	60897446
chr12	120632830
chr10	82255149
chr13	44938876
chr15	70559268
chr11	12434180
chr3	134059715
chr11	821326
chr10	30831619
chr2	65116254
chr12	89578060
chr11	75270341
chr2	102035720
chr6	75808620
chr5	76434928
chr12	132058801
chr2	20811217
chr12	92968886
chr1	22345833
chr1	192842370
chr18	12015837
chr5	171614216
chr8	128218553
chr17	9745799
chr7	134832822
chr2	145287613
chr10	88740105
chr22	38632991
chr5	149946750
chr11	86695894
chr12	51442086
chr3	45730527
chr7	155653657
chr2	237640903
chr2	238586836
chr5	149020931
chr2	216943616
chr3	53184403
chr16	77309407
chr1	109939532
chr10	71890870
chr20	56156960
chr5	142861725
chr1	56974355
chr5	95193191
chr19	42954807
chr12	54121242
chr3	52716169
chr4	6841976
chr14	74607346
chr2	54665620
chr2	226983574
chr13	103374345
chr20	30284125
chr8	144393514
chr17	48945094
chr22	41798179
chr2	114647329
chr10	72165169
chr7	80267747
chr16	30710543
chr3	112113205
chr16	71961508
chr18	19830791
chr17	56555437
chr6	7975492
chr1	85904239
chr1	173529725
chr14	24906051
chr3	12494685
chr12	18905669
chr13	35924054
chr10	4892059
chr7	115912176
chr17	19411490
chr10	102130992
chr20	48824844
chr11	68227631
chr7	64494923
chr6	106049603
chr1	202558501
chr11	1404781
chr3	167022027
chr2	129062775
chr18	48346487
chr22	50978196
chr20	46012953
chr20	19755406
chr2	173833005
chr17	1217060
chr15	74304125
chr8	57976631
chr3	145784950
chr7	33084111
chr1	226912731
chr11	10373393
chr7	41956209
chr1	40400237
chr8	1275139
chr9	35814410
chr10	128147273
chr19	17208580
chr11	61793083
chr19	55770694
chr4	154371535
chr6	169368523
chr1	183663262
chr11	14279952
chr1	171179728
chr9	115142792
chr7	95179663
chr12	72669019
chr1	110577152
chr17	17471267
chr19	38183144
chr4	77752207
chr1	42800171
chr1	151583997
chr6	3126810
chr11	77833955
chr7	93812862
chr1	100128276
chr19	17664345
chr19	49999453
chr4	152020703
chr3	64277189
chr6	14423737
chr3	43810333
chr3	81810246
chr20	13086666
chr7	79874106
chr21	43378347
chr12	47476767
chr3	125341456
chr14	76002406
chr19	13088858
chr15	71149356
chr1	100138319
chr6	166774718
chr3	171654413
chr5	148790592
chr20	42568123
chr2	121282985
chr2	85940480
chr1	182931897
chr8	128403585
chr20	52679580
chr5	173233932
chr1	9561389
chr10	51565155
chr5	180609127
chr6	155337324
chr11	95823958
chr3	177542040
chr7	74078688
chr3	8574288
chr3	177534778
chr1	89037256
chr1	209844206
chr5	146549182
chr2	145112744
chr3	176759469
chr6	17932976
chr19	2051929
chr2	189957816
chr17	55188514
chr3	58147666
chr16	12775757
chr6	6662144
chr1	225943250
chr7	137559282
chr3	12189713
chr10	7652991
chr12	27410490
chr1	9615603
chr1	87258912
chr13	44341648
chr17	41561192
chr5	32017923
chr2	102857397
chr1	92153188
chr20	18377951
chr6	3823537
chr10	73746811
chr5	148832104
chr7	64482792
chr7	65334472
chr2	165735426
chr6	26055378
chr3	106229165
chr3	128997397
chr1	115827017
chr7	15601660
chr20	5093468
chr5	118788627
chr11	35325713
chr1	177180521
chr6	119768030
chr13	52662152
chr1	26642015
chr15	38421973
chr2	185126778
chr2	232492619
chr2	218781412
chr8	48265937
chr2	39739443
chr3	43784660
chr2	145172267
chr6	134998067
chr2	72365701
chr4	88260773
chr8	131007589
chr5	71578059
chr9	19129852
chr3	12360813
chr8	13104771
chr15	39669014
chr21	45717768
chr12	2492958
chr14	77495314
chr12	64493406
chr12	46384709
chr12	65086048
chr10	70821329
chr19	507388
chr10	64873963
chr22	37593102
chr7	132065069
chr13	41013222
chr2	145114080
chr10	80853864
chr10	33625126
chr19	18625893
chr18	18974195
chr3	127533309
chr20	33739750
chr1	243431073
chr17	4843556
chr14	105742128
chr2	187409232
chr12	7261864
chr7	151157371
chr1	145451685
chr1	27115808
chr1	171111070
chr10	24620591
chr20	48838200
chr3	132275455
chr4	38669008
chr5	159696158
chr17	80562055
chr5	35617946
chr11	63647287
chr1	89983836
chr8	55078932
chr5	32255620
chr20	17789291
chr17	41277657
chr2	64557167
chr1	153747408
chr20	48251964
chr8	129308636
chr2	71928195
chr2	677481
chr12	94179222
chr2	62713244
chr14	69030371
chr1	110473946
chr7	105857019
chr5	150593758
chr21	35917754
chr18	29963272
chr6	35436156
chr3	177256066
chr6	132199489
chr13	41015613
chr11	114069059
chr4	150433808
chr11	13365861
chr1	112903310
chr2	218861281
chr2	71944342
chr4	87966965
chr4	100326776
chr12	12764688
chr6	144683661
chr2	74991498
chr2	192992371
chr3	131262791
chr3	123119206
chr12	59097876
chr5	39080895
chr5	148119249
chr2	190410350
chr6	138914538
chr10	82312090
chr2	159932979
chr21	19373611
chr10	114121757
chr7	34802597
chr7	155049344
chr11	123092094
chr3	143071252
chr7	130041565
chr1	1709175
chr1	95479599
chr10	99313423
chr17	68475246
chr16	56736159
chr8	118969340
chr6	109573591
chr9	16044790
chr2	65058639
chr16	22308479
chr2	29304411
chr11	76518497
chr12	14707354
chr6	32381464
chr12	113510050
chr16	57825276
chr20	53889935
chr3	140425411
chr18	9073860
chr3	186560280
chr10	121425610
chr17	8446711
chr3	111737812
chr10	3468579
chr9	13860279
chr10	102075547
chr9	87327076
chr12	69345695
chr19	15783543
chr6	140079603
chr21	46784133
chr15	67053716
chr12	56540742
chr10	75503805
chr10	91002037
chr17	73456152
chr20	20724697
chr3	187686829
chr3	133292017
chr17	38231515
chr10	126246707
chr6	154311286
chr9	19380286
chr11	43666368
chr1	119503446
chr2	232410399
chr1	145096374
chr13	110966584
chr19	2476166
chr1	24740352
chr3	182817504
chr4	7069921
chr2	121347411
chr6	37125069
chr11	82745511
chr17	40714099
chr1	94019898
chr1	36653894
chr3	88062963
chr10	75778210
chr19	33718494
chr3	142712987
chr4	102682983
chr1	68003243
chr12	89606288
chr3	9922102
chr16	30087217
chr12	24652822
chr2	192169750
chr1	28110217
chr17	66016057
chr13	114740354
chr1	68152424
chr6	161856078
chr12	56236814
chr10	126390215
chr22	36815464
chr19	11341854
chr17	29395061
chr4	113061904
chr7	845136
chr10	34165691
chr21	35899232
chr14	103966712
chr12	58299292
chr14	24658133
chr16	70687767
chr12	53764982
chr7	155044261
chr15	90436930
chr16	17267437
chr11	110819103
chr17	65398224
chr9	130213724
chr1	110526292
chr12	47474267
chr19	18281734
chr6	41336827
chr20	57482905
chr7	141438069
chr1	28607137
chr9	91347226
chr2	232578814
chr11	58991984
chr6	3357414
chr6	151710876
chr8	36440916
chr19	40753054
chr5	55808313
chr1	156631330
chr12	50504101
chr17	2316094
chr12	122818395
chr7	114727708
chr10	98176594
chr16	20917974
chr1	152600791
chr12	125166102
chr1	70975909
chr16	67993638
chr3	184445404
chr11	75842731
chr12	53443546
chr6	126101462
chr11	130453111
chr3	193988901
chr8	102782875
chr1	95078426
chr3	42122209
chr11	118517259
chr20	48384995
chr7	80127967
chr12	29395287
chr21	36208602
chr2	38735740
chr7	30131205
chr1	45987576
chr8	98572545
chr15	77789295
chr15	26146263
chr9	3058564
chr16	58370790
chr21	34144312
chr2	42191135
chr6	3341912
chr8	19963450
chr9	3677693
chr12	14293279
chr11	111101332
chr9	129840892
chr18	6998057
chr22	37572717
chr11	77766190
chr16	75412135
chr10	5113982
chr12	31158909
chr6	47136153
chr3	41013351
chr10	88691839
chr2	217929129
chr10	116514362
chr4	23932602
chr2	69608663
chr1	31854623
chr1	162366951
chr2	145271595
chr5	54057154
chr11	3926817
chr1	92117513
chr1	161002368
chr6	39370295
chr5	67976418
chr18	54842911
chr13	107272453
chr14	103359934
chr19	58341552
chr17	30169677
chr15	91473092
chr15	23207847
