Chrom	position
chr6	4358804
chr21	45364147
chr2	172253375
chr16	15591057
chr2	233974798
chr13	110965472
chr8	125513253
chr2	11744208
chr20	50166234
chr12	89756880
chr3	197031641
chr16	4944956
chr1	151311734
chr11	9566151
chr4	72112728
chr17	56916026
chr14	22537101
chr19	16279392
chr1	218377485
chr1	200483686
chr4	14856625
chr8	143948608
chr3	12405948
chr11	36149876
chr2	113241021
chr1	153566713
chr11	119218659
chr9	127919522
chr6	136610457
chr8	141026917
chr12	26274899
chr8	125430278
chr16	9047975
chr6	37630574
chr13	110870368
chr11	64335287
chr7	37032126
chr10	63707506
chr7	73715811
chr2	102227889
chr22	30649607
chr4	1043793
chr17	48972505
chr5	133240689
chr8	66124056
chr3	194089717
chr11	9364467
chr1	33433946
chr8	631080
chr3	39147183
chr6	20877589
chr5	34924126
chr13	100132301
chr20	35305894
chr9	99433762
chr1	201714804
chr6	33840243
chr13	100392915
chr3	57060571
chr5	17118852
chr2	54904238
chr11	117072742
chr5	57693274
chr8	144767536
chr2	55051342
chr19	13261264
chr12	31749356
chr1	41870310
chr8	131856965
chr10	113087531
chr2	27720305
chr11	65472249
chr15	40267010
chr11	8329022
chr12	6345549
chr17	66275800
chr20	25237972
chr21	29217929
chr3	112676977
chr1	156114264
chr1	39192296
chr13	97141768
chr12	32051734
chr12	124917271
chr8	125219456
chr1	42967287
chr2	111699057
chr1	172934064
chr9	122402582
chr1	28885114
chr17	45705604
chr8	133218007
chr12	122400663
chr6	90369183
chr11	9759871
chr7	48085132
chr3	198072099
chr13	30430416
chr9	93091637
chr7	28037450
chr9	122991581
chr1	225508701
chr6	158040465
chr3	42684079
chr18	34979309
chr11	35337418
chr9	114552150
chr20	4135755
chr6	31911555
chr11	1772710
chr9	125243436
chr3	8629649
chr12	89769364
chr14	22334173
chr21	36430215
chr2	33070064
chr5	91314478
chr7	102876027
chr9	93098763
chr15	52252963
chr4	74659991
chr11	14337285
chr2	181791445
chr3	15769161
chr13	45367575
chr2	55050589
chr9	131678689
chr14	91980342
chr1	224565322
chr11	66970957
chr22	47329067
chr10	132572127
chr11	93055064
chr15	66803301
chr2	43294014
chr9	86348669
chr12	106288593
chr19	11095233
chr16	19107958
chr8	101098696
chr2	127064907
chr8	11854132
chr12	116916949
chr6	152095344
chr22	40711724
chr11	107840926
chr10	70716041
chr20	62088672
chr1	85279055
chr19	43765390
chr15	51228644
chr6	108738141
chr10	3526011
chr19	9075797
chr5	40689647
chr7	55133040
chr13	113187565
chr15	40098911
chr3	14144706
chr19	47315512
chr3	141331898
chr6	43174797
chr11	66892352
chr20	33812380
chr16	87388480
chr3	39639501
chr4	147831932
chr1	205284864
chr1	248829090
chr8	79795200
chr20	1416157
chr18	70337332
chr20	34391019
