Chrom	position
chr5	137514548
chr11	65264998
chr19	55770599
chr6	26123290
chr16	75109336
chr16	29816932
chr20	43274987
chr9	123342639
chr11	68518965
chr5	964217
chr9	83728563
chr11	2421669
chr1	203290227
chr7	72476343
chr6	22063424
chr1	199010828
chr12	58329883
chr17	45144869
chr8	102149496
chr9	130538814
chr6	138249079
chr9	26947356
chr17	56415452
chr1	148241616
chr16	30064356
chr9	98225095
chr12	122710733
chr17	36981579
chr2	201390877
chr3	196359239
chr2	240248776
chr2	182170625
chr6	29932745
chr1	114355243
chr14	72943729
chr8	144623773
chr2	232478584
chr2	232410324
chr19	18942639
chr3	135913356
chr6	26204731
chr18	24290666
chr15	74392601
chr2	55921073
chr12	32049737
chr14	55738036
chr19	14063142
chr2	65173545
chr7	74306590
chr10	104614042
chr16	19535168
chr2	60327370
chr19	10870539
chr6	142468270
chr3	196295512
chr10	102270924
chr8	142140203
chr22	17579524
chr9	131873591
chr3	44481438
chr3	58335724
chr14	77506836
chr12	104963721
chr22	50247141
chr1	148766954
chr12	51762866
chr16	30470222
chr20	62362232
chr14	58894185
chr15	75401077
chr11	46692723
chr2	136765993
chr10	11220905
chr5	126112629
chr6	27799432
chr2	100759086
chr1	167597490
chr1	9486572
chr19	3155241
chr19	44100560
chr5	150163276
chr11	18417738
chr9	132625558
chr16	87812797
chr2	191885262
chr10	70091856
chr1	150123772
chr10	80897733
chr6	2543184
chr17	17307333
chr2	214098018
chr21	43948058
chr2	54798264
chr6	134568537
chr22	29598945
chr9	112919344
chr9	112813481
chr4	140099260
chr18	60767487
chr9	132650899
chr19	44598415
chr19	49122591
chr1	26560697
chr5	176778927
chr5	100236707
chr1	147994297
chr1	221881558
chr6	14911092
chr12	46121430
chr5	130545373
chr15	74838745
chr17	43303601
chr3	159745773
chr10	104941207
chr12	15101875
chr7	101384406
chr8	125649935
chr9	99179755
chr7	104653084
chr5	138724389
chr16	17437113
chr2	8684008
chr18	45463580
chr1	90223341
chr13	80096840
chr6	41978334
chr4	87882995
chr13	42039510
chr2	220110175
chr12	50419423
chr2	129230839
chr19	11435100
chr1	174968633
chr8	145901065
chr19	16250773
chr10	74057103
chr18	74774649
chr17	2096027
chr6	28104611
chr16	74700806
chr5	392777
chr9	117661246
chr13	28843017
chr3	45957483
chr1	192486062
chr1	165840763
chr9	129231910
chr10	126480436
chr16	67867837
chr10	63721286
chr1	182269344
chr1	117312394
chr14	65007236
chr3	129159106
chr8	67976555
chr2	173018158
chr5	115471262
chr1	44173389
chr7	100034123
chr15	91201228
chr16	28503406
chr3	128564839
chr12	123717638
chr11	43890662
chr1	22345735
chr7	158616867
chr1	21780603
chr1	181057731
chr15	64722687
chr1	160510130
chr5	49930863
chr3	59437270
chr19	40503009
chr11	66112618
chr12	129399617
chr8	37594134
chr15	64388162
chr19	1853557
chr3	17947680
chr12	14518590
chr15	41782722
chr9	117135395
chr17	8198875
chr22	23558913
chr8	121761881
chr8	66858525
chr15	75628372
chr11	121288063
chr6	68599147
chr17	56413438
chr11	47381293
chr19	39881746
chr16	15982480
chr12	90127577
chr7	2760641
chr1	229673917
chr19	13030213
chr16	89572036
chr11	122568622
chr5	1313198
chr19	58011233
chr9	135934545
chr18	43250416
chr1	145611032
chr6	74171598
chr19	6772685
chr7	45018808
chr17	72734518
chr10	102295618
chr17	16120436
chr5	90610269
chr2	122288631
chr1	206290414
chr3	15333775
chr11	72526903
chr1	165820473
chr4	22609217
chr1	94057537
chr17	41438545
chr4	124337333
chr20	54967472
chr1	206736555
chr1	208035397
chr3	5239336
chr1	109102552
chr5	131756816
chr3	14693112
chr15	68076947
chr1	211848981
chr11	128595643
chr3	8399034
chr20	21147607
chr22	25267820
chr6	111580485
chr2	198104360
chr8	19674809
chr3	195847586
chr1	212810179
chr1	2323173
chr2	43437884
chr9	82208168
chr18	57574559
chr1	59282158
chr1	198651154
chr5	52021433
chr16	67906972
chr16	85339968
chr16	79123911
chr19	4105130
chr1	72347498
chr1	26324632
chr3	138297088
chr8	108317528
chr14	72058889
chr10	61413917
chr1	197731022
chr2	196351945
chr19	36266413
chr7	124569965
chr19	47221720
chr6	53226638
chr6	35265561
chr11	67045131
chr10	11205298
chr9	123659615
chr12	31902319
chr5	60627992
chr6	16180459
chr12	11951940
chr11	74699925
chr15	75491271
chr16	22252472
chr13	49079943
chr15	75918197
chr11	102431649
chr2	20101797
chr2	237994494
chr2	8685323
chr1	235099112
chr8	37595204
chr1	714049
chr2	146169256
chr3	179674516
chr13	51486235
chr19	18401346
chr9	34049578
chr7	25165064
chr6	15299964
chr14	75716398
chr1	233151900
chr12	121124720
chr3	72213217
chr10	30818584
chr1	200123475
chr3	27387205
chr19	39616448
chr10	8402529
chr6	53174570
chr3	195908908
chr1	198148788
chr15	60268887
chr11	12171541
chr3	31573880
chr20	44718564
chr15	75069886
chr1	32671261
chr11	72865425
chr12	4252158
chr1	180123647
chr16	1525090
chr2	74801133
chr1	199142614
chr1	100866071
chr4	79531834
chr15	74268277
chr8	82059687
chr9	123834326
chr2	68954358
chr5	37723101
chr19	41283329
chr16	88866559
chr12	67662918
chr19	10523118
chr10	129861468
chr17	77784061
chr13	103498321
chr7	102920687
chr13	51566553
chr1	244998649
chr2	47210515
chr17	55038365
chr7	29325168
chr1	12270759
chr3	18024813
chr16	57723941
chr17	73901152
chr14	107175296
chr4	3204294
chr11	130184591
chr2	242908406
chr16	29733046
chr2	73460505
chr4	114486226
chr3	130569155
chr15	72929328
chr18	77443086
chr4	15412642
chr5	38453834
chr3	22492682
chr11	44596240
chr16	74643046
chr5	140985440
chr19	16449877
chr1	43824556
chr12	121397850
chr19	18134780
chr1	92925683
chr2	38871065
