Chrom	position
chr12	97962627
chr2	180439139
chr5	95674527
chr5	30605968
chr21	37854081
chr3	47485378
chr5	149922705
chr14	39493471
chr21	16513019
chr21	18895489
chr16	87413069
chr3	102390094
chr3	156838495
chr14	95806052
chr2	234654273
chr5	72974423
chr6	145588449
chr2	187398664
chr10	75346613
chr20	21545188
chr14	50108741
chr2	70742043
chr12	81319897
chr21	46945408
chr6	51602568
chr12	15782245
chr7	12752082
chr4	41079877
chr3	119514868
chr12	20066136
chr6	143167186
chr21	17452441
chr11	111179082
chr15	89664834
chr9	93220954
chr3	120401153
chr16	22692205
chr15	45679773
chr5	15009726
chr7	73027272
chr2	113697224
chr10	106048349
chr8	8960306
chr10	3852539
chr8	142238760
chr17	56015548
chr11	77170566
chr10	135192106
chr1	147896458
chr11	68065793
chr21	40757715
chr12	22197070
chr7	129753893
chr1	36735114
chr19	45198222
chr10	77493232
chr14	39735811
chr1	12588585
chr17	59413567
chr1	78688103
chr14	24777226
chr9	140195500
chr19	41029343
chr18	71949967
chr9	112066841
chr4	74141228
chr6	3913957
chr12	90026752
chr4	155581434
chr12	118241029
chr5	73877050
chr3	85056564
chr6	168076946
chr17	73305271
chr7	130584689
chr3	170049158
chr17	36741676
chr3	186330668
chr1	8319332
chr1	19763408
chr21	44694512
chr17	17309761
chr5	154213825
chr12	117956842
chr1	87258886
chr12	12556969
chr19	2576316
chr8	58721414
chr9	4584866
chr20	13404719
chr1	226315666
chr12	21504130
chr1	43505171
chr8	124417955
chr13	94776057
chr19	7200088
chr13	46717486
chr1	150943900
chr1	94050935
chr1	94019913
chr4	124476800
chr11	72489175
chr12	115049482
chr16	9081410
chr7	140676009
chr7	55055667
chr7	155411642
chr11	59379472
chr2	46265571
chr16	71928900
chr6	37051422
chr4	88340950
chr2	219283816
chr16	87584191
chr11	63057311
chr2	219309622
chr2	218767419
chr9	9752927
chr5	135430438
chr2	11679706
chr6	109085314
chr11	9590960
chr2	43019809
chr1	185504124
chr2	231915186
