gene	gc
A1BG	0.5925
A1CF	0.3385
A2M	0.382
A2ML1	0.448
A3GALT2	0.533
A4GALT	0.582
A4GNT	0.403
AAAS	0.531
AACS	0.5985
AADAC	0.39
AADACL2	0.3465
AADACL3	0.4775
AADACL4	0.5115
AADAT	0.547
AAED1	0.5805
AAGAB	0.504
AAK1	0.5995
AAMDC	0.6015
AAMP	0.605
AANAT	0.5995
AAR2	0.5075
AARD	0.5255
AARS	0.549
AARS2	0.504
AARSD1	0.513
AASDH	0.4815
AASDHPPT	0.551
AASS	0.3755
AATF	0.558
AATK	0.7055
ABAT	0.5015
ABCA1	0.5625
ABCA10	0.2665
ABCA12	0.3925
ABCA13	0.4175
ABCA2	0.7225
ABCA3	0.733
ABCA4	0.503
ABCA5	0.5785
ABCA6	0.331
ABCA7	0.5945
ABCA8	0.31
ABCA9	0.322
ABCB1	0.2995
ABCB10	0.658
ABCB11	0.4005
ABCB4	0.5615
ABCB5	0.371
ABCB6	0.635
ABCB7	0.437
ABCB8	0.537
ABCB9	0.6545
ABCC1	0.622
ABCC10	0.545
ABCC11	0.4435
ABCC12	0.4835
ABCC2	0.402
ABCC3	0.627
ABCC4	0.6245
ABCC5	0.589
ABCC6	0.5545
ABCC8	0.6395
ABCC9	0.3515
ABCD1	0.7205
ABCD2	0.442
ABCD3	0.5785
ABCD4	0.5035
ABCE1	0.509
ABCF1	0.5085
ABCF2	0.5555
ABCF3	0.5615
ABCG1	0.6465
ABCG2	0.498
ABCG4	0.6535
ABCG5	0.574
ABCG8	0.5705
ABHD1	0.5495
ABHD10	0.445
ABHD11	0.632
ABHD12	0.612
ABHD12B	0.503
ABHD13	0.5615
ABHD14A	0.603
ABHD14A-ACY1	0.6035
ABHD14B	0.6095
ABHD15	0.7155
ABHD16A	0.5275
ABHD16B	0.63
ABHD17A	0.6075
ABHD17B	0.604
ABHD17C	0.6825
ABHD2	0.5835
ABHD3	0.572
ABHD4	0.525
ABHD5	0.6145
ABHD6	0.6425
ABHD8	0.6085
ABI1	0.5555
ABI2	0.573
ABI3	0.57
ABI3BP	0.3745
ABL1	0.521
ABL2	0.586
ABLIM1	0.4075
ABLIM2	0.7015
ABLIM3	0.5695
ABR	0.707
ABRA	0.494
ABRACL	0.584
ABT1	0.505
ABTB1	0.702
ABTB2	0.6605
AC000003.2	0.5145
AC002310.13	0.6005
AC002365.1	0.44
AC002451.1	0.4065
AC002472.1	0.4755
AC002472.13	0.5735
AC002553.1	0.4215
AC003002.4	0.516
AC003002.6	0.5
AC003006.7	0.537
AC003043.1	0.5755
AC003101.1	0.525
AC003102.1	0.534
AC004017.1	0.44
AC004076.7	0.4735
AC004076.9	0.4755
AC004381.6	0.556
AC004466.1	0.589
AC004528.1	0.614
AC004817.1	0.4665
AC004824.2	0.5035
AC004899.1	0.46
AC005003.1	0.6905
AC005008.2	0.3445
AC005082.1	0.407
AC005358.1	0.4265
AC005477.1	0.4025
AC005481.5	0.618
AC005488.1	0.522
AC005493.1	0.406
AC005544.1	0.5525
AC005549.3	0.482
AC005606.1	0.5955
AC005609.1	0.478
AC005841.1	0.527
AC006014.1	0.523
AC006116.20	0.4395
AC006126.3	0.517
AC006156.1	0.6505
AC006372.1	0.5125
AC006435.1	0.5035
AC006449.1	0.5215
AC006455.1	0.5365
AC006486.1	0.6045
AC006486.9	0.68
AC006538.4	0.571
AC006547.14	0.615
AC006946.15	0.6745
AC006967.1	0.4525
AC007040.11	0.566
AC007204.1	0.3525
AC007216.2	0.4575
AC007375.1	0.66
AC007377.1	0.3795
AC007382.1	0.3465
AC007401.2	0.369
AC007421.1	0.5625
AC007461.1	0.3945
AC007557.1	0.406
AC007773.3	0.582
AC007919.2	0.476
AC007952.1	0.5435
AC007952.5	0.547
AC007952.6	0.5475
AC007956.1	0.44
AC007965.1	0.3505
AC008060.7	0.6485
AC008132.1	0.2465
AC008132.13	0.588
AC008267.1	0.5395
AC008271.1	0.4025
AC008372.1	0.5035
AC008387.1	0.3795
AC008394.1	0.3345
AC008443.1	0.374
AC008498.1	0.4
AC008686.1	0.501
AC008914.1	0.5285
AC008948.1	0.31
AC008964.1	0.3775
AC009041.2	0.7605
AC009060.1	0.552
AC009065.1	0.526
AC009365.3	0.412
AC009403.2	0.611
AC009802.1	0.3935
AC009892.10	0.3975
AC009977.1	0.373
AC010327.2	0.6165
AC010336.1	0.6535
AC010368.2	0.388
AC010441.1	0.5335
AC010536.1	0.5855
AC010646.3	0.5155
AC010760.1	0.422
AC010877.1	0.3135
AC011239.1	0.5065
AC011294.3	0.3225
AC011298.1	0.5485
AC011308.1	0.362
AC011366.3	0.394
AC011475.1	0.509
AC011484.1	0.667
AC011500.1	0.486
AC011530.4	0.637
AC011551.3	0.6065
AC011755.1	0.394
AC011897.1	0.613
AC011997.1	0.493
AC012067.1	0.3385
AC012123.1	0.5965
AC012215.1	0.383
AC012313.1	0.69
AC012360.1	0.5645
AC012360.2	0.4805
AC012414.1	0.601
AC012485.1	0.536
AC012493.2	0.3735
AC013269.5	0.59
AC013449.1	0.4945
AC013468.1	0.4285
AC013469.1	0.371
AC015660.1	0.4205
AC015987.2	0.3705
AC015989.1	0.418
AC015989.2	0.3845
AC016251.1	0.3825
AC016559.1	0.47
AC016586.1	0.595
AC016745.1	0.408
AC016752.1	0.351
AC016757.3	0.5275
AC016885.1	0.418
AC017028.1	0.5735
AC017081.1	0.5355
AC017104.2	0.5055
AC018445.1	0.494
AC018470.1	0.6115
AC018512.1	0.4515
AC018630.1	0.3395
AC018755.1	0.565
AC018816.3	0.4135
AC018867.1	0.387
AC018867.2	0.399
AC019171.1	0.617
AC019206.1	0.429
AC019294.1	0.626
AC020629.1	0.374
AC020907.1	0.5325
AC020922.1	0.6495
AC020952.1	0.5185
AC021218.2	0.558
AC021860.1	0.639
AC022210.1	0.4785
AC022400.2	0.6115
AC022431.2	0.474
AC022498.1	0.495
AC022532.1	0.5275
AC022819.2	0.3295
AC023469.1	0.3625
AC023590.1	0.385
AC023632.1	0.4095
AC024257.1	0.377
AC024580.1	0.5445
AC024592.12	0.593
AC024940.1	0.6175
AC025262.1	0.3895
AC025278.1	0.49
AC025287.1	0.407
AC026202.1	0.6635
AC026310.1	0.533
AC026369.1	0.428
AC026407.1	0.437
AC026461.1	0.576
AC026703.1	0.3815
AC026740.1	0.566
AC027228.1	0.44
AC027307.3	0.602
AC027309.1	0.472
AC027763.2	0.525
AC037199.1	0.5565
AC037459.4	0.6335
AC040160.1	0.5805
AC040977.1	0.6015
AC051642.1	0.4665
AC055736.1	0.522
AC061975.10	0.3585
AC061992.1	0.576
AC062017.1	0.6125
AC064874.1	0.3835
AC068039.1	0.3985
AC068533.7	0.5525
AC068620.1	0.33
AC068987.1	0.4045
AC069368.3	0.638
AC069547.1	0.391
AC069547.2	0.391
AC073063.1	0.4685
AC073188.1	0.5905
AC073333.1	0.539
AC073342.1	0.4225
AC073343.1	0.408
AC073528.1	0.3555
AC073569.1	0.339
AC073610.5	0.501
AC073657.1	0.491
AC074091.13	0.6345
AC074212.3	0.5495
AC074389.6	0.6185
AC078925.1	0.5745
AC079210.1	0.493
AC079341.1	0.565
AC079354.1	0.489
AC079354.2	0.493
AC079602.1	0.461
AC079612.1	0.54
AC083862.1	0.4255
AC087239.1	0.3725
AC087477.1	0.5775
AC087645.1	0.4925
AC090186.1	0.3285
AC090427.1	0.4215
AC090574.1	0.4285
AC090616.2	0.53
AC090673.2	0.445
AC091150.1	0.432
AC091801.1	0.503
AC091948.1	0.3925
AC092291.2	0.3685
AC092384.1	0.6035
AC092675.3	0.4525
AC092687.4	0.529
AC092782.1	0.344
AC092811.1	0.394
AC092850.1	0.568
AC092964.1	0.4335
AC092964.2	0.379
AC093157.1	0.362
AC093323.1	0.505
AC093677.1	0.507
AC093802.1	0.522
AC096582.1	0.51
AC096644.1	0.4255
AC096677.1	0.563
AC097381.1	0.656
AC099344.1	0.436
AC099552.4	0.457
AC102948.2	0.3825
AC103801.2	0.5025
AC103809.2	0.6
AC104057.1	0.591
AC104472.1	0.49
AC104534.3	0.5335
AC104667.3	0.542
AC104794.4	0.4345
AC104809.3	0.6495
AC104841.2	0.558
AC105020.1	0.5635
AC106017.1	0.555
AC106873.4	0.4025
AC106876.2	0.5385
AC107021.1	0.36
AC108868.1	0.6215
AC109583.1	0.5105
AC109829.1	0.444
AC110084.1	0.434
AC110615.1	0.359
AC110619.2	0.6715
AC110771.1	0.6475
AC110781.3	0.574
AC110792.1	0.33
AC111200.1	0.4325
AC112205.1	0.3625
AC112693.2	0.472
AC112715.2	0.473
AC112721.1	0.388
AC114494.1	0.521
AC114546.1	0.3485
AC114783.1	0.512
AC115618.1	0.549
AC116407.2	0.5935
AC117395.1	0.648
AC117834.1	0.3255
AC119673.1	0.3675
AC120194.1	0.3355
AC121757.1	0.526
AC124890.1	0.4375
AC126614.1	0.423
AC127496.1	0.5735
AC129492.6	0.6215
AC131097.4	0.5725
AC131935.1	0.452
AC131971.1	0.364
AC132186.1	0.549
AC132192.1	0.5425
AC132216.1	0.3925
AC132872.2	0.487
AC135048.1	0.62
AC135178.1	0.415
AC135983.2	0.5425
AC136297.1	0.5595
AC136604.1	0.6095
AC137056.1	0.4
AC137932.1	0.552
AC138393.1	0.42
AC138517.1	0.549
AC138647.1	0.6045
AC138655.1	0.5615
AC139100.2	0.515
AC139426.2	0.4935
AC139768.1	0.427
AC140061.12	0.4215
AC140481.2	0.595
AC142381.1	0.45
AC144568.2	0.489
AC145676.2	0.5845
AC174470.1	0.558
AC187652.1	0.6385
AC226150.4	0.4635
ACAA1	0.5975
ACAA2	0.592
ACACA	0.589
ACACB	0.4675
ACAD10	0.551
ACAD11	0.532
ACAD8	0.558
ACAD9	0.542
ACADL	0.5205
ACADM	0.4925
ACADS	0.5575
ACADSB	0.5905
ACADVL	0.59
ACAN	0.627
ACAP1	0.5705
ACAP2	0.611
ACAP3	0.734
ACAT1	0.5345
ACAT2	0.456
ACBD3	0.553
ACBD4	0.6825
ACBD5	0.582
ACBD6	0.5385
ACBD7	0.478
ACCS	0.5325
ACCSL	0.4815
ACD	0.669
ACE	0.698
ACE2	0.3815
ACER1	0.5465
ACER2	0.5805
ACER3	0.5885
ACHE	0.7015
ACIN1	0.5405
ACKR2	0.4265
ACKR3	0.4465
ACKR4	0.324
ACLY	0.641
ACMSD	0.353
ACN9	0.451
ACO1	0.5325
ACO2	0.543
ACOT1	0.558
ACOT11	0.5805
ACOT12	0.5305
ACOT13	0.531
ACOT2	0.539
ACOT4	0.6165
ACOT6	0.4375
ACOT7	0.557
ACOT8	0.5565
ACOT9	0.5485
ACOX1	0.586
ACOX2	0.5265
ACOX3	0.523
ACOXL	0.598
ACP1	0.627
ACP2	0.5445
ACP5	0.607
ACP6	0.5785
ACPL2	0.6625
ACPP	0.409
ACPT	0.5725
ACR	0.5395
ACRBP	0.57
ACRC	0.517
ACRV1	0.435
ACSBG1	0.5265
ACSBG2	0.5315
ACSF2	0.627
ACSF3	0.6025
ACSL1	0.618
ACSL3	0.5865
ACSL4	0.5505
ACSL5	0.53
ACSL6	0.634
ACSM1	0.436
ACSM2A	0.441
ACSM2B	0.451
ACSM3	0.417
ACSM4	0.4485
ACSM5	0.483
ACSS1	0.679
ACSS2	0.569
ACSS3	0.4585
ACTA1	0.63
ACTA2	0.5515
ACTB	0.7055
ACTBL2	0.447
ACTC1	0.5615
ACTG1	0.689
ACTG2	0.5235
ACTL10	0.594
ACTL6A	0.5705
ACTL6B	0.604
ACTL7A	0.52
ACTL7B	0.4905
ACTL8	0.4985
ACTL9	0.579
ACTN1	0.6895
ACTN2	0.602
ACTN4	0.589
ACTR10	0.515
ACTR1A	0.4935
ACTR1B	0.5925
ACTR2	0.5555
ACTR3	0.59
ACTR3B	0.5585
ACTR3C	0.5835
ACTR5	0.579
ACTR6	0.598
ACTR8	0.5135
ACTRT1	0.4135
ACTRT2	0.596
ACTRT3	0.358
ACVR1	0.5515
ACVR1B	0.593
ACVR1C	0.5835
ACVR2A	0.607
ACVR2B	0.671
ACVRL1	0.649
ACY1	0.6155
ACY3	0.516
ACYP1	0.495
ACYP2	0.4715
ADA	0.6205
ADAD1	0.5005
ADAD2	0.5695
ADAL	0.538
ADAM10	0.5985
ADAM11	0.7005
ADAM12	0.646
ADAM15	0.6735
ADAM17	0.585
ADAM18	0.426
ADAM19	0.6
ADAM2	0.4435
ADAM20	0.3465
ADAM21	0.3965
ADAM22	0.5665
ADAM23	0.6385
ADAM28	0.3725
ADAM29	0.346
ADAM30	0.48
ADAM32	0.508
ADAM33	0.6285
ADAM7	0.383
ADAM8	0.6775
ADAM9	0.607
ADAMDEC1	0.334
ADAMTS1	0.6365
ADAMTS10	0.5655
ADAMTS12	0.5275
ADAMTS13	0.5505
ADAMTS14	0.6275
ADAMTS15	0.6325
ADAMTS16	0.6375
ADAMTS17	0.6635
ADAMTS18	0.5865
ADAMTS19	0.5895
ADAMTS2	0.725
ADAMTS20	0.6035
ADAMTS3	0.587
ADAMTS4	0.587
ADAMTS5	0.622
ADAMTS6	0.4065
ADAMTS7	0.6965
ADAMTS8	0.603
ADAMTS9	0.589
ADAMTSL1	0.4295
ADAMTSL2	0.6065
ADAMTSL3	0.687
ADAMTSL4	0.655
ADAMTSL4-AS1	0.6005
ADAMTSL5	0.695
ADAP1	0.7135
ADAP2	0.5775
ADAR	0.5345
ADARB1	0.728
ADARB2	0.565
ADAT1	0.5125
ADAT2	0.5
ADAT3	0.591
ADC	0.557
ADCK1	0.551
ADCK2	0.6225
ADCK3	0.463
ADCK4	0.609
ADCK5	0.669
ADCY1	0.697
ADCY10	0.406
ADCY2	0.6945
ADCY3	0.723
ADCY4	0.615
ADCY5	0.694
ADCY6	0.52
ADCY7	0.5825
ADCY8	0.567
ADCY9	0.732
ADCYAP1	0.563
ADCYAP1R1	0.541
ADD1	0.6265
ADD2	0.6195
ADD3	0.649
ADGB	0.4715
ADH1A	0.3445
ADH1B	0.354
ADH4	0.342
ADH5	0.5165
ADH6	0.374
ADH7	0.3655
ADHFE1	0.4965
ADI1	0.582
ADIPOQ	0.4805
ADIPOR1	0.5645
ADIPOR2	0.531
ADIRF	0.623
ADK	0.563
ADM	0.6005
ADM2	0.6855
ADM5	0.614
ADNP	0.6925
ADNP2	0.637
ADO	0.619
ADORA1	0.5675
ADORA2A	0.6335
ADORA2B	0.686
ADORA3	0.4825
ADPGK	0.5705
ADPRH	0.4955
ADPRHL1	0.5045
ADPRHL2	0.6325
ADPRM	0.525
ADRA1A	0.6275
ADRA1B	0.618
ADRA1D	0.704
ADRA2A	0.652
ADRA2B	0.7165
ADRA2C	0.767
ADRB1	0.7145
ADRB2	0.575
ADRB3	0.577
ADRBK1	0.687
ADRBK2	0.648
ADRM1	0.7025
ADSL	0.552
ADSS	0.5645
ADSSL1	0.641
ADTRP	0.418
AE000662.92	0.578
AEBP1	0.6715
AEBP2	0.618
AEN	0.5615
AES	0.6505
AF131215.5	0.385
AF165138.7	0.355
AF196779.12	0.5655
AFAP1	0.6515
AFAP1L1	0.5795
AFAP1L2	0.6655
AFF1	0.582
AFF2	0.6665
AFF3	0.618
AFF4	0.591
AFG3L2	0.633
AFM	0.35
AFMID	0.5575
AFP	0.3095
AFTPH	0.568
AGA	0.509
AGAP1	0.734
AGAP10	0.3955
AGAP2	0.714
AGAP2-AS1	0.6635
AGAP3	0.734
AGAP4	0.5075
AGAP5	0.5055
AGAP6	0.5055
AGAP7	0.509
AGAP8	0.5075
AGAP9	0.5125
AGBL1	0.4495
AGBL2	0.491
AGBL3	0.4655
AGBL4	0.5505
AGBL5	0.567
AGER	0.52
AGFG1	0.6315
AGFG2	0.5815
AGGF1	0.524
