Chrom	position
chr12	123380748
chr3	128598449
chr16	1470829
chr4	153457365
chr4	119512866
chr19	47987518
chr1	70671328
chr11	60609520
chr7	66309978
chr19	57751981
chr4	492985
chr1	40626965
chr16	2318144
chr11	72145688
chr12	132628942
chr19	18043795
chr12	124118320
chr4	120375861
chr19	36103624
chr10	53459654
chr3	44803187
chr11	4116021
chr17	36981621
chr2	29093184
chr14	24769038
chr18	2571503
chr15	73076119
chr11	118230285
chr7	45808664
chr1	155278494
chr6	149867237
chr1	714080
chr19	9649329
chr6	17707187
chr1	9489042
chr10	85899253
chr19	4791476
chr6	43027180
chr17	33914273
chr19	36119931
chr19	49122505
chr9	94877706
chr15	41047478
chr20	18268855
chr4	122745116
chr4	122722480
chr6	91297048
chr16	89557241
chr12	112856674
chr11	66112598
chr6	139456119
chr16	2022026
chr6	10695098
chr17	685576
chr17	73663292
chr12	82752203
chr3	53925994
chr4	104119632
chr7	23221591
chr14	32030603
chr7	19748684
chr19	51014794
chr3	101280655
chr19	52531690
chr3	44771092
chr9	33001635
chr11	67195912
chr2	24299261
chr6	41888907
chr5	5422496
chr17	41277589
chr1	45241170
chr7	93633697
chr8	101162847
chr3	9005166
chr9	140083053
chr7	75795921
chr14	99947727
chr16	68057146
chr1	1655835
chr3	196295449
chr15	78591945
chr12	133562929
chr9	2844295
chr13	49822033
chr18	11851373
chr3	16306506
chr5	61708578
chr7	65958589
chr4	57253677
chr12	120884222
chr12	10766197
chr19	10491365
chr1	245134350
chr3	119182493
chr9	134955304
chr17	56709487
chr3	140660558
chr6	30028982
chr17	57642942
chr4	20702026
chr6	170151716
chr7	150924440
chr1	150208527
chr10	116697958
chr7	1178023
chr1	224180352
chr15	65426206
chr18	13726642
chr14	23775973
chr2	220110189
chr3	113775563
chr18	76829255
chr2	237994513
chr1	53704206
chr3	10028550
chr19	19030477
chr17	17380299
chr21	45759317
chr10	74114749
chr22	19159184
chr14	76127534
chr12	108079518
chr19	7694475
chr19	12807476
chr7	102036809
chr8	118532930
chr10	64564263
chr17	37010094
chr8	125486920
chr19	30097187
chr1	19536847
chr4	77997437
chr9	6015646
chr9	99776079
chr15	34394151
chr4	103940883
chr11	64889658
chr10	103912072
chr20	23338776
chr16	86588828
chr11	111749951
chr16	88772874
chr20	32398945
chr14	52456175
chr20	42286175
chr5	173043738
chr17	4607445
chr7	65235833
chr1	228297015
chr17	8152603
chr3	196669485
chr1	1590521
chr19	51182817
chr20	44420571
chr5	150080658
chr14	100150251
chr7	55434005
chr9	125027136
chr22	24059572
chr16	67261015
chr5	99870997
chr12	56862286
chr5	159436085
chr1	222817630
chr4	54232249
chr1	115259407
chr2	88991082
chr17	26662515
chr10	70287274
chr11	67374374
chr17	47022224
chr2	21022883
chr19	44100518
chr1	209957967
chr22	30988127
chr4	69215871
chr20	36661868
chr6	126661252
chr7	152373372
chr2	10830100
chr22	32058241
chr22	50946644
chr6	37400981
chr17	72869493
chr2	110962618
chr1	174968565
chr17	42264289
chr6	144416774
chr1	26496339
chr12	133758075
chr21	45209409
chr4	39367999
chr10	74927840
chr4	164088094
chr2	170440849
chr13	103249214
chr2	68290162
chr13	103498131
chr14	75179842
chr7	1199893
chr4	926199
chr2	27579674
chr17	7475989
chr11	126138868
chr16	71879848
chr9	26947290
chr20	55043666
chr12	64616378
chr7	44646101
chr3	10068081
chr18	61089763
chr7	99647405
chr16	28857760
chr9	97488944
chr17	37558926
chr10	102027437
chr9	86323132
chr7	30174292
chr19	9546248
chr1	154600484
chr16	2015010
chr19	56015285
chr9	97136615
chr15	34517209
chr16	20753146
chr5	64859097
chr19	49078133
chr9	138853313
chr1	36107163
chr14	91976908
chr9	134000970
chr7	5553462
chr16	1832823
chr13	45563654
chr8	10697406
chr19	57874865
chr4	8430242
chr20	2644864
chr11	62607088
chr20	30697493
chr5	37371212
chr19	2962223
chr6	34855849
chr17	15903020
chr10	111971071
chr3	11314061
chr15	93447621
chr5	140943911
chr7	25164991
chr10	104154208
chr15	40861499
chr7	127225674
chr3	101405656
chr11	64851657
chr16	3285208
chr19	50145191
chr1	229644107
chr4	39460603
chr1	26758795
chr9	99382209
chr3	197687045
chr2	19548192
chr20	62496583
chr18	29671823
chr18	77866893
chr12	54718903
chr15	66679100
chr20	42219544
chr16	87799596
chr14	55738845
chr6	31774522
chr3	128369750
chr19	57791814
chr14	55493882
chr14	36789888
chr10	97453766
chr2	96068443
chr13	34392217
chr1	156698675
chr3	184053679
chr9	71394893
chr15	60771338
chr6	8064737
chr11	65479703
chr14	61447826
chr14	105219448
chr2	109335884
chr4	148605375
chr2	105953758
chr9	33290423
chr7	129592823
chr10	18940578
chr13	45915387
chr20	33265062
chr9	32573175
chr7	64541732
chr3	53164477
chr9	27573836
chr1	1447439
chr3	49066892
chr4	186347174
chr22	30752935
chr2	130939176
chr7	97736167
chr11	18655979
chr1	936285
chr1	38156273
chr19	13858645
chr1	2344028
chr12	117176030
chr19	11647005
chr5	43121606
chr2	28114154
chr2	27712630
chr4	8442494
chr19	13056475
chr9	132597582
chr17	41322410
chr19	8454860
chr7	100209693
chr22	19132287
chr12	31882056
chr5	70751424
chr11	18343760
chr1	228291059
chr22	26879818
chr2	157189300
chr11	3819050
chr22	26908459
chr3	185304058
chr14	102414428
chr17	40985146
chr6	136571519
chr1	243265061
chr7	151217039
chr5	177580903
chr20	5093751
chr15	23034424
chr13	64650179
chr2	3622870
chr3	154042340
chr9	111696406
chr19	54619111
chr14	55738025
chr6	52463209
chr5	176881688
chr20	44601031
chr1	29213371
chr11	10562778
chr10	14880075
chr6	49431027
chr11	34127107
chr1	115124311
chr5	175964882
chr12	108956328
chr19	54704663
chr16	58283848
chr9	26892811
chr5	78810433
chr7	30634412
chr4	74124894
chr14	21979553
chr19	48972381
chr13	27825430
chr3	53381664
chr20	16710630
chr20	23342609
chr7	99933702
chr19	9695219
chr11	65337906
chr20	17949501
chr8	120845097
chr2	43823279
chr8	126104076
chr12	54121416
chr4	110736676
chr4	114683891
chr11	62572959
chr17	33894972
chr1	1407078
chr11	33183148
chr1	156475241
chr2	62115825
chr14	36278585
chr11	6502601
chr7	137687018
chr15	57998814
chr2	234160220
chr11	66189263
chr1	94344768
chr3	57583215
chr2	132250635
chr7	140396468
chr15	63481623
chr12	101801828
chr20	32700167
chr4	146019371
chr3	37034967
chr8	49427154
chr11	18416064
chr20	62612449
chr4	166248704
chr9	140100122
chr5	145562351
chr19	36036466
chr3	101396032
chr16	25118473
chr9	100395656
chr3	15419841
chr7	65447256
chr6	90529515
chr1	29557474
chr16	3333466
chr8	144623706
chr3	195681441
chr6	34664743
chr12	121454333
chr20	60758074
chr16	71496150
chr7	124569917
chr17	42976829
chr19	35225460
chr3	142166886
chr6	38607952
chr5	137549131
chr1	4052301
chr15	91537919
chr8	145743345
chr21	44299690
chr2	242577067
chr22	41253036
chr6	27806144
chr11	57425183
chr6	41755378
chr1	20834651
chr16	34768285
chr14	24682743
chr9	6008601
chr12	7047266
chr12	125398680
chr14	68086455
chr22	38453378
chr12	6798769
chr12	104351026
chr12	49454625
chr19	49990801
chr17	76554629
chr12	6772539
chr11	75110512
chr12	125399387
chr17	38083898
chr9	139760857
chr4	44680433
chr22	50683462
chr19	39340999
chr22	47158473
chr14	104095466
chr19	1885527
chr20	3801436
chr20	54967561
chr19	10362852
chr17	25621081
chr9	34049182
chr19	51373862
chr10	70939974
chr17	5372326
chr15	42783375
chr3	33759753
chr22	19467001
chr3	130465687
chr6	150255552
chr5	59996032
chr4	83350666
chr9	102584083
chr16	28833972
chr19	51111416
chr3	99536668
chr17	49230859
chr18	33647544
chr19	50935014
chr5	44808951
chr6	117996574
chr1	153395144
chr6	26421567
chr16	81348512
chr11	82783082
chr19	10679871
chr12	7522015
chr10	13344100
chr18	54305961
chr3	58291962
chr19	49375614
chr5	60628007
chr10	103543190
chr9	100684534
chr17	36996564
chr12	46384465
chr3	52444049
chr5	149790304
chr8	92082274
chr3	186288320
chr7	107204389
chr17	7465241
chr11	102217931
chr22	20104775
chr2	74781563
chr15	74988396
chr19	18215363
chr5	112849377
chr17	41116512
chr1	202896396
chr10	31320767
chr11	68671332
chr3	185655838
chr1	22379167
chr19	2783383
chr11	17099346
chr12	72148637
chr7	73097894
chr1	171454623
chr1	171283201
chr21	44313223
chr19	29704111
chr8	98787958
chr11	95523582
chr14	73925500
chr5	140098471
chr1	52344674
chr7	112090371
chr1	36689930
chr5	133561794
chr11	17373521
chr1	204381034
chr5	133304362
chr17	18684554
chr3	39093493
chr10	94050889
chr12	76953529
chr4	119606500
chr12	27397038
