Chrom	position
chr11	114179422
chr2	101120730
chr9	137612385
chr9	70480910
chr4	77564444
chr4	6633404
chr22	40732895
chr2	11539619
chr1	156616667
chr10	93435272
chr11	114162988
chr17	8154468
chr1	8259310
chr3	188948142
chr10	72248977
chr22	38178209
chr1	145892222
chr12	121748910
chr8	68854610
chr6	44058801
chr15	85331388
chr11	114160211
chr6	17389530
chr1	117269100
chr11	61695624
chr10	72255275
chr10	455081
chr9	89665073
chr9	122248787
chr12	119716773
chr12	12883570
chr17	19937740
chr5	134466565
chr21	43586180
chr3	187809097
chr20	25238040
chr16	82152810
chr14	94599366
chr6	3670052
chr9	110189240
chr22	31586337
chr19	39409679
chr19	2032503
chr16	24701068
chr6	1641565
chr17	59837588
chr8	66522653
chr8	47659508
chr1	150568257
chr20	47334302
chr17	62819972
chr18	23726003
chr3	183765586
chr10	3810335
chr5	71748631
chr9	4866467
chr5	56757272
chr14	75536058
chr14	95340486
chr8	90001780
chr17	16653750
chr17	49395127
chr14	68570116
chr15	75176578
chr9	112012266
chr5	10596051
chr16	69253927
chr10	14572198
chr20	47317446
chr7	7321807
chr3	126389355
chr16	23423684
chr11	70233670
chr2	237559169
chr16	88077508
chr20	50415804
chr6	119683281
chr15	60374838
chr11	65420179
chr19	2154739
chr6	42045878
chr4	6751118
chr13	49858735
chr14	65118553
chr17	63838732
chr19	2528953
chr10	35495635
chr17	68297146
chr6	131844277
chr21	34734877
chr19	46874325
chr16	56370972
chr5	149486042
chr5	14589178
chr14	91127598
chr8	123405709
chr11	118916927
chr7	116317419
chr7	74023214
chr2	215982751
chr7	106217383
chr21	43343299
chr1	155017450
chr1	41496427
chr8	22739320
chr9	128022415
chr1	94744177
chr16	22195746
chr8	133356360
chr19	3336894
chr11	101441933
chr3	156817285
chr1	234997442
chr14	35404048
chr6	34462729
chr1	8190121
chr17	50909446
chr1	64898264
chr20	25017486
chr4	76563632
chr1	37499403
chr14	106846396
chr10	5554647
chr3	184011447
chr12	122888528
chr1	40899680
chr8	128142089
chr11	86089875
chr11	47189592
chr6	35726986
chr8	132899091
chr7	47758058
chr2	100068042
chr6	35728128
chr3	32422428
chr5	95642040
chr17	59869608
chr22	20917109
chr17	58575733
chr2	101080486
chr19	16734105
chr9	123327980
chr10	7233887
chr4	140305346
chr6	87731983
chr9	72365897
chr2	197613660
chr17	8151914
chr22	30291224
chr1	8343667
chr3	124248859
chr19	1181774
chr17	41421355
chr5	173766581
chr15	52656606
chr10	131997926
