Chrom	position
chr20	5374259
chr8	37336981
chr14	89657711
chr3	157350054
chr7	8330747
chr9	84982104
chr7	126124192
chr14	76804400
chr1	877293
chr2	176465255
chr12	108763744
chr7	69736790
chr5	90610276
chr9	935457
chr15	94372929
chr2	44771693
chr12	122236276
chr22	26326923
chr11	12015636
chr4	183266347
chr4	183645730
chr11	15644155
chr1	51669237
chr8	37679311
chr8	37018167
chr12	119510369
chr11	17043260
chr16	8816039
chr16	11085831
chr8	28982902
chr5	5277387
chr16	15684923
chr8	52557977
chr3	159574553
chr15	96731224
chr11	11485111
chr8	77611354
chr8	76723380
chr22	44970890
chr4	162129919
chr15	77133320
chr11	2696999
chr1	46927938
chr15	80142347
chr11	7576345
chr11	7871171
chr15	91879138
chr8	59612142
chr15	92313262
chr15	92998167
chr4	174569244
chr8	56827585
chr10	16951347
chr4	175114279
chr10	16587605
chr5	5340736
chr11	22537961
chr22	18330289
chr20	46337824
chr12	108622800
chr7	159110147
chr11	41687329
chr16	62644500
chr16	63786418
chr12	106286342
chr16	65145320
chr11	42922804
chr16	65343371
chr16	65691207
chr22	18123268
chr11	43698682
chr5	58781640
chr1	69191185
chr16	72232871
chr7	139736115
chr20	40284915
chr1	242440187
chr7	138364676
chr5	66651145
chr1	63666628
chr1	63186824
chr1	63182335
chr20	52238433
chr5	6311921
chr16	17220235
chr5	15592928
chr10	129223283
chr21	33283629
chr8	20139904
chr11	23726046
chr21	27926890
chr10	6281400
chr10	4145308
chr10	2653334
chr16	52434884
chr11	32247349
chr16	53048413
chr11	33476062
chr5	41009557
chr5	41790669
chr1	62477955
chr16	56256087
chr8	79038264
chr8	84823138
chr8	80212600
chr10	50159993
chr14	90625756
chr9	12931065
chr14	90918423
chr14	91014919
chr3	66503412
chr4	80416831
chr8	144571884
chr14	95474841
chr13	41485679
chr14	97355760
chr9	14131629
chr3	61878758
chr4	87940533
chr4	88162673
chr8	140992737
chr10	114518966
chr3	59703684
chr14	104283535
chr4	95546135
chr4	95601804
chr14	89714849
chr13	44786099
chr12	132067981
chr14	76584277
chr14	66598187
chr14	68864763
chr14	70409913
chr4	41886516
chr13	50927353
chr9	33454865
chr10	105689207
chr3	77316945
chr14	76439595
chr3	77200125
chr10	109306171
chr14	76952856
chr13	48246989
chr3	74350283
chr14	84633635
chr14	86084305
chr3	73410888
chr9	16449395
chr4	59993661
chr4	62694910
chr3	55888674
chr1	30277452
chr15	29488770
chr3	16109743
chr4	129314559
chr10	123222698
chr10	123496310
chr4	131602306
chr8	102083330
chr4	135343067
chr3	18168525
chr3	16531716
chr10	124177309
chr10	31041683
chr4	96445539
chr8	95863903
chr4	141013720
chr15	64214732
chr15	65872980
chr1	41129156
chr8	85413038
chr5	66710512
chr8	84210946
chr10	25798160
chr15	55635593
chr10	33621485
chr4	128692851
chr13	30766660
chr10	43486985
chr8	131408992
chr3	52341681
chr15	36164990
chr3	49711737
chr8	126346411
chr3	47941644
chr15	36983938
chr4	112555214
chr8	123325229
chr3	40336113
chr8	122573250
chr8	122306715
chr10	35055368
chr4	120009031
chr15	46535274
chr8	117460179
chr3	37562996
chr10	122817853
chr1	74895462
chr12	93694522
chr7	135718459
chr12	26676778
chr18	52538618
chr2	143028067
chr18	52623965
chr18	55357893
chr6	165152684
chr6	163101603
chr5	170632463
chr5	171333897
chr2	131502340
chr2	126340330
chr11	91874560
chr12	24211039
chr2	118419401
chr5	178863618
chr2	111528657
chr6	139796011
chr12	20123209
chr12	19211304
chr12	19049057
chr6	6474765
chr2	145881390
chr2	156403422
chr5	66928814
chr11	83947626
chr18	8254088
chr18	8766129
chr7	11800235
chr12	43312398
chr18	20146816
chr12	42397013
chr2	173237370
chr7	8269735
chr7	7987072
chr18	24556367
chr12	32825135
chr18	26315938
chr18	26320343
chr11	86457717
chr2	168921311
chr18	33856574
chr5	163780412
chr12	39283994
chr18	39773059
chr2	159779912
chr19	5189290
chr6	122875033
chr2	72203999
chr6	38178040
chr11	113775299
chr6	93064180
chr6	92514694
chr11	113925792
chr2	5991310
chr2	44168708
chr2	8039637
chr2	43748911
chr6	37768801
chr6	39295470
chr6	115872784
chr6	80920502
chr6	41735147
chr1	182669014
chr1	172589887
chr6	43582302
chr6	47051491
chr1	180565283
chr2	30956935
chr11	113462115
chr19	59025481
chr2	46480274
chr11	113421062
chr6	115441770
chr6	114897693
chr11	108863937
chr6	113011894
chr2	66248604
chr6	109545494
chr2	64073791
chr6	23349962
chr2	59087120
chr12	3011664
chr1	163144508
chr1	163166025
chr2	48963625
chr1	164445289
chr6	102428974
chr6	98828607
chr6	98783634
chr1	164813163
chr18	8174850
chr2	181971225
chr2	181975996
chr5	101384891
chr12	81779463
chr17	28033217
chr1	88683281
chr17	29906460
chr7	94280274
chr5	93009447
chr1	90374813
chr7	86976770
chr1	231195488
chr5	101607699
chr7	71003547
chr5	101958217
chr17	40064388
chr12	72469410
chr2	237626622
chr7	79600594
chr17	43983817
chr5	109394074
chr17	50472914
chr5	112417348
chr7	96137874
chr17	27375718
chr17	26022447
chr5	89733654
chr7	135006532
chr1	75545755
chr3	93825251
chr16	85465486
chr5	68718353
chr7	131730510
chr11	47937516
chr5	73591133
chr7	128003687
chr1	80869316
chr5	77192387
chr12	90459257
chr20	25233644
chr1	236084283
chr17	1750622
chr1	84273689
chr20	14903449
chr17	13425363
chr5	86923375
chr17	51576841
chr7	69599294
chr5	153867210
chr7	29198640
chr2	201347102
chr11	75049970
chr7	39393455
chr7	37412562
chr5	141559759
chr7	35329198
chr5	142820462
chr5	143214989
chr5	144018453
chr1	108270605
chr17	55623274
chr2	191904523
chr5	148385332
chr7	25699566
chr2	189066592
chr2	187560381
chr2	187455849
chr17	77694890
chr5	151109367
chr11	78637853
chr1	102423541
chr17	69019121
chr11	74249944
chr5	135079704
chr17	55625890
chr7	69267490
chr7	69265662
chr11	69455718
chr17	55836253
chr1	223522803
chr2	215897046
chr17	59554685
chr7	54317517
chr2	210435057
chr2	209536212
chr2	208696661
chr7	51670419
chr5	132144659
chr17	64310533
chr12	54587415
chr1	219692220
chr7	46147403
chr2	206538140
chr3	88025090
chr2	28039110
chr1	10785554
chr4	28721483
chr9	106004481
chr3	101889099
chr14	63904900
chr3	99630544
chr9	130808887
chr9	97863276
chr14	61612726
chr1	2799730
chr3	134083120
chr3	136439213
chr14	56598257
chr3	173767447
chr3	122694468
chr13	80221773
chr13	97963292
chr13	81439606
chr3	157776681
chr9	102174265
chr9	132625631
chr10	82297210
chr3	186220024
chr13	75959986
chr3	129729367
chr13	106222422
chr3	134215430
chr10	73257028
chr4	34080663
chr3	143116067
chr9	78082235
chr13	103831912
chr9	93092721
chr4	2888631
chr3	100685132
chr13	93923230
chr10	79847081
chr3	169005753
chr13	73136120
chr9	139069348
chr3	174869227
chr1	8767240
chr3	117475648
chr3	159597537
chr9	82275683
chr9	97372733
chr1	8735152
chr10	66076323
chr9	130505247
chr14	36050111
chr13	79578993
chr1	7594262
chr1	6577805
chr13	62281299
chr3	157529323
chr4	36923600
chr17	37057574
chr7	83698492
chr1	92705661
chr7	83218449
chr11	64405716
chr7	83775489
chr7	127725507
chr2	238792942
chr17	38614945
chr1	94747241
chr1	94582306
chr5	105244164
chr7	80462941
chr5	105044314
chr2	236079709
chr5	104278727
chr5	103995392
chr10	88025411
chr1	94174620
chr10	88020519
chr7	81369873
chr1	230079077
chr13	105072143
chr20	1745175
chr11	64624292
chr2	241761853
chr1	232455035
chr12	76114845
chr1	234108830
chr1	87835626
chr20	9551535
chr9	120040457
chr5	90279104
chr1	233217568
chr7	103355188
chr7	104262050
chr17	16322534
chr20	10635591
chr7	105438345
chr12	85124575
chr5	95809073
chr17	15207403
chr17	15197032
chr17	15113760
chr7	107999213
chr13	108314022
chr7	108456402
chr20	14615494
chr12	86537064
chr7	110062117
chr17	8466491
chr17	18529152
chr20	9217219
chr1	88108731
chr13	108028928
chr7	86566868
chr5	95592768
chr13	107651080
chr1	231863113
chr11	63912334
chr17	34053761
chr20	6036020
chr5	93611652
chr17	32940310
chr7	79240378
chr1	232456188
chr7	92399377
chr20	8601882
chr17	30023359
chr10	88407654
chr13	107863642
chr13	107868572
chr3	186744209
chr7	96225565
chr17	27300720
chr17	26662648
