Chrom	position
chr20	30192139
chr20	30196464
chr1	23888941
chr19	45959254
chr6	112658564
chr19	2611287
chr2	237994459
chr1	16439649
chr13	93876965
chr6	19805042
chr3	177077805
chr18	46478580
chr16	30669351
chr7	156556938
chr2	87035659
chr11	111749976
chr2	8819039
chr21	46898176
chr2	55496427
chr2	3307546
chr19	18398846
chr15	66994565
chr7	33935102
chr14	68925864
chr20	52740503
chr12	50469144
chr14	68410772
chr14	77422899
chr16	4343950
chr22	23864078
chr2	128165692
chr22	43011380
chr12	62517666
chr14	99741187
chr17	38501432
chr3	5028684
chr21	16594620
chr22	39570978
chr22	40894719
chr1	146644228
chr2	153032561
chr16	87887470
chr8	126442473
chr2	173037359
chr4	124521376
chr1	61918974
chr2	20767390
chr19	51866128
chr3	125094197
chr21	44763217
chr17	35258979
chr8	103667939
chr1	29575893
chr1	54954138
chr6	46816857
chr19	52193274
chr3	8486233
chr16	89234029
chr19	10025541
chr14	35873292
chr15	93447475
chr4	124426976
chr1	151032125
chr16	50502091
chr19	2540950
chr5	73936525
chr2	55647086
chr19	12895000
chr7	64940849
chr5	125931015
chr4	106819591
chr2	238523000
chr4	57253444
chr12	115945956
chr7	120497840
chr7	35734717
chr20	42999462
chr1	9462081
chr20	49067847
chr5	64331485
chr17	46810531
chr1	12664581
chr7	74408255
chr1	59347366
chr1	153919204
chr3	5068323
chr15	40391146
chr17	7744993
chr15	69887144
chr14	74238746
chr3	194754356
chr15	91417533
chr1	23881404
chr10	125795591
chr14	37667194
chr6	125622800
chr3	170075138
chr13	41078391
chr10	30811720
chr17	17727216
chr1	8763474
chr22	35768159
chr12	120668598
chr1	226133417
chr12	132434286
chr16	50581565
chr20	52811531
chr20	45443723
chr17	7740299
chr2	64055137
chr6	143167206
chr11	65266529
chr9	37800749
chr15	74838706
chr2	109065529
chr11	121347251
chr6	132272468
chr7	100769735
chr6	157744589
chr10	65225839
chr6	71377532
chr3	195782825
chr21	48081321
chr19	55770623
chr17	62915658
chr4	111535547
chr6	30685407
chr10	94050794
chr19	18479544
chr14	90863368
chr17	74025556
chr10	104536927
chr17	73901121
chr7	150081041
chr12	124615382
chr16	85325350
chr1	53140617
chr20	30160943
chr8	105601531
chr1	150540815
chr2	208890304
chr15	57210816
chr6	151187509
chr10	72200300
chr5	72143967
chr10	71892676
chr12	32259639
chr22	46423448
chr20	56285715
chr9	72027753
chr8	59085300
chr4	141075398
chr10	29228945
chr16	89927392
chr18	3448233
chr11	65686831
chr1	15466447
chr5	73711774
chr1	148604945
chr1	12679140
chr1	61542847
chr1	145382830
chr1	12493652
chr12	124456543
chr6	7975503
chr1	59518088
chr5	58423701
chr1	59282107
