Chrom	position
chr15	97960501
chr11	67508296
chr19	35702500
chr14	77616903
chr16	3004082
chr9	129081049
chr20	45812532
chr14	23286248
chr2	10122653
chr8	144104402
chr17	49789209
chr7	75915068
chr22	40044696
chr7	150379255
chr19	58278858
chr19	38850035
chr19	14117935
chr22	21642218
chr19	6372651
chr9	137241019
chr8	11802536
chr6	159762395
chr19	19063910
chr17	81239211
chr19	19385590
chr6	113971370
chr19	6425046
chr19	48720804
chr15	68820993
chr2	96858153
chr11	17276652
chr1	40709271
chr5	43313766
chr19	40222169
chr22	29268109
chr6	152983151
chr17	59155274
chr19	12801897
chr19	15419085
chr12	54280636
chr3	39384340
chr7	48035433
chr10	97334802
chr10	97292697
chr3	149813174
chr11	64186045
chr8	42152836
chr3	100492535
chr17	81860844
chr9	15511049
chr16	58629970
chr20	38926314
chr8	106657703
chr1	7961555
chr5	112160779
chr19	17309501
chr1	154974599
chr15	64163109
chr12	52069876
chr20	37179072
chr17	76265111
chr7	10973227
chr18	50287889
chr18	14132524
chr17	8156497
chr4	25312603
chr9	124771421
chr11	2700116
chr19	2900753
chr22	35300213
chr17	7572684
chr5	180494263
chr19	40576815
chr12	26239724
chr1	200891382
chr19	10380711
chr14	103715593
chr14	75660951
chr19	4402430
chr20	17856223
chr14	95534839
chr7	16990177
chr14	105491106
chr11	134224040
chr5	177312395
chr10	8543602
chr3	149086594
chr7	16484957
chr1	150697357
chr5	177087214
chr18	49723953
chr14	81303447
chr12	56224276
chr1	28236012
chr12	57744984
chr19	45770709
chr9	131373552
chr18	57435277
chr12	6851376
chr20	31723665
chr12	53451937
chr19	47048685
chr6	31158462
chr13	106144353
chr20	833676
chr15	64381586
chr1	172360648
chr2	196276578
chr10	45672840
chr20	3159846
chr17	82098832
chr1	156212950
chr14	32308283
chr22	33540526
chr14	54396882
chr14	56579660
chr12	26125060
chr5	160638486
chr19	2945047
chr6	27872401
chr9	125241529
chr22	18001803
chr22	18023736
chr8	96261734
chr18	26481039
chr1	153923099
chr2	168456114
chr11	126063177
chr22	28741896
chr19	49149867
chr15	89334937
chr19	4723936
chr8	11854079
chr19	35757993
chr6	43076426
chr12	109098028
chr6	83464896
chr12	126051948
chr12	116881133
chr7	155003240
chr5	14977420
chr16	57536087
chr19	17075557
chr17	1716381
chr11	13277546
chr6	136250468
chr3	186097948
chr19	33032676
chr6	46171041
chr10	125823423
chr9	136886343
chr2	47403033
chr20	57748817
chr19	35643593
chr10	130111185
chr6	46734236
chr17	13018071
chr9	81717752
chr19	42269140
chr17	17042305
chr19	45406521
chr5	64768753
chr3	170222240
chr19	19138536
chr17	17237292
chr4	139015622
chr17	28319085
chr6	42929344
chr7	135170791
chr17	39730562
chr9	98848581
chr7	27347019
chr17	3846301
chr7	41247661
chr10	120978859
chr4	48780469
chr2	7031966
chr16	85689044
chr15	64460448
chr15	49824198
chr5	141320326
chr4	51842996
chr7	105532148
chr5	154445910
chr15	52019126
chr5	146203504
chr5	148146086
chr4	158210544
