Chrom	position
chr15	69436235
chr1	175811112
chr10	14510109
chr16	81030446
chr1	47156755
chr8	28116540
chr5	14428714
chr11	95257686
chr6	138174960
chr7	84305049
chr1	68797023
chr6	11270473
chr6	134304690
chr6	3438893
chr1	80520038
chr1	221967842
chr5	76005777
chr14	61117481
chr20	25233641
chr6	42864104
chr2	153276659
chr6	154778420
chr13	42348937
chr10	32321067
chr12	12551320
chr12	12383403
chr20	31359970
chr5	146887285
chr10	112021040
chr2	149661724
chr7	30202591
chr17	75539304
chr13	41323937
chr17	41801539
chr12	13052604
chr7	32927166
chr10	95093465
chr1	162064274
chr17	1316867
chr18	46095991
chr3	190629291
chr1	66915954
chr4	146405577
chr6	42642319
chr6	86179522
chr19	48361717
chr6	42688768
chr8	124038567
chr12	115352282
chr16	14595569
chr11	66822638
chr5	115379980
chr8	121396630
chr1	212689057
chr5	115714285
chr7	127294656
chr7	6116882
chr1	31643769
chr14	59705944
chr22	43421278
chr17	69851363
chr6	155495892
chr7	105410806
chr10	89461439
chr1	151961051
chr7	2448712
chr15	49172605
chr1	85926570
chr17	70066061
chr10	118586448
chr4	170151000
chr13	52502596
chr5	73309321
chr21	34509387
chr5	141628602
chr17	42898183
chr1	23345853
chr1	22834249
chr18	60112764
chr10	88412323
chr6	31682157
chr3	58741080
chr1	151467481
chr1	85311230
chr2	223728041
chr1	153462988
chr12	3332325
chr14	59715031
chr17	30975672
chr21	18873895
chr8	27460937
chr15	74604883
chr1	83568529
chr10	114853473
chr11	43942434
chr20	23018028
chr8	104306030
chr5	122461044
chr2	128986639
chr9	98892119
chr4	157737028
chr6	131721685
chr15	51102545
chr7	107638732
chr7	107634583
chr7	107255068
chr2	223073168
chr4	37687015
chr7	28762506
chr6	151512779
chr17	13108108
chr5	90577281
chr12	51765418
chr5	158769117
chr7	151491784
chr17	33571685
chr20	46813209
chr1	200167574
chr4	110497843
chr1	59968070
chr2	179279730
chr20	47892974
chr1	44541966
chr17	5257818
chr4	129314556
chr11	75064008
chr2	202266788
chr1	61524351
chr20	48995945
chr1	168366381
chr12	39621272
chr1	202265021
chr3	194085833
chr10	64917853
chr8	10510660
chr11	32331683
chr12	52597148
chr1	181087066
chr20	42991310
chr4	2228195
chr11	72084313
chr10	62711267
chr11	71794711
chr1	180394164
chr14	90379296
chr14	89746194
chr16	46774151
chr12	51013353
chr5	95260559
chr11	27434025
chr9	14096768
chr5	106209457
chr1	181359977
chr18	21311069
chr7	157890483
chr10	61366469
chr9	1458673
chr20	44709926
chr20	44712337
chr5	93803825
chr8	12730494
chr14	74607249
chr17	1493480
chr12	26017457
chr8	17770706
chr20	52425945
chr2	172913095
chr9	38672521
chr5	82282425
chr12	117354722
chr3	72953552
chr20	55595607
chr15	71126310
chr20	55743510
chr6	85135878
chr15	70667502
chr4	106629874
chr20	56155254
chr9	75764660
chr5	79566528
chr17	32198869
chr1	36036418
chr1	162946601
chr8	20164328
chr13	60804051
chr19	30302343
chr4	109039786
chr9	37294448
chr10	45114568
chr18	3420130
chr1	42688066
chr1	42336023
chr6	41735071
chr12	53265303
chr18	5514076
chr20	36316687
chr3	193807511
chr3	193769693
chr2	175342738
chr6	71095843
chr5	132576385
chr1	39727618
chr3	12630390
chr1	204367770
chr14	95927484
chr1	204700327
chr10	65452442
chr15	70513075
chr10	65467222
chr1	39993026
chr12	118795353
chr15	61210646
chr18	60452333
chr6	76061491
chr3	106100407
chr4	186836031
chr3	5058424
chr1	15195920
chr6	17035690
chr5	58221681
chr2	31231637
chr8	41488283
chr10	76178330
chr7	84700513
chr7	95527080
chr10	123625262
chr14	35188271
chr15	85297333
chr10	4693785
chr16	80100975
chr8	74404481
chr12	80008671
chr3	105074471
chr3	140630804
chr6	49524422
chr22	19205590
chr10	22843949
chr6	16569832
chr7	69838000
chr6	165830930
chr6	108047936
chr2	28904734
chr3	99721902
chr22	28168254
chr10	123081776
chr5	14260949
chr10	76451129
chr1	15791071
chr14	24547549
chr11	61687834
chr15	83730718
chr16	75016408
chr12	101446098
chr17	58250968
chr11	118138411
chr2	39667124
chr3	142363529
chr17	56476468
chr14	30322622
chr16	24748185
chr1	245337357
chr10	2925612
chr4	67443821
chr6	168288984
chr2	44171161
chr6	112497597
chr17	46570189
chr6	106594885
chr6	106705252
chr8	80875740
chr14	26863801
chr2	67691149
chr1	94547707
chr6	53489466
chr17	55497743
chr6	113957739
chr8	42365303
chr5	1513902
chr17	46059841
chr22	25963475
chr5	40831494
chr7	80513080
chr7	80506378
chr6	20130928
chr1	94900464
chr15	86503005
chr5	125381017
chr17	55503090
chr1	244511445
chr12	105948181
chr3	47557422
chr2	25923342
chr10	77463278
chr5	16965157
chr10	77873943
chr6	166251619
chr8	36931198
chr22	20166326
chr11	134651665
chr10	119726835
chr13	114147832
chr2	242974127
chr10	8585916
chr12	66050831
chr3	42537817
chr10	77290285
chr2	26565922
chr6	45413758
chr22	20191359
chr6	108389603
chr6	15133387
chr19	13137513
chr8	37707437
chr6	15066012
chr2	106411867
chr11	129328933
chr6	14825302
chr10	77849598
chr1	17534766
chr8	67689056
chr14	52081547
chr6	124809430
chr19	13162568
chr13	63217287
chr17	63225233
chr5	67404885
chr11	8790438
chr15	36470271
chr4	44718803
chr3	177548453
chr15	77247278
chr6	109508800
chr21	35684058
chr1	91300649
chr21	38626391
chr7	101371674
chr3	41201494
chr6	31493472
chr4	74851392
chr10	23221146
chr21	35976142
chr5	132628208
chr7	69245570
chr10	11645145
chr22	47169994
chr20	37063989
chr12	76272009
chr15	37047689
chr5	132581391
chr22	41258742
chr1	178022327
chr17	32940221
chr6	168230385
chr15	39984842
chr20	42653640
chr12	52974395
chr1	177178695
chr5	167644197
chr10	76684217
chr8	8188069
chr20	36475307
chr8	17293796
chr19	2740241
chr12	76246213
chr16	11961375
chr5	133178813
chr11	70329425
chr6	47666200
chr8	66932490
chr22	40999318
chr4	72220851
chr1	174004869
chr20	2295924
chr16	12096461
chr20	2114134
chr1	114618391
chr15	63775240
chr18	31153342
chr16	12214547
chr4	72978421
chr22	47363766
chr8	11141938
chr10	63595897
chr18	29954243
chr15	64056459
chr20	42375186
chr4	3956420
chr17	33584509
chr6	166816398
chr18	29630019
chr10	77258408
chr1	174103577
chr20	39632393
chr8	9269998
chr12	51418804
chr20	37075328
chr6	49509153
chr15	39111762
chr4	71644925
chr8	8622023
chr1	168159743
chr10	77054704
chr17	20946934
chr18	32870365
chr15	37393651
chr15	63469539
chr17	32943347
chr11	68861954
chr6	41456477
chr20	39473094
chr12	80581713
chr5	134837855
chr19	4051898
chr6	166765435
chr15	65408114
chr19	4574895
chr15	48874888
chr10	70222532
chr15	61356359
chr22	43336268
chr8	27765907
chr17	26124936
chr8	37589340
chr4	31091614
chr18	55764809
chr10	73022010
chr16	15596378
chr12	57404832
chr1	155830308
chr4	26485874
chr5	139135822
chr3	112870540
chr5	145237422
chr8	42906136
chr8	37739569
chr20	25613790
chr16	22038028
chr5	145321440
chr8	26027721
chr4	25486077
chr5	145358371
chr8	25848360
chr5	145498138
chr6	43075287
chr18	48396771
chr18	48395159
chr8	37533020
chr20	10905549
chr22	43722731
chr12	50615206
chr7	2197475
chr5	141595706
chr1	151481636
chr4	38192640
chr18	60557919
chr12	64855636
chr8	29188640
chr18	57329625
chr4	38622778
chr20	17549834
chr1	151588668
chr6	44414529
chr6	43970792
chr18	72573290
chr12	65996734
chr8	37250713
chr20	21071624
chr8	37330180
chr12	58176643
chr1	153539167
chr20	13757939
chr18	73121005
chr8	27976110
chr10	74560374
chr8	27939964
chr4	48700644
chr12	56109822
chr5	146821064
chr5	137271167
chr6	42386678
chr5	137169352
chr6	168548084
chr5	153744559
chr1	151284217
chr5	153903428
chr8	42398544
chr6	168493879
chr8	19243501
chr1	164581223
chr15	60685429
chr20	34463672
chr8	42744877
chr20	34470673
chr1	164698181
chr12	53764271
chr1	164806056
chr19	2385482
chr8	18812448
chr17	32309283
chr20	35095619
chr7	13948874
chr5	136852416
chr20	35299265
chr19	2463188
chr1	161849250
chr8	42125403
chr10	72138099
chr8	42064326
chr1	157003467
chr11	62195552
chr15	57328738
chr5	138583603
chr8	38650687
chr10	75666675
chr15	57382841
chr12	68933255
chr15	57679959
chr12	68959477
chr18	47182633
chr18	46543689
chr5	148825670
chr8	22600903
chr19	1470744
chr1	161067528
chr4	20296272
chr18	46469828
chr5	137578310
chr1	161472098
chr5	137465243
chr7	7604136
chr10	76179541
chr10	70971456
chr10	76263230
chr1	198732648
chr17	38984416
chr18	23813505
chr6	14384971
chr3	171858667
chr7	43687813
chr7	99160699
chr11	128450703
chr22	29440368
chr17	64572773
chr6	31214047
chr21	36950863
chr17	63625690
chr15	77928753
chr7	42272053
chr21	36218232
chr7	100781878
chr15	77709525
chr3	135570700
chr7	101524524
chr7	98435217
chr17	63624068
chr7	101591350
chr15	81821996
chr1	234755691
chr21	40340910
chr11	121482147
chr1	234670087
chr11	102134474
chr21	40179531
chr3	139905462
chr6	16577388
chr1	232121557
chr7	95387724
chr11	125374674
chr3	171529429
chr6	15736121
chr17	63309011
chr11	126188129
chr10	23268015
chr7	101526450
chr11	94246417
chr3	140672080
chr17	41826809
chr7	106766166
chr1	224915797
chr3	182154545
chr3	182209010
chr3	182314667
chr7	37071771
chr6	7480356
chr12	6344839
chr12	3004864
chr17	41747600
chr12	6445508
chr1	224255424
chr12	6480462
chr7	111921074
chr15	74818611
chr21	26979846
chr6	8100433
chr6	32604663
chr12	919971
chr17	69628684
chr6	31702592
chr21	34931475
chr6	31745022
chr12	1326911
chr17	68085940
chr21	34576282
chr17	69435050
chr3	181046969
chr12	2645091
chr17	70403767
chr21	34144385
chr21	34141005
chr7	39393460
chr10	28957985
chr6	10407966
chr7	105471035
chr11	120900117
chr7	44773608
chr22	40145112
chr15	99526783
chr10	7347196
chr7	70169969
chr7	70175338
chr7	72115234
chr17	46835153
chr10	5895666
chr22	18990143
chr3	157717279
chr7	66595036
chr11	115452195
chr10	4695555
chr3	157886099
chr15	93451377
chr15	93446493
chr11	116103317
chr17	46667652
chr7	69949582
chr22	19953613
chr15	93347344
chr3	155879153
chr10	11654446
chr7	69246623
chr10	12526447
chr22	22337232
chr10	11581538
chr10	13534137
chr6	27096486
chr11	112757617
chr22	19972020
chr7	69557627
chr7	69599292
chr22	20104950
chr7	69736789
chr10	8201889
chr11	114071742
chr7	69821372
chr10	15677992
chr10	3526919
chr22	26362535
chr17	45784198
chr17	46082446
chr17	58041293
chr7	44920308
chr10	21174726
chr10	21179799
chr17	58457033
chr10	21180350
chr17	58603454
chr6	20314418
chr6	17473970
chr21	43430370
chr6	17473287
chr17	59413582
chr21	43201353
chr21	43172505
chr21	43126951
chr7	80503472
chr7	48118284
chr17	55502370
chr10	711750
chr15	92484237
chr22	24951752
chr6	24775359
chr17	55625908
chr10	15838939
chr10	2924967
chr10	1503520
chr17	46625072
chr7	79780694
chr21	47038454
chr11	110581821
chr3	160522719
chr15	99975436
chr17	46429593
chr3	168059362
chr17	56469014
chr22	31451697
chr3	132504382
chr10	29948098
chr15	68930304
chr5	175000570
chr3	126704988
chr15	69487344
chr3	194030804
chr3	194033454
chr3	194071286
chr18	9107050
chr7	26723068
chr15	70019940
chr17	37926388
chr18	11020647
chr5	173765035
chr15	68180385
chr1	201690493
chr7	149416332
chr6	37072474
chr22	37910874
chr6	36282200
chr16	4993438
chr18	2628012
chr7	132170954
chr15	70801205
chr3	192633695
chr18	499676
chr15	70786650
chr7	28034433
chr15	70563954
chr18	2704723
chr7	139609644
chr20	51782192
chr7	134571453
chr15	70493555
chr18	3383600
chr7	135401563
chr6	35836106
chr5	176119978
chr1	201524273
chr11	74446916
chr17	74025715
chr5	169095507
chr20	44844724
chr12	48415712
chr20	44714010
chr7	23387434
chr6	39029955
chr17	35195011
chr5	169123284
chr18	21578899
chr18	20694398
chr15	66446557
chr8	581043
chr22	39632633
chr4	1037609
chr1	180224832
chr5	168367143
chr12	50077878
chr15	66723156
chr3	122863065
chr1	200201252
chr1	187230940
chr7	151126216
chr15	67443018
chr11	73846572
chr3	195638872
chr15	67256881
chr7	151572604
chr17	35989385
chr20	46418868
chr12	47482009
chr7	152321517
chr3	197243669
chr5	169997640
chr1	184360199
chr20	45893343
chr12	47476883
chr12	47479755
chr15	70862365
chr7	28125875
chr7	28298062
chr3	186307836
chr3	185456123
chr22	33206684
chr20	62313989
chr7	120482395
chr3	130506685
chr1	218550838
chr7	120954597
chr7	29475020
chr17	75285042
chr15	73338595
chr1	213508593
chr10	33237525
chr10	33239716
chr17	77784408
chr17	77813637
chr1	212686628
chr6	3420248
chr17	75230118
chr10	35116206
chr3	185050389
chr10	30092169
chr17	74481164
chr12	7123218
chr6	4359096
chr3	131424653
chr7	115862620
chr6	4139712
chr1	221567527
chr1	220292608
chr21	16400704
chr17	74850122
chr21	16376027
chr3	185216764
chr11	86702552
chr6	33808031
chr12	10538045
chr7	29390164
chr10	33299374
chr1	211909192
chr12	25845223
chr1	208561443
chr17	79551178
chr20	56505707
chr7	130598229
chr1	208357889
chr20	56441556
chr6	1146139
chr12	25964793
chr7	127891592
chr7	28479955
chr17	80231446
chr12	26163546
chr3	128454340
chr7	131582277
chr20	55697997
chr10	35105894
chr12	25486946
chr15	71747684
chr17	79380456
chr7	129996244
chr12	15872330
chr1	211722036
chr17	78645185
chr3	189176497
chr6	1873001
chr6	1839682
chr20	57609081
chr7	129078957
chr7	28895571
chr1	210424612
chr10	33798409
chr7	28788914
chr6	35331241
chr17	79367903
chr1	210046649
chr8	70401633
chr16	22909660
chr5	132539518
chr6	136435042
chr6	136257316
chr6	136232286
chr9	79712980
chr9	79714671
chr17	1272054
chr19	47975470
chr5	77313212
chr10	106091413
chr6	85820851
chr6	135044562
chr9	83992403
chr1	32447770
chr3	24978264
chr5	77015955
chr2	160782787
chr6	134994874
chr9	84459184
chr13	32582916
chr3	64317507
chr1	32264433
chr19	47487886
chr10	105251852
chr3	24279859
chr9	71585277
chr1	37431458
chr9	71706051
chr6	136931639
chr14	69286149
chr5	80467798
chr2	171219486
chr19	46753490
chr1	36765737
chr17	1807744
chr13	30683062
chr17	1683136
chr13	31085317
chr14	68662119
chr14	68607162
chr4	148689504
chr10	111923326
chr10	101655829
chr1	30599930
chr10	112368530
chr17	836878
chr4	152488418
chr9	89598722
chr17	500766
chr14	61798935
chr2	149921111
chr2	149919914
chr11	16368710
chr11	16302038
chr11	16048591
chr4	153186444
chr3	30668426
chr9	92704314
chr2	145786001
chr6	88518141
chr11	15074983
chr2	150514178
chr2	150624941
chr5	76134550
chr10	112282643
chr9	85397132
chr1	31995785
chr1	31956414
chr5	76133349
chr5	76110206
chr10	111970771
chr13	39722843
chr13	39733731
chr14	64787276
chr13	40639059
chr19	49715604
chr10	112025474
chr6	134786022
chr9	88575825
chr16	53980908
chr6	134430837
chr4	152020700
chr1	38328219
chr2	172903721
chr1	39035800
chr3	17646820
chr1	46444923
chr6	142696628
chr19	41427046
chr1	45943515
chr3	17686849
chr11	27161429
chr14	76952833
chr5	91977164
chr6	142644735
chr16	50354420
chr1	44951456
chr4	129308336
chr11	27040652
chr1	44395415
chr3	18418258
chr2	177903723
chr19	42536755
chr5	92739462
chr3	17073033
chr11	19115770
chr5	93226560
chr9	12878812
chr11	30588891
chr14	89674485
chr3	71151570
chr12	125403613
chr14	88794071
chr9	14326539
chr3	16524663
chr1	49026467
chr1	48543772
chr1	48469897
chr2	187409195
chr9	16449471
chr4	120928711
chr17	5317221
chr9	17900801
chr2	183167061
chr2	177796733
chr13	21722871
chr2	177617223
chr1	43836432
chr1	40730187
chr16	52285594
chr6	83863897
chr1	40318148
chr9	36891712
chr3	64628673
chr6	138732590
chr6	84525530
chr17	2515141
chr11	19116583
chr13	27530833
chr14	70349844
chr3	24033930
chr13	27627790
chr2	173118124
chr9	37800725
chr14	70347055
chr1	40857644
chr4	140476515
chr13	22524161
chr17	3793577
chr5	89844107
chr1	43585877
chr9	33165500
chr13	22159314
chr10	103719294
chr13	22237557
chr10	103734368
chr1	42386568
chr1	111190106
chr16	51611705
chr1	42249071
chr2	176671923
chr6	139465828
chr2	176442557
chr2	176435999
chr16	51663680
chr4	154411507
chr6	132453065
chr19	55727968
chr16	79037286
chr2	38623433
chr13	97910507
chr5	53686033
chr16	79027346
chr5	1951056
chr6	106123954
chr9	132891573
chr2	72946800
chr2	42274107
chr6	112553059
chr1	8957036
chr6	112539925
chr1	8878642
chr11	3898815
chr13	100499674
chr5	10580169
chr1	8157753
chr1	10567590
chr6	113768547
chr9	129413220
chr6	113953759
chr16	67058608
chr4	186834090
chr4	186854350
chr5	56338545
chr3	45754147
chr16	67224668
chr5	400157
chr9	131419177
