Chrom	position
chr3	121753008
chr12	84951274
chr9	101863429
chr2	61352874
chr22	41940062
chr6	52108291
chr14	33978379
chr16	12971414
chr3	26763848
chr10	19113525
chr2	164287092
chr4	154416290
chr1	109197520
chr3	89519170
chr13	99662033
chr6	132600984
chr14	31605877
chr16	74391690
chr18	79200740
chr1	211592444
chr17	45371877
chr18	67338271
chr12	98873762
chr17	66130046
chr7	123692695
chr1	236503229
chr4	78059082
chr4	115265856
chr14	35474456
chr9	131144513
chr15	79428353
chr6	56542856
chr12	90641463
chr3	94957346
chr2	231455433
chr1	59721001
chr2	52428337
chr11	69365796
chr20	43857330
chr9	79881551
chr5	5340431
chr7	85066364
chr7	76405750
chr12	104860834
chr6	35363542
chr1	209140047
chr3	67790162
chr21	43262645
chr2	1533111
chr7	54933354
chr17	18411714
chr18	22711214
chr3	21602057
chr1	159983931
chr4	184220425
chr6	46014656
chr1	228426940
chr7	68758972
chr15	94667299
chr1	178190065
chr5	68475618
chr6	40151150
chr21	31706534
chr19	46251611
chr2	230957510
chr2	25548655
chr2	115635180
chr13	87124230
chr12	91566937
chr3	57951451
chr10	24118275
chr5	154453053
chr9	84554561
chr11	22985469
chr6	85286119
chr6	45400175
chr6	154354510
chr3	189227352
chr13	99107877
chr1	202589451
chr15	26716813
chr3	165265568
chr6	28803537
chr6	162857103
chr7	39833431
chr1	62685779
chr6	165776812
chr10	6866937
chr7	130604137
chr4	79264692
chr2	129979948
chr7	38565724
chr2	45262820
chr13	44034509
chr5	104952099
chr13	94825624
chr19	38300805
chr9	33511022
chr2	60735790
chr1	32973084
chr8	12591234
chr3	45225205
chr2	48189909
chr2	94283631
chr4	109303308
chr8	70028873
chr11	7349002
chr6	133380896
chr12	32535449
chr13	80339052
chr10	7983156
chr12	56847030
chr22	25182278
chr9	127562030
chr12	108875446
chr4	141058334
chr9	126793894
chr7	39085851
chr5	117097205
chr2	61536728
chr4	16240059
chr10	22372546
chr9	96581973
chr13	111201760
chr5	154632268
chr8	117169744
chr1	228098769
chr2	47191658
chr17	49545323
chr9	124526740
chr2	233113236
chr9	98075455
chr2	48682368
chr1	177682770
chr12	82192297
chr8	76961521
chr4	40856957
chr7	65572819
chr10	123093495
chr4	116615420
chr8	89984199
chr7	68012494
chr1	235505199
chr14	36215034
chr4	56218445
chr3	45167666
chr8	92171022
chr14	34205970
chr5	150050448
chr1	227317742
chr13	88438748
chr17	69459930
chr7	27168561
chr1	243146932
chr2	41157252
chr12	53205969
chr10	126947349
chr10	126918935
chr16	11997357
chr5	108898546
chr2	72636449
chr5	142539497
chr1	181064177
chr7	43838947
chr1	190046349
chr2	25265198
chr2	227608883
chr1	233293792
chr7	71144996
chr1	78420841
chr9	120413798
chr14	49999344
chr9	119892522
chr12	48759015
chr2	43521070
chr2	43221165
chr9	106233214
chr2	214022708
chr1	52877088
chr1	3325983
chr2	28370773
chr6	2890268
chr2	98176236
chr6	168448492
chr20	31801660
chr1	6161136
chr3	196211341
chr8	15506588
chr3	197550711
chr20	33357437
chr4	184559670
chr1	207737875
chr4	182489816
chr2	156489856
chr10	43354472
chr7	101737855
chr8	25714891
chr19	524333
chr11	57761891
chr1	123013552
chr6	35385978
chr21	16183828
chr18	56083753
chr14	94882751
chr4	175671722
chr14	93929827
chr17	20533316
chr12	865159
chr1	165622728
chr5	35157394
chr22	45722719
chr21	27211678
chr20	52933392
chr19	15440800
chr3	141330444
chr2	132634034
chr15	42134054
chr3	136071917
chr20	46181542
chr6	156593265
chr15	55738843
chr11	70445844
chr5	24644939
chr11	92468680
chr7	155815514
chr3	187173150
chr11	69172770
chr6	154615803
chr19	31179751
chr11	68053265
chr13	25067025
chr3	168458381
chr20	39808141
chr19	6108961
chr19	32679522
chr13	59220048
chr2	145819339
chr9	71331790
chr1	181343152
chr21	27455825
chr2	1051204
chr5	165592694
chr3	10370539
chr16	85137789
chr14	70879142
chr4	160731777
chr15	89375719
chr10	85702876
chr12	13962947
chr6	140376507
chr17	37491422
chr6	136767403
chr17	37099517
chr8	47472398
chr20	2455992
chr1	219531948
chr14	75902168
chr12	113045014
chr4	168499336
chr2	176815529
chr1	225590697
chr2	239959816
chr20	16982531
chr8	31332914
chr22	35467175
chr15	97653102
chr5	61640459
chr10	68332880
chr2	130300417
chr4	108450973
chr13	24304699
chr9	27600379
chr8	125753538
chr9	33371966
chr8	143225896
chr12	132485090
chr17	40190613
chr10	86795563
chr17	17114689
chr17	16450754
chr12	77013659
chr5	9520917
chr6	159710756
chr8	122022661
chr13	36924142
chr12	75330257
chr10	69494776
chr1	183433952
chr4	186726866
chr17	40721614
chr13	43354433
chr5	3278935
chr17	48972526
chr3	11643974
chr13	30874314
chr17	10063879
chr17	47828495
chr7	5866326
chr4	184815195
chr2	94857586
chr8	134258337
chr17	38592198
chr4	177586533
chr3	17581179
chr1	54672279
chr12	124014270
chr10	98482572
chr8	140349422
chr2	79850259
chr4	169256309
chr7	382552
chr10	71334720
chr4	173373091
chr12	122152099
chr4	124052498
chr17	45321231
chr8	140249198
chr8	144178921
chr7	23555269
chr8	143981269
chr7	121545
chr6	168408014
chr12	89239654
chr7	147653667
chr12	116141800
chr10	100646210
chr17	46855230
chr2	67005440
chr7	1381900
chr10	104319244
chr1	20368410
chr10	71550782
chr6	167487797
chr10	97193261
chr7	1343160
chr2	121171857
chr4	159026114
chr12	85280563
chr4	183592839
chr10	71760687
chr12	106565070
chr12	88580601
chr17	46788803
chr10	72096307
chr8	141885494
chr7	68127762
chr8	121317094
chr3	106079043
chr7	101024501
chr18	54828665
chr1	94553398
chr1	11471723
chr19	44870301
chr11	133354259
chr19	44753484
chr18	58114867
chr3	112385226
chr1	16094734
chr4	1862564
chr11	126361596
chr1	41878733
chr11	126149883
chr18	64538542
chr4	1170789
chr7	110843932
chr4	5100358
chr19	45597906
chr1	164602962
chr12	1590806
chr12	8027122
chr12	7083381
chr11	39024369
chr3	80608155
chr3	83548525
chr4	7523036
chr7	96993936
chr7	97006221
chr1	165314280
chr12	2768771
chr7	100170545
chr18	52672596
chr7	100386727
chr12	1592798
chr11	47376545
chr19	45600385
chr11	47585048
chr4	833513
chr1	11719554
chr1	15959596
chr18	77252997
chr19	8456285
chr19	29511892
chr3	133163493
chr19	19461114
chr7	142083867
chr7	142148349
chr3	134974903
chr3	137647492
chr1	89600210
chr3	138051263
chr19	13842514
chr11	77505995
chr3	139110725
chr7	150181997
chr11	73592684
chr19	14408242
chr7	148697045
chr11	96343331
chr19	30499869
chr3	129368560
chr11	116607260
chr7	121584481
chr11	64608891
chr3	194691129
chr3	188511217
chr11	65130306
chr3	184795614
chr3	184719752
chr11	65921298
chr3	129336498
chr3	176313632
chr7	133408270
chr7	158668304
chr3	128363629
chr19	31339432
chr1	91508888
chr19	30893297
chr1	96809563
chr7	87934279
chr17	50425648
chr8	99104614
chr7	50815405
chr3	46854647
chr3	47300129
chr1	100951699
chr1	100746580
chr7	54607165
chr17	75307934
chr4	61297816
chr1	17856778
chr17	77284367
chr8	91040838
chr5	10307809
chr1	17784198
chr10	132893967
chr10	132991337
chr17	79363911
chr2	28315022
chr2	39782977
chr8	100213049
chr4	8311024
chr1	38485758
chr17	59129893
chr10	116725656
chr17	61422494
chr1	181124436
chr12	57586148
chr4	86293676
chr17	65169881
chr10	117857867
chr1	101996995
chr1	78355180
chr10	119215609
chr17	66960419
chr8	102653905
chr1	101847081
chr17	69065984
chr8	101474322
chr8	100917483
chr4	52049389
chr17	80315943
chr3	52546117
chr3	52926042
chr18	12596925
chr8	60807984
chr18	13990747
chr8	57931937
chr8	57866652
chr3	69200616
chr4	10133777
chr18	22129902
chr11	21886162
chr11	22668306
chr19	56302432
chr3	73188831
chr7	82385115
chr7	83088619
chr1	164475066
chr8	48126197
chr1	176460876
chr3	66201064
chr8	63533086
chr8	63968642
chr2	23001784
chr3	53029842
chr7	71174221
chr1	162608581
chr7	72208941
chr7	72385826
chr4	41634905
chr7	73588027
chr2	21369936
chr4	18612755
chr8	72257080
chr1	39698706
chr11	7353329
chr3	56471430
chr8	69369706
chr2	9792172
chr12	31362459
chr9	33677165
chr1	7299613
chr16	57691139
chr9	85854742
chr10	21527230
chr1	27077018
chr2	182070874
chr9	83987152
chr6	33512460
chr9	85198220
chr2	183493154
chr5	137753257
chr1	29689507
chr14	28764490
chr16	27434506
chr6	33197654
chr20	62557658
chr10	19816142
chr5	78447937
chr9	87583746
chr6	129385289
chr20	33059633
chr6	89968914
chr2	216175254
chr10	17519653
chr6	33870083
chr6	83593579
chr1	22802647
chr9	132812581
chr9	98197125
chr15	92360609
chr20	37611547
chr1	29726787
chr22	19691873
chr1	116487734
chr20	37385492
chr1	30594353
chr13	76828100
chr15	90034581
chr14	33068930
chr6	134532847
chr6	33078035
chr1	60893351
chr14	76138426
chr2	177939445
chr15	69811085
chr6	32980781
chr2	217826684
chr2	178277942
chr1	152918490
chr1	205441285
chr15	70381697
chr1	217334256
chr20	32609786
chr1	116579674
chr22	24901875
chr13	99214599
chr5	110610256
chr2	204205714
chr5	111073325
chr5	111486610
chr16	49921963
chr1	212669385
chr1	150505022
chr20	16032696
chr6	37222738
chr6	104692056
chr5	126748294
chr6	104956155
chr9	130971077
chr6	110334133
chr14	89593157
chr1	213605898
chr22	27202784
chr22	27167007
chr2	207839815
chr15	88371013
chr10	905768
chr6	112826268
chr22	24172276
chr1	153243165
chr15	74563807
chr6	125746937
chr6	90610390
chr14	99389572
chr16	66109784
chr13	88347941
chr16	58503960
chr6	92036430
chr16	27888041
chr5	132737123
chr14	61185804
chr1	244056716
chr20	11275683
chr6	97305730
chr1	244263420
chr5	107564124
chr9	132214147
chr1	216555930
chr6	99078634
chr9	93092733
chr16	54159100
chr6	40377066
chr22	27996268
chr6	72941513
chr6	32245078
chr6	62889100
chr5	159099278
chr6	56176962
chr2	142497355
chr15	37287678
chr9	37287122
chr9	37380130
chr5	31886352
chr10	47403069
chr9	136898780
chr5	34930055
chr1	232004863
chr6	148766391
chr16	8188059
chr15	32029561
chr16	8466987
chr21	43204831
chr1	227028036
chr20	42748574
chr2	225123365
chr1	202237066
chr16	88557917
chr2	142292395
chr21	43696453
chr22	40560775
chr20	50092436
chr14	61125358
chr9	124165716
chr9	34549498
chr13	49113184
chr9	125473292
chr5	16894691
chr13	51832607
chr1	6314845
chr9	138077173
chr20	48218283
chr10	57545702
chr16	3152466
chr1	228764341
chr5	150497802
chr22	40764663
chr6	154537618
chr14	56814578
chr9	137711017
chr14	63204226
chr5	52776213
chr2	209548874
chr20	41034487
chr5	142754077
chr6	142885320
chr1	111593079
chr9	120521572
chr14	105214754
chr6	145075028
chr9	119862512
chr16	86121926
chr9	120872408
chr21	39479352
chr15	96326911
chr10	30677318
chr9	72008011
chr6	6058250
chr14	104666352
chr15	68166944
chr1	203373817
chr22	36682336
chr2	160512622
chr2	159795650
chr20	40275205
chr13	70717281
chr5	168224649
chr1	94925742
chr6	43895426
chr5	154805462
chr14	75324984
chr12	13001445
chr18	48229861
chr12	16124425
chr1	165355851
chr14	85530308
chr14	76349092
chr12	24563985
chr4	8882369
chr14	75165990
chr1	165445151
chr14	74360584
chr18	12024581
chr1	25784973
chr4	24293520
chr12	2538975
chr18	10518719
chr6	40465910
chr18	47414306
chr4	22831244
chr1	164559921
chr5	167908467
chr12	15244991
chr7	74331407
chr12	3367101
chr1	29546022
chr7	74583946
chr1	164760372
chr15	92831909
chr6	47343826
chr18	22343802
chr5	161281154
chr5	172048905
chr4	7661396
chr12	21528013
chr4	7842579
chr15	96332295
chr18	35402111
chr5	163505782
chr15	100011346
chr15	98874098
chr14	77133974
chr5	171647531
chr1	151024790
chr4	14751706
chr12	24359507
chr12	6614172
chr4	7522651
chr18	44946151
chr12	4881995
chr18	37574286
chr12	16125064
chr18	33845073
chr7	92744254
chr1	151286953
chr12	6054192
chr5	158677314
chr12	8180282
chr15	98727778
chr16	745923
chr1	17166048
chr18	37394328
chr1	41238595
chr14	74032975
chr13	44277404
chr7	100174213
chr19	6209954
chr3	163533630
chr19	8302637
chr15	60349854
chr15	60374872
chr19	8049151
chr15	23869595
chr19	7743191
chr1	44076279
chr6	7146402
chr6	6930760
chr19	7579430
chr11	101053618
chr19	7214838
chr19	6414373
chr6	31159510
chr6	28839078
chr6	5057325
chr7	135972950
chr3	169769588
chr6	3855997
chr1	91732623
chr19	5401896
chr11	107017781
chr7	134231630
chr6	3710551
chr6	3569998
chr7	132613354
chr11	112392264
chr15	69019217
chr3	177774676
chr15	60132593
chr19	8545769
chr18	50292626
chr15	47717312
chr15	41651702
chr1	13516513
chr7	146261078
chr19	16589166
chr15	40802020
chr6	19452656
chr1	44616943
chr1	145823897
chr1	13749959
chr11	77178324
chr19	14235724
chr15	40443741
chr15	40438890
chr15	43826940
chr11	79052692
chr19	9075762
chr19	11047284
chr1	144883296
chr11	80385268
chr15	51156155
chr6	27500493
chr6	27672192
chr11	80897565
chr1	44407411
chr11	83156661
chr19	10462765
chr19	10300009
chr6	12921744
chr11	85336492
chr19	10112537
chr6	3222076
chr3	184469641
chr15	69113995
chr5	175892610
chr18	58603499
chr11	128959376
chr4	3358868
chr1	166399466
chr15	74796410
chr7	101463568
chr5	178080315
chr14	96708695
chr5	177806161
chr14	95417915
chr7	101181007
chr6	34576506
chr6	35397290
chr14	94706081
chr15	80735546
chr1	124467620
chr11	134389616
chr12	109440
chr4	4793641
chr6	36667352
chr4	5341789
chr4	5816460
chr6	37665366
chr5	174737575
chr7	100479347
chr1	29358722
chr1	120421460
chr6	38045225
chr7	100375083
chr6	39035908
chr6	34031105
chr18	59101991
chr15	74072268
chr15	73966718
chr15	69215216
chr7	128067960
chr1	167454916
chr3	188038072
chr1	27304939
chr6	2694500
chr7	123410761
chr11	119910597
chr15	69916375
chr18	79531603
chr14	100858482
chr14	100820213
chr18	76874846
chr14	100645808
chr5	180790268
chr15	73792657
chr7	115477657
chr15	73885285
chr18	74858054
chr7	113086605
chr7	112869326
chr6	33746216
chr7	109941835
chr7	109456061
chr11	124869530
chr5	180515752
chr11	125351265
chr11	125586161
chr11	126359755
chr5	154682754
chr1	24927645
chr6	52522300
chr12	112826159
chr7	5425917
chr4	145733314
chr7	4523972
chr6	134395983
chr5	75088294
chr4	149995510
chr5	74225843
chr17	38588524
chr7	3235540
chr1	22666012
chr1	112513566
chr5	73104846
chr7	2942334
chr7	2842161
chr16	80932116
chr17	46191996
chr13	75482126
chr1	35387076
chr7	2483905
chr6	139239308
chr17	36698150
chr12	113675451
chr12	113907091
chr6	139373404
chr6	139764839
chr12	114878397
chr16	84137509
chr5	68808198
chr17	33080265
chr17	31937155
chr17	40021698
chr6	133769673
chr6	132598680
chr16	70437316
chr5	84382505
chr5	81641139
chr1	159828830
chr7	25966674
chr12	91370523
chr17	45921454
chr17	45409259
chr1	159763824
chr12	93165330
chr5	79442554
chr4	125829309
chr1	112955446
chr17	44995538
chr16	69112375
