Chrom	position
chr7	21981419
chr3	169118881
chr9	112869262
chr4	141013714
chr10	80020214
chr3	119051736
chr10	66076361
chr18	24229292
chr4	96434355
chr9	97456564
chr2	43134125
chr6	80920520
chr1	67382157
chr3	38468554
chr12	12846493
chr9	21047505
chr2	80589195
chr3	158206680
chr6	85270343
chr7	80506365
chr5	89008212
chr2	22436295
chr14	83472559
chr12	93694514
chr4	2888581
chr8	126346521
chr10	22264699
chr6	24873193
chr1	88108658
chr8	109055369
chr1	50697063
chr1	244138002
chr15	78974133
chr1	163166058
chr12	39284087
chr6	86165420
chr7	125692430
chr11	60892937
chr18	52538611
chr2	144443307
chr8	80073694
chr1	8767269
chr2	161200076
chr9	28771001
chr4	135343164
chr1	176745330
chr1	11238605
chr7	135718474
chr6	116054798
chr2	5991304
chr9	81039421
chr8	37160403
chr14	34892760
chr1	99745237
chr5	112539196
chr15	63347343
chr2	59080189
chr9	136501334
chr3	149824955
chr4	21754929
chr5	113239146
chr13	72376187
chr1	74828793
chr1	204859031
chr10	114931465
chr11	113421068
chr10	79482872
chr10	8781125
chr8	142861367
chr5	92443014
chr5	79466140
chr15	78964132
chr5	168197293
chr15	32391812
chr7	154473083
chr1	64695152
chr7	132984690
chr2	186909560
chr20	8490673
chr13	36063437
chr1	110879345
chr2	80593112
chr11	110176270
chr3	61588253
chr4	190021693
chr2	156403430
chr3	108764282
chr2	143028027
chr12	131106595
chr1	211163519
chr12	117397865
chr2	208844700
chr9	27818566
chr7	47803323
chr1	72142983
chr7	10076548
chr2	208803309
chr1	193538427
chr2	216483990
chr9	100267163
chr7	8005118
chr8	77722727
chr9	101043085
chr20	49668416
chr20	37022095
chr8	79808111
chr3	177241044
chr3	115237527
chr12	39789793
chr13	91488271
chr9	102174258
chr1	68789258
chr3	177652976
chr20	40284984
chr5	58780192
chr3	179617350
chr2	40277119
chr13	22078667
chr3	64013650
chr9	33508187
chr11	25314999
chr16	84802212
chr10	100133683
chr13	97963251
chr1	198829680
chr1	49386727
chr1	69170781
chr10	106013061
chr2	29873756
chr18	26315990
chr3	184988851
chr5	29550860
chr5	176258218
chr1	78211109
chr5	66928817
chr3	130267431
chr1	84273699
chr6	112520559
chr3	37563057
chr3	144813696
chr2	118450961
chr20	5374242
chr13	60303514
chr3	55888692
chr1	84819633
chr5	67554374
chr1	238181707
chr15	100738785
chr12	23251576
chr12	15339693
chr2	141198606
chr13	44201272
chr1	81694795
chr4	137601713
chr13	49227804
chr13	49272824
chr2	231959503
chr10	116489221
chr3	136147050
chr1	80869316
chr13	51969046
chr5	124244453
chr3	139807108
chr13	46399462
chr2	235864978
chr3	131694018
chr13	56639953
chr10	125811341
chr9	12709158
chr10	125972373
chr6	169131648
chr15	96731271
chr20	53460637
chr6	18580285
chr6	18971311
chr2	53197960
chr4	113919443
chr3	59598016
chr2	136870660
chr5	112420672
chr1	217014718
chr17	36945726
chr6	110817293
chr10	109679639
chr5	110584435
chr11	16990865
chr13	73082773
chr3	159577403
chr11	8089616
chr2	223264355
chr10	129985590
chr9	13239411
chr2	69419061
chr10	13021123
chr1	233170836
chr5	171646556
chr7	80472822
chr3	58823023
chr2	66285179
chr3	156108850
chr13	70256069
chr5	116031943
chr17	71392732
chr11	7291730
chr1	221631812
chr6	1803199
chr6	70747527
chr1	101757251
chr1	162032697
chr1	172095334
chr7	132372873
chr1	181033532
chr3	99846751
chr11	40224284
chr4	120819568
chr1	106750065
chr8	48368761
chr6	50559084
chr10	59676931
chr3	79810805
chr4	28721496
chr22	41117462
chr7	36910777
chr7	37006460
chr7	24074104
chr4	38332183
chr8	123699025
chr2	12943940
chr4	17128235
chr10	84443905
chr4	120922298
chr10	79847156
chr9	83936164
chr1	99746918
chr4	16869672
chr6	52435976
chr17	58984811
chr7	29536152
chr18	45326833
chr4	93456770
chr8	122450738
chr7	133005883
chr5	55309508
chr18	73535725
chr3	76201394
chr7	120415916
chr22	38737010
chr6	51415411
chr7	132811271
chr16	72981764
chr5	93277685
chr14	93383795
chr14	65903746
chr6	69791715
chr11	94382577
chr14	66960707
chr22	36052629
chr12	95540672
chr1	102106837
chr7	24374410
chr16	64814549
chr16	76310219
chr3	77316934
chr5	158889426
chr8	76723400
chr9	120292648
chr4	96445551
chr7	43977163
chr1	113760621
chr14	83987361
chr18	52623996
chr6	78387906
chr12	66713278
chr2	189586748
chr14	54692388
chr20	53545922
chr17	53767547
chr12	76396710
chr1	108189843
chr15	79821739
chr1	192627640
chr10	78497001
chr5	153777593
chr14	96481657
chr1	5525518
chr22	19211153
chr5	50813923
chr4	156574387
chr8	33202086
chr6	151610055
chr17	59834141
chr20	57024836
chr5	153907967
chr5	86923354
chr5	158638783
chr10	78699796
chr4	174945042
chr9	83652963
chr7	40592071
chr14	76952853
chr4	95601803
chr7	24502824
chr3	79971894
chr4	85195653
chr13	36388940
chr8	116430410
chr13	34748528
chr7	95097945
chr10	15838230
chr12	84551166
chr7	125172001
chr2	181887666
chr6	162906541
chr10	16587631
chr1	75545771
chr17	72651069
chr2	126231652
chr8	127103328
chr4	84751883
chr7	87225624
chr17	55441830
chr13	44812275
chr2	188722710
chr5	51198616
chr2	189066596
chr10	3114955
chr2	189360824
chr10	2653380
chr2	189394603
chr1	59967964
chr17	79050033
chr2	103238893
chr7	86741366
chr13	47722039
chr3	132965837
chr12	76408093
chr2	100755815
chr10	76199217
chr4	82729467
chr3	130477712
chr10	9103868
chr3	128187346
chr7	92384443
chr10	8806411
chr13	37918461
chr3	88025110
chr7	126124176
chr10	8551083
chr2	184459087
chr17	71687257
chr2	185043175
chr2	118419397
chr10	8026524
chr15	57750628
chr2	184904452
chr2	118027310
chr13	43389210
