Chrom	position
chr15	74546257
chr6	52547852
chr2	68829385
chr3	10225051
chr11	76799328
chr17	17900866
chr1	31701241
chr6	41279142
chr17	8420569
chr22	32789936
chr6	154615728
chr8	22623100
chr1	8822885
chr17	45440505
chr17	58391678
chr19	5826844
chr9	2570911
chr16	3235383
chr1	61253577
chr12	124353073
chr19	18157307
chr18	12741544
chr7	1412943
chr7	128479350
chr8	129682220
chr2	94737359
chr21	43609818
chr5	179870768
chr7	128523456
chr21	43365260
chr11	12746781
chr10	68261333
chr19	35692345
chr4	169315074
chr7	128423840
chr16	50323692
chr6	159110188
chr12	94941494
chr1	10389794
chr22	45209393
chr17	35726764
chr6	126890251
chr5	10273006
chr8	116471914
chr7	95398726
chr11	448025
chr3	40720101
chr8	143971046
chr8	138697231
chr5	6759602
chr5	105475605
chr5	142734242
chr10	95133105
chr2	20852319
chr10	68153896
chr12	95820309
chr10	12720592
chr12	94571739
chr9	14271301
chr15	98812888
chr2	187055686
chr5	139518109
chr3	156773015
chr9	92878106
chr9	93120122
chr1	35545237
chr9	127960951
chr19	15702727
chr19	41595471
chr7	2524162
chr3	48223387
chr1	212915452
chr3	49173524
chr20	61192606
chr5	142223817
chr3	49415646
chr8	139720413
chr19	53173082
chr5	10601495
chr1	161220863
chr7	16905507
chr17	1574631
chr5	16406826
chr21	37920506
chr5	61408742
chr2	130202650
chr2	190217050
chr3	142587022
chr3	50516221
chr3	47266900
chr1	212514180
chr1	75991742
chr19	41501577
chr8	144074470
chr7	74994208
chr1	168903627
chr1	58895302
chr7	127803789
chr5	180085327
chr5	10962281
chr4	88456966
chr13	30833092
chr1	70504627
chr19	16489152
chr11	13105482
chr15	93179219
chr1	9561605
chr10	132453178
chr19	2631581
chr8	128362204
chr8	27459432
chr10	96998623
chr1	231937575
chr11	67082162
chr11	90241631
chr4	83509274
chr15	67854440
chr15	99440889
chr3	13485305
chr11	6353601
chr9	76369771
chr13	48127180
chr13	67224402
chr5	138968093
chr11	8365782
chr11	65860474
chr17	13888270
chr5	176216463
chr13	45309564
chr10	63425716
chr11	41432021
chr4	77859447
chr1	205317760
chr5	143355933
chr16	11058
chr9	33159444
chr3	185584114
chr11	78277804
chr13	44900137
chr9	83239455
chr22	20699030
chr2	26720448
chr15	63437000
chr5	111197631
chr1	45326008
chr8	63200213
chr1	203148295
chr3	193805627
chr1	204127800
chr2	178480272
chr17	17355076
chr17	17408447
chr1	204261042
chr3	11544494
chr16	1763134
chr9	124045791
chr17	19019582
chr16	67284936
chr5	77169090
chr22	24000635
chr8	134726274
chr17	17819874
chr2	7954414
chr18	58699765
chr1	245060872
chr15	60299871
chr15	63390079
chr11	65322320
chr1	41381137
chr3	4720927
chr17	31699497
chr8	66033878
chr5	959215
chr19	57599822
chr20	50166132
chr10	87586417
chr13	40402544
chr16	4650610
chr1	56425431
chr19	35145248
chr9	87909897
chr15	45441922
chr6	115706531
chr1	39127700
chr11	75036084
chr2	25377182
chr22	49862013
chr9	121222824
chr3	171013998
chr15	74240142
chr5	81736281
chr15	99507645
chr8	111358305
chr6	115838974
chr1	54459826
chr5	138231338
chr17	8832841
chr11	66083566
chr8	29289711
chr3	23949977
chr2	134785864
chr3	24376283
chr6	70371660
chr13	41232037
chr8	60793032
chr3	182533598
chr5	113043761
chr6	4254131
chr8	103111682
chr6	70280689
chr12	52907306
chr3	181176822
chr1	186082443
chr22	36411618
chr18	37299767
chr8	6417413
chr11	2463539
chr10	86730425
chr3	177615213
chr22	42648512
chr4	174423314
chr1	75707330
chr17	75084269
chr19	10269506
chr8	13059792
chr2	202634674
chr8	18614001
chr1	153538570
chr4	123447090
chr8	42679590
chr3	127458876
chr4	52545657
chr9	111348864
chr2	72695062
