Chrom	position
chr15	74546346
chr15	66765976
chr11	86593093
chr12	6852527
chr3	10225070
chr8	16826162
chr7	117124828
chr17	81394137
chr1	43836669
chr5	61408746
chr10	59240775
chr17	3004385
chr11	72414366
chr18	70464909
chr20	37384852
chr2	58042724
chr8	8626023
chr8	60793019
chr2	71883126
chr12	56636959
chr13	67224400
chr5	172437650
chr14	103078463
chr12	95820309
chr19	57599826
chr11	114160181
chr17	60641968
chr20	33789824
chr3	71955652
chr17	75096318
chr20	3811881
chr7	23334809
chr19	8362129
chr2	85772550
chr11	69297563
chr2	240604543
chr11	49995779
chr19	2463126
chr2	15730660
chr20	46255640
chr17	1574638
chr7	128523447
chr18	61088910
chr10	21724875
chr2	20066445
chr1	110781079
chr7	67129337
chr7	100479337
chr6	89081750
chr7	72682922
chr12	108951331
chr21	34544123
chr4	140728239
chr1	31701234
chr19	11344629
chr17	8420537
chr5	113043766
chr7	455813
chr10	86730423
chr18	37299776
chr1	24018972
chr11	78046335
chr6	80133161
chr6	41279137
chr5	143355925
chr6	149847724
chr3	197151761
chr6	29966274
chr7	30239092
chr1	42165922
chr16	88505605
chr5	41747443
chr1	153881199
chr19	11137900
chr1	228697381
chr8	129682220
chr1	75991740
chr1	12478403
chr5	15009585
chr3	56494877
chr5	159342036
chr7	104943724
chr7	47605126
chr17	60602103
chr14	77040454
chr20	38125735
chr4	52545658
chr1	150169142
chr10	24383779
chr22	41367288
chr3	49218721
chr12	121404934
chr17	62470903
chr3	192852038
chr3	14948204
chr18	45756196
chr11	66982237
chr17	82330566
chr3	193805644
chr8	97763742
chr11	59776646
chr2	48946670
chr5	110054432
chr19	18470443
chr3	69086303
chr2	159290720
chr4	54082348
chr10	92892522
chr8	124044759
chr3	176906617
chr2	69462988
chr1	165258187
chr6	146700259
chr5	37413204
chr10	72364438
chr18	48902164
chr2	166384886
chr19	46299169
chr20	50366822
chr10	70331910
chr4	88456967
chr16	75385703
chr11	126063237
chr17	81395308
chr10	70348646
chr1	39845763
chr1	183843485
chr3	128383700
chr4	89001229
chr6	27132042
chr14	23589201
chr2	188293795
chr1	207007577
chr6	75297404
chr2	47225683
chr22	24727337
chr6	42563792
chr3	189324871
chr5	74327067
chr6	28136892
chr17	21040432
chr1	89605929
chr10	63713589
chr19	10977102
chr8	43056229
chr1	56425431
chr12	32445075
chr1	67367865
chr4	72315039
chr20	32270764
chr5	81736283
chr1	94621537
chr3	20054746
chr14	59595294
chr6	30782047
chr5	145975738
chr17	13888254
chr3	123273736
chr5	139518103
chr2	46847398
chr12	71594428
chr1	159882052
chr4	75548167
chr16	3820222
chr9	91424453
chr17	16408502
chr15	67884686
chr17	65106773
chr14	24425894
chr2	58240778
chr20	50636111
chr12	19403227
chr19	45455891
chr5	160165334
chr2	62288085
chr16	72928021
chr11	33476152
chr8	38925906
chr2	227406330
chr2	179106802
chr12	1606153
chr17	7889307
chr5	175779285
chr9	136012277
chr7	105012739
chr1	181127285
chr1	205317747
chr1	224211787
chr22	38278827
chr11	64204703
chr7	47153304
chr12	80778312
chr14	60331986
chr1	113949305
chr5	142223812
chr10	13701791
chr22	24588508
chr17	63676146
chr16	4945013
chr4	16141043
chr6	166330816
chr6	115838971
chr12	31636864
chr1	21939806
chr12	57893891
chr18	48488740
chr2	217142839
chr16	89842922
chr11	62599219
chr13	73056450
chr9	128007706
chr17	74744767
chr20	36556672
chr9	36148854
chr14	73825733
chr1	41003837
chr1	234997414
chr5	136017111
chr1	58781876
chr1	149978740
chr19	44742065
chr2	201424550
chr15	40340986
chr6	45445978
chr6	141552720
chr1	204127800
chr7	105665041
chr3	181176810
chr7	5559024
chr1	26862921
chr9	71758978
chr3	61895230
chr1	226182189
chr16	2251752
chr15	62403394
chr2	168434309
chr3	114454080
chr20	46568872
chr6	15505019
chr11	123235281
chr20	50166147
chr16	88559163
chr11	62545811
chr2	237291622
chr5	134466530
chr2	26720471
chr3	40720101
chr3	65963855
chr13	44810263
chr17	73474499
chr14	52131845
chr10	87586409
chr14	95292011
chr9	134435056
chr3	64242629
chr4	185183793
chr1	98222143
chr12	29350266
chr11	448037
chr21	26140497
chr16	21300642
chr17	19728222
chr6	44076662
chr15	39172159
chr9	130453697
chr1	22132101
chr6	47126919
chr8	95112944
chr2	127408142
chr5	139749475
chr1	21956935
chr15	77070597
chr22	36817124
chr5	77169075
chr17	60469958
chr9	127979821
chr12	124517479
chr3	52231669
chr15	52128769
chr15	82952967
