Chrom	position
chr11	71928766
chr1	634023
chr21	8234506
chr7	58434578
chr5	111092258
chr17	25920211
chr17	59565462
chr16	34573083
chr1	143245010
chr1	143247085
chr16	46398919
chr3	93470588
chr17	26603911
chr16	34593260
chr19	40798226
chr1	123195751
chr17	26881374
chr1	145996686
chr19	2783558
chr17	25788629
chr16	34586850
chr17	22521408
chr20	56735364
chr16	46386430
chr11	72786602
chr16	34582244
chr17	62861108
chr10	93702655
chr13	18212107
chr16	46388692
chr21	8230727
chr10	133689441
chr12	45727689
chr17	47649808
chr16	46399398
chr16	46400870
chr12	65169438
chr16	46400134
chr7	66413485
chr20	56890196
chr10	40878876
chr1	1375276
chr12	15789684
chr1	205947139
chr8	11730820
chr15	89958172
chr16	29291046
chr8	121151123
chr6	53465086
chr3	142280146
chr19	5978295
chr3	140941625
chr2	11669915
chr18	26090778
chr19	47243109
chr6	5003820
chr17	26101585
chr7	151819403
chr19	4815873
chr4	54144765
chr5	106241712
chr4	56753121
chr9	109331539
chr16	46394798
chr3	176814456
chr16	84955558
chr4	40630031
chr18	158307
chr19	38714653
chr19	12788955
chr2	217388162
chr1	109263712
chr17	74760869
chr2	23351777
chr10	94363081
chr5	172904801
chr2	85561748
chr6	30751720
chr1	52698089
chr17	49678368
chr1	52842793
chr11	20000646
chr1	156082603
chr12	57520319
chr19	43785257
chr18	49492939
chr9	88077033
chr17	49887354
chr16	34581469
chr1	143214737
chr9	129052733
chr11	93661519
chr2	86440744
chr2	25311521
chr10	5503669
chr15	74240095
chr7	6104763
chr13	33642925
chr12	45990814
chr11	117888143
chr12	119171427
chr15	95911811
chr19	39502953
chr19	53520746
chr7	11261626
chr1	202046458
chr2	15730631
chr19	45717595
chr5	150616161
chr7	873556
chr12	4562317
chr11	130450107
chr12	116738117
chr2	120012928
chr17	81394058
chr3	124552400
chr21	8219990
chr8	79768795
chr16	46387919
chr16	70594748
chr6	125197998
chr11	16987297
chr7	540023
chr17	39153159
chr10	5684542
chr15	78216994
chr12	31729089
chr1	111513619
chr10	97736938
chr21	44753110
chr17	26885800
chr7	6729619
chr1	21956933
chr15	70378275
chr10	43026566
chr18	48023836
chr5	178642689
chr17	45043477
chr1	160978718
chr17	40100688
chr10	42070579
chr14	95741193
chr19	34404283
chr5	160287749
chr19	10479161
chr1	125180184
chr2	199692675
chr8	130033390
chr16	46390530
chr16	4538919
chr13	29924201
chr17	74193118
chr3	111782017
chr9	133022406
chr1	111620659
chr17	73506551
chr17	44327010
chr17	42184380
chr3	72628323
chr2	133901093
chr8	90671040
chr11	57231085
chr16	4021311
chr11	33161712
chr16	4152504
chr4	4542127
chr1	111576752
chr10	29125123
chr2	99636740
chr14	99579338
chr6	168035303
chr6	44087426
chr9	83432388
chr12	4031436
chr8	141629630
chr12	63862401
chr12	1831158
chr8	128142146
chr7	47576118
chr13	75538198
chr20	60270406
chr16	56861319
chr11	14891620
chr16	56371018
chr17	28747227
chr2	92081322
chr17	75096285
chr20	33262746
chr1	201154616
chr10	77582825
chr12	10271
chr17	35764350
chr3	31831723
chr12	1690952
chr11	16986701
chr1	201309707
chr8	58318476
chr17	36483100
chr19	18328788
chr17	27247527
chr15	50424171
chr16	46401497
chr1	114282983
chr12	81270569
chr11	70760489
chr1	173669589
chr7	117124703
chr16	46390686
chr16	4945988
chr16	34574274
chr7	138752971
chr9	94951106
chr9	94783344
chr3	97232770
chr13	70894497
chr16	34595221
chr8	143218552
chr6	159760764
chr2	7792416
chr2	190786583
chr8	127859833
chr8	127870781
chr14	97500201
chr3	108589528
chr1	43172785
chr4	6688147
chr1	92785434
chr15	43824816
chr6	138582759
chr7	75486470
chr6	73521306
chr3	152283720
chr5	159341992
chr11	68257677
chr12	120234862
chr16	75148400
chr9	122264729
chr21	43659444
chr21	42376515
chr1	124169703
chr10	43408958
chr12	119479422
chr3	127590694
chr5	152262822
chr1	183330473
chr9	136804712
chr7	30548989
chr11	86499919
chr17	67638078
chr9	37120140
chr5	168600579
chr10	102854625
chr6	63435130
chr1	120176573
chr14	23306981
chr6	57423784
chr8	102807596
chr17	68378881
chr12	95336621
chr12	35614998
chr6	108739592
chr10	41844587
chr4	145481689
chr12	7933387
chr1	9950543
chr3	150737463
chr18	68715172
chr9	128022270
chr7	29793647
chr1	204763807
chr10	113982899
chr1	143264270
chr1	143256196
chr4	49149677
chr3	49939890
chr2	165953771
chr3	128725964
chr12	110502300
chr5	141094587
chr19	32972032
chr7	21618075
chr16	76956577
chr16	80718624
chr13	50209000
chr7	149028662
chr1	234226304
chr3	193805652
chr10	48306390
chr1	125182055
chr3	193870607
chr10	80436629
chr15	34437903
chr5	36242363
chr3	64158623
chr11	67674714
chr12	71839750
chr3	194159161
chr14	93017604
chr12	122226542
chr9	124400333
chr7	99827442
chr3	15634297
chr20	54123889
chr12	52972124
chr4	39366420
chr22	22343042
chr3	158571191
chr1	177256516
chr2	9830436
chr8	100310448
chr12	132687523
chr17	62470935
chr12	52247530
chr17	2011747
chr19	48543595
chr4	1712722
chr11	78260261
chr8	8701796
chr18	22914002
chr13	17345296
chr2	73983784
chr22	25401025
chr5	112861075
chr15	56465171
chr1	162847064
chr15	43106094
chr7	75528293
chr16	85746461
chr14	73851710
