Chrom	position
chr12	70446944
chr21	36312205
chr1	201123712
chr6	88441711
chr12	131400891
chr20	52294783
chr20	54987437
chr2	183989089
chr11_gl000202_random	16372
chr4	74570466
chr11	12824300
chr9	90329929
chr5	81937323
chr4	163418943
chr2	27233846
chr6	45413745
chr6	26597089
chr12	31902410
chr20	62260236
chr14	31699114
chr7	137942501
chr8	144420064
chr10	80887135
chr6	11144159
chr5	138855272
chr11	33288220
chr4	693328
chr17	15824206
chr6	20573352
chr12	26427845
chr5	145061403
chr12	93638104
chr20	3961593
chr3	32706223
chr11	64102783
chr5	52856427
chr19	13909008
chr7	6488202
chr2	67878081
chr4	40623864
chr3	4946690
chr17	8076787
chr4	1037628
chr13	44765728
chr2	119880443
chr1	31584268
chr1	6320208
chr10	72165467
chr6	46738879
chr5	142431304
chr16	87887356
chr7	129598691
chr6	147178813
chr6	30483976
chr12	25539257
chr2	208497678
chr17	56863908
chr9	112956731
chr3	177056649
chr8	20058480
chr15	93347346
chr1	59347424
chr2	202271275
chr3	72987896
chr4	78079303
chr16	126393
chr3	72319360
chr11	78001455
chr12	102271103
chr1	109705130
chr1	27424133
chr20	62372374
chr17	36715831
chr3	151818479
chr5	96566903
chr17	33390770
chr14	35873088
chr10	22013737
chr2	178128242
chr9	110045258
chr3	126191376
chr9	32554328
chr11	33279784
chr9	94186939
chr4	122579473
chr10	75634845
chr6	51928469
chr4	82327171
chr19	49990835
chr19	36239183
chr10	89260632
chr14	31528940
chr8	12611653
chr12	48164018
chr17	71304497
chr4	90033563
chr1	235111015
chr16	67597760
chr19	17516197
chr9	136989077
chr1	234737556
chr2	178029514
chr4	84551471
chr20	34330338
chr8	8860260
chr12	11801794
chr14	74409974
chr15	49170285
chr1	193080915
chr10	82258727
chr16	30825691
chr3	142569769
chr11	33529694
chr6	27716621
chr17	7477025
chr6	138225840
chr11	72145721
chr1	28573035
chr15	67316912
chr15	66994534
chr6	3410199
chr17	79895262
chr6	16335092
chr6	49524322
chr2	44335329
chr10	73648621
chr17	40463730
chr6	157041219
chr13	45914766
chr3	195849014
chr7	77168135
chr16	11198986
chr15	51121152
chr7	24944646
chr19	2087313
chr14	105818710
chr3	52489452
chr12	93521695
chr11	63639767
chr9	94181709
chr5	179049834
chr19	47049926
chr6	109705832
chr4	152020655
chr2	54897163
chr7	2144056
chr3	171847877
chr16	25017195
chr1	148604949
chr5	43064985
chr3	187463220
chr8	124179934
chr1	246378439
chr15	65588474
chr9	33290335
chr10	16859793
chr1	179845555
chr12	56236817
chr17	28671985
chr7	43402742
chr22	38429037
chr13	27557299
chr12	94469305
chr8	37449099
chr19	566569
chr6	41904179
chr6	119301424
