Chrom	position
chr11	18105999
chr6	39697446
chr4	123649424
chr1	143221814
chr17	43316035
chr8	135923281
chr19	44212634
chr1	33295770
chr9	62838279
chr8	108071303
chr1	117654801
chr4	189881422
chr7	141177382
chr6	32637455
chr12	1554760
chr7	44751075
chr11	66438708
chr12	92437582
chr22	38260452
chr6	110944900
chr5	34196269
chr22	42615370
chr1	40628510
chr12	121626406
chr7	2299367
chr1	52698374
chr4	7969669
chr15	74100231
chr15	70196861
chr15	69755874
chr15	29925990
chr15	24955097
chr15	40274902
chr15	69679862
chr15	31511898
chr15	62482863
chr15	44195393
chr15	31880267
chr15	38818096
chr15	74777550
chr1	10190
chr15	74800278
chr15	75758553
chr16	17027969
chr16	16449472
chr16	11256094
chr16	10308759
chr16	10259008
chr16	9914516
chr16	5156644
chr16	5033944
chr16	4549012
chr16	2155323
chr16	229336
chr16	138842
chr15	101767461
chr15	100170435
chr15	92663447
chr15	89207087
chr15	88546671
chr14	101964663
chr15	82750547
chr15	80776586
chr15	78131653
chr15	85500228
chr14	70474029
chr14	100645908
chr14	22651247
chr13	112588258
chr13	110914253
chr13	100725717
chr13	99432163
chr13	61531800
chr13	49571722
chr13	42377767
chr13	29255280
chr13	21671010
chr13	20968944
chr13	19564974
chr13	16891701
chr13	16370147
chr12	132760776
chr12	132687364
chr12	132492677
chr12	131243068
chr12	130481586
chr12	128915134
chr13	114281444
chr14	24431057
chr14	99389446
chr14	28831279
chr14	93959533
chr14	88824503
chr14	79011333
chr14	78448709
chr14	72480627
chr16	29863143
chr14	70359825
chr14	70254801
chr14	70239999
chr14	66509021
chr14	60734801
chr14	59444396
chr14	58298369
chr14	53613757
chr14	50061283
chr14	49634530
chr14	48008891
chr14	47917568
chr14	31208260
chr16	17305942
chr16	48908387
chr16	30762324
chr17	63919435
chr17	56654089
chr17	53106235
chr17	45229158
chr17	43251713
chr17	42578727
chr17	42116868
chr17	42112716
chr17	41865372
chr17	41264508
chr17	38351715
chr17	31789985
chr17	30961365
chr17	29006061
chr17	28720069
chr17	28552522
chr17	28543910
chr17	27241591
chr17	27219333
chr17	27217774
chr17	26885775
chr17	26620029
chr17	59155341
chr17	64919798
chr16	31874730
chr17	65915057
chr18	45106526
chr18	35041346
chr18	26226420
chr18	23231422
chr18	14179029
chr18	13375450
chr18	11973124
chr18	10929122
chr18	9648976
chr18	7711675
chr18	7084290
chr18	4640524
chr17	82648493
chr17	81637126
chr17	80929574
chr17	80910791
chr17	79330439
chr17	78241627
chr17	76515729
chr17	74431975
chr17	67818249
chr17	22521395
chr17	21969423
chr17	21323173
chr17	19062275
chr16	88456372
chr16	87950956
chr16	87723434
chr16	86683459
chr16	85989036
chr16	85498718
chr16	85061851
chr16	84726974
chr16	84594381
chr16	84116920
chr16	81779245
chr16	81479095
chr16	70114208
chr16	69530864
chr16	67984987
chr16	56610372
chr12	124131249
chr16	46466011
chr16	46388679
chr16	46387842
chr16	34950754
chr16	88706450
chr16	89060401
chr16	89171650
chr17	7234580
chr17	17205441
chr17	15699622
chr17	15563497
chr17	13073226
chr17	7686739
chr17	7558254
chr17	7440164
chr17	7435493
chr17	7243022
chr17	4101608
chr16	89241358
chr17	3846178
chr17	3711158
chr17	1607537
chr17	1181876
chr17	823737
chr17	489864
chr17	189591
chr17	168816
chr16	89841464
chr12	125114618
chr12	94640706
chr12	123364894
chr1	151790655
chr1	175598224
chr1	173867944
chr1	173477028
chr1	166170228
chr1	161542184
chr1	158285921
chr1	156836249
chr1	156816811
