Chrom	position
chr16	15591066
chr16	80540940
chr11	18322231
chr6	136250307
chr11	65888491
chr6	133953080
chr10	35635672
chr22	24402694
chr1	203626698
chr7	6385579
chr5	94111715
chr6	126041040
chr6	75736061
chr3	42652907
chr2	203811725
chr10	68550957
chr14	35332287
chr2	65130130
chr9	19380252
chr12	107349366
chr11	109946423
chr1	35202297
chr15	60408654
chr1	174023770
chr13	97568125
chr1	156601484
chr7	142104982
chr16	2835870
chr1	235161273
chr1	160607248
chr7	131007683
chr5	42984569
chr6	142147215
chr1	21534987
chr5	72952265
chr7	18667658
chr2	28894594
chr16	77191179
chr15	63505733
chr9	91303005
chr6	30516660
chr9	110752945
chr20	34526224
chr11	66694985
chr4	173168219
chr17	51260376
chr4	139666834
chr13	34157131
chr12	124989099
chr6	11632404
chr5	131382593
chr2	118113000
chr12	100200741
chr3	94062998
chr5	43515268
chr5	140700263
chr12	14554606
chr15	62119586
chr8	27334732
chr2	55958558
chr16	21953004
chr14	44962053
chr2	223957418
chr19	52189834
chr20	16729946
chr1	15090583
chr6	85361566
chr17	8190305
chr1	43172314
chr8	123548436
chr7	95477135
chr1	225445058
chr22	46296702
chr12	122266538
chr19	44500550
chr8	27311658
chr10	133013584
chr2	157876364
chr8	17922628
chr6	30571469
chr6	109229703
chr19	44207422
chr7	129055167
chr7	44574003
chr3	180602158
chr3	185332552
chr18	35497959
chr11	66002234
chr20	56788497
chr1	151070650
chr19	43701563
chr16	8797827
chr14	52701049
chr17	57900039
chr3	121919307
chr4	78370865
chr2	9843483
chr7	38909209
chr2	121128937
chr3	41962273
chr5	67770891
chr2	186589923
chr2	45459343
chr5	140691420
chr1	21022495
chr5	140664708
chr19	1259362
chr10	34758540
chr22	31750163
chr22	31676988
chr2	191377426
chr18	9074009
chr5	168325043
chr12	100230044
chr17	81666707
chr2	66435117
chr12	93677340
chr12	7109264
chr20	39050212
chr16	31074390
chr15	65902594
chr20	38435373
chr15	78375255
chr1	156503529
chr1	8020218
chr2	240565917
chr14	22829847
chr19	16070622
chr16	69755005
chr11	112086817
chr2	160321148
chr1	52033819
chr22	29799398
chr20	44966455
chr6	31736321
chr15	64387691
chr19	44742138
chr2	172463239
chr17	16535883
chr1	23559687
chr6	163392217
chr20	36408452
chr20	36086952
chr2	159497368
chr2	128091051
chr1	107056639
chr11	32830586
chr20	38460390
chr1	25101576
chr1	39398821
chr14	74618183
chr15	59300566
chr1	24202092
chr12	122920233
chr19	6863693
chr19	13167543
chr11	10843049
chr1	112394350
chr17	42536138
chr19	45178479
chr17	42135808
chr3	183307140
chr19	17317587
chr4	186937158
chr15	75175813
chr15	82540462
chr17	49998475
chr15	80436864
chr8	129707818
chr18	62717514
chr2	200811823
chr6	109349697
chr3	56980944
chr15	64356346
chr3	186746226
chr7	54996161
chr17	50867755
chr12	22443544
chr20	33789802
chr1	244302966
chr11	16883330
chr20	51744768
chr8	99013258
chr17	28761434
chr12	95575026
chr7	90411643
chr11	80594088
chr19	16185315
chr17	41522569
chr3	196942449
chr3	42476996
chr19	33176894
chr7	47576193
chr18	57630294
chr6	107318283
chr18	57771424
chr12	64222264
chr1	171314184
chr15	73989575
chr3	45689100
chr8	144324262
chr4	11632628
chr20	47392199
chr10	59991953
chr17	64927563
chr16	70746879
chr16	28492124
chr16	57894192
chr6	30067202
chr2	85288631
chr17	78841082
chr4	76665436
chr6	128499555
chr20	10240145
chr15	36579517
chr4	146241692
chr22	20777806
chr3	134628009
chr3	134382063
chr11	111918912
chr22	21567680
chr18	3247772
chr22	21629401
chr16	4474702
chr4	38687682
chr5	61162473
chr19	58555110
chr3	155854470
chr5	103120148
chr20	6123593
chr1	117211027
chr17	77088650
chr7	105806776
chr1	209827988
chr3	146506846
chr21	42474330
chr10	42641127
chr15	34102029
chr3	143443959
chr7	100479245
chr7	27047050
chr9	86353976
chr1	71081355
