Chrom	position
chr15	100948178
chr3	160397633
chr8	97264743
chr13	96639086
chr3	170258910
chr10	35492677
chr10	96614932
chr1	238967741
chr3	170028140
chr18	36589274
chr10	125766763
chr8	38396904
chr6	37081744
chr7	127925353
chr3	135907586
chr5	69514437
chr5	137224474
chr22	24285014
chr22	23549321
chr22	22901722
chr22	25618398
chr22	22995599
chr22	22997678
chr22	25071082
chr22	24832291
chr22	24536471
chr22	23365340
chr22	24516477
chr22	23623937
chr22	24205823
chr22	24494135
chr22	24419888
chr22	23706955
chr22	23880664
chr22	23924834
chr22	22884186
chr22	23995344
chr22	24095527
chr22	24096210
chr22	24405458
chr22	23945977
chr1	629934
chr22	22868623
chr22	19621862
chr22	17406527
chr22	17450789
chr22	17471130
chr22	17498819
chr22	17540617
chr22	17572553
chr22	17867779
chr22	17922308
chr22	17952494
chr22	18136050
chr22	19167931
chr22	19344760
chr22	19774666
chr22	22805573
chr22	19795534
chr22	19796875
chr22	19930184
chr22	20203252
chr22	20624257
chr22	20663165
chr22	20811304
chr22	21004029
chr22	22063252
chr22	22121673
chr22	25645333
chr22	22573047
chr22	22507607
chr22	26216153
chr22	25918587
chr22	30019683
chr22	30072560
chr22	30312463
chr22	30392164
chr22	30445550
chr22	30978873
chr22	31024170
chr22	31029480
chr22	31115779
chr22	31144888
chr22	31196599
chr22	31292155
chr22	31440558
chr22	31691562
chr22	31884362
chr22	32173194
chr22	32405770
chr22	32554890
chr22	32685218
chr22	32895653
chr22	32932698
chr22	33302712
chr22	33539297
chr22	33639817
chr22	33758416
chr22	34036873
chr22	34125990
chr22	34363825
chr22	30036886
chr22	29920463
chr22	25970629
chr22	29657230
chr22	26033576
chr22	17092631
chr22	26271244
chr22	26444165
chr22	27152486
chr22	27289534
chr22	27322867
chr22	27352857
chr22	27564495
chr22	27708123
chr22	27887952
chr22	27962405
chr22	28036324
chr22	28094172
chr22	28232582
chr22	28242015
chr22	28408053
chr22	28453229
chr22	28457492
chr22	28481303
chr22	28674230
chr22	28750516
chr22	28882320
chr22	28945151
chr22	28985734
chr22	29365292
chr22	29421299
chr22	17347122
chr21	46527162
chr22	16822480
chr21	35810698
chr21	33947906
