Chrom	position
chr2	153191653
chr19	52056629
chr13	33700400
chr13	27103760
chr13	27441793
chr13	27557343
chr13	28366636
chr13	28535004
chr13	32713592
chr13	32717228
chr13	32835283
chr13	34253672
chr13	22271185
chr13	34392226
chr13	42535311
chr6	45413765
chr6	44623411
chr6	44281086
chr13	50430292
chr13	50819273
chr13	52768621
chr13	73664785
chr13	24203791
chr6	64300063
chr6	43337525
chr6	88146329
chr6	96263497
chr6	96141166
chr12	121567028
chr12	122235113
chr6	89248032
chr6	88930436
chr6	88829646
chr12	122711067
chr6	88508750
chr12	125384994
chr13	21524682
chr12	125389454
chr6	79944412
chr12	129534646
chr12	131011563
chr12	132628986
chr12	133003077
chr13	20171204
chr6	69942950
chr6	67805731
chr13	76270144
chr13	79163557
chr12	121079353
chr14	58739390
chr6	31261286
chr14	49770848
chr6	30525073
chr6	30495927
chr6	30346297
chr14	52924844
chr14	53275017
chr6	30137966
chr14	54605500
chr14	59480509
chr6	33581271
chr6	28626039
chr14	60558715
chr14	61201458
chr14	62028720
chr6	27638393
chr6	27599199
chr14	70207976
chr14	70519909
chr14	70540843
chr6	32086795
chr6	34205950
chr13	94342641
chr13	113411645
chr13	94944546
chr6	42907310
chr13	95966846
chr13	98148161
chr6	41755354
chr13	101386784
chr6	41536564
chr13	108517088
chr13	111138068
chr6	40682734
chr6	35114367
chr6	40567543
chr6	39902194
chr13	113677245
chr13	113951389
chr6	37767308
chr13	115000293
chr14	21101304
chr6	35773083
chr6	35265563
chr6	96564741
chr12	120730964
chr14	73243746
chr12	63360823
chr12	56075450
chr6	146349536
chr6	146136092
chr12	56475843
chr12	57024163
chr12	57845342
chr12	58176529
chr12	59159947
chr12	63154752
chr6	142410200
chr12	54585529
chr12	65220306
chr12	65563247
chr6	139829938
chr6	139696589
chr6	139695768
chr6	139309428
chr12	69446696
chr12	69742217
chr12	76017756
chr6	147312371
chr6	151203508
chr12	120559878
chr12	39286122
chr6	168646167
chr12	26889909
chr12	26898127
chr12	26986104
chr6	167811984
chr12	30752724
chr6	167544737
chr12	32259729
chr12	32804739
chr12	47740578
chr12	53135360
chr12	48046797
chr12	49260909
chr12	49284619
chr6	158185697
chr12	49524083
chr6	154360678
chr6	152168403
chr6	151990175
chr12	52430775
chr12	76160641
chr12	76266726
chr12	77527529
chr6	108169662
chr6	111279849
chr6	111025339
chr6	110299904
chr12	110940004
chr12	111805644
chr12	113102601
chr12	113229361
chr12	113503215
chr12	113918073
chr6	133055998
chr12	115861509
chr12	117296060
chr12	118870122
chr6	101844621
chr12	119083225
chr12	119152504
chr12	119499214
chr12	119950884
chr6	100016595
chr12	109490350
chr12	109458775
chr12	108862284
chr12	108608457
chr12	88429311
chr12	92464996
chr12	92539615
chr6	132165579
chr12	93323377
chr12	94057307
chr6	130683533
chr12	96657453
chr6	125474852
chr12	100831376
chr12	101220305
chr12	102002341
chr12	102811081
chr12	103218414
chr6	116952813
chr6	116918190
chr12	104532208
chr12	107796391
chr12	108398386
chr14	70826478
chr14	74250148
chr12	19219547
chr5	145358998
chr15	89007574
chr15	89009224
chr15	89149056
chr5	147217792
chr15	89905096
chr15	89962804
chr15	90437278
chr5	145720263
chr15	90709225
chr5	143074183
chr5	148833484
chr15	91404706
chr15	91417530
chr15	91473378
chr15	91730685
chr5	142302142
chr15	93865244
chr5	142187231
chr5	142120212
chr5	141901535
chr15	88709774
chr15	86252065
chr14	74904546
chr5	156718561
chr5	167955739
chr15	74736126
chr15	74838693
chr5	167288322
chr5	165054984
chr15	75287742
chr15	75321812
chr15	76488983
chr15	77827004
chr15	79152933
chr15	85956851
chr15	79281065
chr15	79286448
chr15	79576108
chr5	151626167
chr5	151304313
chr15	81073120
chr15	83332082
chr5	149902216
chr15	85874532
chr5	141742498
chr15	99387231
chr5	141133869
chr5	131348413
chr16	4340400
chr16	4588908
chr16	4664878
chr5	133434509
chr5	133375383
chr16	7232711
chr5	132946853
chr5	132901881
chr5	132173712
chr5	131332654
chr15	99866657
chr5	131235598
chr16	9930171
chr16	10741789
chr5	127270755
