Chrom	position
chr22	36388299
chr19	4968819
chr19	8390202
chr19	12441136
chr19	10717878
chr4	48780475
chr16	89171635
chr7	77696330
chr19	19385615
chr17	28041532
chr19	11155965
chr3	9844071
chr19	13795264
chr5	146447231
chr12	54279785
chr19	15419097
chr7	44848350
chr1	247008180
chr2	26785922
chr5	172420725
chr5	178204449
chr1	154983259
chr17	7572644
chr19	3971202
chr1	200410137
chr19	11739045
chr19	4867724
chr19	32675252
chr16	89490907
chr10	102502233
chr8	144104379
chr20	45857501
chr17	47896048
chr15	89088302
chr17	63550292
chr14	21269545
chr1	164558884
chr2	63840938
chr16	28950864
chr6	32178365
chr19	12333754
chr22	25236082
chr5	150758722
chr18	51197949
chr2	173965457
chr15	41283881
chr17	81394138
chr17	41786913
chr12	56646077
chr19	12484897
chr19	12551624
chr5	173057178
chr4	3074573
chr6	36197319
chr7	27662996
chr20	41618499
chr2	65227709
chr5	179698831
chr19	6425247
chr14	73458801
chr11	67508259
chr17	75979258
chr19	49929982
chr9	129178357
chr21	42974646
chr1	8878796
chr22	29603322
chr4	7068149
chr12	53079467
chr9	126914758
chr19	40715166
chr11	125592739
chr14	103334123
chr3	194769300
chr18	76493047
chr19	1040039
chr16	84504696
chr3	107522898
chr6	110874684
chr13	60164045
chr19	48469193
chr19	1652968
chr17	63622146
chr2	43637229
chr11	125111894
chr2	112275486
chr9	34989522
chr4	51842926
chr8	70402211
chr4	474281
chr7	66996603
chr1	11262603
chr16	22374699
chr1	25430745
chr11	66421795
chr9	136886351
chr9	137241170
chr19	35757973
chr1	35193217
chr1	1399455
chr20	46406706
chr3	88059123
chr19	47048690
chr12	54359341
chr19	12401282
chr2	74458268
chr15	92900307
chr19	35748502
chr11	117144264
chr10	101031219
chr22	37658451
chr8	102863056
chr4	609613
chr7	65006806
chr1	198159149
chr19	2841376
chr5	146203539
chr12	51239177
chr11	83156753
chr17	18183383
chr14	94026322
chr14	68979443
chr19	49496318
chr15	70099770
chr1	23344409
chr7	98106828
chr5	112861206
chr15	69160503
chr10	102743816
chr4	122732577
chr1	42846500
chr7	107168850
chr12	2812558
chr15	84631389
chr2	205944798
chr17	81666628
chr19	2740140
chr7	7968658
chr4	139083119
chr1	44674674
chr10	5890123
chr17	42155062
chr4	18021872
chr10	44978860
chr13	110615452
chr15	90994604
chr1	31644977
chr3	195443177
chr3	14948421
chr18	74292122
chr13	19633614
chr19	1205536
chr5	160119617
chr19	50805046
chr11	535681
chr19	17289702
chr7	100586580
chr2	231781351
chr15	59657604
chr10	102918263
chr7	1138335
chr17	76671844
chr12	112125441
chr16	30948316
chr16	30370947
chr7	25855263
chr14	36661774
chr19	6372587
chr22	43015336
chr16	67893121
chr22	37844504
chr12	120201256
chr1	161225870
chr20	17682349
chr11	22625931
chr19	6737744
chr10	74826474
chr1	145958079
chr2	238288924
chr11	65615528
chr19	6280034
chr19	14529265
chr16	2223504
chr22	40636769
chr6	30717347
chr17	81223085
chr17	59331636
chr3	100492510
chr7	30026785
chr1	112396179
chr16	4803008
chr16	3264632
chr16	3401101
chr22	38705595
chr12	55829694
chr14	89416225
chr1	7783933
chr3	128123900
chr19	4246984
chr8	144147889
chr19	4472125
chr5	177426324
chr13	52012160
chr2	218270217
chr1	150697335
chr12	27524044
chr7	12687485
chr10	25174661
chr5	179732601
chr17	38752677
chr8	143430881
chr10	72692075
chr16	1678209
chr1	153923146
chr11	62831791
chr22	50200878
chr17	81395305
chr6	116616346
chr12	6554313
chr1	167721900
chr7	44796579
chr19	19668700
chr4	123396726
chr17	14301023
chr19	19138530
chr7	138002353
chr19	20661701
chr16	66880462
chr3	113696945
chr14	45134602
chr17	17972694
chr11	72112447
chr22	20016969
chr19	21141909
chr6	6685527
chr16	72665013
chr17	4967442
chr21	33122290
chr19	32972147
chr6	119349813
chr19	35702446
chr11	64723259
chr3	101779147
chr10	102503874
chr7	140175407
chr22	40951640
chr12	121400032
chr7	24980304
chr11	119195857
chr17	75515610
chr3	15601580
chr16	90077443
chr10	101042866
chr3	49786684
chr12	55817934
chr7	66628822
chr14	52552760
chr7	73603583
chr3	13480146
chr11	66958512
chr19	38850372
chr15	64894164
chr7	10973150
chr3	50567830
chr1	247078875
chr9	121289920
chr7	25857081
chr20	23350743
chr5	14581729
chr15	68820944
chr14	49620660
chr2	20446923
chr17	18260580
chr11	59616104
chr15	37101752
chr1	185316296
chr19	23250531
chr14	65411818
chr5	140547592
chr1	244048379
chr1	205813246
chr2	218959555
chr5	96808432
chr14	64505293
chr9	125241604
chr17	82698824
chr12	120904690
chr5	127030663
chr1	32817545
chr17	21284584
chr12	119877380
chr13	19863767
chr1	33036973
chr1	42682342
