Chrom	position
chr12	91736991
chr9	79712023
chr9	80970032
chr21	16484786
chr13	21259480
chr5	107376562
chr7	153741350
chr14	47883419
chr1	245605062
chr13	109997895
chr2	59133422
chr13	43389107
chr2	124549455
chr2	196279593
chr7	126124151
chr18	67316015
chr18	65014800
chr2	186909623
chr4	17128205
chr5	67829538
chr3	182415503
chr5	83048652
chr17	46059771
chr2	43748862
chr5	83555308
chr2	190990419
chr15	63700773
chr14	32446516
chr3	170307017
chr12	81295547
chr2	191684708
chr7	28583651
chr10	49632220
chr12	112257723
chr7	120585040
chr12	28919475
chr3	158206640
chr2	42896615
chr8	109438232
chr11	34370785
chr11	38482715
chr5	64685591
chr11	40156575
chr7	130081222
chr2	29472778
chr2	29514503
chr2	37620697
chr7	130013305
chr11	38786390
chr11	36070694
chr11	36095248
chr11	36184796
chr2	37056175
chr2	36845702
chr2	36779988
chr5	64172193
chr2	33858765
chr11	34272814
chr11	36773261
chr5	64114825
chr11	38856242
chr7	129106844
chr3	148852581
chr5	58423585
chr2	38155767
chr2	40650838
chr11	25220483
chr11	25008998
chr5	57665587
chr11	24293615
chr11	23381117
chr7	131960257
chr2	40688439
chr11	25882752
chr7	132038893
chr7	132062109
chr7	132092654
chr2	40964515
chr7	132110078
chr7	132115735
chr2	40289064
chr5	58051161
chr2	38242025
chr5	58422600
chr11	32692773
chr2	38352331
chr5	58505748
chr2	38552976
chr5	65165762
chr2	38770156
chr5	58267794
chr5	58068882
chr2	39355295
chr7	131504943
chr11	27287782
chr11	27255939
chr11	27223631
chr2	39885718
chr2	29430852
chr11	42922782
chr7	127548928
chr5	65702971
chr2	19867677
chr5	73204573
chr11	66721101
chr7	124064091
chr11	66696627
chr2	20482847
chr2	20646759
chr5	72760238
chr2	21417254
chr5	72063767
chr7	125090270
chr2	21615688
chr5	71987967
chr2	22250546
chr2	22302726
chr5	73207969
chr2	18831596
chr7	123725431
chr11	72019764
chr2	15524259
chr2	15687477
chr5	77149551
chr5	77141199
chr5	76600478
chr5	74958122
chr5	73944786
chr11	67798092
chr11	70545458
chr11	69533161
chr5	73427920
chr11	68429811
chr11	68130532
chr5	73295292
chr2	22408891
chr7	125832393
chr11	60897762
chr11	21758163
chr11	44026839
chr11	43973111
chr5	66475824
chr11	43271030
chr11	43244388
chr2	27874307
chr5	66474120
chr11	44220308
chr11	42863241
chr11	42850086
chr11	42647523
chr5	66311660
chr2	28533065
chr2	28578566
chr11	44161332
chr7	127358410
chr7	126003052
chr11	47422703
chr5	71064333
chr5	68331510
chr7	126246861
chr7	126341230
chr7	126355260
chr11	47891740
chr2	25744193
chr2	27008776
chr2	25923273
chr2	26018990
chr5	67553213
chr11	45414285
chr2	26685439
chr11	44806542
chr5	56972399
chr7	132458366
chr2	41802436
chr2	53834206
chr2	54096957
chr7	136215845
chr10	127968992
chr5	38978061
chr2	54906093
chr5	38975864
chr2	55339095
chr7	136350210
chr2	58118302
chr5	38693103
chr5	38642671
chr2	58432984
chr5	38562665
chr10	125932373
chr10	125836957
chr2	53922919
chr2	53763991
chr2	51122427
chr10	129233578
chr2	51228595
chr2	51353833
chr2	51718181
chr5	41793473
chr10	130377522
chr10	130335711
chr2	52301434
chr10	130325258
chr5	41386908
chr5	41264233
chr7	135761365
chr2	52612333
chr2	53255997
chr2	53593438
chr2	53593950
chr7	136609980
chr7	136689609
chr10	125047607
chr2	61479431
chr10	122183109
chr2	67157836
chr5	34055807
chr5	33433973
chr10	120681920
chr10	120626087
chr10	120525104
chr10	120485734
chr10	120375742
chr2	67856252
chr2	67868964
chr5	32490114
chr2	67888860
chr2	68070011
chr2	68272643
chr2	66796630
chr10	122598655
chr5	34339758
chr10	123695437
chr2	62244302
chr2	62522496
chr2	62602354
chr2	62757098
chr10	123975855
chr5	38267531
chr5	37740147
chr7	138504593
chr10	123560475
chr7	137309259
chr2	64280197
chr2	65889330
chr5	36601340
chr2	66093441
chr2	51184480
chr7	135020523
chr11	21656170
chr11	16200004
chr2	45070416
chr11	15605817
chr7	133434039
chr11	15494103
chr5	51899968
chr11	15310566
chr11	15033664
chr7	133468234
chr2	45709755
chr11	12844430
chr5	51293892
chr2	46357088
chr11	12528193
chr11	12473193
chr11	12437240
chr7	133241498
chr7	133005828
chr10	131239369
chr5	53449816
chr5	56267338
chr11	21575497
chr2	41951859
chr7	132231330
chr5	56014519
chr2	42283267
chr5	77579919
chr5	55381167
chr11	20674020
chr2	43478455
chr7	132717243
chr2	43621285
chr7	132766996
chr2	43718415
chr5	53477148
chr7	133530685
chr11	11485122
chr2	47030309
chr7	133632416
chr11	3073579
chr5	45163293
chr10	134514325
chr5	45143698
chr10	132011232
chr10	131957918
chr10	131734336
chr7	134893391
chr2	50675804
chr10	131650218
chr5	43687823
chr10	131493347
chr2	50922214
chr2	50979597
chr2	51023110
chr2	49271584
chr7	133972437
chr7	133931796
chr2	47654111
chr11	10070046
chr5	50669927
chr5	50490681
chr5	50477249
chr11	8337160
chr7	133727121
chr11	8107741
chr11	7440525
chr11	8098338
chr11	8051636
chr2	48506616
chr2	48627845
chr11	7712181
chr11	7484130
chr2	15401235
chr2	13070701
chr2	14900330
chr11	113610269
chr11	113594646
chr11	113462168
chr18	77043616
chr18	77062124
chr18	77509888
chr7	101398118
chr19	797217
chr19	1021660
chr19	1203640
chr7	101628323
chr11	112991200
chr11	112912185
chr11	112885152
chr19	3068280
chr19	3327127
chr7	101175433
chr11	113667572
chr19	4015856
chr7	100720997
chr7	96044419
chr18	70710549
chr7	96137806
chr7	96176929
chr7	96306374
chr5	104512574
chr5	104479999
chr11	114988996
chr11	114912937
chr11	114855666
chr7	96633901
chr5	104003849
chr11	114089488
chr7	98962399
chr11	114037887
chr11	112598383
chr5	102911045
chr2	14759464
chr19	7683880
chr19	8009317
chr19	9251085
chr5	101285957
chr7	103908311
chr11	108706953
chr5	101218337
chr5	101214241
chr5	101011423
chr5	100998162
chr11	107827441
chr11	107798942
chr5	100403327
chr11	107178911
chr19	13906033
chr5	99782976
chr5	101342154
chr19	7228479
chr7	102004134
chr7	103336077
chr7	102022316
chr5	102544914
chr7	102389376
chr19	4738328
chr19	5050177
chr5	102084858
chr11	111497511
chr19	5177919
chr19	5189409
chr5	102038669
chr19	5826795
chr5	101958161
chr5	101775647
chr11	110002797
chr19	6737887
chr5	104967974
chr18	69832973
chr7	95934282
chr18	56473068
chr11	123178843
chr5	108636999
chr18	57959656
chr18	58034014
chr18	60054657
chr11	121940875
chr11	121855023
chr18	60764568
chr18	60779658
chr7	91912462
chr18	62669215
chr11	121324126
chr18	62849438
chr11	121077029
chr5	107284419
chr18	56732963
chr18	56012186
chr11	115549505
chr18	55810761
chr18	52989539
chr5	109958921
chr7	84858083
chr7	84904044
chr11	126624093
chr7	85149638
chr7	85195862
chr7	85215251
chr11	125973242
chr18	54168284
chr11	125098709
chr11	124761452
chr18	55357977
chr18	55784596
chr11	123569296
chr11	120976893
chr7	91989444
chr11	120685846
chr18	63060210
chr18	66967969
chr11	117014958
chr5	105353711
chr5	105342302
chr5	105264088
chr11	116289571
chr18	68085356
chr11	116255335
chr18	68633817
chr18	68974418
chr11	116071431
chr7	95789302
chr18	69415039
chr18	69569984
chr11	115782367
chr18	66699483
chr11	117546846
chr18	65738493
chr18	64798940
chr11	120384291
chr11	120218075
chr18	63278617
chr11	120044057
chr11	119938919
chr11	119778854
chr7	92431981
chr11	117634511
chr18	65214264
chr5	106607623
chr5	106590655
chr11	118482701
chr11	118313799
chr18	65646586
chr19	14062732
chr11	105610050
chr11	105563900
chr5	84165283
chr5	84155065
chr19	58892648
chr7	111744384
chr11	90118599
chr7	111772576
chr11	88032927
chr5	83411874
chr5	83331787
chr2	3622816
chr2	3631816
chr2	6777703
chr2	6812168
chr2	7021386
chr11	83947643
chr7	112919536
chr7	111180086
chr11	90680971
chr19	51823590
chr5	84180265
chr19	54024125
chr5	85796868
chr11	92267140
chr11	92198174
chr5	85526643
chr5	85439945
chr11	92006655
chr11	92000063
chr11	91874527
chr19	55919607
chr11	91525416
chr11	91419550
chr19	56986076
chr7	111172840
chr11	90927933
chr2	7210770
chr5	82393966
chr11	83340160
chr11	82783021
chr2	11044167
chr2	11527312
chr11	77320455
chr2	11859933
chr7	120591221
chr5	79445281
chr2	69442653
chr2	13440321
chr7	120905066
chr11	74736034
chr7	120940958
chr2	14077284
chr11	74081425
chr2	14313071
chr7	121626045
chr11	77706148
chr2	10955368
chr2	10312619
chr2	8818238
chr5	81796218
chr5	81740824
chr11	82422808
chr5	81684034
chr11	79204196
chr7	116822388
chr7	118027506
chr7	118768463
chr11	78771425
chr2	9218473
chr11	78719125
chr2	9451726
chr2	9477246
chr2	9607023
chr19	52490127
chr7	110742512
chr5	99466155
chr19	24292113
chr19	30610458
chr19	30644539
chr7	106765455
chr5	95124385
chr11	101878681
chr11	101867304
chr11	100623704
chr19	31141022
chr11	100421839
chr19	31248552
chr19	31806698
chr11	98148402
chr5	93775893
chr19	33995043
chr19	34192294
chr19	30370650
chr11	103216875
chr19	49955177
chr19	21856121
chr19	14248466
chr11	105300437
chr11	105138286
chr5	98334915
chr19	17858333
chr11	104400127
chr19	18702920
chr19	18781200
chr11	104013588
chr19	18811851
chr11	103799589
chr19	19143411
chr5	96167689
chr5	95937558
chr5	95817708
chr19	34262576
chr19	35453463
chr19	36239314
chr19	37288294
chr11	95435933
chr5	91320366
chr5	91273555
chr11	94461206
chr5	90317375
chr5	90263443
chr11	94381246
chr7	110408060
chr11	94133401
chr19	48162487
chr11	93364613
chr5	89548613
chr11	93015870
chr19	49457966
chr19	49646260
chr7	109639844
chr7	109623877
chr5	91605297
chr19	39182845
chr7	108456441
chr11	96957440
chr11	96862176
chr7	108626751
chr19	39034797
chr7	108641127
chr7	108644983
chr5	91804259
chr19	39353354
chr11	96534121
chr11	96449540
chr11	96062082
chr5	92136393
chr19	41312856
chr5	31758060
chr5	30493673
chr2	70354736
chr4	175120154
chr10	56132018
chr2	196144904
chr4	175065403
chr8	54598560
chr4	175054906
chr2	196187260
chr2	196532932
chr8	56846159
chr4	174451546
chr4	174158419
chr10	54253684
chr2	199009539
chr4	173069490
chr10	53598630
chr4	172917140
chr4	175114242
chr4	175150379
chr10	53391262
chr4	175579010
chr4	178203611
chr4	178161383
chr8	49587410
chr10	59227700
chr8	49595069
chr10	57439422
chr10	57431903
chr2	193017182
chr4	177129163
chr2	193614591
chr8	52564301
chr10	57090471
chr10	56920667
chr4	175687517
chr4	175638656
chr10	53427930
chr8	59947828
chr8	48246840
chr8	61566227
chr10	45474312
chr4	169963707
chr10	44888658
chr10	44872114
chr4	169960729
chr8	61762330
chr8	61901188
chr4	169845097
chr2	205060229
chr2	205125073
chr8	61936116
chr10	44401392
chr4	169634495
chr10	43582135
chr2	205832179
chr2	204487058
chr2	203949004
chr4	172589266
chr10	48704708
chr10	53144899
chr8	60018276
chr2	201294898
chr10	52324407
chr4	172312003
chr4	172295114
chr4	171844676
chr8	60386866
chr4	170955432
chr10	50153972
chr4	170870044
chr8	60609296
chr10	49043442
chr10	48356114
chr10	48361765
chr10	59405831
chr10	59486701
chr4	187948782
chr4	185655430
chr10	65976029
chr10	65608707
chr10	65579716
chr2	181969556
chr10	65473237
chr8	31494626
chr2	182403412
chr10	65388634
chr8	31614150
chr4	183825355
chr10	64989042
chr4	183650898
chr8	32024367
chr4	183521505
chr2	184904417
chr10	66071689
chr10	66237713
chr10	63775958
chr2	179203556
chr2	177744562
chr2	177812720
chr4	187124771
chr4	186834093
chr10	67209493
chr2	177903674
chr8	29495314
chr2	178031349
chr2	178395513
chr4	186443892
chr8	30007859
chr2	179016865
chr8	30178184
chr8	30303816
chr10	66410754
chr4	183091851
chr2	186591389
chr4	178400440
chr4	181603872
chr10	62286249
