Chrom	position
chr9	2055423
chr14	91980306
chr10	63707511
chr7	23595301
chr12	88242351
chr6	2940619
chr21	34276899
chr2	168940062
chr20	3384260
chr2	55311684
chr12	18165794
chr13	99322426
chr8	126372952
chr8	123671251
chr7	55534490
chr12	108573510
chr12	24839438
chr11	128758033
chr13	50366990
chr4	38710299
chr18	22668189
chr2	237440952
chr2	43293977
chr12	77124971
chr6	26859248
chr2	12294069
chr2	173239843
chr2	28449965
chr6	484233
chr13	32841212
chr6	137168161
chr4	26197538
chr13	110965518
chr2	81658428
chr3	119639721
chr4	38132522
chr22	21876902
chr3	69212560
chr4	168860455
chr18	43303552
chr2	53130715
chr20	5760879
chr6	106102206
chr11	115925276
chr8	128240552
chr18	56112566
chr7	50350763
chr16	67055906
chr6	43571210
chr10	42801386
chr6	99364244
chr22	50542556
chr12	89756827
chr20	31603113
chr14	90970180
chr7	106871220
chr1	65230986
chr17	70137537
chr16	75616770
chr4	61783222
chr2	138267723
chr7	105766507
chr3	185208047
chr9	37409458
chr8	8949978
chr1	9904103
chr6	140586988
chr5	109162239
chr10	50397058
chr3	79268625
chr10	96589222
chr3	189841679
chr18	48125099
chr4	39624439
chr15	47814242
chr3	189529638
chr16	23670334
chr1	28962633
chr15	38689069
chr9	1879751
chr12	81668698
chr6	134979315
chr10	1110361
chr8	43254243
chr21	42799730
chr11	107043802
chr2	48114465
chr1	200878389
chr10	58518192
chr2	9552765
chr6	158344791
chr8	136071181
chr5	154214663
chr14	66998244
chr7	132773675
chr4	3013934
chr2	54081791
chr7	48298925
chr8	127288412
chr1	185740137
chr2	57450383
chr3	191248195
chr3	144032769
chr10	101551191
chr10	44301329
chr2	160224281
chr1	84152953
chr4	105060879
chr2	31324424
chr17	80605832
chr6	15876681
chr1	187384766
chr2	3660833
chr2	228613294
chr6	56890833
chr4	42460194
chr8	2021705
chr20	17826347
chr2	134683825
chr5	115460593
chr3	197861438
chr5	34156883
chr19	34171717
chr9	91359243
chr1	185637030
chr4	57581974
chr4	182547706
chr17	59752220
chr6	137681139
chr14	69676235
chr2	85865660
chr10	50432029
chr7	37341424
chr8	24966281
chr4	185438035
chr5	96280376
chr9	6598660
chr2	53751941
chr14	55458957
chr11	128289317
chr5	171989428
chr1	181099644
chr7	148507248
chr5	159456990
chr5	134138543
chr5	99866916
chr2	142980702
chr14	21109907
chr2	175154745
chr11	108733636
chr7	102835173
chr12	123812121
chr6	122423069
chr7	50448969
chr3	147906509
chr10	4127696
chr2	39129115
chr9	95852778
chr2	24577613
chr16	9966983
chr6	53231872
chr4	184514525
chr4	107898016
chr10	60238154
chr6	90369180
chr12	51971269
chr6	45682156
chr5	65190422
chr1	172338249
chr3	98536782
chr2	207286272
chr4	37241876
chr3	20057417
chr14	45090071
chr3	140766682
chr4	40251630
chr14	23606304
chr7	141453190
chr8	64846200
chr6	21402634
chr5	172690432
chr2	202780899
chr10	48337219
chr2	88600311
chr6	15301354
chr16	50264418
chr15	56787148
chr3	149727216
chr12	12646085
chr13	20419749
chr15	101199954
chr12	88299737
chr1	195195575
chr2	14421121
chr2	64982521
chr6	113626072
chr9	89952611
chr11	122192815
chr9	117683164
chr17	66032539
chr6	14666088
chr11	122398353
chr17	80258994
chr2	24314234
chr10	106837031
chr8	47900041
chr2	173942616
chr2	142741879
chr6	110944870
chr2	207331037
chr11	43869174
chr11	44192939
chr4	76055193
chr7	21672096
chr20	38094474
chr7	37719305
chr12	121992406
chr7	75595013
chr6	159931352
chr21	25845934
chr1	70504564
chr6	85506771
chr18	45197702
chr6	155224280
chr4	4689799
chr1	12449642
chr10	110774293
chr6	137084977
chr13	77009198
chr6	13302918
chr10	50508454
chr7	121544977
chr21	42002635
chr12	99436792
chr21	42339301
chr8	93954757
chr11	72970058
chr3	18546863
chr12	39467560
chr8	59115350
chr5	79990332
chr8	47598242
chr15	55277210
chr6	130265710
chr11	58775520
chr10	24299695
chr12	103925448
chr1	28144670
chr15	64246996
chr6	144544614
chr19	13100136
chr3	182644994
chr1	234629195
chr2	10444710
chr17	16028293
chr8	123548431
chr19	13731302
chr10	3197883
chr6	29965033
chr1	200448464
chr4	107419711
chr5	159458449
chr4	38131677
chr1	60899201
chr3	125434669
chr2	136362898
chr13	41008519
chr7	115145671
chr10	124689045
chr5	88845485
