Chrom	position
chr11	10933963
chr1	54017015
chr2	111288401
chr11	75532508
chr5	80654863
chr1	201541211
chr3	10783533
chr1	93874276
chr1	203220130
chr9	133589627
chr10	72081970
chr10	103884958
chr2	181466884
chr7	75615127
chr19	16143543
chr4	7076200
chr8	27311555
chr5	156836076
chr6	53065302
chr2	231605213
chr1	193031694
chr20	37578139
chr15	41978116
chr7	8365736
chr11	64356636
chr12	110602277
chr20	63090262
chr22	39176113
chr22	30408777
chr6	44313491
chr7	88546911
chr20	47784457
chr2	96533111
chr14	99753719
chr19	10720803
chr16	17235326
chr11	35362897
chr6	75563291
chr12	111370032
chr19	2489700
chr9	95763190
chr19	11277722
chr22	25081479
chr16	85718889
chr9	16266875
chr9	133022571
chr19	1482679
chr17	72702320
chr20	50113841
chr19	37982392
chr17	1997539
chr8	80168904
chr17	34420369
chr19	50164388
chr4	91113363
chr11	113305814
chr19	50223523
chr3	9799836
chr4	41360088
chr2	98913171
chr19	47722156
chr6	42266733
chr20	51564260
chr16	83993581
chr20	57832177
chr2	99325585
chr4	56051251
chr18	12394695
chr15	34343296
chr10	103716649
chr1	243257363
chr2	87662529
chr11	61670831
chr2	26605678
chr19	5288013
chr15	77020530
chr4	152998245
chr14	94966140
chr14	59582950
chr19	8006196
chr20	50417910
chr11	2899000
chr6	33623135
chr22	37492970
chr19	48574963
chr7	127760828
chr17	41767845
chr19	1655829
chr17	41415908
chr5	173314225
chr12	130464463
chr19	43785548
chr9	126804785
chr8	108248735
chr4	173420408
chr3	156825688
chr21	33559029
chr14	99275394
chr6	26285561
chr21	43786955
chr10	23096793
chr9	107137705
chr1	56578275
chr15	88824451
chr1	62435831
chr16	89443600
chr11	120230055
chr6	3383806
chr21	45364050
chr16	67529716
chr5	172440221
chr8	130017116
chr15	52018935
chr2	3317253
chr4	169613277
chr1	31396838
chr1	16082569
chr20	63708620
chr19	55149529
chr4	13627179
chr1	183060702
chr12	124683203
chr9	124309814
chr9	126421261
chr1	201507348
chr3	113626902
chr17	46822438
chr10	50512059
chr19	14217331
chr6	37381673
chr22	38000137
chr12	111599996
chr14	73730619
chr14	76435479
chr1	29416582
chr1	29415749
chr17	75519344
chr11	63593103
chr8	125699723
chr6	36718752
chr19	5323009
chr7	909899
chr19	48587580
chr14	58543415
chr1	36948287
chr5	177042135
chr14	68818008
chr6	36376387
chr19	48287966
chr14	75177544
chr15	30173201
chr8	109541596
chr17	76254469
chr22	36286644
chr3	195002212
chr8	117329165
chr7	150379842
chr21	42272659
chr7	101545971
chr11	69526075
chr16	22232708
chr6	26123045
chr2	240989946
chr17	27569433
chr1	17237146
chr1	241605530
chr2	134657879
chr7	36021514
chr14	73774904
chr9	127761269
chr7	36387642
chr15	70854904
chr19	47741742
chr2	20585842
chr9	77569463
chr9	122201160
chr14	76784995
chr1	231049594
chr1	144412697
chr8	30283074
chr8	26577037
chr5	1214603
chr1	145281228
chr3	129623924
chr1	145855622
chr14	67515832
chr1	18806631
chr16	29328759
chr14	37600194
chr16	67841759
chr11	67576821
chr19	50262880
chr8	124232864
chr5	160192607
chr12	111052439
chr12	110987799
chr8	124728870
chr2	215231175
chr12	110937514
chr2	121133898
chr16	30428248
chr20	63519547
chr1	32902339
chr22	37444769
chr17	30698262
chr15	66191739
chr2	207142697
chr5	132426891
chr15	66611088
chr8	125406986
chr19	48869483
chr22	43733594
chr8	125395672
chr5	134003150
chr11	63829941
chr7	1721488
chr3	73552961
chr14	60796637
chr14	76812947
chr20	61331870
chr2	231037261
chr12	108301573
chr10	73879664
chr5	103119838
chr10	47553462
chr11	128888222
chr12	124380994
chr6	25280290
chr3	113051453
chr19	49672364
chr6	144362850
chr15	66843249
chr1	161022534
chr3	128051978
chr15	66762295
chr17	34542940
chr19	10231746
chr1	9842946
chr16	81558843
chr20	34300582
chr7	5531979
chr19	2487289
chr18	45839471
chr1	46601797
chr15	79884028
chr17	51121771
chr16	3500742
chr22	30229745
chr20	49943171
chr22	30212635
chr19	10963013
chr15	81611880
chr9	129482042
chr7	28016831
chr19	35141667
chr3	52057063
chr14	103539664
chr2	69540474
chr11	71983664
chr3	11720052
chr19	10218528
chr17	51540377
chr19	4573819
chr14	104692328
chr6	43964399
chr20	50061347
chr5	56681947
chr8	28625161
chr19	38244075
chr3	50652969
chr5	57499538
chr17	1826652
chr1	24421672
chr19	38335690
chr3	51386571
chr2	69756331
chr22	26563201
chr4	96352415
chr11	45791843
chr8	93992178
chr19	3986485
chr10	63519083
chr5	172327219
chr1	58785983
chr16	1175174
chr16	1173992
chr11	74453519
chr20	42590430
chr15	84658990
chr3	31962860
chr7	20311643
chr5	172479095
chr16	89323266
chr19	18417297
chr20	43405055
chr20	44714686
chr8	142383631
chr10	30538303
chr2	46650826
chr1	22288787
chr16	90016228
chr2	64483274
chr12	51047189
chr6	52815896
chr1	22157843
chr19	33225125
chr1	23611789
chr20	46756610
chr10	28275951
chr2	55050441
chr12	57519442
chr1	61648467
chr5	138737665
chr17	49568548
chr10	29998583
chr3	184554675
chr19	4403506
chr6	26204567
chr11	78418324
chr8	140285952
chr1	25268190
chr14	95158297
chr20	50580189
chr22	24952216
chr2	29245541
chr14	35391144
chr17	56916054
chr8	107495977
chr1	44005767
chr15	75456292
chr12	120302119
chr17	40549600
chr17	65542270
chr20	5205557
chr1	26235205
chr17	41523189
chr11	3091916
chr16	84970638
chr12	132085087
chr1	26163851
chr3	194142023
chr12	91382252
chr15	29821470
chr1	109950237
chr9	134434505
chr6	27823977
chr2	31136866
chr10	117668812
chr10	92573037
chr11	79425662
chr11	70203041
chr16	84647882
chr20	50368501
chr9	2811990
chr19	9839055
chr19	7700343
chr16	83717537
chr2	84452813
chr6	32195040
chr3	58305190
chr3	113440959
chr18	22021007
chr7	132147260
chr11	75339481
chr11	74681209
chr1	23482096
chr1	23525739
chr14	100894603
chr3	58337391
chr9	1018481
chr16	88991873
chr9	126002723
chr9	33814030
chr22	27671525
chr11	118927988
chr12	109711917
chr16	57662119
chr11	118909949
chr12	113183386
chr12	109820079
chr11	87059778
chr3	64236300
chr12	109830878
chr9	125973936
chr17	74756823
chr6	31874289
chr14	100671734
chr12	109697197
chr17	75725712
chr3	65489214
chr11	118170107
chr8	142676271
chr22	27635204
chr15	29778159
chr7	72326398
chr1	169890080
chr12	113408840
chr14	100653727
chr1	23238761
chr1	200147312
chr10	123995960
chr12	111380370
chr1	175023437
chr16	85287894
chr3	56674783
chr19	10269549
chr12	115457495
chr7	123687927
chr22	21846082
chr16	70734705
chr2	120430251
